scenario,algorithm,case,tasks,total_bytes,src_cv,dst_cv,cross_fraction,max_pair_bytes,max_src_bytes,max_dst_bytes,makespan_us,global_GBps,rank0_makespan_us,rank0_GBps
uniform,baseline,generated_topology_ubx16_a2av_uniform_baseline_16mb,240,268435456,0.0,2.1593834081574437e-07,0.7999999970197678,1118482,16777216,16777230,73.92288,3631.290555779212,73.18562,229.24197403806923
uniform,matrix,generated_topology_ubx16_a2av_uniform_matrix_16mb,240,268435456,0.0,2.1593834081574437e-07,0.7999999970197678,1118482,16777216,16777230,69.8297,3844.1444829349116,69.82932,240.2603376346784
uniform,closv3,generated_topology_ubx16_a2av_uniform_closv3_16mb,240,268435456,0.0,2.1593834081574437e-07,0.7999999970197678,1118482,16777216,16777230,69.82992,3844.132371911639,69.82978,240.2587549323512
mild_random,baseline,generated_topology_ubx16_a2av_mild_random_baseline_16mb,240,268435456,0.0,0.25222106390427335,0.8032380789518356,4781621,16777216,24548350,99.30314,2703.1920239380147,98.11716,170.99165935907644
mild_random,matrix,generated_topology_ubx16_a2av_mild_random_matrix_16mb,240,268435456,0.0,0.25222106390427335,0.8032380789518356,4781621,16777216,24548350,253.52992,1058.7920194981327,229.42202,73.12818534158143
mild_random,closv3,generated_topology_ubx16_a2av_mild_random_closv3_16mb,240,268435456,0.0,0.25222106390427335,0.8032380789518356,4781621,16777216,24548350,217.31324,1235.2466697381162,195.3934,85.8637804552252
dispatch_hot4,baseline,generated_topology_ubx16_a2av_dispatch_hot4_baseline_16mb,240,268435456,0.0,1.2647884644422027,0.8064089007675648,4194304,16777216,53530692,224.1533,1197.5529960968677,197.0613,85.13704111360272
dispatch_hot4,matrix,generated_topology_ubx16_a2av_dispatch_hot4_matrix_16mb,240,268435456,0.0,1.2647884644422027,0.8064089007675648,4194304,16777216,53530692,261.10334,1028.0812800020099,243.89048,68.78995850924562
dispatch_hot4,closv3,generated_topology_ubx16_a2av_dispatch_hot4_closv3_16mb,240,268435456,0.0,1.2647884644422027,0.8064089007675648,4194304,16777216,53530692,259.242,1035.4628339543747,209.26828,80.17085054648511
combine_hot4,baseline,generated_topology_ubx16_a2av_combine_hot4_baseline_16mb,240,268435456,1.2647884644422027,0.0,0.8064089007675648,4194304,53530692,16777216,223.9575,1198.599984372035,75.70956,59.781935068702026
combine_hot4,matrix,generated_topology_ubx16_a2av_combine_hot4_matrix_16mb,240,268435456,1.2647884644422027,0.0,0.8064089007675648,4194304,53530692,16777216,261.10334,1028.0812800020099,181.79104,24.897068634405745
combine_hot4,closv3,generated_topology_ubx16_a2av_combine_hot4_closv3_16mb,240,268435456,1.2647884644422027,0.0,0.8064089007675648,4194304,53530692,16777216,240.70186,1115.21969959019,28.09484,161.09947591799775
cross_group_heavy,baseline,generated_topology_ubx16_a2av_cross_group_heavy_baseline_16mb,240,268435456,0.0,3.097148193542142e-07,0.9696969389915466,1355735,16777216,16777221,87.6519,3062.517252906098,87.44808,191.85345178533362
cross_group_heavy,matrix,generated_topology_ubx16_a2av_cross_group_heavy_matrix_16mb,240,268435456,0.0,3.097148193542142e-07,0.9696969389915466,1355735,16777216,16777221,84.57596,3173.8978310148655,84.57148,198.3791226072903
cross_group_heavy,closv3,generated_topology_ubx16_a2av_cross_group_heavy_closv3_16mb,240,268435456,0.0,3.097148193542142e-07,0.9696969389915466,1355735,16777216,16777221,84.57242,3174.030682815982,84.57182,198.37832507329273
