taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,127,8454661,URMA_WRITE,7,0ns,0,,,,,,
1,0,1,8454661,URMA_WRITE,7,0ns,1,,,,,,
2,0,126,8454661,URMA_WRITE,7,0ns,2,,,,,,
3,0,2,8454661,URMA_WRITE,7,0ns,3,,,,,,
4,0,125,8454660,URMA_WRITE,7,0ns,4,,,,,,
5,0,3,8454660,URMA_WRITE,7,0ns,5,,,,,,
6,0,124,8454660,URMA_WRITE,7,0ns,6,,,,,,
7,0,4,8454660,URMA_WRITE,7,0ns,7,,,,,,
8,0,123,8454660,URMA_WRITE,7,0ns,8,,,,,,
9,0,5,8454660,URMA_WRITE,7,0ns,9,,,,,,
10,0,122,8454660,URMA_WRITE,7,0ns,10,,,,,,
11,0,6,8454660,URMA_WRITE,7,0ns,11,,,,,,
12,0,121,8454660,URMA_WRITE,7,0ns,12,,,,,,
13,0,7,8454660,URMA_WRITE,7,0ns,13,,,,,,
14,0,120,8454660,URMA_WRITE,7,0ns,14,,,,,,
15,0,8,8454660,URMA_WRITE,7,0ns,15,,,,,,
16,1,0,8454661,URMA_WRITE,7,0ns,16,,,,,,
17,1,2,8454661,URMA_WRITE,7,0ns,17,,,,,,
18,1,127,8454661,URMA_WRITE,7,0ns,18,,,,,,
19,1,3,8454661,URMA_WRITE,7,0ns,19,,,,,,
20,1,126,8454660,URMA_WRITE,7,0ns,20,,,,,,
21,1,4,8454660,URMA_WRITE,7,0ns,21,,,,,,
22,1,125,8454660,URMA_WRITE,7,0ns,22,,,,,,
23,1,5,8454660,URMA_WRITE,7,0ns,23,,,,,,
24,1,124,8454660,URMA_WRITE,7,0ns,24,,,,,,
25,1,6,8454660,URMA_WRITE,7,0ns,25,,,,,,
26,1,123,8454660,URMA_WRITE,7,0ns,26,,,,,,
27,1,7,8454660,URMA_WRITE,7,0ns,27,,,,,,
28,1,122,8454660,URMA_WRITE,7,0ns,28,,,,,,
29,1,8,8454660,URMA_WRITE,7,0ns,29,,,,,,
30,1,121,8454660,URMA_WRITE,7,0ns,30,,,,,,
31,1,9,8454660,URMA_WRITE,7,0ns,31,,,,,,
32,2,1,8454661,URMA_WRITE,7,0ns,32,,,,,,
33,2,3,8454661,URMA_WRITE,7,0ns,33,,,,,,
34,2,0,8454661,URMA_WRITE,7,0ns,34,,,,,,
35,2,4,8454661,URMA_WRITE,7,0ns,35,,,,,,
36,2,127,8454660,URMA_WRITE,7,0ns,36,,,,,,
37,2,5,8454660,URMA_WRITE,7,0ns,37,,,,,,
38,2,126,8454660,URMA_WRITE,7,0ns,38,,,,,,
39,2,6,8454660,URMA_WRITE,7,0ns,39,,,,,,
40,2,125,8454660,URMA_WRITE,7,0ns,40,,,,,,
41,2,7,8454660,URMA_WRITE,7,0ns,41,,,,,,
42,2,124,8454660,URMA_WRITE,7,0ns,42,,,,,,
43,2,8,8454660,URMA_WRITE,7,0ns,43,,,,,,
44,2,123,8454660,URMA_WRITE,7,0ns,44,,,,,,
45,2,9,8454660,URMA_WRITE,7,0ns,45,,,,,,
46,2,122,8454660,URMA_WRITE,7,0ns,46,,,,,,
47,2,10,8454660,URMA_WRITE,7,0ns,47,,,,,,
48,3,2,8454661,URMA_WRITE,7,0ns,48,,,,,,
49,3,4,8454661,URMA_WRITE,7,0ns,49,,,,,,
50,3,1,8454661,URMA_WRITE,7,0ns,50,,,,,,
51,3,5,8454661,URMA_WRITE,7,0ns,51,,,,,,
52,3,0,8454660,URMA_WRITE,7,0ns,52,,,,,,
53,3,6,8454660,URMA_WRITE,7,0ns,53,,,,,,
54,3,127,8454660,URMA_WRITE,7,0ns,54,,,,,,
55,3,7,8454660,URMA_WRITE,7,0ns,55,,,,,,
56,3,126,8454660,URMA_WRITE,7,0ns,56,,,,,,
57,3,8,8454660,URMA_WRITE,7,0ns,57,,,,,,
58,3,125,8454660,URMA_WRITE,7,0ns,58,,,,,,
59,3,9,8454660,URMA_WRITE,7,0ns,59,,,,,,
60,3,124,8454660,URMA_WRITE,7,0ns,60,,,,,,
61,3,10,8454660,URMA_WRITE,7,0ns,61,,,,,,
62,3,123,8454660,URMA_WRITE,7,0ns,62,,,,,,
63,3,11,8454660,URMA_WRITE,7,0ns,63,,,,,,
64,4,3,8454661,URMA_WRITE,7,0ns,64,,,,,,
65,4,5,8454661,URMA_WRITE,7,0ns,65,,,,,,
66,4,2,8454661,URMA_WRITE,7,0ns,66,,,,,,
67,4,6,8454661,URMA_WRITE,7,0ns,67,,,,,,
68,4,1,8454660,URMA_WRITE,7,0ns,68,,,,,,
69,4,7,8454660,URMA_WRITE,7,0ns,69,,,,,,
70,4,0,8454660,URMA_WRITE,7,0ns,70,,,,,,
71,4,8,8454660,URMA_WRITE,7,0ns,71,,,,,,
72,4,127,8454660,URMA_WRITE,7,0ns,72,,,,,,
73,4,9,8454660,URMA_WRITE,7,0ns,73,,,,,,
74,4,126,8454660,URMA_WRITE,7,0ns,74,,,,,,
75,4,10,8454660,URMA_WRITE,7,0ns,75,,,,,,
76,4,125,8454660,URMA_WRITE,7,0ns,76,,,,,,
77,4,11,8454660,URMA_WRITE,7,0ns,77,,,,,,
78,4,124,8454660,URMA_WRITE,7,0ns,78,,,,,,
79,4,12,8454660,URMA_WRITE,7,0ns,79,,,,,,
80,5,4,8454661,URMA_WRITE,7,0ns,80,,,,,,
81,5,6,8454661,URMA_WRITE,7,0ns,81,,,,,,
82,5,3,8454661,URMA_WRITE,7,0ns,82,,,,,,
83,5,7,8454661,URMA_WRITE,7,0ns,83,,,,,,
84,5,2,8454660,URMA_WRITE,7,0ns,84,,,,,,
85,5,8,8454660,URMA_WRITE,7,0ns,85,,,,,,
86,5,1,8454660,URMA_WRITE,7,0ns,86,,,,,,
87,5,9,8454660,URMA_WRITE,7,0ns,87,,,,,,
88,5,0,8454660,URMA_WRITE,7,0ns,88,,,,,,
89,5,10,8454660,URMA_WRITE,7,0ns,89,,,,,,
