taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,127,132105,URMA_WRITE,7,0ns,0,,0.0,72.93678,0.0,0.0,14.4898
1,0,1,132105,URMA_WRITE,7,0ns,1,,0.0,2.74124,0.0,0.0,385.5336
2,0,126,132105,URMA_WRITE,7,0ns,2,,0.0,69.34524,0.0,0.0,15.2403
3,0,2,132105,URMA_WRITE,7,0ns,3,,0.0,2.74124,0.0,0.0,385.5336
4,0,125,132105,URMA_WRITE,7,0ns,4,,0.0,68.8403,0.0,0.0,15.3521
5,0,3,132105,URMA_WRITE,7,0ns,5,,0.0,2.74124,0.0,0.0,385.5336
6,0,124,132105,URMA_WRITE,7,0ns,6,,0.0,91.62574,0.0,0.0,11.5343
7,0,4,132105,URMA_WRITE,7,0ns,7,,0.0,2.74124,0.0,0.0,385.5336
8,0,123,132104,URMA_WRITE,7,0ns,8,,0.0,83.18272,0.0,0.0,12.7049
9,0,5,132104,URMA_WRITE,7,0ns,9,,0.0,2.74122,0.0,0.0,385.5334
10,0,122,132104,URMA_WRITE,7,0ns,10,,0.0,84.448,0.0,0.0,12.5146
11,0,6,132104,URMA_WRITE,7,0ns,11,,0.0,2.74122,0.0,0.0,385.5334
12,0,121,132104,URMA_WRITE,7,0ns,12,,0.0,64.00814,0.0,0.0,16.5109
13,0,7,132104,URMA_WRITE,7,0ns,13,,0.0,2.74122,0.0,0.0,385.5334
14,0,120,132104,URMA_WRITE,7,0ns,14,,0.0,90.49576,0.0,0.0,11.6782
15,0,8,132104,URMA_WRITE,7,0ns,15,,0.0,37.00238,0.0,0.0,28.5612
16,1,0,132105,URMA_WRITE,7,0ns,16,,0.0,2.74124,0.0,0.0,385.5336
17,1,2,132105,URMA_WRITE,7,0ns,17,,0.0,2.74124,0.0,0.0,385.5336
18,1,127,132105,URMA_WRITE,7,0ns,18,,0.0,71.22198,0.0,0.0,14.8387
19,1,3,132105,URMA_WRITE,7,0ns,19,,0.0,2.74124,0.0,0.0,385.5336
20,1,126,132105,URMA_WRITE,7,0ns,20,,0.0,65.34348,0.0,0.0,16.1736
