taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,127,132105,URMA_WRITE,7,0ns,0,
1,0,1,132105,URMA_WRITE,7,0ns,1,
2,0,126,132105,URMA_WRITE,7,0ns,2,
3,0,2,132105,URMA_WRITE,7,0ns,3,
4,0,125,132105,URMA_WRITE,7,0ns,4,
5,0,3,132105,URMA_WRITE,7,0ns,5,
6,0,124,132105,URMA_WRITE,7,0ns,6,
7,0,4,132105,URMA_WRITE,7,0ns,7,
8,0,123,132104,URMA_WRITE,7,0ns,8,
9,0,5,132104,URMA_WRITE,7,0ns,9,
10,0,122,132104,URMA_WRITE,7,0ns,10,
11,0,6,132104,URMA_WRITE,7,0ns,11,
12,0,121,132104,URMA_WRITE,7,0ns,12,
13,0,7,132104,URMA_WRITE,7,0ns,13,
14,0,120,132104,URMA_WRITE,7,0ns,14,
15,0,8,132104,URMA_WRITE,7,0ns,15,
16,1,0,132105,URMA_WRITE,7,0ns,16,
17,1,2,132105,URMA_WRITE,7,0ns,17,
18,1,127,132105,URMA_WRITE,7,0ns,18,
19,1,3,132105,URMA_WRITE,7,0ns,19,
20,1,126,132105,URMA_WRITE,7,0ns,20,
21,1,4,132105,URMA_WRITE,7,0ns,21,
22,1,125,132105,URMA_WRITE,7,0ns,22,
23,1,5,132105,URMA_WRITE,7,0ns,23,
24,1,124,132104,URMA_WRITE,7,0ns,24,
25,1,6,132104,URMA_WRITE,7,0ns,25,
26,1,123,132104,URMA_WRITE,7,0ns,26,
27,1,7,132104,URMA_WRITE,7,0ns,27,
28,1,122,132104,URMA_WRITE,7,0ns,28,
29,1,8,132104,URMA_WRITE,7,0ns,29,
30,1,121,132104,URMA_WRITE,7,0ns,30,
31,1,9,132104,URMA_WRITE,7,0ns,31,
32,2,1,132105,URMA_WRITE,7,0ns,32,
33,2,3,132105,URMA_WRITE,7,0ns,33,
34,2,0,132105,URMA_WRITE,7,0ns,34,
35,2,4,132105,URMA_WRITE,7,0ns,35,
36,2,127,132105,URMA_WRITE,7,0ns,36,
37,2,5,132105,URMA_WRITE,7,0ns,37,
38,2,126,132105,URMA_WRITE,7,0ns,38,
39,2,6,132105,URMA_WRITE,7,0ns,39,
40,2,125,132104,URMA_WRITE,7,0ns,40,
41,2,7,132104,URMA_WRITE,7,0ns,41,
42,2,124,132104,URMA_WRITE,7,0ns,42,
43,2,8,132104,URMA_WRITE,7,0ns,43,
44,2,123,132104,URMA_WRITE,7,0ns,44,
45,2,9,132104,URMA_WRITE,7,0ns,45,
46,2,122,132104,URMA_WRITE,7,0ns,46,
47,2,10,132104,URMA_WRITE,7,0ns,47,
48,3,2,132105,URMA_WRITE,7,0ns,48,
49,3,4,132105,URMA_WRITE,7,0ns,49,
50,3,1,132105,URMA_WRITE,7,0ns,50,
51,3,5,132105,URMA_WRITE,7,0ns,51,
52,3,0,132105,URMA_WRITE,7,0ns,52,
53,3,6,132105,URMA_WRITE,7,0ns,53,
54,3,127,132105,URMA_WRITE,7,0ns,54,
55,3,7,132105,URMA_WRITE,7,0ns,55,
56,3,126,132104,URMA_WRITE,7,0ns,56,
57,3,8,132104,URMA_WRITE,7,0ns,57,
58,3,125,132104,URMA_WRITE,7,0ns,58,
59,3,9,132104,URMA_WRITE,7,0ns,59,
60,3,124,132104,URMA_WRITE,7,0ns,60,
61,3,10,132104,URMA_WRITE,7,0ns,61,
62,3,123,132104,URMA_WRITE,7,0ns,62,
63,3,11,132104,URMA_WRITE,7,0ns,63,
64,4,3,132105,URMA_WRITE,7,0ns,64,
65,4,5,132105,URMA_WRITE,7,0ns,65,
66,4,2,132105,URMA_WRITE,7,0ns,66,
67,4,6,132105,URMA_WRITE,7,0ns,67,
68,4,1,132105,URMA_WRITE,7,0ns,68,
69,4,7,132105,URMA_WRITE,7,0ns,69,
70,4,0,132105,URMA_WRITE,7,0ns,70,
