nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,128,0,400Gbps,1ns
0,1,144,0,400Gbps,1ns
0,2,160,0,400Gbps,1ns
0,3,176,0,400Gbps,1ns
0,4,192,0,400Gbps,1ns
0,5,208,0,400Gbps,1ns
0,6,224,0,400Gbps,1ns
0,7,240,0,400Gbps,1ns
1,0,128,1,400Gbps,1ns
1,1,144,1,400Gbps,1ns
1,2,160,1,400Gbps,1ns
1,3,176,1,400Gbps,1ns
1,4,192,1,400Gbps,1ns
1,5,208,1,400Gbps,1ns
1,6,224,1,400Gbps,1ns
1,7,240,1,400Gbps,1ns
2,0,128,2,400Gbps,1ns
2,1,144,2,400Gbps,1ns
2,2,160,2,400Gbps,1ns
2,3,176,2,400Gbps,1ns
2,4,192,2,400Gbps,1ns
2,5,208,2,400Gbps,1ns
2,6,224,2,400Gbps,1ns
2,7,240,2,400Gbps,1ns
3,0,128,3,400Gbps,1ns
3,1,144,3,400Gbps,1ns
3,2,160,3,400Gbps,1ns
3,3,176,3,400Gbps,1ns
3,4,192,3,400Gbps,1ns
3,5,208,3,400Gbps,1ns
3,6,224,3,400Gbps,1ns
3,7,240,3,400Gbps,1ns
4,0,128,4,400Gbps,1ns
4,1,144,4,400Gbps,1ns
4,2,160,4,400Gbps,1ns
4,3,176,4,400Gbps,1ns
4,4,192,4,400Gbps,1ns
4,5,208,4,400Gbps,1ns
4,6,224,4,400Gbps,1ns
4,7,240,4,400Gbps,1ns
5,0,128,5,400Gbps,1ns
5,1,144,5,400Gbps,1ns
5,2,160,5,400Gbps,1ns
5,3,176,5,400Gbps,1ns
5,4,192,5,400Gbps,1ns
5,5,208,5,400Gbps,1ns
5,6,224,5,400Gbps,1ns
5,7,240,5,400Gbps,1ns
6,0,128,6,400Gbps,1ns
6,1,144,6,400Gbps,1ns
6,2,160,6,400Gbps,1ns
6,3,176,6,400Gbps,1ns
6,4,192,6,400Gbps,1ns
6,5,208,6,400Gbps,1ns
6,6,224,6,400Gbps,1ns
6,7,240,6,400Gbps,1ns
7,0,128,7,400Gbps,1ns
7,1,144,7,400Gbps,1ns
7,2,160,7,400Gbps,1ns
7,3,176,7,400Gbps,1ns
7,4,192,7,400Gbps,1ns
7,5,208,7,400Gbps,1ns
7,6,224,7,400Gbps,1ns
7,7,240,7,400Gbps,1ns
8,0,129,0,400Gbps,1ns
8,1,145,0,400Gbps,1ns
8,2,161,0,400Gbps,1ns
8,3,177,0,400Gbps,1ns
8,4,193,0,400Gbps,1ns
8,5,209,0,400Gbps,1ns
8,6,225,0,400Gbps,1ns
8,7,241,0,400Gbps,1ns
9,0,129,1,400Gbps,1ns
9,1,145,1,400Gbps,1ns
9,2,161,1,400Gbps,1ns
9,3,177,1,400Gbps,1ns
9,4,193,1,400Gbps,1ns
9,5,209,1,400Gbps,1ns
9,6,225,1,400Gbps,1ns
9,7,241,1,400Gbps,1ns
10,0,129,2,400Gbps,1ns
10,1,145,2,400Gbps,1ns
10,2,161,2,400Gbps,1ns
10,3,177,2,400Gbps,1ns
10,4,193,2,400Gbps,1ns
10,5,209,2,400Gbps,1ns
10,6,225,2,400Gbps,1ns
10,7,241,2,400Gbps,1ns
11,0,129,3,400Gbps,1ns
11,1,145,3,400Gbps,1ns
11,2,161,3,400Gbps,1ns
11,3,177,3,400Gbps,1ns
11,4,193,3,400Gbps,1ns
11,5,209,3,400Gbps,1ns
11,6,225,3,400Gbps,1ns
11,7,241,3,400Gbps,1ns
12,0,129,4,400Gbps,1ns
12,1,145,4,400Gbps,1ns
12,2,161,4,400Gbps,1ns
12,3,177,4,400Gbps,1ns
12,4,193,4,400Gbps,1ns
12,5,209,4,400Gbps,1ns
12,6,225,4,400Gbps,1ns
12,7,241,4,400Gbps,1ns
13,0,129,5,400Gbps,1ns
13,1,145,5,400Gbps,1ns
13,2,161,5,400Gbps,1ns
13,3,177,5,400Gbps,1ns
13,4,193,5,400Gbps,1ns
13,5,209,5,400Gbps,1ns
13,6,225,5,400Gbps,1ns
13,7,241,5,400Gbps,1ns
14,0,129,6,400Gbps,1ns
14,1,145,6,400Gbps,1ns
14,2,161,6,400Gbps,1ns
14,3,177,6,400Gbps,1ns
14,4,193,6,400Gbps,1ns
14,5,209,6,400Gbps,1ns
14,6,225,6,400Gbps,1ns
14,7,241,6,400Gbps,1ns
15,0,129,7,400Gbps,1ns
15,1,145,7,400Gbps,1ns
15,2,161,7,400Gbps,1ns
15,3,177,7,400Gbps,1ns
15,4,193,7,400Gbps,1ns
15,5,209,7,400Gbps,1ns
15,6,225,7,400Gbps,1ns
15,7,241,7,400Gbps,1ns
16,0,130,0,400Gbps,1ns
16,1,146,0,400Gbps,1ns
16,2,162,0,400Gbps,1ns
16,3,178,0,400Gbps,1ns
16,4,194,0,400Gbps,1ns
16,5,210,0,400Gbps,1ns
16,6,226,0,400Gbps,1ns
16,7,242,0,400Gbps,1ns
17,0,130,1,400Gbps,1ns
17,1,146,1,400Gbps,1ns
17,2,162,1,400Gbps,1ns
17,3,178,1,400Gbps,1ns
17,4,194,1,400Gbps,1ns
17,5,210,1,400Gbps,1ns
17,6,226,1,400Gbps,1ns
17,7,242,1,400Gbps,1ns
18,0,130,2,400Gbps,1ns
18,1,146,2,400Gbps,1ns
18,2,162,2,400Gbps,1ns
18,3,178,2,400Gbps,1ns
18,4,194,2,400Gbps,1ns
18,5,210,2,400Gbps,1ns
18,6,226,2,400Gbps,1ns
18,7,242,2,400Gbps,1ns
19,0,130,3,400Gbps,1ns
19,1,146,3,400Gbps,1ns
19,2,162,3,400Gbps,1ns
19,3,178,3,400Gbps,1ns
19,4,194,3,400Gbps,1ns
19,5,210,3,400Gbps,1ns
19,6,226,3,400Gbps,1ns
19,7,242,3,400Gbps,1ns
20,0,130,4,400Gbps,1ns
20,1,146,4,400Gbps,1ns
20,2,162,4,400Gbps,1ns
20,3,178,4,400Gbps,1ns
20,4,194,4,400Gbps,1ns
20,5,210,4,400Gbps,1ns
20,6,226,4,400Gbps,1ns
20,7,242,4,400Gbps,1ns
21,0,130,5,400Gbps,1ns
21,1,146,5,400Gbps,1ns
21,2,162,5,400Gbps,1ns
21,3,178,5,400Gbps,1ns
21,4,194,5,400Gbps,1ns
21,5,210,5,400Gbps,1ns
21,6,226,5,400Gbps,1ns
21,7,242,5,400Gbps,1ns
22,0,130,6,400Gbps,1ns
22,1,146,6,400Gbps,1ns
22,2,162,6,400Gbps,1ns
22,3,178,6,400Gbps,1ns
22,4,194,6,400Gbps,1ns
22,5,210,6,400Gbps,1ns
22,6,226,6,400Gbps,1ns
22,7,242,6,400Gbps,1ns
23,0,130,7,400Gbps,1ns
23,1,146,7,400Gbps,1ns
23,2,162,7,400Gbps,1ns
23,3,178,7,400Gbps,1ns
23,4,194,7,400Gbps,1ns
23,5,210,7,400Gbps,1ns
23,6,226,7,400Gbps,1ns
23,7,242,7,400Gbps,1ns
24,0,131,0,400Gbps,1ns
24,1,147,0,400Gbps,1ns
24,2,163,0,400Gbps,1ns
24,3,179,0,400Gbps,1ns
24,4,195,0,400Gbps,1ns
24,5,211,0,400Gbps,1ns
24,6,227,0,400Gbps,1ns
24,7,243,0,400Gbps,1ns
25,0,131,1,400Gbps,1ns
25,1,147,1,400Gbps,1ns
25,2,163,1,400Gbps,1ns
25,3,179,1,400Gbps,1ns
25,4,195,1,400Gbps,1ns
25,5,211,1,400Gbps,1ns
25,6,227,1,400Gbps,1ns
25,7,243,1,400Gbps,1ns
