taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,132105,URMA_WRITE,7,0ns,0,
1,1,2,132105,URMA_WRITE,7,0ns,1,
2,2,3,132105,URMA_WRITE,7,0ns,2,
3,3,4,132105,URMA_WRITE,7,0ns,3,
4,4,5,132105,URMA_WRITE,7,0ns,4,
5,5,6,132105,URMA_WRITE,7,0ns,5,
6,6,7,132105,URMA_WRITE,7,0ns,6,
7,7,0,132105,URMA_WRITE,7,0ns,7,
8,8,9,132104,URMA_WRITE,7,0ns,8,
9,9,10,132104,URMA_WRITE,7,0ns,9,
10,10,11,132104,URMA_WRITE,7,0ns,10,
11,11,12,132104,URMA_WRITE,7,0ns,11,
12,12,13,132104,URMA_WRITE,7,0ns,12,
13,13,14,132104,URMA_WRITE,7,0ns,13,
14,14,15,132104,URMA_WRITE,7,0ns,14,
15,15,8,132104,URMA_WRITE,7,0ns,15,
16,16,17,132104,URMA_WRITE,7,0ns,16,
17,17,18,132104,URMA_WRITE,7,0ns,17,
18,18,19,132104,URMA_WRITE,7,0ns,18,
19,19,20,132104,URMA_WRITE,7,0ns,19,
20,20,21,132104,URMA_WRITE,7,0ns,20,
21,21,22,132104,URMA_WRITE,7,0ns,21,
22,22,23,132104,URMA_WRITE,7,0ns,22,
23,23,16,132104,URMA_WRITE,7,0ns,23,
24,24,25,132104,URMA_WRITE,7,0ns,24,
25,25,26,132104,URMA_WRITE,7,0ns,25,
26,26,27,132104,URMA_WRITE,7,0ns,26,
27,27,28,132104,URMA_WRITE,7,0ns,27,
28,28,29,132104,URMA_WRITE,7,0ns,28,
29,29,30,132104,URMA_WRITE,7,0ns,29,
30,30,31,132104,URMA_WRITE,7,0ns,30,
31,31,24,132104,URMA_WRITE,7,0ns,31,
32,32,33,132104,URMA_WRITE,7,0ns,32,
33,33,34,132104,URMA_WRITE,7,0ns,33,
34,34,35,132104,URMA_WRITE,7,0ns,34,
35,35,36,132104,URMA_WRITE,7,0ns,35,
36,36,37,132104,URMA_WRITE,7,0ns,36,
37,37,38,132104,URMA_WRITE,7,0ns,37,
38,38,39,132104,URMA_WRITE,7,0ns,38,
39,39,32,132104,URMA_WRITE,7,0ns,39,
40,40,41,132104,URMA_WRITE,7,0ns,40,
41,41,42,132104,URMA_WRITE,7,0ns,41,
42,42,43,132104,URMA_WRITE,7,0ns,42,
43,43,44,132104,URMA_WRITE,7,0ns,43,
44,44,45,132104,URMA_WRITE,7,0ns,44,
45,45,46,132104,URMA_WRITE,7,0ns,45,
46,46,47,132104,URMA_WRITE,7,0ns,46,
47,47,40,132104,URMA_WRITE,7,0ns,47,
48,48,49,132104,URMA_WRITE,7,0ns,48,
49,49,50,132104,URMA_WRITE,7,0ns,49,
50,50,51,132104,URMA_WRITE,7,0ns,50,
51,51,52,132104,URMA_WRITE,7,0ns,51,
52,52,53,132104,URMA_WRITE,7,0ns,52,
53,53,54,132104,URMA_WRITE,7,0ns,53,
54,54,55,132104,URMA_WRITE,7,0ns,54,
55,55,48,132104,URMA_WRITE,7,0ns,55,
56,56,57,132104,URMA_WRITE,7,0ns,56,
57,57,58,132104,URMA_WRITE,7,0ns,57,
58,58,59,132104,URMA_WRITE,7,0ns,58,
59,59,60,132104,URMA_WRITE,7,0ns,59,
60,60,61,132104,URMA_WRITE,7,0ns,60,
61,61,62,132104,URMA_WRITE,7,0ns,61,
62,62,63,132104,URMA_WRITE,7,0ns,62,
63,63,56,132104,URMA_WRITE,7,0ns,63,
64,64,65,132104,URMA_WRITE,7,0ns,64,
65,65,66,132104,URMA_WRITE,7,0ns,65,
66,66,67,132104,URMA_WRITE,7,0ns,66,
67,67,68,132104,URMA_WRITE,7,0ns,67,
68,68,69,132104,URMA_WRITE,7,0ns,68,
69,69,70,132104,URMA_WRITE,7,0ns,69,
70,70,71,132104,URMA_WRITE,7,0ns,70,
71,71,64,132104,URMA_WRITE,7,0ns,71,
72,72,73,132104,URMA_WRITE,7,0ns,72,
73,73,74,132104,URMA_WRITE,7,0ns,73,
74,74,75,132104,URMA_WRITE,7,0ns,74,
75,75,76,132104,URMA_WRITE,7,0ns,75,
76,76,77,132104,URMA_WRITE,7,0ns,76,
77,77,78,132104,URMA_WRITE,7,0ns,77,
78,78,79,132104,URMA_WRITE,7,0ns,78,
79,79,72,132104,URMA_WRITE,7,0ns,79,
80,80,81,132104,URMA_WRITE,7,0ns,80,
81,81,82,132104,URMA_WRITE,7,0ns,81,
82,82,83,132104,URMA_WRITE,7,0ns,82,
83,83,84,132104,URMA_WRITE,7,0ns,83,
84,84,85,132104,URMA_WRITE,7,0ns,84,
85,85,86,132104,URMA_WRITE,7,0ns,85,
86,86,87,132104,URMA_WRITE,7,0ns,86,
87,87,80,132104,URMA_WRITE,7,0ns,87,
88,88,89,132104,URMA_WRITE,7,0ns,88,
89,89,90,132104,URMA_WRITE,7,0ns,89,
90,90,91,132104,URMA_WRITE,7,0ns,90,
91,91,92,132104,URMA_WRITE,7,0ns,91,
92,92,93,132104,URMA_WRITE,7,0ns,92,
93,93,94,132104,URMA_WRITE,7,0ns,93,
94,94,95,132104,URMA_WRITE,7,0ns,94,
95,95,88,132104,URMA_WRITE,7,0ns,95,
96,96,97,132104,URMA_WRITE,7,0ns,96,
97,97,98,132104,URMA_WRITE,7,0ns,97,
98,98,99,132104,URMA_WRITE,7,0ns,98,
99,99,100,132104,URMA_WRITE,7,0ns,99,
100,100,101,132104,URMA_WRITE,7,0ns,100,
101,101,102,132104,URMA_WRITE,7,0ns,101,
102,102,103,132104,URMA_WRITE,7,0ns,102,
103,103,96,132104,URMA_WRITE,7,0ns,103,
104,104,105,132104,URMA_WRITE,7,0ns,104,
105,105,106,132104,URMA_WRITE,7,0ns,105,
106,106,107,132104,URMA_WRITE,7,0ns,106,
107,107,108,132104,URMA_WRITE,7,0ns,107,
108,108,109,132104,URMA_WRITE,7,0ns,108,
109,109,110,132104,URMA_WRITE,7,0ns,109,
110,110,111,132104,URMA_WRITE,7,0ns,110,
111,111,104,132104,URMA_WRITE,7,0ns,111,
112,112,113,132104,URMA_WRITE,7,0ns,112,
113,113,114,132104,URMA_WRITE,7,0ns,113,
114,114,115,132104,URMA_WRITE,7,0ns,114,
115,115,116,132104,URMA_WRITE,7,0ns,115,
116,116,117,132104,URMA_WRITE,7,0ns,116,
117,117,118,132104,URMA_WRITE,7,0ns,117,
118,118,119,132104,URMA_WRITE,7,0ns,118,
119,119,112,132104,URMA_WRITE,7,0ns,119,
120,120,121,132104,URMA_WRITE,7,0ns,120,
121,121,122,132104,URMA_WRITE,7,0ns,121,
122,122,123,132104,URMA_WRITE,7,0ns,122,
123,123,124,132104,URMA_WRITE,7,0ns,123,
124,124,125,132104,URMA_WRITE,7,0ns,124,
125,125,126,132104,URMA_WRITE,7,0ns,125,
126,126,127,132104,URMA_WRITE,7,0ns,126,
127,127,120,132104,URMA_WRITE,7,0ns,127,
128,0,2,132105,URMA_WRITE,7,0ns,128,
129,1,3,132105,URMA_WRITE,7,0ns,129,
130,2,4,132105,URMA_WRITE,7,0ns,130,
131,3,5,132105,URMA_WRITE,7,0ns,131,
132,4,6,132105,URMA_WRITE,7,0ns,132,
133,5,7,132105,URMA_WRITE,7,0ns,133,
134,6,0,132105,URMA_WRITE,7,0ns,134,
135,7,1,132105,URMA_WRITE,7,0ns,135,
136,8,10,132104,URMA_WRITE,7,0ns,136,
137,9,11,132104,URMA_WRITE,7,0ns,137,
138,10,12,132104,URMA_WRITE,7,0ns,138,
139,11,13,132104,URMA_WRITE,7,0ns,139,
140,12,14,132104,URMA_WRITE,7,0ns,140,
141,13,15,132104,URMA_WRITE,7,0ns,141,
142,14,8,132104,URMA_WRITE,7,0ns,142,
143,15,9,132104,URMA_WRITE,7,0ns,143,
144,16,18,132104,URMA_WRITE,7,0ns,144,
145,17,19,132104,URMA_WRITE,7,0ns,145,
146,18,20,132104,URMA_WRITE,7,0ns,146,
147,19,21,132104,URMA_WRITE,7,0ns,147,
148,20,22,132104,URMA_WRITE,7,0ns,148,
149,21,23,132104,URMA_WRITE,7,0ns,149,
150,22,16,132104,URMA_WRITE,7,0ns,150,
151,23,17,132104,URMA_WRITE,7,0ns,151,
152,24,26,132104,URMA_WRITE,7,0ns,152,
153,25,27,132104,URMA_WRITE,7,0ns,153,
154,26,28,132104,URMA_WRITE,7,0ns,154,
155,27,29,132104,URMA_WRITE,7,0ns,155,
156,28,30,132104,URMA_WRITE,7,0ns,156,
157,29,31,132104,URMA_WRITE,7,0ns,157,
158,30,24,132104,URMA_WRITE,7,0ns,158,
159,31,25,132104,URMA_WRITE,7,0ns,159,
160,32,34,132104,URMA_WRITE,7,0ns,160,
161,33,35,132104,URMA_WRITE,7,0ns,161,
162,34,36,132104,URMA_WRITE,7,0ns,162,
163,35,37,132104,URMA_WRITE,7,0ns,163,
164,36,38,132104,URMA_WRITE,7,0ns,164,
165,37,39,132104,URMA_WRITE,7,0ns,165,
166,38,32,132104,URMA_WRITE,7,0ns,166,
167,39,33,132104,URMA_WRITE,7,0ns,167,
168,40,42,132104,URMA_WRITE,7,0ns,168,
169,41,43,132104,URMA_WRITE,7,0ns,169,
170,42,44,132104,URMA_WRITE,7,0ns,170,
171,43,45,132104,URMA_WRITE,7,0ns,171,
172,44,46,132104,URMA_WRITE,7,0ns,172,
173,45,47,132104,URMA_WRITE,7,0ns,173,
174,46,40,132104,URMA_WRITE,7,0ns,174,
175,47,41,132104,URMA_WRITE,7,0ns,175,
176,48,50,132104,URMA_WRITE,7,0ns,176,
177,49,51,132104,URMA_WRITE,7,0ns,177,
178,50,52,132104,URMA_WRITE,7,0ns,178,
179,51,53,132104,URMA_WRITE,7,0ns,179,
180,52,54,132104,URMA_WRITE,7,0ns,180,
181,53,55,132104,URMA_WRITE,7,0ns,181,
182,54,48,132104,URMA_WRITE,7,0ns,182,
183,55,49,132104,URMA_WRITE,7,0ns,183,
184,56,58,132104,URMA_WRITE,7,0ns,184,
185,57,59,132104,URMA_WRITE,7,0ns,185,
186,58,60,132104,URMA_WRITE,7,0ns,186,
187,59,61,132104,URMA_WRITE,7,0ns,187,
188,60,62,132104,URMA_WRITE,7,0ns,188,
189,61,63,132104,URMA_WRITE,7,0ns,189,
190,62,56,132104,URMA_WRITE,7,0ns,190,
191,63,57,132104,URMA_WRITE,7,0ns,191,
192,64,66,132104,URMA_WRITE,7,0ns,192,
193,65,67,132104,URMA_WRITE,7,0ns,193,
194,66,68,132104,URMA_WRITE,7,0ns,194,
195,67,69,132104,URMA_WRITE,7,0ns,195,
196,68,70,132104,URMA_WRITE,7,0ns,196,
197,69,71,132104,URMA_WRITE,7,0ns,197,
198,70,64,132104,URMA_WRITE,7,0ns,198,
199,71,65,132104,URMA_WRITE,7,0ns,199,
200,72,74,132104,URMA_WRITE,7,0ns,200,
201,73,75,132104,URMA_WRITE,7,0ns,201,
202,74,76,132104,URMA_WRITE,7,0ns,202,
203,75,77,132104,URMA_WRITE,7,0ns,203,
204,76,78,132104,URMA_WRITE,7,0ns,204,
205,77,79,132104,URMA_WRITE,7,0ns,205,
206,78,72,132104,URMA_WRITE,7,0ns,206,
207,79,73,132104,URMA_WRITE,7,0ns,207,
208,80,82,132104,URMA_WRITE,7,0ns,208,
209,81,83,132104,URMA_WRITE,7,0ns,209,
210,82,84,132104,URMA_WRITE,7,0ns,210,
211,83,85,132104,URMA_WRITE,7,0ns,211,
212,84,86,132104,URMA_WRITE,7,0ns,212,
213,85,87,132104,URMA_WRITE,7,0ns,213,
214,86,80,132104,URMA_WRITE,7,0ns,214,
215,87,81,132104,URMA_WRITE,7,0ns,215,
216,88,90,132104,URMA_WRITE,7,0ns,216,
217,89,91,132104,URMA_WRITE,7,0ns,217,
218,90,92,132104,URMA_WRITE,7,0ns,218,
219,91,93,132104,URMA_WRITE,7,0ns,219,
