taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,528417,URMA_WRITE,7,0ns,0,,0.0,10.96008,0.0,0.0,385.703
1,1,2,528417,URMA_WRITE,7,0ns,1,,0.0,10.96008,0.0,0.0,385.703
2,2,3,528417,URMA_WRITE,7,0ns,2,,0.0,10.96008,0.0,0.0,385.703
3,3,4,528417,URMA_WRITE,7,0ns,3,,0.0,10.96008,0.0,0.0,385.703
4,4,5,528417,URMA_WRITE,7,0ns,4,,0.0,10.96008,0.0,0.0,385.703
5,5,6,528417,URMA_WRITE,7,0ns,5,,0.0,10.96008,0.0,0.0,385.703
6,6,7,528417,URMA_WRITE,7,0ns,6,,0.0,10.96008,0.0,0.0,385.703
7,7,0,528417,URMA_WRITE,7,0ns,7,,0.0,10.96008,0.0,0.0,385.703
8,8,9,528417,URMA_WRITE,7,0ns,8,,0.0,10.96008,0.0,0.0,385.703
9,9,10,528417,URMA_WRITE,7,0ns,9,,0.0,10.96008,0.0,0.0,385.703
10,10,11,528417,URMA_WRITE,7,0ns,10,,0.0,10.96008,0.0,0.0,385.703
11,11,12,528417,URMA_WRITE,7,0ns,11,,0.0,10.96008,0.0,0.0,385.703
12,12,13,528417,URMA_WRITE,7,0ns,12,,0.0,10.96008,0.0,0.0,385.703
13,13,14,528417,URMA_WRITE,7,0ns,13,,0.0,10.96008,0.0,0.0,385.703
14,14,15,528417,URMA_WRITE,7,0ns,14,,0.0,10.96008,0.0,0.0,385.703
15,15,8,528417,URMA_WRITE,7,0ns,15,,0.0,10.96008,0.0,0.0,385.703
16,16,17,528417,URMA_WRITE,7,0ns,16,,0.0,10.96008,0.0,0.0,385.703
17,17,18,528417,URMA_WRITE,7,0ns,17,,0.0,10.96008,0.0,0.0,385.703
18,18,19,528417,URMA_WRITE,7,0ns,18,,0.0,10.96008,0.0,0.0,385.703
19,19,20,528417,URMA_WRITE,7,0ns,19,,0.0,10.96008,0.0,0.0,385.703
