taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,63,17043522,URMA_WRITE,7,0ns,0,
1,0,1,17043521,URMA_WRITE,7,0ns,0,
2,0,62,17043521,URMA_WRITE,7,0ns,0,
3,0,2,17043521,URMA_WRITE,7,0ns,0,
4,0,61,17043521,URMA_WRITE,7,0ns,0,
5,0,3,17043521,URMA_WRITE,7,0ns,0,
6,0,60,17043521,URMA_WRITE,7,0ns,0,
7,0,4,17043521,URMA_WRITE,7,0ns,0,
8,0,59,17043521,URMA_WRITE,7,0ns,0,
9,0,5,17043521,URMA_WRITE,7,0ns,0,
10,0,58,17043521,URMA_WRITE,7,0ns,0,
11,0,6,17043521,URMA_WRITE,7,0ns,0,
12,0,57,17043521,URMA_WRITE,7,0ns,0,
13,0,7,17043521,URMA_WRITE,7,0ns,0,
14,0,56,17043521,URMA_WRITE,7,0ns,0,
15,0,8,17043521,URMA_WRITE,7,0ns,0,
16,1,0,17043522,URMA_WRITE,7,0ns,0,
17,1,2,17043521,URMA_WRITE,7,0ns,0,
18,1,63,17043521,URMA_WRITE,7,0ns,0,
19,1,3,17043521,URMA_WRITE,7,0ns,0,
20,1,62,17043521,URMA_WRITE,7,0ns,0,
21,1,4,17043521,URMA_WRITE,7,0ns,0,
22,1,61,17043521,URMA_WRITE,7,0ns,0,
23,1,5,17043521,URMA_WRITE,7,0ns,0,
24,1,60,17043521,URMA_WRITE,7,0ns,0,
25,1,6,17043521,URMA_WRITE,7,0ns,0,
26,1,59,17043521,URMA_WRITE,7,0ns,0,
27,1,7,17043521,URMA_WRITE,7,0ns,0,
28,1,58,17043521,URMA_WRITE,7,0ns,0,
29,1,8,17043521,URMA_WRITE,7,0ns,0,
30,1,57,17043521,URMA_WRITE,7,0ns,0,
31,1,9,17043521,URMA_WRITE,7,0ns,0,
32,2,1,17043522,URMA_WRITE,7,0ns,0,
33,2,3,17043521,URMA_WRITE,7,0ns,0,
34,2,0,17043521,URMA_WRITE,7,0ns,0,
35,2,4,17043521,URMA_WRITE,7,0ns,0,
36,2,63,17043521,URMA_WRITE,7,0ns,0,
37,2,5,17043521,URMA_WRITE,7,0ns,0,
38,2,62,17043521,URMA_WRITE,7,0ns,0,
39,2,6,17043521,URMA_WRITE,7,0ns,0,
40,2,61,17043521,URMA_WRITE,7,0ns,0,
41,2,7,17043521,URMA_WRITE,7,0ns,0,
42,2,60,17043521,URMA_WRITE,7,0ns,0,
43,2,8,17043521,URMA_WRITE,7,0ns,0,
44,2,59,17043521,URMA_WRITE,7,0ns,0,
45,2,9,17043521,URMA_WRITE,7,0ns,0,
46,2,58,17043521,URMA_WRITE,7,0ns,0,
47,2,10,17043521,URMA_WRITE,7,0ns,0,
48,3,2,17043522,URMA_WRITE,7,0ns,0,
49,3,4,17043521,URMA_WRITE,7,0ns,0,
50,3,1,17043521,URMA_WRITE,7,0ns,0,
51,3,5,17043521,URMA_WRITE,7,0ns,0,
52,3,0,17043521,URMA_WRITE,7,0ns,0,
53,3,6,17043521,URMA_WRITE,7,0ns,0,
54,3,63,17043521,URMA_WRITE,7,0ns,0,
55,3,7,17043521,URMA_WRITE,7,0ns,0,
56,3,62,17043521,URMA_WRITE,7,0ns,0,
57,3,8,17043521,URMA_WRITE,7,0ns,0,
58,3,61,17043521,URMA_WRITE,7,0ns,0,
59,3,9,17043521,URMA_WRITE,7,0ns,0,
60,3,60,17043521,URMA_WRITE,7,0ns,0,
61,3,10,17043521,URMA_WRITE,7,0ns,0,
62,3,59,17043521,URMA_WRITE,7,0ns,0,
63,3,11,17043521,URMA_WRITE,7,0ns,0,
64,4,3,17043522,URMA_WRITE,7,0ns,0,
65,4,5,17043521,URMA_WRITE,7,0ns,0,
66,4,2,17043521,URMA_WRITE,7,0ns,0,
67,4,6,17043521,URMA_WRITE,7,0ns,0,
68,4,1,17043521,URMA_WRITE,7,0ns,0,
69,4,7,17043521,URMA_WRITE,7,0ns,0,
70,4,0,17043521,URMA_WRITE,7,0ns,0,
71,4,8,17043521,URMA_WRITE,7,0ns,0,
72,4,63,17043521,URMA_WRITE,7,0ns,0,
73,4,9,17043521,URMA_WRITE,7,0ns,0,
74,4,62,17043521,URMA_WRITE,7,0ns,0,
75,4,10,17043521,URMA_WRITE,7,0ns,0,
76,4,61,17043521,URMA_WRITE,7,0ns,0,
77,4,11,17043521,URMA_WRITE,7,0ns,0,
78,4,60,17043521,URMA_WRITE,7,0ns,0,
79,4,12,17043521,URMA_WRITE,7,0ns,0,
80,5,4,17043522,URMA_WRITE,7,0ns,0,
81,5,6,17043521,URMA_WRITE,7,0ns,0,
82,5,3,17043521,URMA_WRITE,7,0ns,0,
83,5,7,17043521,URMA_WRITE,7,0ns,0,
84,5,2,17043521,URMA_WRITE,7,0ns,0,
85,5,8,17043521,URMA_WRITE,7,0ns,0,
86,5,1,17043521,URMA_WRITE,7,0ns,0,
87,5,9,17043521,URMA_WRITE,7,0ns,0,
88,5,0,17043521,URMA_WRITE,7,0ns,0,
89,5,10,17043521,URMA_WRITE,7,0ns,0,
90,5,63,17043521,URMA_WRITE,7,0ns,0,
91,5,11,17043521,URMA_WRITE,7,0ns,0,
92,5,62,17043521,URMA_WRITE,7,0ns,0,
93,5,12,17043521,URMA_WRITE,7,0ns,0,
94,5,61,17043521,URMA_WRITE,7,0ns,0,
95,5,13,17043521,URMA_WRITE,7,0ns,0,
96,6,5,17043522,URMA_WRITE,7,0ns,0,
97,6,7,17043521,URMA_WRITE,7,0ns,0,
98,6,4,17043521,URMA_WRITE,7,0ns,0,
99,6,8,17043521,URMA_WRITE,7,0ns,0,
100,6,3,17043521,URMA_WRITE,7,0ns,0,
101,6,9,17043521,URMA_WRITE,7,0ns,0,
