taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,63,4260881,URMA_WRITE,7,0ns,0,,0.0,138.0957,0.0,0.0,246.8364
1,0,1,4260881,URMA_WRITE,7,0ns,0,,0.0,91.00378,0.0,0.0,374.5674
2,0,62,4260881,URMA_WRITE,7,0ns,0,,0.0,138.86152,0.0,0.0,245.4751
3,0,2,4260881,URMA_WRITE,7,0ns,0,,0.0,90.63348,0.0,0.0,376.0978
4,0,61,4260881,URMA_WRITE,7,0ns,0,,0.0,138.8707,0.0,0.0,245.4589
5,0,3,4260881,URMA_WRITE,7,0ns,0,,0.0,92.30104,0.0,0.0,369.303
6,0,60,4260881,URMA_WRITE,7,0ns,0,,0.0,139.13106,0.0,0.0,244.9996
7,0,4,4260881,URMA_WRITE,7,0ns,0,,0.0,82.54446,0.0,0.0,412.9538
8,0,59,4260881,URMA_WRITE,7,0ns,0,,0.0,139.0451,0.0,0.0,245.151
9,0,5,4260881,URMA_WRITE,7,0ns,0,,0.0,92.18554,0.0,0.0,369.7657
10,0,58,4260881,URMA_WRITE,7,0ns,0,,0.0,139.13264,0.0,0.0,244.9968
11,0,6,4260881,URMA_WRITE,7,0ns,0,,0.0,96.0126,0.0,0.0,355.0268
12,0,57,4260881,URMA_WRITE,7,0ns,0,,0.0,139.13918,0.0,0.0,244.9853
13,0,7,4260881,URMA_WRITE,7,0ns,0,,0.0,106.6413,0.0,0.0,319.6421
14,0,56,4260881,URMA_WRITE,7,0ns,0,,0.0,138.4418,0.0,0.0,246.2193
15,0,8,4260881,URMA_WRITE,7,0ns,0,,0.0,140.58062,0.0,0.0,242.4733
16,1,0,4260881,URMA_WRITE,7,0ns,0,,0.0,91.93584,0.0,0.0,370.77
17,1,2,4260881,URMA_WRITE,7,0ns,0,,0.0,90.94986,0.0,0.0,374.7894
18,1,63,4260881,URMA_WRITE,7,0ns,0,,0.0,139.79598,0.0,0.0,243.8343
19,1,3,4260881,URMA_WRITE,7,0ns,0,,0.0,81.2476,0.0,0.0,419.5453
20,1,62,4260881,URMA_WRITE,7,0ns,0,,0.0,139.88352,0.0,0.0,243.6817
21,1,4,4260881,URMA_WRITE,7,0ns,0,,0.0,90.90702,0.0,0.0,374.9661
22,1,61,4260881,URMA_WRITE,7,0ns,0,,0.0,140.13926,0.0,0.0,243.237
23,1,5,4260881,URMA_WRITE,7,0ns,0,,0.0,92.87992,0.0,0.0,367.0013
24,1,60,4260881,URMA_WRITE,7,0ns,0,,0.0,140.22274,0.0,0.0,243.0922
25,1,6,4260881,URMA_WRITE,7,0ns,0,,0.0,86.80388,0.0,0.0,392.6904
26,1,59,4260881,URMA_WRITE,7,0ns,0,,0.0,139.97106,0.0,0.0,243.5293
27,1,7,4260881,URMA_WRITE,7,0ns,0,,0.0,106.494,0.0,0.0,320.0842
28,1,58,4260881,URMA_WRITE,7,0ns,0,,0.0,139.80004,0.0,0.0,243.8272
29,1,8,4260881,URMA_WRITE,7,0ns,0,,0.0,140.49714,0.0,0.0,242.6174
30,1,57,4260881,URMA_WRITE,7,0ns,0,,0.0,139.20366,0.0,0.0,244.8718
31,1,9,4260881,URMA_WRITE,7,0ns,0,,0.0,139.62124,0.0,0.0,244.1394
32,2,1,4260881,URMA_WRITE,7,0ns,0,,0.0,90.46494,0.0,0.0,376.7984
33,2,3,4260881,URMA_WRITE,7,0ns,0,,0.0,90.14176,0.0,0.0,378.1494
34,2,0,4260881,URMA_WRITE,7,0ns,0,,0.0,89.57558,0.0,0.0,380.5395
35,2,4,4260881,URMA_WRITE,7,0ns,0,,0.0,92.35948,0.0,0.0,369.0693
36,2,63,4260881,URMA_WRITE,7,0ns,0,,0.0,137.39638,0.0,0.0,248.0928
37,2,5,4260881,URMA_WRITE,7,0ns,0,,0.0,88.90354,0.0,0.0,383.4161
38,2,62,4260881,URMA_WRITE,7,0ns,0,,0.0,137.98094,0.0,0.0,247.0417
39,2,6,4260881,URMA_WRITE,7,0ns,0,,0.0,87.53028,0.0,0.0,389.4315
40,2,61,4260881,URMA_WRITE,7,0ns,0,,0.0,138.2037,0.0,0.0,246.6435
41,2,7,4260881,URMA_WRITE,7,0ns,0,,0.0,99.58488,0.0,0.0,342.2914
42,2,60,4260881,URMA_WRITE,7,0ns,0,,0.0,138.29406,0.0,0.0,246.4824
43,2,8,4260881,URMA_WRITE,7,0ns,0,,0.0,140.6694,0.0,0.0,242.3203
44,2,59,4260881,URMA_WRITE,7,0ns,0,,0.0,137.93826,0.0,0.0,247.1182
45,2,9,4260881,URMA_WRITE,7,0ns,0,,0.0,139.61798,0.0,0.0,244.1451
46,2,58,4260881,URMA_WRITE,7,0ns,0,,0.0,135.94406,0.0,0.0,250.7432
47,2,10,4260881,URMA_WRITE,7,0ns,0,,0.0,137.51646,0.0,0.0,247.8761
48,3,2,4260881,URMA_WRITE,7,0ns,0,,0.0,91.73334,0.0,0.0,371.5884
49,3,4,4260881,URMA_WRITE,7,0ns,0,,0.0,90.127,0.0,0.0,378.2113
50,3,1,4260881,URMA_WRITE,7,0ns,0,,0.0,82.18136,0.0,0.0,414.7783
51,3,5,4260881,URMA_WRITE,7,0ns,0,,0.0,87.48556,0.0,0.0,389.6306
52,3,0,4260881,URMA_WRITE,7,0ns,0,,0.0,89.0488,0.0,0.0,382.7906
53,3,6,4260881,URMA_WRITE,7,0ns,0,,0.0,88.07776,0.0,0.0,387.0108
54,3,63,4260881,URMA_WRITE,7,0ns,0,,0.0,138.0592,0.0,0.0,246.9017
55,3,7,4260881,URMA_WRITE,7,0ns,0,,0.0,99.79804,0.0,0.0,341.5603
56,3,62,4260881,URMA_WRITE,7,0ns,0,,0.0,138.31336,0.0,0.0,246.448
57,3,8,4260881,URMA_WRITE,7,0ns,0,,0.0,140.75364,0.0,0.0,242.1753
58,3,61,4260881,URMA_WRITE,7,0ns,0,,0.0,138.22988,0.0,0.0,246.5968
59,3,9,4260881,URMA_WRITE,7,0ns,0,,0.0,139.78866,0.0,0.0,243.847
60,3,60,4260881,URMA_WRITE,7,0ns,0,,0.0,137.79996,0.0,0.0,247.3662
61,3,10,4260881,URMA_WRITE,7,0ns,0,,0.0,137.5672,0.0,0.0,247.7847
62,3,59,4260881,URMA_WRITE,7,0ns,0,,0.0,138.44066,0.0,0.0,246.2214
63,3,11,4260881,URMA_WRITE,7,0ns,0,,0.0,139.93292,0.0,0.0,243.5956
64,4,3,4260881,URMA_WRITE,7,0ns,0,,0.0,88.64106,0.0,0.0,384.5514
65,4,5,4260881,URMA_WRITE,7,0ns,0,,0.0,88.7253,0.0,0.0,384.1863
66,4,2,4260881,URMA_WRITE,7,0ns,0,,0.0,92.0986,0.0,0.0,370.1147
67,4,6,4260881,URMA_WRITE,7,0ns,0,,0.0,91.8534,0.0,0.0,371.1027
68,4,1,4260881,URMA_WRITE,7,0ns,0,,0.0,92.94118,0.0,0.0,366.7594
69,4,7,4260881,URMA_WRITE,7,0ns,0,,0.0,99.75822,0.0,0.0,341.6966
70,4,0,4260881,URMA_WRITE,7,0ns,0,,0.0,83.55722,0.0,0.0,407.9486
71,4,8,4260881,URMA_WRITE,7,0ns,0,,0.0,140.45508,0.0,0.0,242.69
72,4,63,4260881,URMA_WRITE,7,0ns,0,,0.0,137.41568,0.0,0.0,248.0579
73,4,9,4260881,URMA_WRITE,7,0ns,0,,0.0,139.97062,0.0,0.0,243.53
74,4,62,4260881,URMA_WRITE,7,0ns,0,,0.0,138.066,0.0,0.0,246.8895
75,4,10,4260881,URMA_WRITE,7,0ns,0,,0.0,137.39652,0.0,0.0,248.0925
76,4,61,4260881,URMA_WRITE,7,0ns,0,,0.0,136.81756,0.0,0.0,249.1423
77,4,11,4260881,URMA_WRITE,7,0ns,0,,0.0,139.7648,0.0,0.0,243.8886
78,4,60,4260881,URMA_WRITE,7,0ns,0,,0.0,136.3952,0.0,0.0,249.9138
79,4,12,4260881,URMA_WRITE,7,0ns,0,,0.0,136.91954,0.0,0.0,248.9568
80,5,4,4260881,URMA_WRITE,7,0ns,0,,0.0,88.34118,0.0,0.0,385.8568
81,5,6,4260881,URMA_WRITE,7,0ns,0,,0.0,92.42724,0.0,0.0,368.7987
82,5,3,4260881,URMA_WRITE,7,0ns,0,,0.0,89.27602,0.0,0.0,381.8164
83,5,7,4260881,URMA_WRITE,7,0ns,0,,0.0,107.88946,0.0,0.0,315.9442
84,5,2,4260881,URMA_WRITE,7,0ns,0,,0.0,90.39904,0.0,0.0,377.0731
85,5,8,4260881,URMA_WRITE,7,0ns,0,,0.0,140.53756,0.0,0.0,242.5476
86,5,1,4260881,URMA_WRITE,7,0ns,0,,0.0,93.7303,0.0,0.0,363.6716
87,5,9,4260881,URMA_WRITE,7,0ns,0,,0.0,139.7027,0.0,0.0,243.9971
88,5,0,4260881,URMA_WRITE,7,0ns,0,,0.0,97.62586,0.0,0.0,349.16
89,5,10,4260881,URMA_WRITE,7,0ns,0,,0.0,137.74004,0.0,0.0,247.4738
90,5,63,4260881,URMA_WRITE,7,0ns,0,,0.0,136.8848,0.0,0.0,249.02
91,5,11,4260881,URMA_WRITE,7,0ns,0,,0.0,139.50816,0.0,0.0,244.3373
92,5,62,4260881,URMA_WRITE,7,0ns,0,,0.0,137.31028,0.0,0.0,248.2483
93,5,12,4260881,URMA_WRITE,7,0ns,0,,0.0,136.63176,0.0,0.0,249.4811
94,5,61,4260881,URMA_WRITE,7,0ns,0,,0.0,136.94446,0.0,0.0,248.9115
95,5,13,4260881,URMA_WRITE,7,0ns,0,,0.0,138.0283,0.0,0.0,246.957
96,6,5,4260881,URMA_WRITE,7,0ns,0,,0.0,91.25666,0.0,0.0,373.5294
97,6,7,4260881,URMA_WRITE,7,0ns,0,,0.0,108.36674,0.0,0.0,314.5527
98,6,4,4260881,URMA_WRITE,7,0ns,0,,0.0,92.11728,0.0,0.0,370.0397
99,6,8,4260881,URMA_WRITE,7,0ns,0,,0.0,137.90142,0.0,0.0,247.1842
100,6,3,4260881,URMA_WRITE,7,0ns,0,,0.0,89.78846,0.0,0.0,379.6373
101,6,9,4260881,URMA_WRITE,7,0ns,0,,0.0,139.2649,0.0,0.0,244.7641
102,6,2,4260881,URMA_WRITE,7,0ns,0,,0.0,87.08132,0.0,0.0,391.4393
103,6,10,4260881,URMA_WRITE,7,0ns,0,,0.0,137.6535,0.0,0.0,247.6294
104,6,1,4260881,URMA_WRITE,7,0ns,0,,0.0,89.78688,0.0,0.0,379.644
105,6,11,4260881,URMA_WRITE,7,0ns,0,,0.0,139.84952,0.0,0.0,243.7409
106,6,0,4260881,URMA_WRITE,7,0ns,0,,0.0,97.72116,0.0,0.0,348.8195
107,6,12,4260881,URMA_WRITE,7,0ns,0,,0.0,137.0959,0.0,0.0,248.6365
108,6,63,4260881,URMA_WRITE,7,0ns,0,,0.0,138.47738,0.0,0.0,246.1561
109,6,13,4260881,URMA_WRITE,7,0ns,0,,0.0,138.30208,0.0,0.0,246.4681
110,6,62,4260881,URMA_WRITE,7,0ns,0,,0.0,138.06126,0.0,0.0,246.898
111,6,14,4260881,URMA_WRITE,7,0ns,0,,0.0,138.31042,0.0,0.0,246.4532
112,7,6,4260881,URMA_WRITE,7,0ns,0,,0.0,107.03404,0.0,0.0,318.4692
113,7,8,4260881,URMA_WRITE,7,0ns,0,,0.0,139.89756,0.0,0.0,243.6572
