nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.17096,187.73294,8722198,372.02
0,0,Tx,0.001,187.73394,8608865,366.86
0,1,Rx,0.17096,188.4308,8708575,370.07
0,1,Tx,0.001,188.4318,8696374,369.21
0,2,Rx,0.17096,188.20338,8640506,367.62
0,2,Tx,0.001,188.1787,8677722,368.92
0,3,Rx,0.17096,188.59076,8589370,364.69
0,3,Tx,0.001,188.06636,8645547,367.77
0,4,Rx,0.17096,187.4259,8592053,367.07
0,4,Tx,0.001,187.02214,8660225,370.45
0,5,Rx,0.17096,188.86714,8673148,367.71
0,5,Tx,0.001,187.8807,8676580,369.45
0,6,Rx,0.17096,187.71424,8657721,369.31
0,6,Tx,0.001,187.09964,8608735,368.09
0,7,Rx,0.17096,188.32706,8323469,353.9
0,7,Tx,0.001,188.21672,8360954,355.38
0,8,Rx,0.08548,1.36228,63743,399.39
0,8,Tx,0.001,1.36004,67855,399.43
0,9,Rx,0.08548,1.36228,63743,399.39
0,9,Tx,0.001,1.36004,67855,399.43
0,10,Rx,0.08548,1.36228,63743,399.39
0,10,Tx,0.001,1.36004,67855,399.43
0,11,Rx,0.08548,1.36228,63743,399.39
0,11,Tx,0.001,1.36004,67855,399.43
0,12,Rx,0.08548,1.36228,63743,399.39
0,12,Tx,0.001,1.36004,67855,399.43
0,13,Rx,0.08548,1.36228,63743,399.39
0,13,Tx,0.001,1.36004,67855,399.43
0,14,Rx,0.08548,1.36228,63743,399.39
0,14,Tx,0.001,1.36004,67855,399.43
1,0,Rx,0.17096,188.10836,8742056,372.13
1,0,Tx,0.001,188.10936,8642703,367.56
1,1,Rx,0.17096,188.52266,8642890,367.1
1,1,Tx,0.001,188.22216,8647582,367.55
1,2,Rx,0.17096,188.11652,8603163,366.2
1,2,Tx,0.001,188.11752,8622432,366.68
1,3,Rx,0.17096,189.17936,8659197,366.51
1,3,Tx,0.001,188.27814,8663991,368.14
1,4,Rx,0.17096,187.87866,8639988,368.23
1,4,Tx,0.001,187.87966,8680906,369.64
1,5,Rx,0.17096,188.95442,8605616,364.68
1,5,Tx,0.001,188.06174,8745846,372.04
1,6,Rx,0.17096,187.82844,8606789,366.91
1,6,Tx,0.001,187.82944,8680066,369.7
1,7,Rx,0.17096,187.99596,8404095,357.95
1,7,Tx,0.001,187.99696,8249204,351.04
1,8,Rx,0.08548,1.36228,63743,399.39
1,8,Tx,0.001,1.36004,67855,399.43
1,9,Rx,0.08548,1.36228,63743,399.39
1,9,Tx,0.001,1.36004,67855,399.43
1,10,Rx,0.08548,1.36228,63743,399.39
1,10,Tx,0.001,1.36004,67855,399.43
1,11,Rx,0.08548,1.36228,63743,399.39
1,11,Tx,0.001,1.36004,67855,399.43
1,12,Rx,0.08548,1.36228,63743,399.39
1,12,Tx,0.001,1.36004,67855,399.43
1,13,Rx,0.08548,1.36228,63743,399.39
1,13,Tx,0.001,1.36004,67855,399.43
1,14,Rx,0.08548,1.36228,63743,399.39
1,14,Tx,0.001,1.36004,67855,399.43
2,0,Rx,0.25444,188.0029,8676062,369.69
2,0,Tx,0.001,187.65908,8681414,370.09
2,1,Rx,0.25444,188.24944,8642101,367.76
2,1,Tx,0.001,188.23804,8665174,368.27
2,2,Rx,0.25444,188.18744,8690752,369.95
2,2,Tx,0.001,187.67202,8711035,371.33
2,3,Rx,0.25444,188.62606,8658949,367.74
2,3,Tx,0.001,188.15134,8666617,368.5
2,4,Rx,0.25444,187.61718,8623246,368.19
2,4,Tx,0.001,187.54266,8576617,365.85
2,5,Rx,0.25444,188.75872,8669625,367.93
2,5,Tx,0.001,187.36852,8623182,368.18
2,6,Rx,0.25444,187.47818,8657399,369.93
2,6,Tx,0.001,187.16524,8658039,370.07
2,7,Rx,0.25444,188.18234,8289712,352.89
2,7,Tx,0.001,187.89682,8362844,356.06
2,8,Rx,0.08548,1.36228,63743,399.39
2,8,Tx,0.001,1.36004,67855,399.43
2,9,Rx,0.08548,1.36228,63743,399.39
2,9,Tx,0.001,1.36004,67855,399.43
2,10,Rx,0.08548,1.36228,63743,399.39
2,10,Tx,0.001,1.36004,67855,399.43
2,11,Rx,0.08548,1.36228,63743,399.39
2,11,Tx,0.001,1.36004,67855,399.43
2,12,Rx,0.08548,1.36228,63743,399.39
2,12,Tx,0.001,1.36004,67855,399.43
2,13,Rx,0.08548,1.36228,63743,399.39
2,13,Tx,0.001,1.36004,67855,399.43
2,14,Rx,0.08548,1.36228,63743,399.39
2,14,Tx,0.001,1.36004,67855,399.43
3,0,Rx,0.33792,187.66236,8690035,371.12
3,0,Tx,0.001,187.62384,8597129,366.57
3,1,Rx,0.33792,188.61208,8692448,369.35
3,1,Tx,0.001,188.61308,8711221,369.49
3,2,Rx,0.33792,188.21984,8744711,372.35
3,2,Tx,0.001,188.22084,8698640,369.72
3,3,Rx,0.33792,188.61952,8641295,367.16
3,3,Tx,0.001,188.62052,8663934,367.47
3,4,Rx,0.33792,188.14502,8607909,366.67
3,4,Tx,0.001,187.31512,8663094,369.99
3,5,Rx,0.33792,188.86338,8621189,365.84
3,5,Tx,0.001,188.23602,8625735,366.59
3,6,Rx,0.33792,187.48348,8643262,369.48
3,6,Tx,0.001,187.27924,8644956,369.29
3,7,Rx,0.33792,188.1766,8271731,352.29
3,7,Tx,0.001,188.1776,8344367,354.75
3,8,Rx,0.08548,1.36228,63743,399.39
3,8,Tx,0.001,1.36004,67855,399.43
3,9,Rx,0.08548,1.36228,63743,399.39
3,9,Tx,0.001,1.36004,67855,399.43
3,10,Rx,0.08548,1.36228,63743,399.39
3,10,Tx,0.001,1.36004,67855,399.43
3,11,Rx,0.08548,1.36228,63743,399.39
3,11,Tx,0.001,1.36004,67855,399.43
3,12,Rx,0.08548,1.36228,63743,399.39
3,12,Tx,0.001,1.36004,67855,399.43
3,13,Rx,0.08548,1.36228,63743,399.39
3,13,Tx,0.001,1.36004,67855,399.43
3,14,Rx,0.08548,1.36228,63743,399.39
3,14,Tx,0.001,1.36004,67855,399.43
4,0,Rx,0.34192,188.02106,8760905,373.44
4,0,Tx,0.001,187.84066,8656321,368.67
4,1,Rx,0.34192,188.23936,8621511,367.07
4,1,Tx,0.001,187.5235,8661747,369.52
4,2,Rx,0.34192,187.73542,8676000,370.39
4,2,Tx,0.001,187.69326,8677446,369.86
4,3,Rx,0.34192,188.44402,8623500,366.76
4,3,Tx,0.001,187.7907,8646945,368.37
4,4,Rx,0.34192,188.13936,8672849,369.46
4,4,Tx,0.001,188.14036,8628514,366.9
4,5,Rx,0.34192,188.23468,8605615,366.41
4,5,Tx,0.001,187.64706,8660096,369.21
4,6,Rx,0.34192,187.25856,8678514,371.44
4,6,Tx,0.001,187.25956,8715358,372.33
4,7,Rx,0.4214,187.99668,8272012,352.8
4,7,Tx,0.001,187.63278,8295001,353.67
4,8,Rx,0.08548,1.36228,63743,399.39
4,8,Tx,0.001,1.36004,67855,399.43
4,9,Rx,0.08548,1.36228,63743,399.39
4,9,Tx,0.001,1.36004,67855,399.43
4,10,Rx,0.08548,1.36228,63743,399.39
