nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.17096,92.10994,4266531,371.25
0,0,Tx,0.001,91.59584,4271950,373.12
0,1,Rx,0.17096,92.1258,4265043,371.06
0,1,Tx,0.001,92.05392,4268867,370.99
0,2,Rx,0.17096,92.03982,4265911,371.48
0,2,Tx,0.001,92.02234,4270603,371.27
0,3,Rx,0.17096,92.00062,4267151,371.74
0,3,Tx,0.001,91.95864,4268681,371.36
0,4,Rx,0.17096,77.58078,281951,29.14
0,4,Tx,0.001,77.55452,286232,29.53
1,0,Rx,0.17096,92.3114,4266593,370.44
1,0,Tx,0.001,91.77302,4269222,372.16
1,1,Rx,0.17096,92.30508,4263121,370.17
1,1,Tx,0.001,91.40766,4269859,373.7
1,2,Rx,0.17096,92.39264,4264423,369.93
1,2,Tx,0.001,91.85144,4269222,371.84
1,3,Rx,0.17096,91.50774,4267049,373.74
1,3,Tx,0.001,91.50874,4271595,373.44
1,4,Rx,0.17096,77.292,281889,29.24
1,4,Tx,0.001,77.293,286373,29.64
2,0,Rx,0.25444,92.39646,4264423,370.25
2,0,Tx,0.001,91.59546,4269735,372.93
2,1,Rx,0.25444,91.85992,4264237,372.4
2,1,Tx,0.001,91.80702,4268185,371.93
2,2,Rx,0.25444,92.21144,4266677,371.19
2,2,Tx,0.001,92.2102,4268433,370.33
2,3,Rx,0.25444,91.93566,4265787,372.23
2,3,Tx,0.001,91.82084,4271657,372.18
2,4,Rx,0.25444,77.39006,281641,29.21
2,4,Tx,0.001,77.39106,286311,29.6
3,0,Rx,0.33792,91.97128,4264857,372.34
3,0,Tx,0.001,91.528,4270727,373.29
3,1,Rx,0.33792,92.00038,4266925,372.4
3,1,Tx,0.001,91.87394,4269673,371.79
3,2,Rx,0.33792,91.60666,4265105,373.85
3,2,Tx,0.001,91.60766,4269673,372.87
3,3,Rx,0.33792,91.7313,4265291,373.36
3,3,Tx,0.001,91.7323,4270727,372.46
3,4,Rx,0.33792,73.95464,281269,30.57
3,4,Tx,0.001,73.92862,286170,30.97
4,0,Rx,0.34192,92.39906,4266801,370.8
4,0,Tx,0.001,92.40006,4262025,369.01
4,1,Rx,0.34192,92.40448,4264941,370.61
4,1,Tx,0.001,92.40152,4267233,369.46
4,2,Rx,0.34192,92.47428,4265189,370.35
4,2,Tx,0.001,92.47528,4265373,369.0
4,3,Rx,0.34192,92.21436,4264197,371.31
4,3,Tx,0.001,92.1891,4263930,370.02
4,4,Rx,0.34192,82.70162,281889,27.38
4,4,Tx,0.001,82.70262,286125,27.68
5,0,Rx,0.4254,92.06382,4266119,372.43
5,0,Tx,0.001,92.03756,4271578,371.29
5,1,Rx,0.34192,92.19736,4264361,371.4
5,1,Tx,0.001,92.1711,4269966,370.62
5,2,Rx,0.50488,91.60812,4264671,374.49
5,2,Tx,0.001,91.51312,4270400,373.32
5,3,Rx,0.34192,92.04558,4265415,372.1
5,3,Tx,0.001,92.01932,4270772,371.3
5,4,Rx,0.50488,80.1812,281827,28.3
5,4,Tx,0.001,80.15494,286232,28.57
6,0,Rx,0.34192,92.22802,4266057,371.42
6,0,Tx,0.001,92.22902,4267853,370.2
6,1,Rx,0.4254,91.63634,4266429,374.2
6,1,Tx,0.001,91.63734,4266985,372.51
6,2,Rx,0.4254,92.0803,4265933,372.35
6,2,Tx,0.001,91.54596,4265931,372.79
6,3,Rx,0.4254,91.645,4266491,374.17
6,3,Tx,0.001,91.48294,4264071,372.89
6,4,Rx,0.4254,80.05958,281765,28.31
6,4,Tx,0.001,80.06058,286249,28.6
7,0,Rx,0.4254,92.314,4266035,371.41
7,0,Tx,0.001,92.315,4269487,370.0
7,1,Rx,0.4254,91.93494,4265911,372.94
7,1,Tx,0.001,91.9091,4268974,371.59
7,2,Rx,0.4254,91.70164,4266159,373.91
7,2,Tx,0.001,91.61172,4271285,372.99
7,3,Rx,0.34192,91.73372,4263741,373.23
