taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,17043521,URMA_WRITE,7,0ns,0,
1,0,8,17043522,URMA_WRITE,7,0ns,0,
2,0,9,17043521,URMA_WRITE,7,0ns,0,
3,0,10,17043521,URMA_WRITE,7,0ns,0,
4,0,11,17043521,URMA_WRITE,7,0ns,0,
5,0,12,17043521,URMA_WRITE,7,0ns,0,
6,0,13,17043521,URMA_WRITE,7,0ns,0,
7,0,14,17043521,URMA_WRITE,7,0ns,0,
8,0,15,17043521,URMA_WRITE,7,0ns,0,
9,8,9,17043521,URMA_WRITE,7,0ns,0,
10,8,16,17043521,URMA_WRITE,7,0ns,0,
11,8,17,17043521,URMA_WRITE,7,0ns,0,
12,8,18,17043521,URMA_WRITE,7,0ns,0,
13,8,19,17043521,URMA_WRITE,7,0ns,0,
14,8,20,17043521,URMA_WRITE,7,0ns,0,
15,8,21,17043521,URMA_WRITE,7,0ns,0,
16,8,22,17043521,URMA_WRITE,7,0ns,0,
17,8,23,17043521,URMA_WRITE,7,0ns,0,
18,16,17,17043521,URMA_WRITE,7,0ns,0,
19,16,24,17043521,URMA_WRITE,7,0ns,0,
20,16,25,17043521,URMA_WRITE,7,0ns,0,
21,16,26,17043521,URMA_WRITE,7,0ns,0,
22,16,27,17043521,URMA_WRITE,7,0ns,0,
23,16,28,17043521,URMA_WRITE,7,0ns,0,
24,16,29,17043521,URMA_WRITE,7,0ns,0,
25,16,30,17043521,URMA_WRITE,7,0ns,0,
26,16,31,17043521,URMA_WRITE,7,0ns,0,
27,24,25,17043521,URMA_WRITE,7,0ns,0,
28,24,32,17043521,URMA_WRITE,7,0ns,0,
29,24,33,17043521,URMA_WRITE,7,0ns,0,
30,24,34,17043521,URMA_WRITE,7,0ns,0,
31,24,35,17043521,URMA_WRITE,7,0ns,0,
32,24,36,17043521,URMA_WRITE,7,0ns,0,
33,24,37,17043521,URMA_WRITE,7,0ns,0,
34,24,38,17043521,URMA_WRITE,7,0ns,0,
35,24,39,17043521,URMA_WRITE,7,0ns,0,
36,32,33,17043521,URMA_WRITE,7,0ns,0,
37,32,40,17043521,URMA_WRITE,7,0ns,0,
38,32,41,17043521,URMA_WRITE,7,0ns,0,
