taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,2130441,URMA_WRITE,7,0ns,0,,0.0,43.46808,0.001,43.47132,392.093
1,0,8,2130441,URMA_WRITE,7,0ns,0,,0.0,45.00416,0.001,45.01712,378.7101
2,0,9,2130440,URMA_WRITE,7,0ns,0,,0.0,44.69446,0.001,44.70708,381.3341
3,0,10,2130440,URMA_WRITE,7,0ns,0,,0.0,44.56472,0.001,44.57768,382.4442
4,0,11,2130440,URMA_WRITE,7,0ns,0,,0.0,44.40152,0.001,44.50394,383.8499
5,0,12,2130440,URMA_WRITE,7,0ns,0,,0.0,44.64366,0.001,44.65662,381.768
6,0,13,2130440,URMA_WRITE,7,0ns,0,,0.0,44.7034,0.001,44.71614,381.2578
7,0,14,2130440,URMA_WRITE,7,0ns,0,,0.0,45.25144,0.001,45.2644,376.6404
8,0,15,2130440,URMA_WRITE,7,0ns,0,,0.0,44.62698,0.001,44.90222,381.9107
9,8,9,2130440,URMA_WRITE,7,0ns,0,,0.0,43.46806,0.001,43.4713,392.093
10,8,16,2130441,URMA_WRITE,7,0ns,0,,0.0,44.84296,0.001,44.92752,380.0714
11,8,17,2130440,URMA_WRITE,7,0ns,0,,0.0,44.4961,0.001,44.50886,383.034
12,8,18,2130440,URMA_WRITE,7,0ns,0,,0.0,44.86068,0.001,44.874,379.9211
13,8,19,2130440,URMA_WRITE,7,0ns,0,,0.0,44.89306,0.001,44.90634,379.6471
14,8,20,2130440,URMA_WRITE,7,0ns,0,,0.0,44.64718,0.001,44.65998,381.7379
15,8,21,2130440,URMA_WRITE,7,0ns,0,,0.0,44.58856,0.001,44.60152,382.2397
16,8,22,2130440,URMA_WRITE,7,0ns,0,,0.0,44.7543,0.001,44.76726,380.8242
17,8,23,2130440,URMA_WRITE,7,0ns,0,,0.0,44.54048,0.001,44.55128,382.6524
18,16,17,2130440,URMA_WRITE,7,0ns,0,,0.0,43.46806,0.001,43.4713,392.093
19,16,24,2130441,URMA_WRITE,7,0ns,0,,0.0,44.83836,0.001,44.85132,380.1104
20,16,25,2130440,URMA_WRITE,7,0ns,0,,0.0,45.10998,0.001,45.12294,377.8215
21,16,26,2130440,URMA_WRITE,7,0ns,0,,0.0,44.41916,0.001,44.5634,383.6975
22,16,27,2130440,URMA_WRITE,7,0ns,0,,0.0,44.75034,0.001,44.7633,380.8579
23,16,28,2130440,URMA_WRITE,7,0ns,0,,0.0,44.7094,0.001,44.72236,381.2066
24,16,29,2130440,URMA_WRITE,7,0ns,0,,0.0,45.0271,0.001,45.04008,378.5169
25,16,30,2130440,URMA_WRITE,7,0ns,0,,0.0,44.8499,0.001,44.86286,380.0124
26,16,31,2130440,URMA_WRITE,7,0ns,0,,0.0,44.90906,0.001,44.92202,379.5118
27,24,25,2130440,URMA_WRITE,7,0ns,0,,0.0,43.46806,0.001,43.4713,392.093
28,24,32,2130441,URMA_WRITE,7,0ns,0,,0.0,44.6061,0.001,44.61906,382.0896
29,24,33,2130440,URMA_WRITE,7,0ns,0,,0.0,44.74494,0.001,44.7579,380.9039
30,24,34,2130440,URMA_WRITE,7,0ns,0,,0.0,45.2233,0.001,45.23628,376.8748
31,24,35,2130440,URMA_WRITE,7,0ns,0,,0.0,44.47736,0.001,44.49032,383.1954
32,24,36,2130440,URMA_WRITE,7,0ns,0,,0.0,44.47258,0.001,44.97802,383.2366
33,24,37,2130440,URMA_WRITE,7,0ns,0,,0.0,44.9852,0.001,44.99816,378.8695
34,24,38,2130440,URMA_WRITE,7,0ns,0,,0.0,44.53114,0.001,44.5506,382.7326
35,24,39,2130440,URMA_WRITE,7,0ns,0,,0.0,44.79752,0.001,44.81048,380.4568
36,32,33,2130440,URMA_WRITE,7,0ns,0,,0.0,43.46806,0.001,43.4713,392.093
37,32,40,2130441,URMA_WRITE,7,0ns,0,,0.0,44.63716,0.001,44.65182,381.8238
38,32,41,2130440,URMA_WRITE,7,0ns,0,,0.0,44.7007,0.001,44.71336,381.2808
39,32,42,2130440,URMA_WRITE,7,0ns,0,,0.0,44.72416,0.001,44.73656,381.0808
40,32,43,2130440,URMA_WRITE,7,0ns,0,,0.0,44.86052,0.001,45.17288,379.9225
41,32,44,2130440,URMA_WRITE,7,0ns,0,,0.0,44.72908,0.001,44.74204,381.0389
42,32,45,2130440,URMA_WRITE,7,0ns,0,,0.0,44.47434,0.001,44.4873,383.2214
43,32,46,2130440,URMA_WRITE,7,0ns,0,,0.0,45.11424,0.001,45.17252,377.7858
44,32,47,2130440,URMA_WRITE,7,0ns,0,,0.0,44.54582,0.001,44.55878,382.6065
