nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.34192,162.24594,7674146,379.19
0,0,Tx,0.001,162.22102,7659926,377.75
0,1,Rx,0.34192,162.2709,7671418,379.0
0,1,Tx,0.001,162.1835,7668331,378.26
0,2,Rx,0.34192,162.21474,7668256,378.98
0,2,Tx,0.001,162.18848,7667136,378.19
0,3,Rx,0.4254,162.15932,7671728,379.47
0,3,Tx,0.001,161.96206,7688503,379.77
0,4,Rx,0.34192,162.08322,7680222,379.88
0,4,Tx,0.001,161.96238,7678437,379.27
0,5,Rx,0.50888,162.20486,7654532,378.71
0,5,Tx,0.001,161.89164,7676143,379.32
0,6,Rx,0.34192,162.14778,7683716,379.9
0,6,Tx,0.001,162.01664,7670603,378.76
0,7,Rx,0.4254,162.13806,7676378,379.75
0,7,Tx,0.001,162.13906,7673353,378.61
0,8,Rx,0.08872,161.15786,1104296,54.85
0,8,Tx,0.001,161.15204,1104278,54.82
0,9,Rx,23.26388,138.0356,1104296,76.97
0,9,Tx,23.17616,138.02978,1104278,76.92
0,10,Rx,46.30838,114.6668,1104296,129.24
0,10,Tx,46.22066,114.66098,1104278,129.08
0,11,Rx,69.58366,91.58794,1100184,399.99
0,11,Tx,69.49918,91.58552,1104295,399.99
0,12,Rx,46.30514,114.66354,1100184,128.75
0,12,Tx,46.30614,114.66454,1104295,129.24
0,13,Rx,23.26064,138.03234,1100184,76.69
0,13,Tx,23.26164,138.03334,1104295,76.97
0,14,Rx,0.08548,161.1546,1100184,54.64
0,14,Tx,0.08648,161.1556,1104295,54.85
1,0,Rx,0.4254,162.24248,7672775,379.33
1,0,Tx,0.001,161.88514,7667255,378.9
1,1,Rx,0.34192,162.12452,7668869,379.22
1,1,Tx,0.001,161.98658,7672612,378.93
1,2,Rx,0.34192,162.10626,7669427,379.29
1,2,Tx,0.001,162.08276,7672795,378.71
1,3,Rx,0.34192,162.09878,7685073,380.08
1,3,Tx,0.001,161.99092,7680979,379.33
1,4,Rx,0.4254,162.08216,7671907,379.66
1,4,Tx,0.001,162.03964,7685403,379.44
1,5,Rx,0.34192,162.33888,7669923,378.77
1,5,Tx,0.001,162.11338,7668393,378.42
1,6,Rx,0.34192,162.04768,7676061,379.75
1,6,Tx,0.001,162.03344,7672609,378.82
1,7,Rx,0.59236,162.00116,7681043,380.7
1,7,Tx,0.001,162.00182,7664341,378.48
1,8,Rx,0.08548,161.15462,1100183,54.64
1,8,Tx,0.08648,161.15562,1104296,54.85
1,9,Rx,0.08872,161.15784,1104295,54.85
1,9,Tx,0.001,161.15202,1104278,54.82
1,10,Rx,23.26388,138.03558,1104295,76.97
1,10,Tx,23.17616,138.02976,1104278,76.92
1,11,Rx,46.30838,114.66678,1104295,129.24
1,11,Tx,46.22066,114.66096,1104278,129.08
1,12,Rx,69.58366,91.58792,1100183,399.99
1,12,Tx,69.49918,91.58568,1104295,399.99
1,13,Rx,46.30514,114.66354,1100183,128.75
1,13,Tx,46.30614,114.66454,1104295,129.24
1,14,Rx,23.26064,138.03234,1100183,76.69
1,14,Tx,23.26164,138.03334,1104295,76.97
2,0,Rx,0.50888,162.22904,7662213,379.04
2,0,Tx,0.001,162.2297,7670501,378.26
2,1,Rx,0.4254,162.26958,7689103,380.07
2,1,Tx,0.001,161.99352,7662481,378.41
2,2,Rx,0.34192,162.33298,7670729,378.82
2,2,Tx,0.001,162.33398,7670380,378.01
2,3,Rx,0.34192,162.00634,7672815,379.69
2,3,Tx,0.001,161.98166,7680218,379.32
2,4,Rx,0.34192,162.11088,7663763,379.0
2,4,Tx,0.001,162.11188,7691355,379.56
2,5,Rx,0.34192,162.08692,7680609,379.89
2,5,Tx,0.001,162.01908,7668433,378.65
2,6,Rx,0.34192,162.07762,7671039,379.44
2,6,Tx,0.001,162.07862,7688937,379.52
2,7,Rx,0.34192,162.1306,7687925,380.15
2,7,Tx,0.001,162.09968,7666263,378.35
