taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,2130441,URMA_WRITE,7,0ns,0,
1,0,8,2130441,URMA_WRITE,7,0ns,1,
2,0,9,2130440,URMA_WRITE,7,0ns,2,
3,0,10,2130440,URMA_WRITE,7,0ns,3,
4,0,11,2130440,URMA_WRITE,7,0ns,4,
5,0,12,2130440,URMA_WRITE,7,0ns,5,
6,0,13,2130440,URMA_WRITE,7,0ns,6,
7,0,14,2130440,URMA_WRITE,7,0ns,7,
8,0,15,2130440,URMA_WRITE,7,0ns,8,
9,8,9,2130440,URMA_WRITE,7,0ns,9,
10,8,16,2130441,URMA_WRITE,7,0ns,10,
11,8,17,2130440,URMA_WRITE,7,0ns,11,
12,8,18,2130440,URMA_WRITE,7,0ns,12,
13,8,19,2130440,URMA_WRITE,7,0ns,13,
14,8,20,2130440,URMA_WRITE,7,0ns,14,
15,8,21,2130440,URMA_WRITE,7,0ns,15,
16,8,22,2130440,URMA_WRITE,7,0ns,16,
17,8,23,2130440,URMA_WRITE,7,0ns,17,
18,16,17,2130440,URMA_WRITE,7,0ns,18,
19,16,24,2130441,URMA_WRITE,7,0ns,19,
20,16,25,2130440,URMA_WRITE,7,0ns,20,
21,16,26,2130440,URMA_WRITE,7,0ns,21,
22,16,27,2130440,URMA_WRITE,7,0ns,22,
23,16,28,2130440,URMA_WRITE,7,0ns,23,
24,16,29,2130440,URMA_WRITE,7,0ns,24,
25,16,30,2130440,URMA_WRITE,7,0ns,25,
26,16,31,2130440,URMA_WRITE,7,0ns,26,
27,24,25,2130440,URMA_WRITE,7,0ns,27,
28,24,32,2130441,URMA_WRITE,7,0ns,28,
29,24,33,2130440,URMA_WRITE,7,0ns,29,
30,24,34,2130440,URMA_WRITE,7,0ns,30,
31,24,35,2130440,URMA_WRITE,7,0ns,31,
32,24,36,2130440,URMA_WRITE,7,0ns,32,
33,24,37,2130440,URMA_WRITE,7,0ns,33,
34,24,38,2130440,URMA_WRITE,7,0ns,34,
35,24,39,2130440,URMA_WRITE,7,0ns,35,
36,32,33,2130440,URMA_WRITE,7,0ns,36,
37,32,40,2130441,URMA_WRITE,7,0ns,37,
38,32,41,2130440,URMA_WRITE,7,0ns,38,
39,32,42,2130440,URMA_WRITE,7,0ns,39,
40,32,43,2130440,URMA_WRITE,7,0ns,40,
41,32,44,2130440,URMA_WRITE,7,0ns,41,
42,32,45,2130440,URMA_WRITE,7,0ns,42,
43,32,46,2130440,URMA_WRITE,7,0ns,43,
44,32,47,2130440,URMA_WRITE,7,0ns,44,
45,40,41,2130440,URMA_WRITE,7,0ns,45,
46,40,48,2130441,URMA_WRITE,7,0ns,46,
47,40,49,2130440,URMA_WRITE,7,0ns,47,
48,40,50,2130440,URMA_WRITE,7,0ns,48,
49,40,51,2130440,URMA_WRITE,7,0ns,49,
50,40,52,2130440,URMA_WRITE,7,0ns,50,
51,40,53,2130440,URMA_WRITE,7,0ns,51,
52,40,54,2130440,URMA_WRITE,7,0ns,52,
53,40,55,2130440,URMA_WRITE,7,0ns,53,
54,48,49,2130440,URMA_WRITE,7,0ns,54,
55,48,56,2130441,URMA_WRITE,7,0ns,55,
56,48,57,2130440,URMA_WRITE,7,0ns,56,
57,48,58,2130440,URMA_WRITE,7,0ns,57,
58,48,59,2130440,URMA_WRITE,7,0ns,58,
59,48,60,2130440,URMA_WRITE,7,0ns,59,
60,48,61,2130440,URMA_WRITE,7,0ns,60,
61,48,62,2130440,URMA_WRITE,7,0ns,61,
62,48,63,2130440,URMA_WRITE,7,0ns,62,
63,56,57,2130440,URMA_WRITE,7,0ns,63,
64,56,0,2130441,URMA_WRITE,7,0ns,64,
65,56,1,2130441,URMA_WRITE,7,0ns,65,
66,56,2,2130440,URMA_WRITE,7,0ns,66,
67,56,3,2130440,URMA_WRITE,7,0ns,67,
68,56,4,2130440,URMA_WRITE,7,0ns,68,
69,56,5,2130440,URMA_WRITE,7,0ns,69,
70,56,6,2130440,URMA_WRITE,7,0ns,70,
71,56,7,2130440,URMA_WRITE,7,0ns,71,
72,1,2,2130440,URMA_WRITE,7,0ns,72,
73,1,15,2130440,URMA_WRITE,7,0ns,73,
74,1,8,2130441,URMA_WRITE,7,0ns,74,
75,1,9,2130440,URMA_WRITE,7,0ns,75,
76,1,10,2130440,URMA_WRITE,7,0ns,76,
77,1,11,2130440,URMA_WRITE,7,0ns,77,
78,1,12,2130440,URMA_WRITE,7,0ns,78,
79,1,13,2130440,URMA_WRITE,7,0ns,79,
80,1,14,2130440,URMA_WRITE,7,0ns,80,
81,9,10,2130440,URMA_WRITE,7,0ns,81,
82,9,23,2130440,URMA_WRITE,7,0ns,82,
83,9,16,2130441,URMA_WRITE,7,0ns,83,
84,9,17,2130440,URMA_WRITE,7,0ns,84,
85,9,18,2130440,URMA_WRITE,7,0ns,85,
86,9,19,2130440,URMA_WRITE,7,0ns,86,
87,9,20,2130440,URMA_WRITE,7,0ns,87,
88,9,21,2130440,URMA_WRITE,7,0ns,88,
89,9,22,2130440,URMA_WRITE,7,0ns,89,
90,17,18,2130440,URMA_WRITE,7,0ns,90,
91,17,31,2130440,URMA_WRITE,7,0ns,91,
92,17,24,2130441,URMA_WRITE,7,0ns,92,
93,17,25,2130440,URMA_WRITE,7,0ns,93,
94,17,26,2130440,URMA_WRITE,7,0ns,94,
95,17,27,2130440,URMA_WRITE,7,0ns,95,
96,17,28,2130440,URMA_WRITE,7,0ns,96,
97,17,29,2130440,URMA_WRITE,7,0ns,97,
98,17,30,2130440,URMA_WRITE,7,0ns,98,
99,25,26,2130440,URMA_WRITE,7,0ns,99,
100,25,39,2130440,URMA_WRITE,7,0ns,100,
101,25,32,2130441,URMA_WRITE,7,0ns,101,
102,25,33,2130440,URMA_WRITE,7,0ns,102,
103,25,34,2130440,URMA_WRITE,7,0ns,103,
104,25,35,2130440,URMA_WRITE,7,0ns,104,
105,25,36,2130440,URMA_WRITE,7,0ns,105,
106,25,37,2130440,URMA_WRITE,7,0ns,106,
107,25,38,2130440,URMA_WRITE,7,0ns,107,
108,33,34,2130440,URMA_WRITE,7,0ns,108,
109,33,47,2130440,URMA_WRITE,7,0ns,109,
110,33,40,2130441,URMA_WRITE,7,0ns,110,
111,33,41,2130440,URMA_WRITE,7,0ns,111,
112,33,42,2130440,URMA_WRITE,7,0ns,112,
113,33,43,2130440,URMA_WRITE,7,0ns,113,
114,33,44,2130440,URMA_WRITE,7,0ns,114,
115,33,45,2130440,URMA_WRITE,7,0ns,115,
116,33,46,2130440,URMA_WRITE,7,0ns,116,
117,41,42,2130440,URMA_WRITE,7,0ns,117,
118,41,55,2130440,URMA_WRITE,7,0ns,118,
119,41,48,2130441,URMA_WRITE,7,0ns,119,
120,41,49,2130440,URMA_WRITE,7,0ns,120,
121,41,50,2130440,URMA_WRITE,7,0ns,121,
122,41,51,2130440,URMA_WRITE,7,0ns,122,
123,41,52,2130440,URMA_WRITE,7,0ns,123,
124,41,53,2130440,URMA_WRITE,7,0ns,124,
125,41,54,2130440,URMA_WRITE,7,0ns,125,
126,49,50,2130440,URMA_WRITE,7,0ns,126,
127,49,63,2130440,URMA_WRITE,7,0ns,127,
128,49,56,2130441,URMA_WRITE,7,0ns,128,
129,49,57,2130440,URMA_WRITE,7,0ns,129,
130,49,58,2130440,URMA_WRITE,7,0ns,130,
131,49,59,2130440,URMA_WRITE,7,0ns,131,
132,49,60,2130440,URMA_WRITE,7,0ns,132,
133,49,61,2130440,URMA_WRITE,7,0ns,133,
134,49,62,2130440,URMA_WRITE,7,0ns,134,
135,57,58,2130440,URMA_WRITE,7,0ns,135,
136,57,7,2130440,URMA_WRITE,7,0ns,136,
137,57,0,2130441,URMA_WRITE,7,0ns,137,
138,57,1,2130440,URMA_WRITE,7,0ns,138,
139,57,2,2130440,URMA_WRITE,7,0ns,139,
140,57,3,2130440,URMA_WRITE,7,0ns,140,
141,57,4,2130440,URMA_WRITE,7,0ns,141,
142,57,5,2130440,URMA_WRITE,7,0ns,142,
143,57,6,2130440,URMA_WRITE,7,0ns,143,
144,2,3,2130440,URMA_WRITE,7,0ns,144,
145,2,14,2130440,URMA_WRITE,7,0ns,145,
146,2,15,2130440,URMA_WRITE,7,0ns,146,
147,2,8,2130441,URMA_WRITE,7,0ns,147,
148,2,9,2130440,URMA_WRITE,7,0ns,148,
149,2,10,2130440,URMA_WRITE,7,0ns,149,
150,2,11,2130440,URMA_WRITE,7,0ns,150,
151,2,12,2130440,URMA_WRITE,7,0ns,151,
152,2,13,2130440,URMA_WRITE,7,0ns,152,
153,10,11,2130440,URMA_WRITE,7,0ns,153,
154,10,22,2130440,URMA_WRITE,7,0ns,154,
155,10,23,2130440,URMA_WRITE,7,0ns,155,
156,10,16,2130441,URMA_WRITE,7,0ns,156,
157,10,17,2130440,URMA_WRITE,7,0ns,157,
158,10,18,2130440,URMA_WRITE,7,0ns,158,
159,10,19,2130440,URMA_WRITE,7,0ns,159,
160,10,20,2130440,URMA_WRITE,7,0ns,160,
161,10,21,2130440,URMA_WRITE,7,0ns,161,
162,18,19,2130440,URMA_WRITE,7,0ns,162,
163,18,30,2130440,URMA_WRITE,7,0ns,163,
164,18,31,2130440,URMA_WRITE,7,0ns,164,
165,18,24,2130441,URMA_WRITE,7,0ns,165,
166,18,25,2130440,URMA_WRITE,7,0ns,166,
167,18,26,2130440,URMA_WRITE,7,0ns,167,
168,18,27,2130440,URMA_WRITE,7,0ns,168,
169,18,28,2130440,URMA_WRITE,7,0ns,169,
170,18,29,2130440,URMA_WRITE,7,0ns,170,
171,26,27,2130440,URMA_WRITE,7,0ns,171,
172,26,38,2130440,URMA_WRITE,7,0ns,172,
173,26,39,2130440,URMA_WRITE,7,0ns,173,
174,26,32,2130441,URMA_WRITE,7,0ns,174,
175,26,33,2130440,URMA_WRITE,7,0ns,175,
176,26,34,2130440,URMA_WRITE,7,0ns,176,
177,26,35,2130440,URMA_WRITE,7,0ns,177,
178,26,36,2130440,URMA_WRITE,7,0ns,178,
179,26,37,2130440,URMA_WRITE,7,0ns,179,
180,34,35,2130440,URMA_WRITE,7,0ns,180,
181,34,46,2130440,URMA_WRITE,7,0ns,181,
182,34,47,2130440,URMA_WRITE,7,0ns,182,
183,34,40,2130441,URMA_WRITE,7,0ns,183,
184,34,41,2130440,URMA_WRITE,7,0ns,184,
185,34,42,2130440,URMA_WRITE,7,0ns,185,
186,34,43,2130440,URMA_WRITE,7,0ns,186,
187,34,44,2130440,URMA_WRITE,7,0ns,187,
188,34,45,2130440,URMA_WRITE,7,0ns,188,
189,42,43,2130440,URMA_WRITE,7,0ns,189,
190,42,54,2130440,URMA_WRITE,7,0ns,190,
191,42,55,2130440,URMA_WRITE,7,0ns,191,
192,42,48,2130441,URMA_WRITE,7,0ns,192,
193,42,49,2130440,URMA_WRITE,7,0ns,193,
194,42,50,2130440,URMA_WRITE,7,0ns,194,
195,42,51,2130440,URMA_WRITE,7,0ns,195,
196,42,52,2130440,URMA_WRITE,7,0ns,196,
197,42,53,2130440,URMA_WRITE,7,0ns,197,
198,50,51,2130440,URMA_WRITE,7,0ns,198,
199,50,62,2130440,URMA_WRITE,7,0ns,199,
200,50,63,2130440,URMA_WRITE,7,0ns,200,
201,50,56,2130441,URMA_WRITE,7,0ns,201,
202,50,57,2130440,URMA_WRITE,7,0ns,202,
203,50,58,2130440,URMA_WRITE,7,0ns,203,
204,50,59,2130440,URMA_WRITE,7,0ns,204,
205,50,60,2130440,URMA_WRITE,7,0ns,205,
206,50,61,2130440,URMA_WRITE,7,0ns,206,
207,58,59,2130440,URMA_WRITE,7,0ns,207,
208,58,6,2130440,URMA_WRITE,7,0ns,208,
209,58,7,2130440,URMA_WRITE,7,0ns,209,
210,58,0,2130441,URMA_WRITE,7,0ns,210,
211,58,1,2130440,URMA_WRITE,7,0ns,211,
212,58,2,2130440,URMA_WRITE,7,0ns,212,
213,58,3,2130440,URMA_WRITE,7,0ns,213,
214,58,4,2130440,URMA_WRITE,7,0ns,214,
215,58,5,2130440,URMA_WRITE,7,0ns,215,
