nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.34192,45.963,1923123,337.23
0,0,Tx,0.001,45.964,1925865,335.2
0,1,Rx,0.34192,53.92022,1921635,286.93
0,1,Tx,0.001,53.92122,1917184,284.45
0,2,Rx,0.34192,58.8421,1922875,262.96
0,2,Tx,0.001,58.81584,1926219,262.0
0,3,Rx,0.4254,56.4774,1919279,273.93
0,3,Tx,0.001,56.4784,1927786,273.07
0,4,Rx,0.34192,47.0782,1924757,329.47
0,4,Tx,0.001,43.24468,1927583,356.6
0,5,Rx,0.50888,56.0906,1922627,276.73
0,5,Tx,0.001,56.06466,1920205,274.0
0,6,Rx,0.34192,43.48594,1923681,356.7
0,6,Tx,0.001,43.48694,1928366,354.76
0,7,Rx,0.4254,52.25822,1924199,296.99
0,7,Tx,0.001,52.25922,1918796,293.74
0,8,Rx,0.08872,38.16172,276229,58.04
0,8,Tx,0.001,38.1559,276211,57.91
0,9,Rx,5.5277,32.72298,276229,81.26
0,9,Tx,5.43998,32.71716,276211,81.01
0,10,Rx,10.96668,27.28424,276229,135.43
0,10,Tx,10.87896,27.27842,276211,134.74
0,11,Rx,16.40242,21.84536,272117,399.96
0,11,Tx,16.31794,21.84294,276228,399.97
0,12,Rx,10.96344,27.28102,272117,133.41
0,12,Tx,10.96444,27.28202,276228,135.43
0,13,Rx,5.52446,32.71976,272117,80.05
0,13,Tx,5.52546,32.72076,276228,81.26
0,14,Rx,0.08548,38.1585,272117,57.18
0,14,Tx,0.08648,38.1595,276228,58.04
1,0,Rx,0.4254,48.7001,1916978,317.68
1,0,Tx,0.001,46.10966,1927064,334.35
1,1,Rx,0.34192,57.11052,1920512,270.64
1,1,Tx,0.001,57.11152,1925120,269.67
1,2,Rx,0.34192,48.6098,1926712,319.34
1,2,Tx,0.001,47.60626,1920949,322.81
1,3,Rx,0.34192,52.48876,1921442,294.77
1,3,Tx,0.001,52.48976,1927848,293.83
1,4,Rx,0.4254,62.50946,1921256,247.57
1,4,Tx,0.001,62.4832,1925847,246.58
1,5,Rx,0.34192,58.11886,1921876,266.11
1,5,Tx,0.001,58.11986,1920408,264.34
1,6,Rx,0.34192,61.71912,1916730,249.83
1,6,Tx,0.001,61.71364,1925802,249.65
1,7,Rx,0.59236,52.30746,1918218,296.74
1,7,Tx,0.001,52.21846,1929217,295.57
1,8,Rx,0.08548,38.15848,272116,57.18
1,8,Tx,0.08648,38.15948,276229,58.04
1,9,Rx,0.08872,38.16172,276228,58.04
1,9,Tx,0.001,38.1559,276211,57.91
1,10,Rx,5.5277,32.72298,276228,81.26
1,10,Tx,5.43998,32.71716,276211,81.01
1,11,Rx,10.96668,27.28424,276228,135.43
1,11,Tx,10.87896,27.27842,276211,134.74
1,12,Rx,16.40242,21.84534,272116,399.96
1,12,Tx,16.31794,21.8431,276228,399.96
1,13,Rx,10.96344,27.281,272116,133.41
1,13,Tx,10.96444,27.282,276228,135.43
1,14,Rx,5.52446,32.71974,272116,80.05
1,14,Tx,5.52546,32.72074,276228,81.26
2,0,Rx,0.50888,62.08036,1922518,249.79
2,0,Tx,0.001,62.08136,1921028,247.55
2,1,Rx,0.4254,49.80458,1922124,311.41
2,1,Tx,0.001,49.71154,1925599,309.89
2,2,Rx,0.34192,53.62652,1917970,287.96
2,2,Tx,0.001,53.62718,1927724,287.58
2,3,Rx,0.34192,51.0491,1920760,303.04
2,3,Tx,0.001,50.78976,1922685,302.85
2,4,Rx,0.34192,56.82196,1922806,272.35
2,4,Tx,0.001,56.82296,1930266,271.76
2,5,Rx,0.34192,63.5235,1924356,243.66
2,5,Tx,0.001,63.49724,1929527,243.1
2,6,Rx,0.34192,52.87406,1918094,292.1
2,6,Tx,0.001,52.87472,1921834,290.78
2,7,Rx,0.34192,48.44454,1919582,319.25
2,7,Tx,0.001,48.41828,1928535,318.65
2,8,Rx,5.52446,32.71974,272116,80.05
2,8,Tx,5.52546,32.72074,276229,81.26
2,9,Rx,0.08548,38.15848,272116,57.18
2,9,Tx,0.08648,38.15948,276228,58.04
2,10,Rx,0.08872,38.16172,276228,58.04
2,10,Tx,0.001,38.1559,276211,57.91
2,11,Rx,5.5277,32.72298,276228,81.26
2,11,Tx,5.43998,32.71716,276211,81.01
2,12,Rx,10.96668,27.28424,276228,135.43
2,12,Tx,10.87896,27.27842,276211,134.74
2,13,Rx,16.40242,21.84534,272116,399.96
2,13,Tx,16.31794,21.8431,276228,399.96
2,14,Rx,10.96344,27.281,272116,133.41
2,14,Tx,10.96444,27.282,276228,135.43
3,0,Rx,0.34192,60.13252,1916110,256.38
3,0,Tx,0.001,60.13352,1924376,256.02
3,1,Rx,0.50888,46.38484,1923178,335.37
3,1,Tx,0.001,46.35858,1925537,332.29
3,2,Rx,0.34192,70.63962,1921132,218.63
3,2,Tx,0.001,70.64062,1927290,218.27
3,3,Rx,0.34192,53.98364,1919396,286.25
3,3,Tx,0.001,53.31828,1929837,289.56
3,4,Rx,0.34192,56.87442,1916792,271.25
3,4,Tx,0.001,56.87508,1926794,271.03
3,5,Rx,0.34192,54.9502,1918404,281.04
3,5,Tx,0.001,54.95086,1921152,279.7
3,6,Rx,0.34192,65.59228,1914312,234.7
3,6,Tx,0.001,65.56702,1927047,235.13
3,7,Rx,0.50888,55.82806,1921070,277.82
3,7,Tx,0.001,55.80438,1925785,276.08
3,8,Rx,10.96344,27.281,272116,133.41
3,8,Tx,10.96444,27.282,276229,135.43
3,9,Rx,5.52446,32.71974,272116,80.05
3,9,Tx,5.52546,32.72074,276228,81.26
3,10,Rx,0.08548,38.15848,272116,57.18
3,10,Tx,0.08648,38.15948,276228,58.04
3,11,Rx,0.08872,38.16172,276228,58.04
3,11,Tx,0.001,38.1559,276211,57.91
3,12,Rx,5.5277,32.72298,276228,81.26
3,12,Tx,5.43998,32.71716,276211,81.01
3,13,Rx,10.96668,27.28424,276228,135.43
3,13,Tx,10.87896,27.27842,276211,134.74
3,14,Rx,16.40242,21.84534,272116,399.96
3,14,Tx,16.31794,21.8431,276228,399.96
4,0,Rx,0.34192,51.85348,1920698,298.29
4,0,Tx,0.001,51.62174,1928721,298.91
4,1,Rx,0.34192,58.11356,1916792,265.43
4,1,Tx,0.001,58.11422,1925864,265.12
4,2,Rx,0.4254,49.9465,1922992,310.65
4,2,Tx,0.001,49.9475,1924748,308.29
4,3,Rx,0.4254,53.76056,1924046,288.6
4,3,Tx,0.001,52.48314,1923491,293.2
4,4,Rx,0.34192,48.54824,1924626,319.4
4,4,Tx,0.001,48.54924,1923694,317.0
4,5,Rx,0.4254,52.10264,1918900,297.06
4,5,Tx,0.001,52.02464,1926861,296.31
4,6,Rx,0.34192,53.35116,1924046,290.37
4,6,Tx,0.001,53.2283,1928473,289.85
4,7,Rx,0.34192,55.93582,1920016,276.29
4,7,Tx,0.001,55.93682,1926360,275.51
4,8,Rx,16.40242,21.84518,272116,399.97
4,8,Tx,16.31794,21.84312,276229,399.96
4,9,Rx,10.96344,27.281,272116,133.41
4,9,Tx,10.96444,27.282,276228,135.43
4,10,Rx,5.52446,32.71974,272116,80.05
4,10,Tx,5.52546,32.72074,276228,81.26
4,11,Rx,0.08548,38.15848,272116,57.18
4,11,Tx,0.08648,38.15948,276228,58.04
4,12,Rx,0.08872,38.16172,276228,58.04
4,12,Tx,0.001,38.1559,276211,57.91
4,13,Rx,5.5277,32.72298,276228,81.26
4,13,Tx,5.43998,32.71716,276211,81.01
4,14,Rx,10.96668,27.28424,276228,135.43
4,14,Tx,10.87896,27.27842,276211,134.74
5,0,Rx,0.4254,59.5524,1925534,260.53
5,0,Tx,0.001,59.52614,1921011,258.18
5,1,Rx,0.4254,63.7507,1923736,243.03
5,1,Tx,0.001,63.72444,1926839,241.9
5,2,Rx,0.34192,51.88736,1925906,298.91
5,2,Tx,0.001,51.80028,1920160,296.55
5,3,Rx,0.34192,62.53842,1921008,247.09
5,3,Tx,0.001,62.51216,1924049,246.23
5,4,Rx,0.34192,44.65314,1919272,346.51
5,4,Tx,0.001,44.6538,1927436,345.32
5,5,Rx,0.34192,60.57886,1918094,254.74
5,5,Tx,0.001,60.50838,1929651,255.13
5,6,Rx,0.4254,49.79338,1920388,311.2
5,6,Tx,0.001,49.77686,1925616,309.49
5,7,Rx,0.4254,46.25606,1920140,335.17
5,7,Tx,0.001,46.05716,1925599,334.48
5,8,Rx,10.96668,27.28426,276228,135.43
5,8,Tx,10.87896,27.27844,276212,134.74
5,9,Rx,16.40242,21.84534,272116,399.96
5,9,Tx,16.31794,21.8431,276228,399.96
5,10,Rx,10.96344,27.281,272116,133.41
5,10,Tx,10.96444,27.282,276228,135.43
5,11,Rx,5.52446,32.71974,272116,80.05
5,11,Tx,5.52546,32.72074,276228,81.26
5,12,Rx,0.08548,38.15848,272116,57.18
5,12,Tx,0.08648,38.15948,276228,58.04
5,13,Rx,0.08872,38.16172,276228,58.04
5,13,Tx,0.001,38.1559,276211,57.91
5,14,Rx,5.5277,32.72298,276228,81.26
5,14,Tx,5.43998,32.71716,276211,81.01
6,0,Rx,0.34192,46.72312,1925184,332.06
6,0,Tx,0.001,45.02266,1924624,341.99
6,1,Rx,0.34192,46.07434,1918900,335.67
6,1,Tx,0.001,46.01358,1923429,334.42
6,2,Rx,0.4254,49.5026,1925224,313.83
6,2,Tx,0.001,49.36266,1927583,312.4
6,3,Rx,0.50888,57.6659,1917598,268.4
6,3,Tx,0.001,57.6669,1925368,267.11
6,4,Rx,0.4254,49.7338,1922124,311.85
6,4,Tx,0.001,48.95486,1924979,314.58
6,5,Rx,0.4254,52.23174,1920264,296.53
6,5,Tx,0.001,52.23222,1927662,295.25
6,6,Rx,0.34192,43.91358,1923302,353.13
6,6,Tx,0.001,43.84092,1927932,351.81
6,7,Rx,0.34192,56.39262,1917226,273.64
6,7,Tx,0.001,56.36736,1930643,274.01
6,8,Rx,5.5277,32.723,276228,81.26
6,8,Tx,5.43998,32.71718,276212,81.01
6,9,Rx,10.96668,27.28424,276228,135.43
6,9,Tx,10.87896,27.27842,276211,134.74
6,10,Rx,16.40242,21.84534,272116,399.96
6,10,Tx,16.31794,21.8431,276228,399.96
6,11,Rx,10.96344,27.281,272116,133.41
6,11,Tx,10.96444,27.282,276228,135.43
6,12,Rx,5.52446,32.71974,272116,80.05
6,12,Tx,5.52546,32.72074,276228,81.26
6,13,Rx,0.08548,38.15848,272116,57.18
6,13,Tx,0.08648,38.15948,276228,58.04
6,14,Rx,0.08872,38.16172,276228,58.04
6,14,Tx,0.001,38.1559,276211,57.91
7,0,Rx,0.34192,47.22018,1919520,327.58
7,0,Tx,0.001,47.19416,1922499,325.89
