taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,2130441,URMA_WRITE,7,0ns,0,
1,1,2,2130441,URMA_WRITE,7,0ns,1,
2,2,3,2130441,URMA_WRITE,7,0ns,2,
3,3,4,2130441,URMA_WRITE,7,0ns,3,
4,4,5,2130441,URMA_WRITE,7,0ns,4,
5,5,6,2130441,URMA_WRITE,7,0ns,5,
6,6,7,2130441,URMA_WRITE,7,0ns,6,
7,7,0,2130441,URMA_WRITE,7,0ns,7,
8,8,9,2130440,URMA_WRITE,7,0ns,8,
9,9,10,2130440,URMA_WRITE,7,0ns,9,
10,10,11,2130440,URMA_WRITE,7,0ns,10,
11,11,12,2130440,URMA_WRITE,7,0ns,11,
12,12,13,2130440,URMA_WRITE,7,0ns,12,
13,13,14,2130440,URMA_WRITE,7,0ns,13,
14,14,15,2130440,URMA_WRITE,7,0ns,14,
15,15,8,2130440,URMA_WRITE,7,0ns,15,
16,16,17,2130440,URMA_WRITE,7,0ns,16,
17,17,18,2130440,URMA_WRITE,7,0ns,17,
18,18,19,2130440,URMA_WRITE,7,0ns,18,
19,19,20,2130440,URMA_WRITE,7,0ns,19,
20,20,21,2130440,URMA_WRITE,7,0ns,20,
21,21,22,2130440,URMA_WRITE,7,0ns,21,
22,22,23,2130440,URMA_WRITE,7,0ns,22,
23,23,16,2130440,URMA_WRITE,7,0ns,23,
24,24,25,2130440,URMA_WRITE,7,0ns,24,
25,25,26,2130440,URMA_WRITE,7,0ns,25,
26,26,27,2130440,URMA_WRITE,7,0ns,26,
27,27,28,2130440,URMA_WRITE,7,0ns,27,
28,28,29,2130440,URMA_WRITE,7,0ns,28,
29,29,30,2130440,URMA_WRITE,7,0ns,29,
30,30,31,2130440,URMA_WRITE,7,0ns,30,
31,31,24,2130440,URMA_WRITE,7,0ns,31,
32,32,33,2130440,URMA_WRITE,7,0ns,32,
33,33,34,2130440,URMA_WRITE,7,0ns,33,
34,34,35,2130440,URMA_WRITE,7,0ns,34,
35,35,36,2130440,URMA_WRITE,7,0ns,35,
36,36,37,2130440,URMA_WRITE,7,0ns,36,
37,37,38,2130440,URMA_WRITE,7,0ns,37,
38,38,39,2130440,URMA_WRITE,7,0ns,38,
39,39,32,2130440,URMA_WRITE,7,0ns,39,
40,40,41,2130440,URMA_WRITE,7,0ns,40,
41,41,42,2130440,URMA_WRITE,7,0ns,41,
42,42,43,2130440,URMA_WRITE,7,0ns,42,
43,43,44,2130440,URMA_WRITE,7,0ns,43,
44,44,45,2130440,URMA_WRITE,7,0ns,44,
45,45,46,2130440,URMA_WRITE,7,0ns,45,
46,46,47,2130440,URMA_WRITE,7,0ns,46,
47,47,40,2130440,URMA_WRITE,7,0ns,47,
48,48,49,2130440,URMA_WRITE,7,0ns,48,
49,49,50,2130440,URMA_WRITE,7,0ns,49,
50,50,51,2130440,URMA_WRITE,7,0ns,50,
51,51,52,2130440,URMA_WRITE,7,0ns,51,
52,52,53,2130440,URMA_WRITE,7,0ns,52,
53,53,54,2130440,URMA_WRITE,7,0ns,53,
54,54,55,2130440,URMA_WRITE,7,0ns,54,
55,55,48,2130440,URMA_WRITE,7,0ns,55,
56,56,57,2130440,URMA_WRITE,7,0ns,56,
57,57,58,2130440,URMA_WRITE,7,0ns,57,
58,58,59,2130440,URMA_WRITE,7,0ns,58,
59,59,60,2130440,URMA_WRITE,7,0ns,59,
60,60,61,2130440,URMA_WRITE,7,0ns,60,
61,61,62,2130440,URMA_WRITE,7,0ns,61,
62,62,63,2130440,URMA_WRITE,7,0ns,62,
63,63,56,2130440,URMA_WRITE,7,0ns,63,
64,0,2,2130441,URMA_WRITE,7,0ns,64,
65,1,3,2130441,URMA_WRITE,7,0ns,65,
66,2,4,2130441,URMA_WRITE,7,0ns,66,
67,3,5,2130441,URMA_WRITE,7,0ns,67,
68,4,6,2130441,URMA_WRITE,7,0ns,68,
69,5,7,2130441,URMA_WRITE,7,0ns,69,
70,6,0,2130441,URMA_WRITE,7,0ns,70,
71,7,1,2130441,URMA_WRITE,7,0ns,71,
72,8,10,2130440,URMA_WRITE,7,0ns,72,
73,9,11,2130440,URMA_WRITE,7,0ns,73,
74,10,12,2130440,URMA_WRITE,7,0ns,74,
75,11,13,2130440,URMA_WRITE,7,0ns,75,
76,12,14,2130440,URMA_WRITE,7,0ns,76,
77,13,15,2130440,URMA_WRITE,7,0ns,77,
78,14,8,2130440,URMA_WRITE,7,0ns,78,
79,15,9,2130440,URMA_WRITE,7,0ns,79,
80,16,18,2130440,URMA_WRITE,7,0ns,80,
81,17,19,2130440,URMA_WRITE,7,0ns,81,
82,18,20,2130440,URMA_WRITE,7,0ns,82,
83,19,21,2130440,URMA_WRITE,7,0ns,83,
84,20,22,2130440,URMA_WRITE,7,0ns,84,
85,21,23,2130440,URMA_WRITE,7,0ns,85,
86,22,16,2130440,URMA_WRITE,7,0ns,86,
87,23,17,2130440,URMA_WRITE,7,0ns,87,
88,24,26,2130440,URMA_WRITE,7,0ns,88,
89,25,27,2130440,URMA_WRITE,7,0ns,89,
90,26,28,2130440,URMA_WRITE,7,0ns,90,
91,27,29,2130440,URMA_WRITE,7,0ns,91,
92,28,30,2130440,URMA_WRITE,7,0ns,92,
93,29,31,2130440,URMA_WRITE,7,0ns,93,
94,30,24,2130440,URMA_WRITE,7,0ns,94,
95,31,25,2130440,URMA_WRITE,7,0ns,95,
