nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.34192,56.5801,1915249,272.45
0,0,Tx,0.001,56.57862,1926196,272.36
0,1,Rx,0.34192,50.09572,1920395,308.78
0,1,Tx,0.001,50.09548,1925058,307.43
0,2,Rx,0.34192,58.06642,1916365,265.59
0,2,Tx,0.001,58.0404,1930085,266.04
0,3,Rx,0.4254,61.00456,1918783,253.39
0,3,Tx,0.001,60.9783,1922375,252.21
0,4,Rx,0.34192,61.87894,1921883,249.85
0,4,Tx,0.001,61.87994,1918734,248.06
0,5,Rx,0.34192,44.27844,1924199,350.36
0,5,Tx,0.001,44.1084,1923181,348.82
0,6,Rx,0.34192,56.52024,1920023,273.42
0,6,Tx,0.001,56.49398,1923429,272.38
0,7,Rx,0.34192,48.72184,1919651,317.43
0,7,Tx,0.001,48.69838,1927002,316.57
0,8,Rx,0.08548,5.52842,272117,399.96
0,8,Tx,0.001,5.52618,276229,399.96
0,9,Rx,0.08548,5.52842,272117,399.96
0,9,Tx,0.001,5.526,276228,399.97
0,10,Rx,0.08548,5.52842,272117,399.96
0,10,Tx,0.001,5.526,276228,399.97
0,11,Rx,0.08548,5.52842,272117,399.96
0,11,Tx,0.001,5.526,276228,399.97
0,12,Rx,0.08548,5.52842,272117,399.96
0,12,Tx,0.001,5.526,276228,399.97
0,13,Rx,0.08548,5.52842,272117,399.96
0,13,Tx,0.001,5.526,276228,399.97
0,14,Rx,0.08548,5.52842,272117,399.96
0,14,Tx,0.001,5.526,276228,399.97
1,0,Rx,0.34192,54.87838,1918404,281.41
1,0,Tx,0.001,54.87938,1923756,280.44
1,1,Rx,0.34192,49.48386,1917722,312.19
1,1,Tx,0.001,49.48486,1926484,311.45
1,2,Rx,0.34192,52.33878,1922496,295.79
1,2,Tx,0.001,52.27548,1924934,294.59
1,3,Rx,0.34192,53.87924,1919582,286.84
1,3,Tx,0.001,53.85296,1925103,285.98
1,4,Rx,0.34192,57.03276,1921774,271.19
1,4,Tx,0.001,57.03376,1918610,269.12
1,5,Rx,0.34192,49.49166,1922372,312.9
1,5,Tx,0.001,49.49266,1924562,311.09
1,6,Rx,0.34192,54.40434,1921256,284.3
1,6,Tx,0.001,54.31352,1922206,283.13
1,7,Rx,0.34192,47.69026,1920264,324.45
1,7,Tx,0.001,47.69126,1925244,322.96
1,8,Rx,0.08548,5.52842,272117,399.96
1,8,Tx,0.001,5.52618,276229,399.96
1,9,Rx,0.08548,5.5284,272116,399.96
