taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,4260881,URMA_WRITE,7,0ns,0,
1,1,2,4260881,URMA_WRITE,7,0ns,1,
2,2,3,4260881,URMA_WRITE,7,0ns,2,
3,3,4,4260881,URMA_WRITE,7,0ns,3,
4,4,5,4260881,URMA_WRITE,7,0ns,4,
5,5,6,4260881,URMA_WRITE,7,0ns,5,
6,6,7,4260881,URMA_WRITE,7,0ns,6,
7,7,0,4260881,URMA_WRITE,7,0ns,7,
8,8,9,4260881,URMA_WRITE,7,0ns,8,
9,9,10,4260881,URMA_WRITE,7,0ns,9,
10,10,11,4260881,URMA_WRITE,7,0ns,10,
11,11,12,4260881,URMA_WRITE,7,0ns,11,
12,12,13,4260881,URMA_WRITE,7,0ns,12,
13,13,14,4260881,URMA_WRITE,7,0ns,13,
14,14,15,4260881,URMA_WRITE,7,0ns,14,
15,15,8,4260881,URMA_WRITE,7,0ns,15,
16,16,17,4260880,URMA_WRITE,7,0ns,16,
17,17,18,4260880,URMA_WRITE,7,0ns,17,
18,18,19,4260880,URMA_WRITE,7,0ns,18,
19,19,20,4260880,URMA_WRITE,7,0ns,19,
20,20,21,4260880,URMA_WRITE,7,0ns,20,
21,21,22,4260880,URMA_WRITE,7,0ns,21,
22,22,23,4260880,URMA_WRITE,7,0ns,22,
23,23,16,4260880,URMA_WRITE,7,0ns,23,
24,24,25,4260880,URMA_WRITE,7,0ns,24,
25,25,26,4260880,URMA_WRITE,7,0ns,25,
26,26,27,4260880,URMA_WRITE,7,0ns,26,
27,27,28,4260880,URMA_WRITE,7,0ns,27,
28,28,29,4260880,URMA_WRITE,7,0ns,28,
29,29,30,4260880,URMA_WRITE,7,0ns,29,
30,30,31,4260880,URMA_WRITE,7,0ns,30,
31,31,24,4260880,URMA_WRITE,7,0ns,31,
32,32,33,4260880,URMA_WRITE,7,0ns,32,
33,33,34,4260880,URMA_WRITE,7,0ns,33,
34,34,35,4260880,URMA_WRITE,7,0ns,34,
35,35,36,4260880,URMA_WRITE,7,0ns,35,
36,36,37,4260880,URMA_WRITE,7,0ns,36,
37,37,38,4260880,URMA_WRITE,7,0ns,37,
38,38,39,4260880,URMA_WRITE,7,0ns,38,
39,39,32,4260880,URMA_WRITE,7,0ns,39,
40,40,41,4260880,URMA_WRITE,7,0ns,40,
41,41,42,4260880,URMA_WRITE,7,0ns,41,
42,42,43,4260880,URMA_WRITE,7,0ns,42,
43,43,44,4260880,URMA_WRITE,7,0ns,43,
