algorithm,case,rank_count,per_rank_bytes,tasks,transport_channel_rows,makespan_us,global_GBps,rank0_makespan_us,rank0_GBps
baseline_fulltp,generated_topology_pod64_hccl_baseline_threadserial_a2a64_16mb,64,16777216,4032,16352,93.739980,11454.47,92.052920,182.26
baseline_fulltp_phasebarrier,generated_topology_pod64_hccl_baseline_phasebarrier_a2a64_16mb,64,16777216,4032,16352,95.348160,11261.27,95.169680,176.29
matrix_strict,generated_topology_pod64_hccl_matrix_strict_threadserial_a2a64_16mb,64,16777216,4032,2016,80.702060,13305.01,56.477400,297.06
matrix_strict_roundbarrier,generated_topology_pod64_hccl_matrix_strict_roundbarrier_a2a64_16mb,64,16777216,4032,2016,44.448600,24156.93,44.281140,378.88
meshclos_v3_strict,generated_topology_pod64_hccl_meshclos2d_v3_strict_threadserial_a2a64_16mb,64,16777216,4032,2016,71.328480,15053.48,61.878940,271.13
meshclos_v3_strict_stepbarrier,generated_topology_pod64_hccl_meshclos2d_v3_strict_stepbarrier_a2a64_16mb,64,16777216,4032,2016,44.596040,24077.07,44.490880,377.09
baseline_fulltp,generated_topology_pod64_hccl_baseline_threadserial_a2a64_64mb,64,67108864,4032,16352,190.524460,22542.87,189.222460,354.66
baseline_fulltp_phasebarrier,generated_topology_pod64_hccl_baseline_phasebarrier_a2a64_64mb,64,67108864,4032,16352,189.438080,22672.14,188.430800,356.15
matrix_strict,generated_topology_pod64_hccl_matrix_strict_threadserial_a2a64_64mb,64,67108864,4032,2016,320.781040,13389.09,219.002460,306.43
matrix_strict_roundbarrier,generated_topology_pod64_hccl_matrix_strict_roundbarrier_a2a64_64mb,64,67108864,4032,2016,162.617220,26411.52,162.182500,413.79
meshclos_v3_strict,generated_topology_pod64_hccl_meshclos2d_v3_strict_threadserial_a2a64_64mb,64,67108864,4032,2016,240.090240,17888.97,213.161180,314.83
meshclos_v3_strict_stepbarrier,generated_topology_pod64_hccl_meshclos2d_v3_strict_stepbarrier_a2a64_64mb,64,67108864,4032,2016,164.170020,26161.70,163.858020,409.55
baseline_fulltp,generated_topology_pod64_hccl_baseline_threadserial_a2a64_128mb,64,134217728,4032,16352,362.207680,23715.50,358.709120,374.17
baseline_fulltp_phasebarrier,generated_topology_pod64_hccl_baseline_phasebarrier_a2a64_128mb,64,134217728,4032,16352,364.354720,23575.75,361.298680,371.49
matrix_strict,generated_topology_pod64_hccl_matrix_strict_threadserial_a2a64_128mb,64,134217728,4032,2016,595.123740,14433.86,449.284520,298.74
matrix_strict_roundbarrier,generated_topology_pod64_hccl_matrix_strict_roundbarrier_a2a64_128mb,64,134217728,4032,2016,319.560620,26880.45,318.880020,420.90
meshclos_v3_strict,generated_topology_pod64_hccl_meshclos2d_v3_strict_threadserial_a2a64_128mb,64,134217728,4032,2016,479.937540,17898.03,430.507020,311.77
meshclos_v3_strict_stepbarrier,generated_topology_pod64_hccl_meshclos2d_v3_strict_stepbarrier_a2a64_128mb,64,134217728,4032,2016,319.073240,26921.51,318.624240,421.24
baseline_fulltp,generated_topology_pod64_hccl_baseline_threadserial_a2a64_256mb,64,268435456,4032,16352,709.204860,24224.13,692.859360,387.43
baseline_fulltp_phasebarrier,generated_topology_pod64_hccl_baseline_phasebarrier_a2a64_256mb,64,268435456,4032,16352,744.311020,23081.57,726.426200,369.53
matrix_strict,generated_topology_pod64_hccl_matrix_strict_threadserial_a2a64_256mb,64,268435456,4032,2016,1115.206340,15405.10,921.953640,291.16
matrix_strict_roundbarrier,generated_topology_pod64_hccl_matrix_strict_roundbarrier_a2a64_256mb,64,268435456,4032,2016,632.230520,27173.43,631.457020,425.10
meshclos_v3_strict,generated_topology_pod64_hccl_meshclos2d_v3_strict_threadserial_a2a64_256mb,64,268435456,4032,2016,946.533300,18150.31,847.653520,316.68
meshclos_v3_strict_stepbarrier,generated_topology_pod64_hccl_meshclos2d_v3_strict_stepbarrier_a2a64_256mb,64,268435456,4032,2016,631.528780,27203.62,630.912360,425.47
baseline_fulltp,generated_topology_pod64_hccl_baseline_threadserial_a2a64_512mb,64,536870912,4032,16352,1523.070800,22559.51,1455.691420,368.81
baseline_fulltp_phasebarrier,generated_topology_pod64_hccl_baseline_phasebarrier_a2a64_512mb,64,536870912,4032,16352,1444.564340,23785.54,1442.074600,372.29
matrix_strict,generated_topology_pod64_hccl_matrix_strict_threadserial_a2a64_512mb,64,536870912,4032,2016,2476.414380,13874.79,1981.259020,270.97
matrix_strict_roundbarrier,generated_topology_pod64_hccl_matrix_strict_roundbarrier_a2a64_512mb,64,536870912,4032,2016,1332.747880,25781.12,1324.599140,405.31
meshclos_v3_strict,generated_topology_pod64_hccl_meshclos2d_v3_strict_threadserial_a2a64_512mb,64,536870912,4032,2016,1954.688340,17578.12,1681.431440,319.29
meshclos_v3_strict_stepbarrier,generated_topology_pod64_hccl_meshclos2d_v3_strict_stepbarrier_a2a64_512mb,64,536870912,4032,2016,1251.125180,27463.07,1249.572240,429.64
baseline_fulltp,generated_topology_pod64_hccl_baseline_threadserial_a2a64_1024mb,64,1073741824,4032,16352,3105.937660,22125.20,3024.215720,355.05
baseline_fulltp_phasebarrier,generated_topology_pod64_hccl_baseline_phasebarrier_a2a64_1024mb,64,1073741824,4032,16352,2886.564440,23806.67,2858.500340,375.63
matrix_strict,generated_topology_pod64_hccl_matrix_strict_threadserial_a2a64_1024mb,64,1073741824,4032,2016,4889.519240,14054.44,4590.530700,233.90
matrix_strict_roundbarrier,generated_topology_pod64_hccl_matrix_strict_roundbarrier_a2a64_1024mb,64,1073741824,4032,2016,3152.185820,21800.58,3117.644680,344.41
meshclos_v3_strict,generated_topology_pod64_hccl_meshclos2d_v3_strict_threadserial_a2a64_1024mb,64,1073741824,4032,2016,3986.795740,17236.77,3561.495000,301.49
meshclos_v3_strict_stepbarrier,generated_topology_pod64_hccl_meshclos2d_v3_strict_stepbarrier_a2a64_1024mb,64,1073741824,4032,2016,2483.951540,27665.39,2481.226800,432.75
