taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2097152,URMA_WRITE,1,0ns,0,,0.0,178.4243,0.0,0.0,94.0299
1,0,15,2097152,URMA_WRITE,2,5000ns,1,,5.0,183.4243,0.0,0.0,94.0299
2,0,15,2097152,URMA_WRITE,3,10000ns,2,,10.0,188.4243,0.0,0.0,94.0299
3,0,15,2097152,URMA_WRITE,4,15000ns,3,,15.0,193.4243,0.0,0.0,94.0299
4,0,1,8388608,URMA_WRITE,1,20000ns,4,,20.0,193.58962,0.0,0.0,386.5949
5,0,14,2097152,URMA_WRITE,1,25000ns,5,,25.0,263.74914,0.0,0.0,70.2713
6,0,14,2097152,URMA_WRITE,2,30000ns,6,,30.0,268.58906,0.0,0.0,70.3185
7,0,14,2097152,URMA_WRITE,3,35000ns,7,,35.0,273.74914,0.0,0.0,70.2713
8,0,14,2097152,URMA_WRITE,4,40000ns,8,,40.0,278.58906,0.0,0.0,70.3185
9,0,2,8388608,URMA_WRITE,1,45000ns,9,,45.0,218.3447,0.0,0.0,387.1411
10,0,13,2097152,URMA_WRITE,1,50000ns,10,,50.0,375.15688,0.0,0.0,51.5973
11,0,13,2097152,URMA_WRITE,2,55000ns,11,,55.0,380.32346,0.0,0.0,51.5709
12,0,13,2097152,URMA_WRITE,3,60000ns,12,,60.0,385.15688,0.0,0.0,51.5973
13,0,13,2097152,URMA_WRITE,4,65000ns,13,,65.0,389.99344,0.0,0.0,51.6232
14,0,3,8388608,URMA_WRITE,1,70000ns,14,,70.0,243.58962,0.0,0.0,386.5949
15,0,12,2097152,URMA_WRITE,1,75000ns,15,,75.0,396.33058,0.0,0.0,52.2117
16,0,12,2097152,URMA_WRITE,2,80000ns,16,,80.0,400.9928,0.0,0.0,52.2666
17,0,12,2097152,URMA_WRITE,3,85000ns,17,,85.0,406.33058,0.0,0.0,52.2117
18,0,12,2097152,URMA_WRITE,4,90000ns,18,,90.0,410.82668,0.0,0.0,52.2937
19,0,4,2097152,URMA_WRITE,1,95000ns,19,,95.0,426.80658,0.0,0.0,50.5632
20,0,4,2097152,URMA_WRITE,2,100000ns,20,,100.0,431.63382,0.0,0.0,50.5896
21,0,4,2097152,URMA_WRITE,3,105000ns,21,,105.0,436.80658,0.0,0.0,50.5632
22,0,4,2097152,URMA_WRITE,4,110000ns,22,,110.0,441.54836,0.0,0.0,50.6026
23,0,11,2097152,URMA_WRITE,1,115000ns,23,,115.0,478.71892,0.0,0.0,46.1269
24,0,11,2097152,URMA_WRITE,2,120000ns,24,,120.0,483.12158,0.0,0.0,46.2028
25,0,11,2097152,URMA_WRITE,3,125000ns,25,,125.0,486.98076,0.0,0.0,46.3484
26,0,11,2097152,URMA_WRITE,4,130000ns,26,,130.0,492.95834,0.0,0.0,46.2235
27,0,5,2097152,URMA_WRITE,1,135000ns,27,,135.0,520.4799,0.0,0.0,43.5229
28,0,5,2097152,URMA_WRITE,2,140000ns,28,,140.0,525.99894,0.0,0.0,43.4644
29,0,5,2097152,URMA_WRITE,3,145000ns,29,,145.0,530.8905,0.0,0.0,43.4766
30,0,5,2097152,URMA_WRITE,4,150000ns,30,,150.0,536.24446,0.0,0.0,43.4368
31,0,10,2097152,URMA_WRITE,1,155000ns,31,,155.0,510.83228,0.0,0.0,47.1492
32,0,10,2097152,URMA_WRITE,2,160000ns,32,,160.0,515.76854,0.0,0.0,47.1577
33,0,10,2097152,URMA_WRITE,3,165000ns,33,,165.0,520.83128,0.0,0.0,47.1494
34,0,10,2097152,URMA_WRITE,4,170000ns,34,,170.0,525.99874,0.0,0.0,47.1272
35,0,6,2097152,URMA_WRITE,1,175000ns,35,,175.0,537.38022,0.0,0.0,46.2973
36,0,6,2097152,URMA_WRITE,2,180000ns,36,,180.0,542.46944,0.0,0.0,46.2859
37,0,6,2097152,URMA_WRITE,3,185000ns,37,,185.0,547.63332,0.0,0.0,46.265
38,0,6,2097152,URMA_WRITE,4,190000ns,38,,190.0,552.67462,0.0,0.0,46.2597
