nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
0,0,0,1,0,0,1,1
0,1,1,2,0,0,1,1
0,2,2,3,0,0,1,1
0,3,3,4,3,0,1,2
0,4,4,4,4,1,2,2
0,5,5,4,5,2,3,2
0,6,6,4,6,3,4,2
0,3,7,5,3,0,1,2
0,4,8,5,4,1,2,2
0,5,9,5,5,2,3,2
0,6,10,5,6,3,4,2
0,3,11,6,3,0,1,2
0,4,12,6,4,1,2,2
0,5,13,6,5,2,3,2
0,6,14,6,6,3,4,2
0,3,15,7,3,0,1,2
0,4,16,7,4,1,2,2
0,5,17,7,5,2,3,2
0,6,18,7,6,3,4,2
0,3,19,8,3,0,1,2
0,4,20,8,4,1,2,2
0,5,21,8,5,2,3,2
0,6,22,8,6,3,4,2
0,3,23,9,3,0,1,2
0,4,24,9,4,1,2,2
0,5,25,9,5,2,3,2
0,6,26,9,6,3,4,2
0,3,27,10,3,0,1,2
0,4,28,10,4,1,2,2
0,5,29,10,5,2,3,2
0,6,30,10,6,3,4,2
0,3,31,11,3,0,1,2
0,4,32,11,4,1,2,2
0,5,33,11,5,2,3,2
0,6,34,11,6,3,4,2
0,3,35,12,3,0,1,2
0,4,36,12,4,1,2,2
0,5,37,12,5,2,3,2
0,6,38,12,6,3,4,2
0,3,39,13,3,0,1,2
0,4,40,13,4,1,2,2
0,5,41,13,5,2,3,2
0,6,42,13,6,3,4,2
0,3,43,14,3,0,1,2
0,4,44,14,4,1,2,2
0,5,45,14,5,2,3,2
0,6,46,14,6,3,4,2
0,3,47,15,3,0,1,2
0,4,48,15,4,1,2,2
0,5,49,15,5,2,3,2
0,6,50,15,6,3,4,2
1,1,1,2,1,1,1,1
1,2,2,3,1,1,1,1
1,3,3,4,3,4,1,2
1,4,4,4,4,5,2,2
1,5,5,4,5,6,3,2
1,6,6,4,6,7,4,2
1,3,7,5,3,4,1,2
1,4,8,5,4,5,2,2
1,5,9,5,5,6,3,2
1,6,10,5,6,7,4,2
1,3,11,6,3,4,1,2
1,4,12,6,4,5,2,2
1,5,13,6,5,6,3,2
1,6,14,6,6,7,4,2
1,3,15,7,3,4,1,2
1,4,16,7,4,5,2,2
1,5,17,7,5,6,3,2
1,6,18,7,6,7,4,2
1,3,19,8,3,4,1,2
1,4,20,8,4,5,2,2
1,5,21,8,5,6,3,2
1,6,22,8,6,7,4,2
1,3,23,9,3,4,1,2
1,4,24,9,4,5,2,2
1,5,25,9,5,6,3,2
1,6,26,9,6,7,4,2
1,3,27,10,3,4,1,2
1,4,28,10,4,5,2,2
1,5,29,10,5,6,3,2
1,6,30,10,6,7,4,2
1,3,31,11,3,4,1,2
1,4,32,11,4,5,2,2
1,5,33,11,5,6,3,2
1,6,34,11,6,7,4,2
1,3,35,12,3,4,1,2
1,4,36,12,4,5,2,2
1,5,37,12,5,6,3,2
1,6,38,12,6,7,4,2
1,3,39,13,3,4,1,2
1,4,40,13,4,5,2,2
1,5,41,13,5,6,3,2
1,6,42,13,6,7,4,2
1,3,43,14,3,4,1,2
1,4,44,14,4,5,2,2
1,5,45,14,5,6,3,2
1,6,46,14,6,7,4,2
1,3,47,15,3,4,1,2
1,4,48,15,4,5,2,2
1,5,49,15,5,6,3,2
1,6,50,15,6,7,4,2
2,2,2,3,2,2,1,1
2,3,3,4,3,8,1,2
2,4,4,4,4,9,2,2
2,5,5,4,5,10,3,2
2,6,6,4,6,11,4,2
2,3,7,5,3,8,1,2
2,4,8,5,4,9,2,2
2,5,9,5,5,10,3,2
2,6,10,5,6,11,4,2
2,3,11,6,3,8,1,2
2,4,12,6,4,9,2,2
2,5,13,6,5,10,3,2
2,6,14,6,6,11,4,2
2,3,15,7,3,8,1,2
2,4,16,7,4,9,2,2
2,5,17,7,5,10,3,2
2,6,18,7,6,11,4,2
2,3,19,8,3,8,1,2
2,4,20,8,4,9,2,2
2,5,21,8,5,10,3,2
2,6,22,8,6,11,4,2
2,3,23,9,3,8,1,2
2,4,24,9,4,9,2,2
2,5,25,9,5,10,3,2
2,6,26,9,6,11,4,2
