taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8388608,URMA_WRITE,7,0ns,0,,0.0,523.36698,0.0,0.0,128.2253
1,0,1,8388608,URMA_WRITE,7,0ns,1,,0.0,174.0951,0.0,0.0,385.4724
2,0,14,8388608,URMA_WRITE,7,0ns,2,,0.0,523.3654,0.0,0.0,128.2256
3,0,2,8388608,URMA_WRITE,7,0ns,3,,0.0,174.0951,0.0,0.0,385.4724
4,0,13,8388608,URMA_WRITE,7,0ns,4,,0.0,526.2279,0.0,0.0,127.5281
5,0,3,8388608,URMA_WRITE,7,0ns,5,,0.0,174.0951,0.0,0.0,385.4724
6,0,12,8388608,URMA_WRITE,7,0ns,6,,0.0,526.14442,0.0,0.0,127.5484
7,0,4,8388608,URMA_WRITE,7,0ns,7,,0.0,520.38266,0.0,0.0,128.9606
8,0,11,8388608,URMA_WRITE,7,0ns,8,,0.0,526.06218,0.0,0.0,127.5683
9,0,5,8388608,URMA_WRITE,7,0ns,9,,0.0,524.02046,0.0,0.0,128.0654
10,0,10,8388608,URMA_WRITE,7,0ns,10,,0.0,525.52732,0.0,0.0,127.6981
11,0,6,8388608,URMA_WRITE,7,0ns,11,,0.0,521.90486,0.0,0.0,128.5845
12,0,9,8388608,URMA_WRITE,7,0ns,12,,0.0,523.50904,0.0,0.0,128.1905
13,0,7,8388608,URMA_WRITE,7,0ns,13,,0.0,523.1551,0.0,0.0,128.2772
14,0,8,8388608,URMA_WRITE,7,0ns,14,,0.0,525.23764,0.0,0.0,127.7686
15,1,0,8388608,URMA_WRITE,7,0ns,15,,0.0,174.0951,0.0,0.0,385.4724
16,1,2,8388608,URMA_WRITE,7,0ns,16,,0.0,174.0951,0.0,0.0,385.4724
17,1,15,8388608,URMA_WRITE,7,0ns,17,,0.0,523.21292,0.0,0.0,128.263
18,1,3,8388608,URMA_WRITE,7,0ns,18,,0.0,174.0951,0.0,0.0,385.4724
19,1,14,8388608,URMA_WRITE,7,0ns,19,,0.0,523.23112,0.0,0.0,128.2585
20,1,4,8388608,URMA_WRITE,7,0ns,20,,0.0,522.58278,0.0,0.0,128.4177
21,1,13,8388608,URMA_WRITE,7,0ns,21,,0.0,523.23618,0.0,0.0,128.2573
22,1,5,8388608,URMA_WRITE,7,0ns,22,,0.0,521.23496,0.0,0.0,128.7497
23,1,12,8388608,URMA_WRITE,7,0ns,23,,0.0,525.7905,0.0,0.0,127.6342
24,1,6,8388608,URMA_WRITE,7,0ns,24,,0.0,522.57714,0.0,0.0,128.4191
25,1,11,8388608,URMA_WRITE,7,0ns,25,,0.0,523.58524,0.0,0.0,128.1718
26,1,7,8388608,URMA_WRITE,7,0ns,26,,0.0,522.55062,0.0,0.0,128.4256
27,1,10,8388608,URMA_WRITE,7,0ns,27,,0.0,524.82846,0.0,0.0,127.8682
28,1,8,8388608,URMA_WRITE,7,0ns,28,,0.0,523.16808,0.0,0.0,128.274
29,1,9,8388608,URMA_WRITE,7,0ns,29,,0.0,523.1876,0.0,0.0,128.2692
30,2,1,8388608,URMA_WRITE,7,0ns,30,,0.0,174.0951,0.0,0.0,385.4724
31,2,3,8388608,URMA_WRITE,7,0ns,31,,0.0,174.0951,0.0,0.0,385.4724
32,2,0,8388608,URMA_WRITE,7,0ns,32,,0.0,174.0951,0.0,0.0,385.4724
33,2,4,8388608,URMA_WRITE,7,0ns,33,,0.0,523.18966,0.0,0.0,128.2687
34,2,15,8388608,URMA_WRITE,7,0ns,34,,0.0,523.65264,0.0,0.0,128.1553
35,2,5,8388608,URMA_WRITE,7,0ns,35,,0.0,522.33058,0.0,0.0,128.4797
36,2,14,8388608,URMA_WRITE,7,0ns,36,,0.0,523.7377,0.0,0.0,128.1345
37,2,6,8388608,URMA_WRITE,7,0ns,37,,0.0,522.69992,0.0,0.0,128.3889
38,2,13,8388608,URMA_WRITE,7,0ns,38,,0.0,523.5616,0.0,0.0,128.1776
39,2,7,8388608,URMA_WRITE,7,0ns,39,,0.0,523.10694,0.0,0.0,128.289
40,2,12,8388608,URMA_WRITE,7,0ns,40,,0.0,523.4709,0.0,0.0,128.1998
41,2,8,8388608,URMA_WRITE,7,0ns,41,,0.0,523.18286,0.0,0.0,128.2704
42,2,11,8388608,URMA_WRITE,7,0ns,42,,0.0,523.64646,0.0,0.0,128.1568
43,2,9,8388608,URMA_WRITE,7,0ns,43,,0.0,523.46932,0.0,0.0,128.2002
44,2,10,8388608,URMA_WRITE,7,0ns,44,,0.0,523.63292,0.0,0.0,128.1601
45,3,2,8388608,URMA_WRITE,7,0ns,45,,0.0,174.0951,0.0,0.0,385.4724
