nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,1,0,400Gbps,100ns
0,1,2,0,400Gbps,100ns
0,2,3,0,400Gbps,100ns
0,3,16,0,400Gbps,100ns
0,4,17,0,400Gbps,100ns
0,5,18,0,400Gbps,100ns
0,6,19,0,400Gbps,100ns
1,1,2,1,400Gbps,100ns
1,2,3,1,400Gbps,100ns
1,3,16,1,400Gbps,100ns
1,4,17,1,400Gbps,100ns
1,5,18,1,400Gbps,100ns
1,6,19,1,400Gbps,100ns
2,2,3,2,400Gbps,100ns
2,3,16,2,400Gbps,100ns
2,4,17,2,400Gbps,100ns
2,5,18,2,400Gbps,100ns
2,6,19,2,400Gbps,100ns
3,3,16,3,400Gbps,100ns
3,4,17,3,400Gbps,100ns
3,5,18,3,400Gbps,100ns
3,6,19,3,400Gbps,100ns
4,0,5,0,400Gbps,100ns
4,1,6,0,400Gbps,100ns
4,2,7,0,400Gbps,100ns
4,3,16,4,400Gbps,100ns
4,4,17,4,400Gbps,100ns
4,5,18,4,400Gbps,100ns
4,6,19,4,400Gbps,100ns
5,1,6,1,400Gbps,100ns
5,2,7,1,400Gbps,100ns
5,3,16,5,400Gbps,100ns
5,4,17,5,400Gbps,100ns
5,5,18,5,400Gbps,100ns
5,6,19,5,400Gbps,100ns
6,2,7,2,400Gbps,100ns
6,3,16,6,400Gbps,100ns
6,4,17,6,400Gbps,100ns
6,5,18,6,400Gbps,100ns
6,6,19,6,400Gbps,100ns
7,3,16,7,400Gbps,100ns
7,4,17,7,400Gbps,100ns
7,5,18,7,400Gbps,100ns
7,6,19,7,400Gbps,100ns
8,0,9,0,400Gbps,100ns
8,1,10,0,400Gbps,100ns
8,2,11,0,400Gbps,100ns
8,3,16,8,400Gbps,100ns
8,4,17,8,400Gbps,100ns
8,5,18,8,400Gbps,100ns
8,6,19,8,400Gbps,100ns
9,1,10,1,400Gbps,100ns
9,2,11,1,400Gbps,100ns
9,3,16,9,400Gbps,100ns
9,4,17,9,400Gbps,100ns
9,5,18,9,400Gbps,100ns
9,6,19,9,400Gbps,100ns
10,2,11,2,400Gbps,100ns
10,3,16,10,400Gbps,100ns
10,4,17,10,400Gbps,100ns
10,5,18,10,400Gbps,100ns
10,6,19,10,400Gbps,100ns
11,3,16,11,400Gbps,100ns
11,4,17,11,400Gbps,100ns
11,5,18,11,400Gbps,100ns
11,6,19,11,400Gbps,100ns
12,0,13,0,400Gbps,100ns
12,1,14,0,400Gbps,100ns
12,2,15,0,400Gbps,100ns
12,3,16,12,400Gbps,100ns
12,4,17,12,400Gbps,100ns
12,5,18,12,400Gbps,100ns
12,6,19,12,400Gbps,100ns
13,1,14,1,400Gbps,100ns
13,2,15,1,400Gbps,100ns
13,3,16,13,400Gbps,100ns
13,4,17,13,400Gbps,100ns
13,5,18,13,400Gbps,100ns
13,6,19,13,400Gbps,100ns
14,2,15,2,400Gbps,100ns
14,3,16,14,400Gbps,100ns
14,4,17,14,400Gbps,100ns
14,5,18,14,400Gbps,100ns
14,6,19,14,400Gbps,100ns
15,3,16,15,400Gbps,100ns
15,4,17,15,400Gbps,100ns
15,5,18,15,400Gbps,100ns
15,6,19,15,400Gbps,100ns
