taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8388608,URMA_WRITE,7,0ns,0,,0.0,528.00046,0.0,0.0,127.1
1,0,1,8388608,URMA_WRITE,7,0ns,1,,0.0,175.88518,0.0,0.0,381.5493
2,0,14,8388608,URMA_WRITE,7,0ns,2,,0.0,526.30236,0.0,0.0,127.5101
3,0,2,8388608,URMA_WRITE,7,0ns,3,,0.0,175.88518,0.0,0.0,381.5493
4,0,13,8388608,URMA_WRITE,7,0ns,4,,0.0,528.93036,0.0,0.0,126.8766
5,0,3,8388608,URMA_WRITE,7,0ns,5,,0.0,175.88518,0.0,0.0,381.5493
6,0,12,8388608,URMA_WRITE,7,0ns,6,,0.0,526.38524,0.0,0.0,127.49
7,0,4,8388608,URMA_WRITE,7,0ns,7,,0.0,525.19366,0.0,0.0,127.7793
8,0,11,8388608,URMA_WRITE,7,0ns,8,,0.0,526.7632,0.0,0.0,127.3985
9,0,5,8388608,URMA_WRITE,7,0ns,9,,0.0,525.78418,0.0,0.0,127.6358
10,0,10,8388608,URMA_WRITE,7,0ns,10,,0.0,527.18632,0.0,0.0,127.2963
11,0,6,8388608,URMA_WRITE,7,0ns,11,,0.0,525.78576,0.0,0.0,127.6354
12,0,9,8388608,URMA_WRITE,7,0ns,12,,0.0,525.77516,0.0,0.0,127.638
13,0,7,8388608,URMA_WRITE,7,0ns,13,,0.0,525.79918,0.0,0.0,127.6321
14,0,8,8388608,URMA_WRITE,7,0ns,14,,0.0,525.77358,0.0,0.0,127.6383
15,1,0,8388608,URMA_WRITE,7,0ns,15,,0.0,175.88518,0.0,0.0,381.5493
16,1,2,8388608,URMA_WRITE,7,0ns,16,,0.0,175.88518,0.0,0.0,381.5493
17,1,15,8388608,URMA_WRITE,7,0ns,17,,0.0,528.18478,0.0,0.0,127.0557
18,1,3,8388608,URMA_WRITE,7,0ns,18,,0.0,175.88518,0.0,0.0,381.5493
19,1,14,8388608,URMA_WRITE,7,0ns,19,,0.0,527.58456,0.0,0.0,127.2002
20,1,4,8388608,URMA_WRITE,7,0ns,20,,0.0,524.97556,0.0,0.0,127.8324
21,1,13,8388608,URMA_WRITE,7,0ns,21,,0.0,528.0598,0.0,0.0,127.0857
22,1,5,8388608,URMA_WRITE,7,0ns,22,,0.0,524.70742,0.0,0.0,127.8977
23,1,12,8388608,URMA_WRITE,7,0ns,23,,0.0,526.71132,0.0,0.0,127.4111
24,1,6,8388608,URMA_WRITE,7,0ns,24,,0.0,524.91898,0.0,0.0,127.8461
25,1,11,8388608,URMA_WRITE,7,0ns,25,,0.0,527.02194,0.0,0.0,127.336
26,1,7,8388608,URMA_WRITE,7,0ns,26,,0.0,524.93128,0.0,0.0,127.8431
27,1,10,8388608,URMA_WRITE,7,0ns,27,,0.0,527.32182,0.0,0.0,127.2636
28,1,8,8388608,URMA_WRITE,7,0ns,28,,0.0,524.7067,0.0,0.0,127.8979
29,1,9,8388608,URMA_WRITE,7,0ns,29,,0.0,527.25436,0.0,0.0,127.2799
30,2,1,8388608,URMA_WRITE,7,0ns,30,,0.0,175.88518,0.0,0.0,381.5493
31,2,3,8388608,URMA_WRITE,7,0ns,31,,0.0,175.88518,0.0,0.0,381.5493
32,2,0,8388608,URMA_WRITE,7,0ns,32,,0.0,175.88518,0.0,0.0,381.5493
33,2,4,8388608,URMA_WRITE,7,0ns,33,,0.0,527.01642,0.0,0.0,127.3373
34,2,15,8388608,URMA_WRITE,7,0ns,34,,0.0,527.51072,0.0,0.0,127.218
35,2,5,8388608,URMA_WRITE,7,0ns,35,,0.0,526.28024,0.0,0.0,127.5155
