taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,63,17043522,URMA_WRITE,7,0ns,0,
1,0,1,17043521,URMA_WRITE,7,0ns,1,
2,0,62,17043521,URMA_WRITE,7,0ns,2,
3,0,2,17043521,URMA_WRITE,7,0ns,3,
4,0,61,17043521,URMA_WRITE,7,0ns,4,
5,0,3,17043521,URMA_WRITE,7,0ns,5,
6,0,60,17043521,URMA_WRITE,7,0ns,6,
7,0,4,17043521,URMA_WRITE,7,0ns,7,
8,0,59,17043521,URMA_WRITE,7,0ns,8,
9,0,5,17043521,URMA_WRITE,7,0ns,9,
10,0,58,17043521,URMA_WRITE,7,0ns,10,
11,0,6,17043521,URMA_WRITE,7,0ns,11,
12,0,57,17043521,URMA_WRITE,7,0ns,12,
13,0,7,17043521,URMA_WRITE,7,0ns,13,
14,0,56,17043521,URMA_WRITE,7,0ns,14,
15,0,8,17043521,URMA_WRITE,7,0ns,15,
16,0,55,17043521,URMA_WRITE,7,0ns,16,
17,0,9,17043521,URMA_WRITE,7,0ns,17,
18,0,54,17043521,URMA_WRITE,7,0ns,18,
19,0,10,17043521,URMA_WRITE,7,0ns,19,
20,0,53,17043521,URMA_WRITE,7,0ns,20,
21,0,11,17043521,URMA_WRITE,7,0ns,21,
22,0,52,17043521,URMA_WRITE,7,0ns,22,
23,0,12,17043521,URMA_WRITE,7,0ns,23,
24,0,51,17043521,URMA_WRITE,7,0ns,24,
25,0,13,17043521,URMA_WRITE,7,0ns,25,
26,0,50,17043521,URMA_WRITE,7,0ns,26,
27,0,14,17043521,URMA_WRITE,7,0ns,27,
28,0,49,17043521,URMA_WRITE,7,0ns,28,
29,0,15,17043521,URMA_WRITE,7,0ns,29,
30,0,48,17043521,URMA_WRITE,7,0ns,30,
31,0,16,17043521,URMA_WRITE,7,0ns,31,
32,0,47,17043521,URMA_WRITE,7,0ns,32,
33,0,17,17043521,URMA_WRITE,7,0ns,33,
34,0,46,17043521,URMA_WRITE,7,0ns,34,
35,0,18,17043521,URMA_WRITE,7,0ns,35,
36,0,45,17043521,URMA_WRITE,7,0ns,36,
37,0,19,17043521,URMA_WRITE,7,0ns,37,
38,0,44,17043521,URMA_WRITE,7,0ns,38,
39,0,20,17043521,URMA_WRITE,7,0ns,39,
40,0,43,17043521,URMA_WRITE,7,0ns,40,
41,0,21,17043521,URMA_WRITE,7,0ns,41,
42,0,42,17043521,URMA_WRITE,7,0ns,42,
43,0,22,17043521,URMA_WRITE,7,0ns,43,
44,0,41,17043521,URMA_WRITE,7,0ns,44,
45,0,23,17043521,URMA_WRITE,7,0ns,45,
46,0,40,17043521,URMA_WRITE,7,0ns,46,
47,0,24,17043521,URMA_WRITE,7,0ns,47,
48,0,39,17043521,URMA_WRITE,7,0ns,48,
49,0,25,17043521,URMA_WRITE,7,0ns,49,
50,0,38,17043521,URMA_WRITE,7,0ns,50,
51,0,26,17043521,URMA_WRITE,7,0ns,51,
52,0,37,17043521,URMA_WRITE,7,0ns,52,
53,0,27,17043521,URMA_WRITE,7,0ns,53,
54,0,36,17043521,URMA_WRITE,7,0ns,54,
55,0,28,17043521,URMA_WRITE,7,0ns,55,
56,0,35,17043521,URMA_WRITE,7,0ns,56,
57,0,29,17043521,URMA_WRITE,7,0ns,57,
58,0,34,17043521,URMA_WRITE,7,0ns,58,
59,0,30,17043521,URMA_WRITE,7,0ns,59,
60,0,33,17043521,URMA_WRITE,7,0ns,60,
61,0,31,17043521,URMA_WRITE,7,0ns,61,
62,0,32,17043521,URMA_WRITE,7,0ns,62,
63,1,0,17043522,URMA_WRITE,7,0ns,63,
64,1,2,17043521,URMA_WRITE,7,0ns,64,
65,1,63,17043521,URMA_WRITE,7,0ns,65,
66,1,3,17043521,URMA_WRITE,7,0ns,66,
67,1,62,17043521,URMA_WRITE,7,0ns,67,
68,1,4,17043521,URMA_WRITE,7,0ns,68,
69,1,61,17043521,URMA_WRITE,7,0ns,69,
70,1,5,17043521,URMA_WRITE,7,0ns,70,
71,1,60,17043521,URMA_WRITE,7,0ns,71,
72,1,6,17043521,URMA_WRITE,7,0ns,72,
73,1,59,17043521,URMA_WRITE,7,0ns,73,
74,1,7,17043521,URMA_WRITE,7,0ns,74,
75,1,58,17043521,URMA_WRITE,7,0ns,75,
76,1,8,17043521,URMA_WRITE,7,0ns,76,
77,1,57,17043521,URMA_WRITE,7,0ns,77,
78,1,9,17043521,URMA_WRITE,7,0ns,78,
79,1,56,17043521,URMA_WRITE,7,0ns,79,
80,1,10,17043521,URMA_WRITE,7,0ns,80,
81,1,55,17043521,URMA_WRITE,7,0ns,81,
82,1,11,17043521,URMA_WRITE,7,0ns,82,
83,1,54,17043521,URMA_WRITE,7,0ns,83,
84,1,12,17043521,URMA_WRITE,7,0ns,84,
85,1,53,17043521,URMA_WRITE,7,0ns,85,
86,1,13,17043521,URMA_WRITE,7,0ns,86,
87,1,52,17043521,URMA_WRITE,7,0ns,87,
88,1,14,17043521,URMA_WRITE,7,0ns,88,
89,1,51,17043521,URMA_WRITE,7,0ns,89,
90,1,15,17043521,URMA_WRITE,7,0ns,90,
91,1,50,17043521,URMA_WRITE,7,0ns,91,
92,1,16,17043521,URMA_WRITE,7,0ns,92,
93,1,49,17043521,URMA_WRITE,7,0ns,93,
94,1,17,17043521,URMA_WRITE,7,0ns,94,
95,1,48,17043521,URMA_WRITE,7,0ns,95,
96,1,18,17043521,URMA_WRITE,7,0ns,96,
97,1,47,17043521,URMA_WRITE,7,0ns,97,
98,1,19,17043521,URMA_WRITE,7,0ns,98,
99,1,46,17043521,URMA_WRITE,7,0ns,99,
100,1,20,17043521,URMA_WRITE,7,0ns,100,
101,1,45,17043521,URMA_WRITE,7,0ns,101,
102,1,21,17043521,URMA_WRITE,7,0ns,102,
103,1,44,17043521,URMA_WRITE,7,0ns,103,
104,1,22,17043521,URMA_WRITE,7,0ns,104,
105,1,43,17043521,URMA_WRITE,7,0ns,105,
106,1,23,17043521,URMA_WRITE,7,0ns,106,
107,1,42,17043521,URMA_WRITE,7,0ns,107,
108,1,24,17043521,URMA_WRITE,7,0ns,108,
109,1,41,17043521,URMA_WRITE,7,0ns,109,
110,1,25,17043521,URMA_WRITE,7,0ns,110,
111,1,40,17043521,URMA_WRITE,7,0ns,111,
112,1,26,17043521,URMA_WRITE,7,0ns,112,
113,1,39,17043521,URMA_WRITE,7,0ns,113,
114,1,27,17043521,URMA_WRITE,7,0ns,114,
115,1,38,17043521,URMA_WRITE,7,0ns,115,
116,1,28,17043521,URMA_WRITE,7,0ns,116,
117,1,37,17043521,URMA_WRITE,7,0ns,117,
118,1,29,17043521,URMA_WRITE,7,0ns,118,
119,1,36,17043521,URMA_WRITE,7,0ns,119,
120,1,30,17043521,URMA_WRITE,7,0ns,120,
121,1,35,17043521,URMA_WRITE,7,0ns,121,
122,1,31,17043521,URMA_WRITE,7,0ns,122,
123,1,34,17043521,URMA_WRITE,7,0ns,123,
