taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,63,2130441,URMA_WRITE,7,0ns,0,,0.0,335.29206,0.0,0.0,50.8319
1,0,1,2130441,URMA_WRITE,7,0ns,1,,0.0,182.36804,0.0,0.0,93.4568
2,0,62,2130441,URMA_WRITE,7,0ns,2,,0.0,335.88078,0.0,0.0,50.7428
3,0,2,2130441,URMA_WRITE,7,0ns,3,,0.0,182.98304,0.0,0.0,93.1427
4,0,61,2130441,URMA_WRITE,7,0ns,4,,0.0,335.46928,0.0,0.0,50.805
5,0,3,2130441,URMA_WRITE,7,0ns,5,,0.0,183.06262,0.0,0.0,93.1022
6,0,60,2130441,URMA_WRITE,7,0ns,6,,0.0,337.90434,0.0,0.0,50.4389
7,0,4,2130441,URMA_WRITE,7,0ns,7,,0.0,183.82668,0.0,0.0,92.7152
8,0,59,2130440,URMA_WRITE,7,0ns,8,,0.0,336.03894,0.0,0.0,50.7189
9,0,5,2130440,URMA_WRITE,7,0ns,9,,0.0,182.72058,0.0,0.0,93.2764
10,0,58,2130440,URMA_WRITE,7,0ns,10,,0.0,335.98338,0.0,0.0,50.7273
11,0,6,2130440,URMA_WRITE,7,0ns,11,,0.0,182.72216,0.0,0.0,93.2756
12,0,57,2130440,URMA_WRITE,7,0ns,12,,0.0,337.88884,0.0,0.0,50.4412
13,0,7,2130440,URMA_WRITE,7,0ns,13,,0.0,182.46436,0.0,0.0,93.4074
14,0,56,2130440,URMA_WRITE,7,0ns,14,,0.0,334.73908,0.0,0.0,50.9158
15,0,8,2130440,URMA_WRITE,7,0ns,15,,0.0,334.6818,0.0,0.0,50.9245
16,0,55,2130440,URMA_WRITE,7,0ns,16,,0.0,335.59398,0.0,0.0,50.7861
17,0,9,2130440,URMA_WRITE,7,0ns,17,,0.0,339.2119,0.0,0.0,50.2445
18,0,54,2130440,URMA_WRITE,7,0ns,18,,0.0,335.22058,0.0,0.0,50.8427
19,0,10,2130440,URMA_WRITE,7,0ns,19,,0.0,333.7989,0.0,0.0,51.0592
20,0,53,2130440,URMA_WRITE,7,0ns,20,,0.0,335.56584,0.0,0.0,50.7904
21,0,11,2130440,URMA_WRITE,7,0ns,21,,0.0,334.39812,0.0,0.0,50.9678
22,0,52,2130440,URMA_WRITE,7,0ns,22,,0.0,337.79086,0.0,0.0,50.4558
23,0,12,2130440,URMA_WRITE,7,0ns,23,,0.0,334.31912,0.0,0.0,50.9798
24,0,51,2130440,URMA_WRITE,7,0ns,24,,0.0,334.73096,0.0,0.0,50.9171
25,0,13,2130440,URMA_WRITE,7,0ns,25,,0.0,334.62774,0.0,0.0,50.9328
26,0,50,2130440,URMA_WRITE,7,0ns,26,,0.0,335.03704,0.0,0.0,50.8706
27,0,14,2130440,URMA_WRITE,7,0ns,27,,0.0,335.02944,0.0,0.0,50.8717
28,0,49,2130440,URMA_WRITE,7,0ns,28,,0.0,335.0229,0.0,0.0,50.8727
29,0,15,2130440,URMA_WRITE,7,0ns,29,,0.0,335.12368,0.0,0.0,50.8574
30,0,48,2130440,URMA_WRITE,7,0ns,30,,0.0,334.673,0.0,0.0,50.9259
31,0,16,2130440,URMA_WRITE,7,0ns,31,,0.0,333.669,0.0,0.0,51.0791
32,0,47,2130440,URMA_WRITE,7,0ns,32,,0.0,335.87588,0.0,0.0,50.7435
33,0,17,2130440,URMA_WRITE,7,0ns,33,,0.0,334.92014,0.0,0.0,50.8883
34,0,46,2130440,URMA_WRITE,7,0ns,34,,0.0,335.77436,0.0,0.0,50.7588
35,0,18,2130440,URMA_WRITE,7,0ns,35,,0.0,334.21996,0.0,0.0,50.9949
36,0,45,2130440,URMA_WRITE,7,0ns,36,,0.0,337.1286,0.0,0.0,50.555
37,0,19,2130440,URMA_WRITE,7,0ns,37,,0.0,335.29048,0.0,0.0,50.8321
38,0,44,2130440,URMA_WRITE,7,0ns,38,,0.0,334.53242,0.0,0.0,50.9473
39,0,20,2130440,URMA_WRITE,7,0ns,39,,0.0,335.03862,0.0,0.0,50.8703
40,0,43,2130440,URMA_WRITE,7,0ns,40,,0.0,335.35266,0.0,0.0,50.8227
