taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,1065221,URMA_WRITE,7,0ns,0,
1,1,2,1065221,URMA_WRITE,7,0ns,1,
2,2,3,1065221,URMA_WRITE,7,0ns,2,
3,3,4,1065221,URMA_WRITE,7,0ns,3,
4,4,5,1065220,URMA_WRITE,7,0ns,4,
5,5,6,1065220,URMA_WRITE,7,0ns,5,
6,6,7,1065220,URMA_WRITE,7,0ns,6,
7,7,0,1065221,URMA_WRITE,7,0ns,7,
8,8,9,1065220,URMA_WRITE,7,0ns,8,
9,9,10,1065220,URMA_WRITE,7,0ns,9,
10,10,11,1065220,URMA_WRITE,7,0ns,10,
11,11,12,1065220,URMA_WRITE,7,0ns,11,
12,12,13,1065220,URMA_WRITE,7,0ns,12,
13,13,14,1065220,URMA_WRITE,7,0ns,13,
14,14,15,1065220,URMA_WRITE,7,0ns,14,
15,15,8,1065220,URMA_WRITE,7,0ns,15,
16,16,17,1065220,URMA_WRITE,7,0ns,16,
17,17,18,1065220,URMA_WRITE,7,0ns,17,
18,18,19,1065220,URMA_WRITE,7,0ns,18,
19,19,20,1065220,URMA_WRITE,7,0ns,19,
20,20,21,1065220,URMA_WRITE,7,0ns,20,
21,21,22,1065220,URMA_WRITE,7,0ns,21,
22,22,23,1065220,URMA_WRITE,7,0ns,22,
23,23,16,1065220,URMA_WRITE,7,0ns,23,
24,24,25,1065220,URMA_WRITE,7,0ns,24,
25,25,26,1065220,URMA_WRITE,7,0ns,25,
26,26,27,1065220,URMA_WRITE,7,0ns,26,
27,27,28,1065220,URMA_WRITE,7,0ns,27,
28,28,29,1065220,URMA_WRITE,7,0ns,28,
29,29,30,1065220,URMA_WRITE,7,0ns,29,
30,30,31,1065220,URMA_WRITE,7,0ns,30,
31,31,24,1065220,URMA_WRITE,7,0ns,31,
32,32,33,1065220,URMA_WRITE,7,0ns,32,
33,33,34,1065220,URMA_WRITE,7,0ns,33,
34,34,35,1065220,URMA_WRITE,7,0ns,34,
35,35,36,1065220,URMA_WRITE,7,0ns,35,
36,36,37,1065220,URMA_WRITE,7,0ns,36,
37,37,38,1065220,URMA_WRITE,7,0ns,37,
38,38,39,1065220,URMA_WRITE,7,0ns,38,
39,39,32,1065220,URMA_WRITE,7,0ns,39,
40,40,41,1065220,URMA_WRITE,7,0ns,40,
41,41,42,1065220,URMA_WRITE,7,0ns,41,
42,42,43,1065220,URMA_WRITE,7,0ns,42,
43,43,44,1065220,URMA_WRITE,7,0ns,43,
44,44,45,1065220,URMA_WRITE,7,0ns,44,
45,45,46,1065220,URMA_WRITE,7,0ns,45,
46,46,47,1065220,URMA_WRITE,7,0ns,46,
47,47,40,1065220,URMA_WRITE,7,0ns,47,
48,48,49,1065220,URMA_WRITE,7,0ns,48,
49,49,50,1065220,URMA_WRITE,7,0ns,49,
50,50,51,1065220,URMA_WRITE,7,0ns,50,
51,51,52,1065220,URMA_WRITE,7,0ns,51,
52,52,53,1065220,URMA_WRITE,7,0ns,52,
53,53,54,1065220,URMA_WRITE,7,0ns,53,
54,54,55,1065220,URMA_WRITE,7,0ns,54,
55,55,48,1065220,URMA_WRITE,7,0ns,55,
56,56,57,1065220,URMA_WRITE,7,0ns,56,
57,57,58,1065220,URMA_WRITE,7,0ns,57,
58,58,59,1065220,URMA_WRITE,7,0ns,58,
59,59,60,1065220,URMA_WRITE,7,0ns,59,
60,60,61,1065220,URMA_WRITE,7,0ns,60,
61,61,62,1065220,URMA_WRITE,7,0ns,61,
62,62,63,1065220,URMA_WRITE,7,0ns,62,
63,63,56,1065220,URMA_WRITE,7,0ns,63,
64,0,2,1065221,URMA_WRITE,7,0ns,64,
65,1,3,1065221,URMA_WRITE,7,0ns,65,
66,2,4,1065221,URMA_WRITE,7,0ns,66,
67,3,5,1065220,URMA_WRITE,7,0ns,67,
68,4,6,1065220,URMA_WRITE,7,0ns,68,
69,5,7,1065220,URMA_WRITE,7,0ns,69,
70,6,0,1065221,URMA_WRITE,7,0ns,70,
71,7,1,1065221,URMA_WRITE,7,0ns,71,
72,8,10,1065220,URMA_WRITE,7,0ns,72,
73,9,11,1065220,URMA_WRITE,7,0ns,73,
74,10,12,1065220,URMA_WRITE,7,0ns,74,
75,11,13,1065220,URMA_WRITE,7,0ns,75,
76,12,14,1065220,URMA_WRITE,7,0ns,76,
77,13,15,1065220,URMA_WRITE,7,0ns,77,
78,14,8,1065220,URMA_WRITE,7,0ns,78,
79,15,9,1065220,URMA_WRITE,7,0ns,79,
80,16,18,1065220,URMA_WRITE,7,0ns,80,
81,17,19,1065220,URMA_WRITE,7,0ns,81,
82,18,20,1065220,URMA_WRITE,7,0ns,82,
83,19,21,1065220,URMA_WRITE,7,0ns,83,
84,20,22,1065220,URMA_WRITE,7,0ns,84,
85,21,23,1065220,URMA_WRITE,7,0ns,85,
86,22,16,1065220,URMA_WRITE,7,0ns,86,
87,23,17,1065220,URMA_WRITE,7,0ns,87,
88,24,26,1065220,URMA_WRITE,7,0ns,88,
89,25,27,1065220,URMA_WRITE,7,0ns,89,
90,26,28,1065220,URMA_WRITE,7,0ns,90,
91,27,29,1065220,URMA_WRITE,7,0ns,91,
92,28,30,1065220,URMA_WRITE,7,0ns,92,
93,29,31,1065220,URMA_WRITE,7,0ns,93,
94,30,24,1065220,URMA_WRITE,7,0ns,94,
95,31,25,1065220,URMA_WRITE,7,0ns,95,
96,32,34,1065220,URMA_WRITE,7,0ns,96,
97,33,35,1065220,URMA_WRITE,7,0ns,97,
98,34,36,1065220,URMA_WRITE,7,0ns,98,
99,35,37,1065220,URMA_WRITE,7,0ns,99,
100,36,38,1065220,URMA_WRITE,7,0ns,100,
101,37,39,1065220,URMA_WRITE,7,0ns,101,
102,38,32,1065220,URMA_WRITE,7,0ns,102,
103,39,33,1065220,URMA_WRITE,7,0ns,103,
104,40,42,1065220,URMA_WRITE,7,0ns,104,
105,41,43,1065220,URMA_WRITE,7,0ns,105,
106,42,44,1065220,URMA_WRITE,7,0ns,106,
107,43,45,1065220,URMA_WRITE,7,0ns,107,
108,44,46,1065220,URMA_WRITE,7,0ns,108,
109,45,47,1065220,URMA_WRITE,7,0ns,109,
110,46,40,1065220,URMA_WRITE,7,0ns,110,
111,47,41,1065220,URMA_WRITE,7,0ns,111,
112,48,50,1065220,URMA_WRITE,7,0ns,112,
113,49,51,1065220,URMA_WRITE,7,0ns,113,
114,50,52,1065220,URMA_WRITE,7,0ns,114,
115,51,53,1065220,URMA_WRITE,7,0ns,115,
116,52,54,1065220,URMA_WRITE,7,0ns,116,
117,53,55,1065220,URMA_WRITE,7,0ns,117,
118,54,48,1065220,URMA_WRITE,7,0ns,118,
119,55,49,1065220,URMA_WRITE,7,0ns,119,
120,56,58,1065220,URMA_WRITE,7,0ns,120,
121,57,59,1065220,URMA_WRITE,7,0ns,121,
122,58,60,1065220,URMA_WRITE,7,0ns,122,
123,59,61,1065220,URMA_WRITE,7,0ns,123,
124,60,62,1065220,URMA_WRITE,7,0ns,124,
125,61,63,1065220,URMA_WRITE,7,0ns,125,
126,62,56,1065220,URMA_WRITE,7,0ns,126,
127,63,57,1065220,URMA_WRITE,7,0ns,127,
128,0,3,1065221,URMA_WRITE,7,0ns,128,
129,1,4,1065221,URMA_WRITE,7,0ns,129,
130,2,5,1065220,URMA_WRITE,7,0ns,130,
131,3,6,1065220,URMA_WRITE,7,0ns,131,
132,4,7,1065220,URMA_WRITE,7,0ns,132,
133,5,0,1065221,URMA_WRITE,7,0ns,133,
134,6,1,1065221,URMA_WRITE,7,0ns,134,
135,7,2,1065221,URMA_WRITE,7,0ns,135,
136,8,11,1065220,URMA_WRITE,7,0ns,136,
137,9,12,1065220,URMA_WRITE,7,0ns,137,
138,10,13,1065220,URMA_WRITE,7,0ns,138,
139,11,14,1065220,URMA_WRITE,7,0ns,139,
140,12,15,1065220,URMA_WRITE,7,0ns,140,
141,13,8,1065220,URMA_WRITE,7,0ns,141,
142,14,9,1065220,URMA_WRITE,7,0ns,142,
143,15,10,1065220,URMA_WRITE,7,0ns,143,
144,16,19,1065220,URMA_WRITE,7,0ns,144,
145,17,20,1065220,URMA_WRITE,7,0ns,145,
146,18,21,1065220,URMA_WRITE,7,0ns,146,
147,19,22,1065220,URMA_WRITE,7,0ns,147,
148,20,23,1065220,URMA_WRITE,7,0ns,148,
149,21,16,1065220,URMA_WRITE,7,0ns,149,
150,22,17,1065220,URMA_WRITE,7,0ns,150,
151,23,18,1065220,URMA_WRITE,7,0ns,151,
152,24,27,1065220,URMA_WRITE,7,0ns,152,
153,25,28,1065220,URMA_WRITE,7,0ns,153,
154,26,29,1065220,URMA_WRITE,7,0ns,154,
155,27,30,1065220,URMA_WRITE,7,0ns,155,
156,28,31,1065220,URMA_WRITE,7,0ns,156,
157,29,24,1065220,URMA_WRITE,7,0ns,157,
158,30,25,1065220,URMA_WRITE,7,0ns,158,
159,31,26,1065220,URMA_WRITE,7,0ns,159,
160,32,35,1065220,URMA_WRITE,7,0ns,160,
161,33,36,1065220,URMA_WRITE,7,0ns,161,
162,34,37,1065220,URMA_WRITE,7,0ns,162,
163,35,38,1065220,URMA_WRITE,7,0ns,163,
164,36,39,1065220,URMA_WRITE,7,0ns,164,
165,37,32,1065220,URMA_WRITE,7,0ns,165,
166,38,33,1065220,URMA_WRITE,7,0ns,166,
167,39,34,1065220,URMA_WRITE,7,0ns,167,
168,40,43,1065220,URMA_WRITE,7,0ns,168,
169,41,44,1065220,URMA_WRITE,7,0ns,169,
170,42,45,1065220,URMA_WRITE,7,0ns,170,
171,43,46,1065220,URMA_WRITE,7,0ns,171,
172,44,47,1065220,URMA_WRITE,7,0ns,172,
173,45,40,1065220,URMA_WRITE,7,0ns,173,
174,46,41,1065220,URMA_WRITE,7,0ns,174,
175,47,42,1065220,URMA_WRITE,7,0ns,175,
176,48,51,1065220,URMA_WRITE,7,0ns,176,
177,49,52,1065220,URMA_WRITE,7,0ns,177,
178,50,53,1065220,URMA_WRITE,7,0ns,178,
179,51,54,1065220,URMA_WRITE,7,0ns,179,
180,52,55,1065220,URMA_WRITE,7,0ns,180,
181,53,48,1065220,URMA_WRITE,7,0ns,181,
182,54,49,1065220,URMA_WRITE,7,0ns,182,
