taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,17043522,URMA_WRITE,7,0ns,0,
1,1,2,17043521,URMA_WRITE,7,0ns,1,
2,2,3,17043521,URMA_WRITE,7,0ns,2,
3,3,4,17043521,URMA_WRITE,7,0ns,3,
4,4,5,17043521,URMA_WRITE,7,0ns,4,
5,5,6,17043521,URMA_WRITE,7,0ns,5,
6,6,7,17043521,URMA_WRITE,7,0ns,6,
7,7,0,17043522,URMA_WRITE,7,0ns,7,
8,8,9,17043521,URMA_WRITE,7,0ns,8,
9,9,10,17043521,URMA_WRITE,7,0ns,9,
10,10,11,17043521,URMA_WRITE,7,0ns,10,
11,11,12,17043521,URMA_WRITE,7,0ns,11,
12,12,13,17043521,URMA_WRITE,7,0ns,12,
13,13,14,17043521,URMA_WRITE,7,0ns,13,
14,14,15,17043521,URMA_WRITE,7,0ns,14,
15,15,8,17043521,URMA_WRITE,7,0ns,15,
16,16,17,17043521,URMA_WRITE,7,0ns,16,
17,17,18,17043521,URMA_WRITE,7,0ns,17,
18,18,19,17043521,URMA_WRITE,7,0ns,18,
19,19,20,17043521,URMA_WRITE,7,0ns,19,
20,20,21,17043521,URMA_WRITE,7,0ns,20,
21,21,22,17043521,URMA_WRITE,7,0ns,21,
22,22,23,17043521,URMA_WRITE,7,0ns,22,
23,23,16,17043521,URMA_WRITE,7,0ns,23,
24,24,25,17043521,URMA_WRITE,7,0ns,24,
25,25,26,17043521,URMA_WRITE,7,0ns,25,
26,26,27,17043521,URMA_WRITE,7,0ns,26,
27,27,28,17043521,URMA_WRITE,7,0ns,27,
28,28,29,17043521,URMA_WRITE,7,0ns,28,
29,29,30,17043521,URMA_WRITE,7,0ns,29,
30,30,31,17043521,URMA_WRITE,7,0ns,30,
31,31,24,17043521,URMA_WRITE,7,0ns,31,
32,32,33,17043521,URMA_WRITE,7,0ns,32,
33,33,34,17043521,URMA_WRITE,7,0ns,33,
34,34,35,17043521,URMA_WRITE,7,0ns,34,
35,35,36,17043521,URMA_WRITE,7,0ns,35,
36,36,37,17043521,URMA_WRITE,7,0ns,36,
37,37,38,17043521,URMA_WRITE,7,0ns,37,
38,38,39,17043521,URMA_WRITE,7,0ns,38,
39,39,32,17043521,URMA_WRITE,7,0ns,39,
40,40,41,17043521,URMA_WRITE,7,0ns,40,
41,41,42,17043521,URMA_WRITE,7,0ns,41,
42,42,43,17043521,URMA_WRITE,7,0ns,42,
43,43,44,17043521,URMA_WRITE,7,0ns,43,
44,44,45,17043521,URMA_WRITE,7,0ns,44,
45,45,46,17043521,URMA_WRITE,7,0ns,45,
46,46,47,17043521,URMA_WRITE,7,0ns,46,
47,47,40,17043521,URMA_WRITE,7,0ns,47,
48,48,49,17043521,URMA_WRITE,7,0ns,48,
49,49,50,17043521,URMA_WRITE,7,0ns,49,
50,50,51,17043521,URMA_WRITE,7,0ns,50,
51,51,52,17043521,URMA_WRITE,7,0ns,51,
52,52,53,17043521,URMA_WRITE,7,0ns,52,
53,53,54,17043521,URMA_WRITE,7,0ns,53,
54,54,55,17043521,URMA_WRITE,7,0ns,54,
55,55,48,17043521,URMA_WRITE,7,0ns,55,
56,56,57,17043521,URMA_WRITE,7,0ns,56,
57,57,58,17043521,URMA_WRITE,7,0ns,57,
58,58,59,17043521,URMA_WRITE,7,0ns,58,
59,59,60,17043521,URMA_WRITE,7,0ns,59,
60,60,61,17043521,URMA_WRITE,7,0ns,60,
61,61,62,17043521,URMA_WRITE,7,0ns,61,
62,62,63,17043521,URMA_WRITE,7,0ns,62,
63,63,56,17043521,URMA_WRITE,7,0ns,63,
64,0,2,17043521,URMA_WRITE,7,0ns,64,
65,1,3,17043521,URMA_WRITE,7,0ns,65,
66,2,4,17043521,URMA_WRITE,7,0ns,66,
67,3,5,17043521,URMA_WRITE,7,0ns,67,
68,4,6,17043521,URMA_WRITE,7,0ns,68,
69,5,7,17043521,URMA_WRITE,7,0ns,69,
70,6,0,17043522,URMA_WRITE,7,0ns,70,
71,7,1,17043521,URMA_WRITE,7,0ns,71,
72,8,10,17043521,URMA_WRITE,7,0ns,72,
73,9,11,17043521,URMA_WRITE,7,0ns,73,
74,10,12,17043521,URMA_WRITE,7,0ns,74,
75,11,13,17043521,URMA_WRITE,7,0ns,75,
76,12,14,17043521,URMA_WRITE,7,0ns,76,
77,13,15,17043521,URMA_WRITE,7,0ns,77,
78,14,8,17043521,URMA_WRITE,7,0ns,78,
79,15,9,17043521,URMA_WRITE,7,0ns,79,
80,16,18,17043521,URMA_WRITE,7,0ns,80,
81,17,19,17043521,URMA_WRITE,7,0ns,81,
82,18,20,17043521,URMA_WRITE,7,0ns,82,
83,19,21,17043521,URMA_WRITE,7,0ns,83,
84,20,22,17043521,URMA_WRITE,7,0ns,84,
85,21,23,17043521,URMA_WRITE,7,0ns,85,
86,22,16,17043521,URMA_WRITE,7,0ns,86,
87,23,17,17043521,URMA_WRITE,7,0ns,87,
88,24,26,17043521,URMA_WRITE,7,0ns,88,
89,25,27,17043521,URMA_WRITE,7,0ns,89,
90,26,28,17043521,URMA_WRITE,7,0ns,90,
91,27,29,17043521,URMA_WRITE,7,0ns,91,
92,28,30,17043521,URMA_WRITE,7,0ns,92,
93,29,31,17043521,URMA_WRITE,7,0ns,93,
94,30,24,17043521,URMA_WRITE,7,0ns,94,
95,31,25,17043521,URMA_WRITE,7,0ns,95,
96,32,34,17043521,URMA_WRITE,7,0ns,96,
97,33,35,17043521,URMA_WRITE,7,0ns,97,
98,34,36,17043521,URMA_WRITE,7,0ns,98,
99,35,37,17043521,URMA_WRITE,7,0ns,99,
100,36,38,17043521,URMA_WRITE,7,0ns,100,
101,37,39,17043521,URMA_WRITE,7,0ns,101,
102,38,32,17043521,URMA_WRITE,7,0ns,102,
103,39,33,17043521,URMA_WRITE,7,0ns,103,
104,40,42,17043521,URMA_WRITE,7,0ns,104,
105,41,43,17043521,URMA_WRITE,7,0ns,105,
106,42,44,17043521,URMA_WRITE,7,0ns,106,
107,43,45,17043521,URMA_WRITE,7,0ns,107,
108,44,46,17043521,URMA_WRITE,7,0ns,108,
109,45,47,17043521,URMA_WRITE,7,0ns,109,
110,46,40,17043521,URMA_WRITE,7,0ns,110,
111,47,41,17043521,URMA_WRITE,7,0ns,111,
112,48,50,17043521,URMA_WRITE,7,0ns,112,
113,49,51,17043521,URMA_WRITE,7,0ns,113,
114,50,52,17043521,URMA_WRITE,7,0ns,114,
115,51,53,17043521,URMA_WRITE,7,0ns,115,
116,52,54,17043521,URMA_WRITE,7,0ns,116,
117,53,55,17043521,URMA_WRITE,7,0ns,117,
118,54,48,17043521,URMA_WRITE,7,0ns,118,
119,55,49,17043521,URMA_WRITE,7,0ns,119,
120,56,58,17043521,URMA_WRITE,7,0ns,120,
121,57,59,17043521,URMA_WRITE,7,0ns,121,
122,58,60,17043521,URMA_WRITE,7,0ns,122,
123,59,61,17043521,URMA_WRITE,7,0ns,123,
124,60,62,17043521,URMA_WRITE,7,0ns,124,
125,61,63,17043521,URMA_WRITE,7,0ns,125,
126,62,56,17043521,URMA_WRITE,7,0ns,126,
127,63,57,17043521,URMA_WRITE,7,0ns,127,
128,0,3,17043521,URMA_WRITE,7,0ns,128,
129,1,4,17043521,URMA_WRITE,7,0ns,129,
130,2,5,17043521,URMA_WRITE,7,0ns,130,
131,3,6,17043521,URMA_WRITE,7,0ns,131,
132,4,7,17043521,URMA_WRITE,7,0ns,132,
133,5,0,17043522,URMA_WRITE,7,0ns,133,
134,6,1,17043521,URMA_WRITE,7,0ns,134,
135,7,2,17043521,URMA_WRITE,7,0ns,135,
136,8,11,17043521,URMA_WRITE,7,0ns,136,
137,9,12,17043521,URMA_WRITE,7,0ns,137,
138,10,13,17043521,URMA_WRITE,7,0ns,138,
139,11,14,17043521,URMA_WRITE,7,0ns,139,
140,12,15,17043521,URMA_WRITE,7,0ns,140,
141,13,8,17043521,URMA_WRITE,7,0ns,141,
142,14,9,17043521,URMA_WRITE,7,0ns,142,
143,15,10,17043521,URMA_WRITE,7,0ns,143,
144,16,19,17043521,URMA_WRITE,7,0ns,144,
145,17,20,17043521,URMA_WRITE,7,0ns,145,
146,18,21,17043521,URMA_WRITE,7,0ns,146,
147,19,22,17043521,URMA_WRITE,7,0ns,147,
148,20,23,17043521,URMA_WRITE,7,0ns,148,
149,21,16,17043521,URMA_WRITE,7,0ns,149,
150,22,17,17043521,URMA_WRITE,7,0ns,150,
151,23,18,17043521,URMA_WRITE,7,0ns,151,
152,24,27,17043521,URMA_WRITE,7,0ns,152,
153,25,28,17043521,URMA_WRITE,7,0ns,153,
154,26,29,17043521,URMA_WRITE,7,0ns,154,
155,27,30,17043521,URMA_WRITE,7,0ns,155,
156,28,31,17043521,URMA_WRITE,7,0ns,156,
157,29,24,17043521,URMA_WRITE,7,0ns,157,
158,30,25,17043521,URMA_WRITE,7,0ns,158,
159,31,26,17043521,URMA_WRITE,7,0ns,159,
160,32,35,17043521,URMA_WRITE,7,0ns,160,
161,33,36,17043521,URMA_WRITE,7,0ns,161,
162,34,37,17043521,URMA_WRITE,7,0ns,162,
163,35,38,17043521,URMA_WRITE,7,0ns,163,
164,36,39,17043521,URMA_WRITE,7,0ns,164,
165,37,32,17043521,URMA_WRITE,7,0ns,165,
166,38,33,17043521,URMA_WRITE,7,0ns,166,
167,39,34,17043521,URMA_WRITE,7,0ns,167,
168,40,43,17043521,URMA_WRITE,7,0ns,168,
169,41,44,17043521,URMA_WRITE,7,0ns,169,
170,42,45,17043521,URMA_WRITE,7,0ns,170,
171,43,46,17043521,URMA_WRITE,7,0ns,171,
172,44,47,17043521,URMA_WRITE,7,0ns,172,
173,45,40,17043521,URMA_WRITE,7,0ns,173,
174,46,41,17043521,URMA_WRITE,7,0ns,174,
175,47,42,17043521,URMA_WRITE,7,0ns,175,
176,48,51,17043521,URMA_WRITE,7,0ns,176,
177,49,52,17043521,URMA_WRITE,7,0ns,177,
178,50,53,17043521,URMA_WRITE,7,0ns,178,
179,51,54,17043521,URMA_WRITE,7,0ns,179,
180,52,55,17043521,URMA_WRITE,7,0ns,180,
181,53,48,17043521,URMA_WRITE,7,0ns,181,
182,54,49,17043521,URMA_WRITE,7,0ns,182,
183,55,50,17043521,URMA_WRITE,7,0ns,183,
184,56,59,17043521,URMA_WRITE,7,0ns,184,
185,57,60,17043521,URMA_WRITE,7,0ns,185,
186,58,61,17043521,URMA_WRITE,7,0ns,186,
187,59,62,17043521,URMA_WRITE,7,0ns,187,
188,60,63,17043521,URMA_WRITE,7,0ns,188,
189,61,56,17043521,URMA_WRITE,7,0ns,189,
190,62,57,17043521,URMA_WRITE,7,0ns,190,
191,63,58,17043521,URMA_WRITE,7,0ns,191,
192,0,4,17043521,URMA_WRITE,7,0ns,192,
193,1,5,17043521,URMA_WRITE,7,0ns,193,
194,2,6,17043521,URMA_WRITE,7,0ns,194,
195,3,7,17043521,URMA_WRITE,7,0ns,195,
196,4,0,17043522,URMA_WRITE,7,0ns,192,
197,5,1,17043521,URMA_WRITE,7,0ns,193,
198,6,2,17043521,URMA_WRITE,7,0ns,194,
199,7,3,17043521,URMA_WRITE,7,0ns,195,
200,8,12,17043521,URMA_WRITE,7,0ns,196,
201,9,13,17043521,URMA_WRITE,7,0ns,197,
202,10,14,17043521,URMA_WRITE,7,0ns,198,
203,11,15,17043521,URMA_WRITE,7,0ns,199,
204,12,8,17043521,URMA_WRITE,7,0ns,196,
205,13,9,17043521,URMA_WRITE,7,0ns,197,
206,14,10,17043521,URMA_WRITE,7,0ns,198,
207,15,11,17043521,URMA_WRITE,7,0ns,199,
208,16,20,17043521,URMA_WRITE,7,0ns,200,
209,17,21,17043521,URMA_WRITE,7,0ns,201,
210,18,22,17043521,URMA_WRITE,7,0ns,202,
211,19,23,17043521,URMA_WRITE,7,0ns,203,
212,20,16,17043521,URMA_WRITE,7,0ns,200,
213,21,17,17043521,URMA_WRITE,7,0ns,201,
214,22,18,17043521,URMA_WRITE,7,0ns,202,
215,23,19,17043521,URMA_WRITE,7,0ns,203,
216,24,28,17043521,URMA_WRITE,7,0ns,204,
217,25,29,17043521,URMA_WRITE,7,0ns,205,
218,26,30,17043521,URMA_WRITE,7,0ns,206,
219,27,31,17043521,URMA_WRITE,7,0ns,207,
220,28,24,17043521,URMA_WRITE,7,0ns,204,
221,29,25,17043521,URMA_WRITE,7,0ns,205,
222,30,26,17043521,URMA_WRITE,7,0ns,206,
223,31,27,17043521,URMA_WRITE,7,0ns,207,
224,32,36,17043521,URMA_WRITE,7,0ns,208,
