taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1118482,URMA_WRITE,7,0ns,0,,0.0,92.84652,0.16896,92.853,96.3726
1,0,1,1118481,URMA_WRITE,7,0ns,1,,0.0,23.19236,0.001,23.19502,385.8102
2,0,14,1118481,URMA_WRITE,7,0ns,2,,0.0,51.322,0.002,51.37808,174.3472
3,0,2,1118481,URMA_WRITE,7,0ns,3,,0.0,23.19234,0.001,23.195,385.8105
4,0,13,1118481,URMA_WRITE,7,0ns,4,,0.0,111.76256,0.002,111.8813,80.0612
5,0,3,1118481,URMA_WRITE,7,0ns,5,,0.0,23.19234,0.001,23.195,385.8105
6,0,12,1118481,URMA_WRITE,7,0ns,6,,0.0,92.65394,0.003,92.6689,96.5728
7,0,4,1118481,URMA_WRITE,7,0ns,7,,0.0,69.27758,0.001,69.28264,129.1594
8,0,11,1118481,URMA_WRITE,7,0ns,8,,0.0,91.71638,0.16896,91.72286,97.56
9,0,5,1118481,URMA_WRITE,7,0ns,9,,0.0,91.99146,0.001,91.99686,97.2682
10,0,10,1118481,URMA_WRITE,7,0ns,10,,0.0,92.83998,0.002,92.91882,96.3793
11,0,6,1118481,URMA_WRITE,7,0ns,11,,0.0,114.91714,0.001,114.92362,77.8635
12,0,9,1118481,URMA_WRITE,7,0ns,12,,0.0,91.94262,0.003,91.9491,97.3199
13,0,7,1118481,URMA_WRITE,7,0ns,13,,0.0,91.80972,0.002,91.81688,97.4608
14,0,8,1118481,URMA_WRITE,7,0ns,14,,0.0,92.8384,0.001,92.84454,96.3809
15,1,0,1118482,URMA_WRITE,7,0ns,15,,0.0,23.19234,0.001,23.19502,385.8108
16,1,2,1118481,URMA_WRITE,7,0ns,16,,0.0,23.19236,0.001,23.19502,385.8102
17,1,15,1118481,URMA_WRITE,7,0ns,17,,0.0,125.32512,0.25244,125.3316,71.3971
18,1,3,1118481,URMA_WRITE,7,0ns,18,,0.0,23.19234,0.001,23.195,385.8105
19,1,14,1118481,URMA_WRITE,7,0ns,19,,0.0,137.74008,0.16896,137.74916,64.9618
20,1,4,1118481,URMA_WRITE,7,0ns,20,,0.0,86.52686,0.001,86.59482,103.4112
21,1,13,1118481,URMA_WRITE,7,0ns,21,,0.0,86.44056,0.003,86.50886,103.5145
22,1,5,1118481,URMA_WRITE,7,0ns,22,,0.0,117.48924,0.001,117.49572,76.1589
23,1,12,1118481,URMA_WRITE,7,0ns,23,,0.0,61.01342,0.001,61.12438,146.6538
24,1,6,1118481,URMA_WRITE,7,0ns,24,,0.0,114.84008,0.001,114.84646,77.9157
25,1,11,1118481,URMA_WRITE,7,0ns,25,,0.0,93.63758,0.25244,93.71252,95.5583
26,1,7,1118481,URMA_WRITE,7,0ns,26,,0.0,93.61652,0.002,93.71128,95.5798
27,1,10,1118481,URMA_WRITE,7,0ns,27,,0.0,86.52844,0.002,86.59606,103.4093
28,1,8,1118481,URMA_WRITE,7,0ns,28,,0.0,93.763,0.003,93.83966,95.4305
29,1,9,1118481,URMA_WRITE,7,0ns,29,,0.0,93.93156,0.16896,94.0917,95.2592
30,2,1,1118482,URMA_WRITE,7,0ns,30,,0.0,23.19234,0.001,23.19502,385.8108
31,2,3,1118481,URMA_WRITE,7,0ns,31,,0.0,23.19236,0.001,23.19502,385.8102
32,2,0,1118481,URMA_WRITE,7,0ns,32,,0.0,23.19234,0.001,23.195,385.8105
33,2,4,1118481,URMA_WRITE,7,0ns,33,,0.0,86.02728,0.001,86.03294,104.0118
34,2,15,1118481,URMA_WRITE,7,0ns,34,,0.0,137.73748,1.09096,137.74396,64.9631
35,2,5,1118481,URMA_WRITE,7,0ns,35,,0.0,46.28274,0.001,46.3618,193.3301
36,2,14,1118481,URMA_WRITE,7,0ns,36,,0.0,104.44652,0.25244,104.59668,85.6692
37,2,6,1118481,URMA_WRITE,7,0ns,37,,0.0,138.50044,0.001,138.50692,64.6052
38,2,13,1118481,URMA_WRITE,7,0ns,38,,0.0,86.19582,0.003,86.27356,103.8084
39,2,7,1118481,URMA_WRITE,7,0ns,39,,0.0,91.79224,0.002,92.01118,97.4794
40,2,12,1118481,URMA_WRITE,7,0ns,40,,0.0,104.53474,0.16896,104.68512,85.5969
41,2,8,1118481,URMA_WRITE,7,0ns,41,,0.0,104.80668,0.002,104.81372,85.3748
42,2,11,1118481,URMA_WRITE,7,0ns,42,,0.0,104.53316,0.003,104.68388,85.5982
43,2,9,1118481,URMA_WRITE,7,0ns,43,,0.0,100.79898,0.001,100.80602,88.7692
44,2,10,1118481,URMA_WRITE,7,0ns,44,,0.0,104.53158,0.002,104.68264,85.5995
45,3,2,1118482,URMA_WRITE,7,0ns,45,,0.0,23.19234,0.001,23.19502,385.8108
46,3,4,1118481,URMA_WRITE,7,0ns,46,,0.0,92.11572,0.16896,92.16884,97.137
47,3,1,1118481,URMA_WRITE,7,0ns,47,,0.0,23.19234,0.001,23.195,385.8105
48,3,5,1118481,URMA_WRITE,7,0ns,48,,0.0,148.5265,0.001,148.5331,60.2441
49,3,0,1118481,URMA_WRITE,7,0ns,49,,0.0,23.19234,0.001,23.195,385.8105
50,3,6,1118481,URMA_WRITE,7,0ns,50,,0.0,113.66882,0.001,117.1419,78.7186
51,3,15,1118481,URMA_WRITE,7,0ns,51,,0.0,116.33364,0.33592,116.57784,76.9154
52,3,7,1118481,URMA_WRITE,7,0ns,52,,0.0,160.91302,0.001,160.92006,55.6067
53,3,14,1118481,URMA_WRITE,7,0ns,53,,0.0,117.95938,0.25244,118.21698,75.8553
54,3,8,1118481,URMA_WRITE,7,0ns,54,,0.0,116.13786,0.002,116.31644,77.0451
55,3,13,1118481,URMA_WRITE,7,0ns,55,,0.0,116.20358,0.16896,116.23172,77.0015
