nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,23.19502,1155406,399.98
0,0,Tx,0.001,23.19278,1159517,399.98
0,1,Rx,0.08548,23.195,1155405,399.98
0,1,Tx,0.001,23.19276,1159517,399.98
0,2,Rx,0.08548,23.195,1155405,399.98
0,2,Tx,0.001,23.19276,1159517,399.98
0,3,Rx,0.17096,114.841,4634182,323.31
0,3,Tx,0.001,114.82618,4638278,323.15
0,4,Rx,0.33792,91.99146,1211355,105.73
0,4,Tx,0.001,91.99188,4582344,398.5
0,5,Rx,0.17096,114.93078,5737891,399.99
0,5,Tx,0.001,114.91814,2375046,165.34
0,6,Rx,0.17096,114.09718,2315024,162.56
0,6,Tx,0.001,114.07588,2319079,162.64
1,0,Rx,0.08548,23.19502,1155405,399.98
1,0,Tx,0.001,23.19278,1159518,399.98
1,1,Rx,0.08548,23.19502,1155406,399.98
1,1,Tx,0.001,23.19278,1159517,399.98
1,2,Rx,0.08548,23.195,1155405,399.98
1,2,Tx,0.001,23.19276,1159517,399.98
1,3,Rx,0.33792,114.84008,3437343,240.16
1,3,Tx,0.001,114.84074,1196817,83.37
1,4,Rx,0.17096,137.74256,4652832,270.57
1,4,Tx,0.001,137.74108,5779223,335.66
1,5,Rx,0.33792,118.28806,2296334,155.75
1,5,Tx,0.001,118.1859,1178150,79.75
1,6,Rx,0.25444,117.49172,3511863,239.64
1,6,Tx,0.001,117.49024,5760573,392.25
2,0,Rx,0.08548,23.195,1155405,399.98
2,0,Tx,0.001,23.19276,1159517,399.98
2,1,Rx,0.08548,23.19502,1155405,399.98
2,1,Tx,0.001,23.19278,1159518,399.98
2,2,Rx,0.08548,23.19502,1155406,399.98
2,2,Tx,0.001,23.19278,1159517,399.98
2,3,Rx,0.33792,114.8965,3455993,241.34
2,3,Tx,0.001,114.8842,2337729,162.79
2,4,Rx,0.17096,94.78504,4615532,390.26
2,4,Tx,0.001,94.61784,3497308,295.7
2,5,Rx,0.17096,118.2893,3437343,232.81
2,5,Tx,0.001,118.19292,1196800,81.01
2,6,Rx,0.25444,138.50292,2389624,138.28
2,6,Tx,0.001,138.50144,6882852,397.56
3,0,Rx,0.08548,23.195,1155405,399.98
3,0,Tx,0.001,23.19276,1159517,399.98
3,1,Rx,0.08548,23.195,1155405,399.98
3,1,Tx,0.001,23.19276,1159517,399.98
3,2,Rx,0.08548,23.19502,1155405,399.98
3,2,Tx,0.001,23.19278,1159518,399.98
3,3,Rx,0.17096,160.92406,6860251,341.41
3,3,Tx,0.001,160.91458,1252767,62.28
3,4,Rx,0.25444,148.52898,2389584,128.93
3,4,Tx,0.001,148.5275,6882932,370.73
3,5,Rx,0.4214,118.29122,1211355,82.22
3,5,Tx,0.001,118.29222,4582304,309.9
3,6,Rx,0.17096,114.16216,3437263,241.23
3,6,Tx,0.001,114.14986,1196800,83.88
4,0,Rx,0.08548,23.19502,1155406,399.98
4,0,Tx,0.001,23.19278,1159517,399.98
4,1,Rx,0.08548,23.195,1155405,399.98
4,1,Tx,0.001,23.19276,1159517,399.98
4,2,Rx,0.08548,23.195,1155405,399.98
4,2,Tx,0.001,23.19276,1159517,399.98
4,3,Rx,0.17096,115.4132,2352284,163.29
4,3,Tx,0.001,115.40372,4600995,318.95
4,4,Rx,0.17096,115.09304,3437263,239.28
4,4,Tx,0.001,115.09404,1196817,83.19
4,5,Rx,0.17096,161.3123,5775151,286.71
4,5,Tx,0.001,161.30282,4656944,230.97
4,6,Rx,0.17096,91.63898,2333634,204.1
4,6,Tx,0.001,91.63998,3460025,302.06
5,0,Rx,0.08548,23.19502,1155405,399.98
5,0,Tx,0.001,23.19278,1159518,399.98
5,1,Rx,0.08548,23.19502,1155406,399.98
5,1,Tx,0.001,23.19278,1159517,399.98
5,2,Rx,0.08548,23.195,1155405,399.98
5,2,Tx,0.001,23.19276,1159517,399.98
5,3,Rx,0.17096,114.85372,2296334,160.19
5,3,Tx,0.001,114.84022,1178150,82.07
5,4,Rx,0.17096,148.5331,4634222,249.89
5,4,Tx,0.001,148.5235,4638254,249.83
5,5,Rx,0.17096,119.79312,3511863,234.86
5,5,Tx,0.001,119.7904,5760573,384.71
5,6,Rx,0.17096,117.49572,3455953,235.65
5,6,Tx,0.001,117.48624,2337746,159.19
6,0,Rx,0.08548,23.195,1155405,399.98
6,0,Tx,0.001,23.19276,1159517,399.98
6,1,Rx,0.08548,23.19502,1155405,399.98
6,1,Tx,0.001,23.19278,1159518,399.98
6,2,Rx,0.08548,23.19502,1155406,399.98
6,2,Tx,0.001,23.19278,1159517,399.98
6,3,Rx,0.17096,115.76876,2370934,164.08
6,3,Tx,0.001,115.76976,5742043,396.79
6,4,Rx,0.50736,116.53286,37238,2.57
6,4,Tx,0.001,116.53386,2281876,156.65
6,5,Rx,0.17096,118.3756,4578192,309.85
6,5,Tx,0.001,118.25252,1215450,82.23
6,6,Rx,0.17096,138.50692,6916160,399.96
6,6,Tx,0.001,138.49744,4675594,270.08
7,0,Rx,0.08548,23.195,1155405,399.98
7,0,Tx,0.001,23.19276,1159517,399.98
7,1,Rx,0.08548,23.195,1155405,399.98
7,1,Tx,0.001,23.19276,1159517,399.98
7,2,Rx,0.08548,23.19502,1155405,399.98
7,2,Tx,0.001,23.19278,1159518,399.98
7,3,Rx,0.17096,160.92006,3549203,176.63
7,3,Tx,0.001,160.91858,8042551,399.83
7,4,Rx,0.17096,94.78752,4578232,387.1
7,4,Tx,0.001,94.70834,1215450,102.67
7,5,Rx,0.17096,93.49236,2296335,196.85
7,5,Tx,0.001,93.315,1178150,101.01
7,6,Rx,0.25444,114.91674,3474563,242.42
7,6,Tx,0.001,114.91526,3478675,242.18
8,0,Rx,0.08548,23.19502,1155406,399.98
8,0,Tx,0.001,23.19278,1159517,399.98
8,1,Rx,0.08548,23.195,1155405,399.98
8,1,Tx,0.001,23.19276,1159517,399.98
8,2,Rx,0.08548,23.195,1155405,399.98
8,2,Tx,0.001,23.19276,1159517,399.98
8,3,Rx,0.17096,114.84156,3493213,243.7
8,3,Tx,0.001,114.82096,4619587,321.87
8,4,Rx,0.25444,118.05154,3418733,232.18
8,4,Tx,0.25544,116.1308,55871,3.86
8,5,Rx,0.17096,119.78258,2370934,158.58
8,5,Tx,0.001,119.77816,5741924,383.51
8,6,Rx,0.17096,116.06824,4615492,318.59
8,6,Tx,0.001,116.06924,3497325,241.05
9,0,Rx,0.08548,23.19502,1155405,399.98
9,0,Tx,0.001,23.19278,1159518,399.98
9,1,Rx,0.08548,23.19502,1155406,399.98
9,1,Tx,0.001,23.19278,1159517,399.98
9,2,Rx,0.08548,23.195,1155405,399.98
9,2,Tx,0.001,23.19276,1159517,399.98
9,3,Rx,0.42388,114.84344,37278,2.61
9,3,Tx,0.001,114.8437,2281876,158.96
9,4,Rx,0.17096,137.67428,4634182,269.62
9,4,Tx,0.001,137.6648,4638254,269.54
9,5,Rx,0.17096,110.7905,3493213,252.63
9,5,Tx,0.001,110.7915,4619604,333.57
9,6,Rx,0.17096,117.24122,5737891,392.1
9,6,Tx,0.001,114.91126,2375046,165.35
10,0,Rx,0.08548,23.195,1155405,399.98
10,0,Tx,0.001,23.19276,1159517,399.98
10,1,Rx,0.08548,23.19502,1155405,399.98
10,1,Tx,0.001,23.19278,1159518,399.98
10,2,Rx,0.08548,23.19502,1155406,399.98
10,2,Tx,0.001,23.19278,1159517,399.98
10,3,Rx,0.17096,112.72628,3455913,245.63
10,3,Tx,0.001,112.72728,2337746,165.91
