nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,3,Rx,0.33792,2086.9484,34775610,133.33
0,3,Tx,0.001,2086.93564,34779722,133.32
1,3,Rx,0.17096,2086.9369,34775610,133.32
1,3,Tx,0.001,2086.86254,34779722,133.33
2,3,Rx,0.25444,2086.9316,34775610,133.32
2,3,Tx,0.001,2086.86902,34779722,133.33
15,3,Rx,0.17096,2086.94812,104335298,399.99
15,3,Tx,0.001,2086.94292,104339330,399.97
16,0,Rx,0.08548,2086.93788,34775610,133.31
16,0,Tx,0.25344,2086.94616,34779722,133.34
16,1,Rx,0.08548,2086.86478,34775610,133.32
16,1,Tx,0.08648,2086.93466,34779722,133.33
16,2,Rx,0.08548,2086.87126,34775610,133.32
16,2,Tx,0.16996,2086.92936,34779722,133.33
16,15,Rx,0.08548,2086.94516,104335218,399.97
16,15,Tx,0.08648,2086.94588,104339410,399.99
