nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,173.90072,8690762,400.0
0,0,Tx,0.001,173.89848,8694874,400.0
0,1,Rx,0.08548,173.90072,8690762,400.0
0,1,Tx,0.001,173.89848,8694874,400.0
0,2,Rx,0.08548,173.90072,8690762,400.0
0,2,Tx,0.001,173.89848,8694874,400.0
0,3,Rx,0.17096,523.67928,26080674,398.55
0,3,Tx,0.001,523.6261,26084786,398.53
0,4,Rx,0.17096,523.54522,26080674,398.65
0,4,Tx,0.001,522.63406,26084786,399.28
0,5,Rx,0.17096,523.05258,26080674,399.03
0,5,Tx,0.001,522.84884,26084786,399.12
0,6,Rx,0.17096,523.51632,26080674,398.68
0,6,Tx,0.001,522.77864,26084786,399.17
1,0,Rx,0.08548,173.90072,8690762,400.0
1,0,Tx,0.001,173.89848,8694874,400.0
1,1,Rx,0.08548,173.90072,8690762,400.0
1,1,Tx,0.001,173.89848,8694874,400.0
1,2,Rx,0.08548,173.90072,8690762,400.0
1,2,Tx,0.001,173.89848,8694874,400.0
1,3,Rx,0.17096,523.64158,26080674,398.58
1,3,Tx,0.001,523.34712,26084786,398.74
1,4,Rx,0.17096,523.51388,26080674,398.68
1,4,Tx,0.001,523.3681,26084786,398.72
1,5,Rx,0.25444,523.73912,26080674,398.57
1,5,Tx,0.001,523.6938,26084786,398.47
1,6,Rx,0.25444,523.5015,26080674,398.75
1,6,Tx,0.001,522.85082,26084786,399.12
2,0,Rx,0.08548,173.90072,8690762,400.0
2,0,Tx,0.001,173.89848,8694874,400.0
2,1,Rx,0.08548,173.90072,8690762,400.0
2,1,Tx,0.001,173.89848,8694874,400.0
2,2,Rx,0.08548,173.90072,8690762,400.0
2,2,Tx,0.001,173.89848,8694874,400.0
2,3,Rx,0.17096,523.64898,26080674,398.58
2,3,Tx,0.001,523.01614,26084786,398.99
2,4,Rx,0.17096,523.48204,26080674,398.7
2,4,Tx,0.001,522.71912,26084786,399.22
2,5,Rx,0.17096,523.69146,26080674,398.54
2,5,Tx,0.001,523.23276,26084786,398.83
2,6,Rx,0.33792,523.45826,26080674,398.85
2,6,Tx,0.001,523.23034,26084786,398.83
3,0,Rx,0.08548,173.90072,8690762,400.0
3,0,Tx,0.001,173.89848,8694874,400.0
3,1,Rx,0.08548,173.90072,8690762,400.0
3,1,Tx,0.001,173.89848,8694874,400.0
3,2,Rx,0.08548,173.90072,8690762,400.0
3,2,Tx,0.001,173.89848,8694874,400.0
3,3,Rx,0.17096,523.6611,26080674,398.57
3,3,Tx,0.001,523.25026,26084786,398.81
3,4,Rx,0.17096,523.49996,26080674,398.69
3,4,Tx,0.001,523.35116,26084786,398.74
3,5,Rx,0.17096,523.32974,26080674,398.82
3,5,Tx,0.001,523.02294,26084786,398.99
3,6,Rx,0.17096,523.228,26080674,398.9
3,6,Tx,0.001,523.19412,26084786,398.86
4,0,Rx,0.08548,173.90072,8690762,400.0
4,0,Tx,0.001,173.89848,8694874,400.0
4,1,Rx,0.08548,173.90072,8690762,400.0
4,1,Tx,0.001,173.89848,8694874,400.0
4,2,Rx,0.08548,173.90072,8690762,400.0
4,2,Tx,0.001,173.89848,8694874,400.0
4,3,Rx,0.17096,523.70494,26080674,398.53
4,3,Tx,0.001,523.69946,26084786,398.47
4,4,Rx,0.17096,523.53942,26080674,398.66
4,4,Tx,0.001,523.54026,26084786,398.59
4,5,Rx,0.17096,523.72812,26080674,398.52
4,5,Tx,0.001,522.71478,26084786,399.22
4,6,Rx,0.17096,523.5148,26080674,398.68
4,6,Tx,0.001,523.51084,26084786,398.61
5,0,Rx,0.08548,173.90072,8690762,400.0
5,0,Tx,0.001,173.89848,8694874,400.0
5,1,Rx,0.08548,173.90072,8690762,400.0
5,1,Tx,0.001,173.89848,8694874,400.0
5,2,Rx,0.08548,173.90072,8690762,400.0
5,2,Tx,0.001,173.89848,8694874,400.0
5,3,Rx,0.17096,523.67982,26080674,398.55
5,3,Tx,0.001,523.36286,26084786,398.73
5,4,Rx,0.17096,523.31796,26080674,398.83
5,4,Tx,0.001,523.25532,26084786,398.81
5,5,Rx,0.17096,523.72936,26080674,398.51
5,5,Tx,0.001,523.0471,26084786,398.97
5,6,Rx,0.17096,523.16792,26080674,398.94
5,6,Tx,0.001,523.10432,26084786,398.92
6,0,Rx,0.08548,173.90072,8690762,400.0
6,0,Tx,0.001,173.89848,8694874,400.0
6,1,Rx,0.08548,173.90072,8690762,400.0
6,1,Tx,0.001,173.89848,8694874,400.0
6,2,Rx,0.08548,173.90072,8690762,400.0
6,2,Tx,0.001,173.89848,8694874,400.0
6,3,Rx,0.17096,523.68158,26080674,398.55
6,3,Tx,0.001,522.38574,26084786,399.47
6,4,Rx,0.17096,523.31996,26080674,398.83
6,4,Tx,0.001,523.13982,26084786,398.9
6,5,Rx,0.17096,523.765,26080674,398.49
6,5,Tx,0.001,522.66022,26084786,399.26
6,6,Rx,0.17096,522.92746,26080674,399.13
6,6,Tx,0.001,522.70388,26084786,399.23
7,0,Rx,0.08548,173.90072,8690762,400.0
7,0,Tx,0.001,173.89848,8694874,400.0
7,1,Rx,0.08548,173.90072,8690762,400.0
7,1,Tx,0.001,173.89848,8694874,400.0
7,2,Rx,0.08548,173.90072,8690762,400.0
7,2,Tx,0.001,173.89848,8694874,400.0
7,3,Rx,0.17096,523.352,26080674,398.8
7,3,Tx,0.001,522.2588,26084786,399.57
7,4,Rx,0.17096,523.20818,26080674,398.91
7,4,Tx,0.001,522.27894,26084786,399.55
7,5,Rx,0.17096,523.77,26080674,398.48
7,5,Tx,0.001,522.50988,26084786,399.38
7,6,Rx,0.17096,522.93532,26080674,399.12
7,6,Tx,0.001,522.5033,26084786,399.38
8,0,Rx,0.08548,173.90072,8690762,400.0
8,0,Tx,0.001,173.89848,8694874,400.0
8,1,Rx,0.08548,173.90072,8690762,400.0
8,1,Tx,0.001,173.89848,8694874,400.0
8,2,Rx,0.08548,173.90072,8690762,400.0
8,2,Tx,0.001,173.89848,8694874,400.0
8,3,Rx,0.17096,523.70494,26080674,398.53
8,3,Tx,0.001,522.67558,26084786,399.25
8,4,Rx,0.17096,523.15642,26080674,398.95
8,4,Tx,0.001,522.19776,26084786,399.62
8,5,Rx,0.17096,522.97354,26080674,399.09
8,5,Tx,0.001,522.6827,26084786,399.25
8,6,Rx,0.17096,523.46126,26080674,398.72
8,6,Tx,0.001,523.3144,26084786,398.76
9,0,Rx,0.08548,173.90072,8690762,400.0
9,0,Tx,0.001,173.89848,8694874,400.0
9,1,Rx,0.08548,173.90072,8690762,400.0
9,1,Tx,0.001,173.89848,8694874,400.0
9,2,Rx,0.08548,173.90072,8690762,400.0
9,2,Tx,0.001,173.89848,8694874,400.0
9,3,Rx,0.17096,523.36834,26080674,398.79
9,3,Tx,0.001,522.954,26084786,399.04
9,4,Rx,0.17096,523.27474,26080674,398.86
9,4,Tx,0.001,522.88226,26084786,399.09
9,5,Rx,0.17096,522.98988,26080674,399.08
9,5,Tx,0.001,522.86376,26084786,399.11
9,6,Rx,0.17096,522.9506,26080674,399.11
9,6,Tx,0.001,522.6102,26084786,399.3
10,0,Rx,0.08548,173.90072,8690762,400.0
10,0,Tx,0.001,173.89848,8694874,400.0
10,1,Rx,0.08548,173.90072,8690762,400.0
10,1,Tx,0.001,173.89848,8694874,400.0
10,2,Rx,0.08548,173.90072,8690762,400.0
10,2,Tx,0.001,173.89848,8694874,400.0
10,3,Rx,0.17096,523.22168,26080674,398.9
10,3,Tx,0.001,523.1789,26084786,398.87
10,4,Rx,0.17096,523.37052,26080674,398.79
10,4,Tx,0.001,522.83078,26084786,399.13
10,5,Rx,0.17096,522.99098,26080674,399.08
10,5,Tx,0.001,522.9454,26084786,399.04
10,6,Rx,0.17096,523.1411,26080674,398.96
10,6,Tx,0.001,523.01304,26084786,398.99
11,0,Rx,0.08548,173.90072,8690762,400.0
11,0,Tx,0.001,173.89848,8694874,400.0
11,1,Rx,0.08548,173.90072,8690762,400.0
11,1,Tx,0.001,173.89848,8694874,400.0
11,2,Rx,0.08548,173.90072,8690762,400.0
11,2,Tx,0.001,173.89848,8694874,400.0
11,3,Rx,0.17096,523.70604,26080674,398.53
11,3,Tx,0.001,523.6996,26084786,398.47
11,4,Rx,0.17096,523.31096,26080674,398.83
11,4,Tx,0.001,523.2027,26084786,398.85
11,5,Rx,0.17096,523.76416,26080674,398.49
11,5,Tx,0.001,523.76452,26084786,398.42
11,6,Rx,0.17096,523.46546,26080674,398.72
11,6,Tx,0.001,523.40036,26084786,398.7
12,0,Rx,0.08548,173.90072,8690762,400.0
12,0,Tx,0.001,173.89848,8694874,400.0
12,1,Rx,0.08548,173.90072,8690762,400.0
12,1,Tx,0.001,173.89848,8694874,400.0
12,2,Rx,0.08548,173.90072,8690762,400.0
12,2,Tx,0.001,173.89848,8694874,400.0
12,3,Rx,0.25444,523.67404,26080674,398.62
12,3,Tx,0.001,523.62652,26084786,398.53
12,4,Rx,0.17096,523.52312,26080674,398.67
12,4,Tx,0.001,523.4597,26084786,398.65
12,5,Rx,0.17096,523.73412,26080674,398.51
12,5,Tx,0.001,522.9361,26084786,399.05
12,6,Rx,0.17096,523.4826,26080674,398.7
12,6,Tx,0.001,522.76682,26084786,399.18
13,0,Rx,0.08548,173.90072,8690762,400.0
13,0,Tx,0.001,173.89848,8694874,400.0
13,1,Rx,0.08548,173.90072,8690762,400.0
13,1,Tx,0.001,173.89848,8694874,400.0
13,2,Rx,0.08548,173.90072,8690762,400.0
13,2,Tx,0.001,173.89848,8694874,400.0
13,3,Rx,0.33792,523.67528,26080674,398.68
13,3,Tx,0.001,523.44604,26084786,398.66
13,4,Rx,0.25444,523.50812,26080674,398.75
13,4,Tx,0.001,522.576,26084786,399.33
13,5,Rx,0.17096,523.70146,26080674,398.54
13,5,Tx,0.001,522.71654,26084786,399.22
13,6,Rx,0.17096,523.43308,26080674,398.74
13,6,Tx,0.001,522.87116,26084786,399.1
14,0,Rx,0.08548,173.90072,8690762,400.0
14,0,Tx,0.001,173.89848,8694874,400.0
14,1,Rx,0.08548,173.90072,8690762,400.0
14,1,Tx,0.001,173.89848,8694874,400.0
14,2,Rx,0.08548,173.90072,8690762,400.0
14,2,Tx,0.001,173.89848,8694874,400.0
14,3,Rx,0.4214,523.65376,26080674,398.76
14,3,Tx,0.001,523.17992,26084786,398.87
14,4,Rx,0.33792,523.47604,26080674,398.83
14,4,Tx,0.001,522.44866,26084786,399.42
14,5,Rx,0.25444,523.73712,26080674,398.57
14,5,Tx,0.001,523.60684,26084786,398.54
14,6,Rx,0.17096,523.49726,26080674,398.69
14,6,Tx,0.001,522.85254,26084786,399.12
15,0,Rx,0.08548,173.90072,8690762,400.0
