nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,3,Rx,0.17744,42.87574,34650,6.49
0,3,Tx,0.001,42.87674,2139010,399.11
0,4,Rx,0.17744,42.87574,34650,6.49
0,4,Tx,0.001,42.87674,2139010,399.11
0,6,Rx,0.17744,85.65718,69362,6.49
0,6,Tx,0.001,85.65818,4278082,399.55
15,3,Rx,0.17096,42.88222,2134898,399.88
15,3,Tx,0.17196,42.86992,34633,6.49
15,4,Rx,0.17096,42.88222,2134898,399.88
15,4,Tx,0.17196,42.86992,34633,6.49
15,6,Rx,0.17096,85.66366,4273970,399.94
15,6,Tx,0.17196,85.65136,69345,6.49
16,0,Rx,0.08548,42.87898,2134898,399.11
16,0,Tx,0.1752,42.87316,34633,6.49
16,15,Rx,0.1742,42.8725,34650,6.49
16,15,Tx,0.08648,42.87998,2139010,399.88
17,0,Rx,0.08548,42.87898,2134898,399.11
17,0,Tx,0.1752,42.87316,34633,6.49
17,15,Rx,0.1742,42.8725,34650,6.49
17,15,Tx,0.08648,42.87998,2139010,399.88
19,0,Rx,0.08548,85.66042,4273970,399.55
19,0,Tx,0.1752,85.6546,69345,6.49
19,15,Rx,0.1742,85.65394,69362,6.49
19,15,Tx,0.08648,85.66142,4278082,399.94
