taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,550.62084,0.0,0.0,32.5009
1,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,4,4,0.0,550.62084,0.0,0.0,32.5009
2,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,5,5,0.0,550.62084,0.0,0.0,32.5009
3,0,15,2236963,URMA_WRITE,7,0ns,0,,0,0,6,6,0.0,779.90694,0.0,0.0,22.9459
4,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,195.87198,0.0,0.0,365.457
5,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,550.34556,0.0,0.0,32.5172
6,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,4,4,0.0,550.34556,0.0,0.0,32.5172
7,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,5,5,0.0,550.61084,0.0,0.0,32.5015
8,0,14,2236963,URMA_WRITE,7,0ns,2,,0,0,6,6,0.0,779.89694,0.0,0.0,22.9462
9,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,195.87198,0.0,0.0,365.457
10,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,550.79348,0.0,0.0,32.4908
11,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,4,4,0.0,550.79348,0.0,0.0,32.4908
12,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,5,5,0.0,550.79348,0.0,0.0,32.4908
13,0,13,2236963,URMA_WRITE,7,0ns,4,,0,0,6,6,0.0,551.20452,0.0,0.0,32.4665
14,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,195.87198,0.0,0.0,365.457
15,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,550.59084,0.0,0.0,32.5027
16,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,4,4,0.0,550.59084,0.0,0.0,32.5027
17,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,5,5,0.0,550.59084,0.0,0.0,32.5027
18,0,12,2236963,URMA_WRITE,7,0ns,6,,0,0,6,6,0.0,566.63996,0.0,0.0,31.5821
19,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,550.63084,0.0,0.0,32.5004
20,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,4,4,0.0,551.30716,0.0,0.0,32.4605
21,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,5,5,0.0,551.30716,0.0,0.0,32.4605
22,0,4,2236963,URMA_WRITE,7,0ns,7,,0,0,6,6,0.0,779.91694,0.0,0.0,22.9457
