taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2982616,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,727.00236,0.0,0.0,32.821
1,0,15,2982616,URMA_WRITE,7,0ns,0,,0,0,4,4,0.0,727.00236,0.0,0.0,32.821
2,0,15,2982617,URMA_WRITE,7,0ns,0,,0,0,5,5,0.0,951.27254,0.0,0.0,25.0832
3,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,195.87198,0.0,0.0,365.457
4,0,14,2982616,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,727.79444,0.0,0.0,32.7853
5,0,14,2982616,URMA_WRITE,7,0ns,2,,0,0,4,4,0.0,728.19596,0.0,0.0,32.7672
6,0,14,2982617,URMA_WRITE,7,0ns,2,,0,0,5,5,0.0,911.20782,0.0,0.0,26.1861
7,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,195.87198,0.0,0.0,365.457
8,0,13,2982616,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,726.73612,0.0,0.0,32.833
9,0,13,2982616,URMA_WRITE,7,0ns,4,,0,0,4,4,0.0,726.99188,0.0,0.0,32.8215
10,0,13,2982617,URMA_WRITE,7,0ns,4,,0,0,5,5,0.0,726.99188,0.0,0.0,32.8215
11,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,195.87198,0.0,0.0,365.457
12,0,12,2982616,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,726.72612,0.0,0.0,32.8335
13,0,12,2982616,URMA_WRITE,7,0ns,6,,0,0,4,4,0.0,726.72612,0.0,0.0,32.8335
14,0,12,2982617,URMA_WRITE,7,0ns,6,,0,0,5,5,0.0,726.72612,0.0,0.0,32.8335
15,0,4,2982616,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,727.81444,0.0,0.0,32.7844
16,0,4,2982616,URMA_WRITE,7,0ns,7,,0,0,4,4,0.0,728.68012,0.0,0.0,32.7454
17,0,4,2982617,URMA_WRITE,7,0ns,7,,0,0,5,5,0.0,949.85428,0.0,0.0,25.1206
18,0,11,2982616,URMA_WRITE,7,0ns,8,,0,0,3,3,0.0,728.42172,0.0,0.0,32.757
19,0,11,2982616,URMA_WRITE,7,0ns,8,,0,0,4,4,0.0,728.42172,0.0,0.0,32.757
20,0,11,2982616,URMA_WRITE,7,0ns,8,,0,0,5,5,0.0,810.86214,0.0,0.0,29.4266
21,0,5,2982616,URMA_WRITE,7,0ns,9,,0,0,3,3,0.0,728.28908,0.0,0.0,32.763
22,0,5,2982616,URMA_WRITE,7,0ns,9,,0,0,4,4,0.0,728.28908,0.0,0.0,32.763
23,0,5,2982616,URMA_WRITE,7,0ns,9,,0,0,5,5,0.0,949.82428,0.0,0.0,25.1214
24,0,10,2982616,URMA_WRITE,7,0ns,10,,0,0,3,3,0.0,727.20812,0.0,0.0,32.8117
25,0,10,2982616,URMA_WRITE,7,0ns,10,,0,0,4,4,0.0,727.60916,0.0,0.0,32.7936
26,0,10,2982616,URMA_WRITE,7,0ns,10,,0,0,5,5,0.0,949.84428,0.0,0.0,25.1209
27,0,6,2982616,URMA_WRITE,7,0ns,11,,0,0,3,3,0.0,728.29908,0.0,0.0,32.7625
