taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2982616,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,794.02336,0.0,0.0,30.0507
1,0,15,2982616,URMA_WRITE,7,0ns,0,,1,1,4,4,0.0,786.1238,0.0,0.0,30.3526
2,0,15,2982617,URMA_WRITE,7,0ns,0,,2,2,5,5,0.0,782.10428,0.0,0.0,30.5086
3,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,195.87198,0.0,0.0,365.457
4,0,14,2982616,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,796.30576,0.0,0.0,29.9645
5,0,14,2982616,URMA_WRITE,7,0ns,2,,1,1,4,4,0.0,793.9894,0.0,0.0,30.0519
6,0,14,2982617,URMA_WRITE,7,0ns,2,,2,2,5,5,0.0,794.83812,0.0,0.0,30.0199
7,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,195.87198,0.0,0.0,365.457
8,0,13,2982616,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,623.75336,0.0,0.0,38.2538
9,0,13,2982616,URMA_WRITE,7,0ns,4,,1,1,4,4,0.0,680.37924,0.0,0.0,35.07
10,0,13,2982617,URMA_WRITE,7,0ns,4,,2,2,5,5,0.0,763.1858,0.0,0.0,31.2649
11,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,195.87198,0.0,0.0,365.457
12,0,12,2982616,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,593.82576,0.0,0.0,40.1817
13,0,12,2982616,URMA_WRITE,7,0ns,6,,1,1,4,4,0.0,600.82708,0.0,0.0,39.7135
14,0,12,2982617,URMA_WRITE,7,0ns,6,,2,2,5,5,0.0,632.22988,0.0,0.0,37.7409
15,0,4,2982616,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,794.92268,0.0,0.0,30.0167
16,0,4,2982616,URMA_WRITE,7,0ns,7,,1,1,4,4,0.0,796.32656,0.0,0.0,29.9637
17,0,4,2982617,URMA_WRITE,7,0ns,7,,2,2,5,5,0.0,793.0971,0.0,0.0,30.0858
18,0,11,2982616,URMA_WRITE,7,0ns,8,,0,0,3,3,0.0,638.15712,0.0,0.0,37.3904
19,0,11,2982616,URMA_WRITE,7,0ns,8,,1,1,4,4,0.0,652.43804,0.0,0.0,36.5719
20,0,11,2982616,URMA_WRITE,7,0ns,8,,2,2,5,5,0.0,721.69156,0.0,0.0,33.0625
21,0,5,2982616,URMA_WRITE,7,0ns,9,,0,0,3,3,0.0,786.65064,0.0,0.0,30.3323
22,0,5,2982616,URMA_WRITE,7,0ns,9,,1,1,4,4,0.0,796.45376,0.0,0.0,29.959
23,0,5,2982616,URMA_WRITE,7,0ns,9,,2,2,5,5,0.0,791.1699,0.0,0.0,30.159
24,0,10,2982616,URMA_WRITE,7,0ns,10,,0,0,3,3,0.0,794.71648,0.0,0.0,30.0245
25,0,10,2982616,URMA_WRITE,7,0ns,10,,1,1,4,4,0.0,794.877,0.0,0.0,30.0184
26,0,10,2982616,URMA_WRITE,7,0ns,10,,2,2,5,5,0.0,795.38742,0.0,0.0,29.9991
27,0,6,2982616,URMA_WRITE,7,0ns,11,,0,0,3,3,0.0,796.1108,0.0,0.0,29.9719
