taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,543.60622,0.0,0.0,32.9203
1,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,4,4,0.0,543.60622,0.0,0.0,32.9203
2,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,5,5,0.0,543.60622,0.0,0.0,32.9203
3,0,15,2236963,URMA_WRITE,7,0ns,0,,0,0,6,6,0.0,566.77498,0.0,0.0,31.5746
4,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,182.37834,0.0,0.0,392.4961
5,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,543.33834,0.0,0.0,32.9366
6,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,4,4,0.0,543.33834,0.0,0.0,32.9366
7,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,5,5,0.0,543.33834,0.0,0.0,32.9366
8,0,14,2236963,URMA_WRITE,7,0ns,2,,0,0,6,6,0.0,543.33834,0.0,0.0,32.9366
9,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,182.37834,0.0,0.0,392.4961
10,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,543.34934,0.0,0.0,32.9359
11,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,4,4,0.0,543.7775,0.0,0.0,32.91
12,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,5,5,0.0,543.7775,0.0,0.0,32.91
13,0,13,2236963,URMA_WRITE,7,0ns,4,,0,0,6,6,0.0,543.7775,0.0,0.0,32.91
14,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,182.37834,0.0,0.0,392.4961
15,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,542.90566,0.0,0.0,32.9628
16,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,4,4,0.0,543.34834,0.0,0.0,32.936
17,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,5,5,0.0,543.34834,0.0,0.0,32.936
18,0,12,2236963,URMA_WRITE,7,0ns,6,,0,0,6,6,0.0,543.34834,0.0,0.0,32.936
19,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,542.47954,0.0,0.0,32.9887
20,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,4,4,0.0,542.73542,0.0,0.0,32.9731
21,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,5,5,0.0,542.90966,0.0,0.0,32.9626
22,0,4,2236963,URMA_WRITE,7,0ns,7,,0,0,6,6,0.0,567.19548,0.0,0.0,31.5512
23,0,11,2236962,URMA_WRITE,7,0ns,8,,0,0,3,3,0.0,542.91666,0.0,0.0,32.9621
24,0,11,2236962,URMA_WRITE,7,0ns,8,,0,0,4,4,0.0,543.43946,0.0,0.0,32.9304
25,0,11,2236962,URMA_WRITE,7,0ns,8,,0,0,5,5,0.0,543.43946,0.0,0.0,32.9304
26,0,11,2236962,URMA_WRITE,7,0ns,8,,0,0,6,6,0.0,543.43946,0.0,0.0,32.9304
27,0,5,2236962,URMA_WRITE,7,0ns,9,,0,0,3,3,0.0,543.43446,0.0,0.0,32.9307
28,0,5,2236962,URMA_WRITE,7,0ns,9,,0,0,4,4,0.0,543.94378,0.0,0.0,32.8999
29,0,5,2236962,URMA_WRITE,7,0ns,9,,0,0,5,5,0.0,544.28234,0.0,0.0,32.8794
30,0,5,2236962,URMA_WRITE,7,0ns,9,,0,0,6,6,0.0,559.51416,0.0,0.0,31.9843
31,0,10,2236962,URMA_WRITE,7,0ns,10,,0,0,3,3,0.0,543.08942,0.0,0.0,32.9517
32,0,10,2236962,URMA_WRITE,7,0ns,10,,0,0,4,4,0.0,543.61122,0.0,0.0,32.92
33,0,10,2236962,URMA_WRITE,7,0ns,10,,0,0,5,5,0.0,543.61122,0.0,0.0,32.92
34,0,10,2236962,URMA_WRITE,7,0ns,10,,0,0,6,6,0.0,567.01826,0.0,0.0,31.5611
35,0,6,2236962,URMA_WRITE,7,0ns,11,,0,0,3,3,0.0,543.60822,0.0,0.0,32.9202
36,0,6,2236962,URMA_WRITE,7,0ns,11,,0,0,4,4,0.0,544.28334,0.0,0.0,32.8794
37,0,6,2236962,URMA_WRITE,7,0ns,11,,0,0,5,5,0.0,544.70202,0.0,0.0,32.8541
38,0,6,2236962,URMA_WRITE,7,0ns,11,,0,0,6,6,0.0,566.88958,0.0,0.0,31.5682
39,0,9,2236962,URMA_WRITE,7,0ns,12,,0,0,3,3,0.0,543.61022,0.0,0.0,32.9201
40,0,9,2236962,URMA_WRITE,7,0ns,12,,0,0,4,4,0.0,543.94678,0.0,0.0,32.8997
41,0,9,2236962,URMA_WRITE,7,0ns,12,,0,0,5,5,0.0,543.94678,0.0,0.0,32.8997
42,0,9,2236962,URMA_WRITE,7,0ns,12,,0,0,6,6,0.0,543.94678,0.0,0.0,32.8997
43,0,7,2236962,URMA_WRITE,7,0ns,13,,0,0,3,3,0.0,543.43546,0.0,0.0,32.9307
44,0,7,2236962,URMA_WRITE,7,0ns,13,,0,0,4,4,0.0,543.94478,0.0,0.0,32.8998
45,0,7,2236962,URMA_WRITE,7,0ns,13,,0,0,5,5,0.0,543.94478,0.0,0.0,32.8998
46,0,7,2236962,URMA_WRITE,7,0ns,13,,0,0,6,6,0.0,567.27556,0.0,0.0,31.5467
47,0,8,2236962,URMA_WRITE,7,0ns,14,,0,0,3,3,0.0,543.43646,0.0,0.0,32.9306
48,0,8,2236962,URMA_WRITE,7,0ns,14,,0,0,4,4,0.0,544.28434,0.0,0.0,32.8793
49,0,8,2236962,URMA_WRITE,7,0ns,14,,0,0,5,5,0.0,544.28434,0.0,0.0,32.8793
50,0,8,2236962,URMA_WRITE,7,0ns,14,,0,0,6,6,0.0,566.82864,0.0,0.0,31.5716
51,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0,0,0.0,182.37834,0.0,0.0,392.4961
52,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,1,1,0.0,182.37834,0.0,0.0,392.4961
