taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2236962,URMA_WRITE,7,0ns,0,,1,1,3,3,0.0,549.38012,0.0,0.0,32.5743
1,0,15,2236962,URMA_WRITE,7,0ns,0,,2,2,4,4,0.0,549.81772,0.0,0.0,32.5484
2,0,15,2236962,URMA_WRITE,7,0ns,0,,3,3,5,5,0.0,549.38212,0.0,0.0,32.5742
3,0,15,2236963,URMA_WRITE,7,0ns,0,,4,4,6,6,0.0,547.17432,0.0,0.0,32.7057
4,0,1,8947849,URMA_WRITE,7,0ns,1,,5,5,0,0,0.0,181.63326,0.0,0.0,394.1062
5,0,14,2236962,URMA_WRITE,7,0ns,2,,6,6,3,3,0.0,548.43712,0.0,0.0,32.6304
6,0,14,2236962,URMA_WRITE,7,0ns,2,,7,7,4,4,0.0,549.81672,0.0,0.0,32.5485
7,0,14,2236962,URMA_WRITE,7,0ns,2,,8,8,5,5,0.0,548.79224,0.0,0.0,32.6092
8,0,14,2236963,URMA_WRITE,7,0ns,2,,9,9,6,6,0.0,549.37912,0.0,0.0,32.5744
9,0,2,8947849,URMA_WRITE,7,0ns,3,,10,10,1,0,0.0,181.63326,0.0,0.0,394.1062
10,0,13,2236962,URMA_WRITE,7,0ns,4,,11,11,3,3,0.0,550.02216,0.0,0.0,32.5363
11,0,13,2236962,URMA_WRITE,7,0ns,4,,12,12,4,4,0.0,550.02616,0.0,0.0,32.5361
12,0,13,2236962,URMA_WRITE,7,0ns,4,,13,13,5,5,0.0,550.02416,0.0,0.0,32.5362
13,0,13,2236963,URMA_WRITE,7,0ns,4,,14,14,6,6,0.0,550.02516,0.0,0.0,32.5362
14,0,3,8947849,URMA_WRITE,7,0ns,5,,15,15,2,0,0.0,181.63326,0.0,0.0,394.1062
15,0,12,2236962,URMA_WRITE,7,0ns,6,,16,16,3,3,0.0,550.42928,0.0,0.0,32.5123
16,0,12,2236962,URMA_WRITE,7,0ns,6,,17,17,4,4,0.0,549.92392,0.0,0.0,32.5421
17,0,12,2236962,URMA_WRITE,7,0ns,6,,18,18,5,5,0.0,548.73012,0.0,0.0,32.6129
18,0,12,2236963,URMA_WRITE,7,0ns,6,,19,19,6,6,0.0,547.68732,0.0,0.0,32.675
19,0,4,2236962,URMA_WRITE,7,0ns,7,,20,20,3,3,0.0,550.43468,0.0,0.0,32.5119
20,0,4,2236962,URMA_WRITE,7,0ns,7,,21,21,4,4,0.0,550.45012,0.0,0.0,32.511
21,0,4,2236962,URMA_WRITE,7,0ns,7,,22,22,5,5,0.0,550.43268,0.0,0.0,32.5121
22,0,4,2236963,URMA_WRITE,7,0ns,7,,23,23,6,6,0.0,550.4322,0.0,0.0,32.5121
23,0,11,2236962,URMA_WRITE,7,0ns,8,,24,24,3,3,0.0,548.7963,0.0,0.0,32.609
24,0,11,2236962,URMA_WRITE,7,0ns,8,,25,25,4,4,0.0,549.81572,0.0,0.0,32.5485
25,0,11,2236962,URMA_WRITE,7,0ns,8,,26,26,5,5,0.0,548.79324,0.0,0.0,32.6092
