taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint
0,0,15,2236962,URMA_WRITE,7,0ns,0,,1,1,3,3
1,0,15,2236962,URMA_WRITE,7,0ns,0,,2,2,4,4
2,0,15,2236962,URMA_WRITE,7,0ns,0,,3,3,5,5
3,0,15,2236963,URMA_WRITE,7,0ns,0,,4,4,6,6
4,0,1,8947849,URMA_WRITE,7,0ns,1,,5,5,0,0
5,0,14,2236962,URMA_WRITE,7,0ns,2,,6,6,3,3
6,0,14,2236962,URMA_WRITE,7,0ns,2,,7,7,4,4
7,0,14,2236962,URMA_WRITE,7,0ns,2,,8,8,5,5
8,0,14,2236963,URMA_WRITE,7,0ns,2,,9,9,6,6
9,0,2,8947849,URMA_WRITE,7,0ns,3,,10,10,1,0
10,0,13,2236962,URMA_WRITE,7,0ns,4,,11,11,3,3
11,0,13,2236962,URMA_WRITE,7,0ns,4,,12,12,4,4
12,0,13,2236962,URMA_WRITE,7,0ns,4,,13,13,5,5
13,0,13,2236963,URMA_WRITE,7,0ns,4,,14,14,6,6
14,0,3,8947849,URMA_WRITE,7,0ns,5,,15,15,2,0
15,0,12,2236962,URMA_WRITE,7,0ns,6,,16,16,3,3
16,0,12,2236962,URMA_WRITE,7,0ns,6,,17,17,4,4
17,0,12,2236962,URMA_WRITE,7,0ns,6,,18,18,5,5
18,0,12,2236963,URMA_WRITE,7,0ns,6,,19,19,6,6
19,0,4,2236962,URMA_WRITE,7,0ns,7,,20,20,3,3
20,0,4,2236962,URMA_WRITE,7,0ns,7,,21,21,4,4
21,0,4,2236962,URMA_WRITE,7,0ns,7,,22,22,5,5
22,0,4,2236963,URMA_WRITE,7,0ns,7,,23,23,6,6
23,0,11,2236962,URMA_WRITE,7,0ns,8,,24,24,3,3
24,0,11,2236962,URMA_WRITE,7,0ns,8,,25,25,4,4
25,0,11,2236962,URMA_WRITE,7,0ns,8,,26,26,5,5
26,0,11,2236962,URMA_WRITE,7,0ns,8,,27,27,6,6
27,0,5,2236962,URMA_WRITE,7,0ns,9,,28,28,3,3
28,0,5,2236962,URMA_WRITE,7,0ns,9,,29,29,4,4
29,0,5,2236962,URMA_WRITE,7,0ns,9,,30,30,5,5
30,0,5,2236962,URMA_WRITE,7,0ns,9,,31,31,6,6
