taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,589.9562,0.0,0.0,30.3339
1,0,15,2236962,URMA_WRITE,7,0ns,0,,1,1,4,4,0.0,580.14152,0.0,0.0,30.8471
2,0,15,2236962,URMA_WRITE,7,0ns,0,,2,2,5,5,0.0,583.97804,0.0,0.0,30.6445
3,0,15,2236963,URMA_WRITE,7,0ns,0,,3,3,6,6,0.0,593.77678,0.0,0.0,30.1388
4,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,195.87198,0.0,0.0,365.457
5,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,578.27852,0.0,0.0,30.9465
6,0,14,2236962,URMA_WRITE,7,0ns,2,,1,1,4,4,0.0,596.19984,0.0,0.0,30.0163
7,0,14,2236962,URMA_WRITE,7,0ns,2,,2,2,5,5,0.0,595.95948,0.0,0.0,30.0284
8,0,14,2236963,URMA_WRITE,7,0ns,2,,3,3,6,6,0.0,596.41686,0.0,0.0,30.0054
9,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,195.87198,0.0,0.0,365.457
10,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,472.66068,0.0,0.0,37.8616
11,0,13,2236962,URMA_WRITE,7,0ns,4,,1,1,4,4,0.0,512.15388,0.0,0.0,34.942
12,0,13,2236962,URMA_WRITE,7,0ns,4,,2,2,5,5,0.0,546.8896,0.0,0.0,32.7227
13,0,13,2236963,URMA_WRITE,7,0ns,4,,3,3,6,6,0.0,575.81768,0.0,0.0,31.0788
14,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,195.87198,0.0,0.0,365.457
15,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,446.06108,0.0,0.0,40.1194
16,0,12,2236962,URMA_WRITE,7,0ns,6,,1,1,4,4,0.0,447.8658,0.0,0.0,39.9577
17,0,12,2236962,URMA_WRITE,7,0ns,6,,2,2,5,5,0.0,470.93944,0.0,0.0,38.0
18,0,12,2236963,URMA_WRITE,7,0ns,6,,3,3,6,6,0.0,561.40872,0.0,0.0,31.8764
19,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,596.15528,0.0,0.0,30.0185
20,0,4,2236962,URMA_WRITE,7,0ns,7,,1,1,4,4,0.0,597.48144,0.0,0.0,29.9519
21,0,4,2236962,URMA_WRITE,7,0ns,7,,2,2,5,5,0.0,597.26508,0.0,0.0,29.9627
22,0,4,2236963,URMA_WRITE,7,0ns,7,,3,3,6,6,0.0,580.23942,0.0,0.0,30.8419
23,0,11,2236962,URMA_WRITE,7,0ns,8,,0,0,3,3,0.0,487.48264,0.0,0.0,36.7104
24,0,11,2236962,URMA_WRITE,7,0ns,8,,1,1,4,4,0.0,501.95956,0.0,0.0,35.6517
25,0,11,2236962,URMA_WRITE,7,0ns,8,,2,2,5,5,0.0,542.08588,0.0,0.0,33.0127
26,0,11,2236962,URMA_WRITE,7,0ns,8,,3,3,6,6,0.0,518.40696,0.0,0.0,34.5206
27,0,5,2236962,URMA_WRITE,7,0ns,9,,0,0,3,3,0.0,597.2884,0.0,0.0,29.9616
28,0,5,2236962,URMA_WRITE,7,0ns,9,,1,1,4,4,0.0,597.1902,0.0,0.0,29.9665
29,0,5,2236962,URMA_WRITE,7,0ns,9,,2,2,5,5,0.0,580.91444,0.0,0.0,30.8061
30,0,5,2236962,URMA_WRITE,7,0ns,9,,3,3,6,6,0.0,593.40526,0.0,0.0,30.1576
31,0,10,2236962,URMA_WRITE,7,0ns,10,,0,0,3,3,0.0,595.30856,0.0,0.0,30.0612
32,0,10,2236962,URMA_WRITE,7,0ns,10,,1,1,4,4,0.0,596.81828,0.0,0.0,29.9852
33,0,10,2236962,URMA_WRITE,7,0ns,10,,2,2,5,5,0.0,596.58844,0.0,0.0,29.9967
34,0,10,2236962,URMA_WRITE,7,0ns,10,,3,3,6,6,0.0,440.96636,0.0,0.0,40.5829
35,0,6,2236962,URMA_WRITE,7,0ns,11,,0,0,3,3,0.0,597.19644,0.0,0.0,29.9662
36,0,6,2236962,URMA_WRITE,7,0ns,11,,1,1,4,4,0.0,595.635,0.0,0.0,30.0447
37,0,6,2236962,URMA_WRITE,7,0ns,11,,2,2,5,5,0.0,596.22284,0.0,0.0,30.0151
38,0,6,2236962,URMA_WRITE,7,0ns,11,,3,3,6,6,0.0,596.42686,0.0,0.0,30.0048
39,0,9,2236962,URMA_WRITE,7,0ns,12,,0,0,3,3,0.0,584.68952,0.0,0.0,30.6072
40,0,9,2236962,URMA_WRITE,7,0ns,12,,1,1,4,4,0.0,565.0296,0.0,0.0,31.6721
41,0,9,2236962,URMA_WRITE,7,0ns,12,,2,2,5,5,0.0,597.91044,0.0,0.0,29.9304
42,0,9,2236962,URMA_WRITE,7,0ns,12,,3,3,6,6,0.0,598.03032,0.0,0.0,29.9244
43,0,7,2236962,URMA_WRITE,7,0ns,13,,0,0,3,3,0.0,595.82452,0.0,0.0,30.0352
44,0,7,2236962,URMA_WRITE,7,0ns,13,,1,1,4,4,0.0,596.07696,0.0,0.0,30.0225
45,0,7,2236962,URMA_WRITE,7,0ns,13,,2,2,5,5,0.0,596.7604,0.0,0.0,29.9881
46,0,7,2236962,URMA_WRITE,7,0ns,13,,3,3,6,6,0.0,597.72816,0.0,0.0,29.9395
47,0,8,2236962,URMA_WRITE,7,0ns,14,,0,0,3,3,0.0,596.69944,0.0,0.0,29.9911
48,0,8,2236962,URMA_WRITE,7,0ns,14,,1,1,4,4,0.0,576.575,0.0,0.0,31.0379
49,0,8,2236962,URMA_WRITE,7,0ns,14,,2,2,5,5,0.0,594.93428,0.0,0.0,30.0801
50,0,8,2236962,URMA_WRITE,7,0ns,14,,3,3,6,6,0.0,596.92398,0.0,0.0,29.9799
51,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0,0,0.0,195.87198,0.0,0.0,365.457
52,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,1,1,0.0,195.87198,0.0,0.0,365.457
53,1,15,2236962,URMA_WRITE,7,0ns,17,,0,0,3,3,0.0,565.16884,0.0,0.0,31.6643
54,1,15,2236962,URMA_WRITE,7,0ns,17,,1,1,4,4,0.0,550.32976,0.0,0.0,32.5181
55,1,15,2236962,URMA_WRITE,7,0ns,17,,2,2,5,5,0.0,592.6834,0.0,0.0,30.1944
56,1,15,2236963,URMA_WRITE,7,0ns,17,,3,3,6,6,0.0,592.16454,0.0,0.0,30.2208
57,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,2,1,0.0,195.87198,0.0,0.0,365.457
58,1,14,2236962,URMA_WRITE,7,0ns,19,,0,0,3,3,0.0,538.14384,0.0,0.0,33.2545
59,1,14,2236962,URMA_WRITE,7,0ns,19,,1,1,4,4,0.0,554.76392,0.0,0.0,32.2582
60,1,14,2236962,URMA_WRITE,7,0ns,19,,2,2,5,5,0.0,570.21348,0.0,0.0,31.3842
61,1,14,2236963,URMA_WRITE,7,0ns,19,,3,3,6,6,0.0,587.56078,0.0,0.0,30.4576
62,1,4,2236962,URMA_WRITE,7,0ns,20,,0,0,3,3,0.0,596.17528,0.0,0.0,30.0175
63,1,4,2236962,URMA_WRITE,7,0ns,20,,1,1,4,4,0.0,597.49144,0.0,0.0,29.9514
64,1,4,2236962,URMA_WRITE,7,0ns,20,,2,2,5,5,0.0,531.05724,0.0,0.0,33.6982
65,1,4,2236963,URMA_WRITE,7,0ns,20,,3,3,6,6,0.0,377.62428,0.0,0.0,47.3902
66,1,13,2236962,URMA_WRITE,7,0ns,21,,0,0,3,3,0.0,457.48004,0.0,0.0,39.118
67,1,13,2236962,URMA_WRITE,7,0ns,21,,1,1,4,4,0.0,480.455,0.0,0.0,37.2474
68,1,13,2236962,URMA_WRITE,7,0ns,21,,2,2,5,5,0.0,509.21192,0.0,0.0,35.1439
69,1,13,2236963,URMA_WRITE,7,0ns,21,,3,3,6,6,0.0,555.51606,0.0,0.0,32.2146
70,1,5,2236962,URMA_WRITE,7,0ns,22,,0,0,3,3,0.0,597.22872,0.0,0.0,29.9646
71,1,5,2236962,URMA_WRITE,7,0ns,22,,1,1,4,4,0.0,597.2002,0.0,0.0,29.966
72,1,5,2236962,URMA_WRITE,7,0ns,22,,2,2,5,5,0.0,589.98684,0.0,0.0,30.3324
73,1,5,2236963,URMA_WRITE,7,0ns,22,,3,3,6,6,0.0,397.70588,0.0,0.0,44.9973
74,1,12,2236962,URMA_WRITE,7,0ns,23,,0,0,3,3,0.0,443.70548,0.0,0.0,40.3324
75,1,12,2236962,URMA_WRITE,7,0ns,23,,1,1,4,4,0.0,440.60384,0.0,0.0,40.6163
76,1,12,2236962,URMA_WRITE,7,0ns,23,,2,2,5,5,0.0,474.5986,0.0,0.0,37.707
77,1,12,2236962,URMA_WRITE,7,0ns,23,,3,3,6,6,0.0,563.81366,0.0,0.0,31.7404
78,1,6,2236962,URMA_WRITE,7,0ns,24,,0,0,3,3,0.0,578.09316,0.0,0.0,30.9564
79,1,6,2236962,URMA_WRITE,7,0ns,24,,1,1,4,4,0.0,590.35704,0.0,0.0,30.3133
80,1,6,2236962,URMA_WRITE,7,0ns,24,,2,2,5,5,0.0,597.3572,0.0,0.0,29.9581
81,1,6,2236962,URMA_WRITE,7,0ns,24,,3,3,6,6,0.0,597.88348,0.0,0.0,29.9317
82,1,11,2236962,URMA_WRITE,7,0ns,25,,0,0,3,3,0.0,596.8424,0.0,0.0,29.984
83,1,11,2236962,URMA_WRITE,7,0ns,25,,1,1,4,4,0.0,596.72696,0.0,0.0,29.9898
84,1,11,2236962,URMA_WRITE,7,0ns,25,,2,2,5,5,0.0,545.53572,0.0,0.0,32.8039
85,1,11,2236962,URMA_WRITE,7,0ns,25,,3,3,6,6,0.0,560.35062,0.0,0.0,31.9366
86,1,7,2236962,URMA_WRITE,7,0ns,26,,0,0,3,3,0.0,595.83252,0.0,0.0,30.0348
87,1,7,2236962,URMA_WRITE,7,0ns,26,,1,1,4,4,0.0,582.79624,0.0,0.0,30.7066
88,1,7,2236962,URMA_WRITE,7,0ns,26,,2,2,5,5,0.0,597.45768,0.0,0.0,29.9531
89,1,7,2236962,URMA_WRITE,7,0ns,26,,3,3,6,6,0.0,597.89348,0.0,0.0,29.9312
90,1,10,2236962,URMA_WRITE,7,0ns,27,,0,0,3,3,0.0,593.50344,0.0,0.0,30.1526
91,1,10,2236962,URMA_WRITE,7,0ns,27,,1,1,4,4,0.0,596.82828,0.0,0.0,29.9847
92,1,10,2236962,URMA_WRITE,7,0ns,27,,2,2,5,5,0.0,597.52768,0.0,0.0,29.9496
93,1,10,2236962,URMA_WRITE,7,0ns,27,,3,3,6,6,0.0,597.95348,0.0,0.0,29.9282
94,1,8,2236962,URMA_WRITE,7,0ns,28,,0,0,3,3,0.0,596.58092,0.0,0.0,29.9971
95,1,8,2236962,URMA_WRITE,7,0ns,28,,1,1,4,4,0.0,596.4154,0.0,0.0,30.0054
96,1,8,2236962,URMA_WRITE,7,0ns,28,,2,2,5,5,0.0,597.49768,0.0,0.0,29.9511
97,1,8,2236962,URMA_WRITE,7,0ns,28,,3,3,6,6,0.0,597.90348,0.0,0.0,29.9307
98,1,9,2236962,URMA_WRITE,7,0ns,29,,0,0,3,3,0.0,594.42128,0.0,0.0,30.1061
99,1,9,2236962,URMA_WRITE,7,0ns,29,,1,1,4,4,0.0,596.49172,0.0,0.0,30.0016
100,1,9,2236962,URMA_WRITE,7,0ns,29,,2,2,5,5,0.0,597.66812,0.0,0.0,29.9425
101,1,9,2236962,URMA_WRITE,7,0ns,29,,3,3,6,6,0.0,598.04032,0.0,0.0,29.9239
102,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0,1,1,0.0,195.87198,0.0,0.0,365.457
103,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0,2,2,0.0,195.87198,0.0,0.0,365.457
104,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0,0,1,0.0,195.87198,0.0,0.0,365.457
105,2,4,2236962,URMA_WRITE,7,0ns,33,,0,0,3,3,0.0,568.94528,0.0,0.0,31.4542
106,2,4,2236962,URMA_WRITE,7,0ns,33,,1,1,4,4,0.0,590.26912,0.0,0.0,30.3179
107,2,4,2236962,URMA_WRITE,7,0ns,33,,2,2,5,5,0.0,378.02548,0.0,0.0,47.3399
108,2,4,2236963,URMA_WRITE,7,0ns,33,,3,3,6,6,0.0,581.70376,0.0,0.0,30.7643
109,2,15,2236962,URMA_WRITE,7,0ns,34,,0,0,3,3,0.0,595.74616,0.0,0.0,30.0391
110,2,15,2236962,URMA_WRITE,7,0ns,34,,1,1,4,4,0.0,589.21844,0.0,0.0,30.3719
111,2,15,2236962,URMA_WRITE,7,0ns,34,,2,2,5,5,0.0,597.51648,0.0,0.0,29.9501
112,2,15,2236963,URMA_WRITE,7,0ns,34,,3,3,6,6,0.0,597.41666,0.0,0.0,29.9551
113,2,5,2236962,URMA_WRITE,7,0ns,35,,0,0,3,3,0.0,587.19968,0.0,0.0,30.4763
114,2,5,2236962,URMA_WRITE,7,0ns,35,,1,1,4,4,0.0,408.59288,0.0,0.0,43.7984
115,2,5,2236962,URMA_WRITE,7,0ns,35,,2,2,5,5,0.0,422.24484,0.0,0.0,42.3823
116,2,5,2236963,URMA_WRITE,7,0ns,35,,3,3,6,6,0.0,401.679,0.0,0.0,44.5523
117,2,14,2236962,URMA_WRITE,7,0ns,36,,0,0,3,3,0.0,472.21924,0.0,0.0,37.897
118,2,14,2236962,URMA_WRITE,7,0ns,36,,1,1,4,4,0.0,546.45344,0.0,0.0,32.7488
119,2,14,2236962,URMA_WRITE,7,0ns,36,,2,2,5,5,0.0,523.52364,0.0,0.0,34.1832
120,2,14,2236963,URMA_WRITE,7,0ns,36,,3,3,6,6,0.0,597.3283,0.0,0.0,29.9596
121,2,6,2236962,URMA_WRITE,7,0ns,37,,0,0,3,3,0.0,597.20644,0.0,0.0,29.9657
122,2,6,2236962,URMA_WRITE,7,0ns,37,,1,1,4,4,0.0,596.31624,0.0,0.0,30.0104
123,2,6,2236962,URMA_WRITE,7,0ns,37,,2,2,5,5,0.0,419.46884,0.0,0.0,42.6628
124,2,6,2236963,URMA_WRITE,7,0ns,37,,3,3,6,6,0.0,427.13544,0.0,0.0,41.897
125,2,13,2236962,URMA_WRITE,7,0ns,38,,0,0,3,3,0.0,450.24684,0.0,0.0,39.7464
126,2,13,2236962,URMA_WRITE,7,0ns,38,,1,1,4,4,0.0,465.34396,0.0,0.0,38.4569
127,2,13,2236962,URMA_WRITE,7,0ns,38,,2,2,5,5,0.0,520.2462,0.0,0.0,34.3985
128,2,13,2236962,URMA_WRITE,7,0ns,38,,3,3,6,6,0.0,596.92562,0.0,0.0,29.9798
129,2,7,2236962,URMA_WRITE,7,0ns,39,,0,0,3,3,0.0,580.17456,0.0,0.0,30.8454
130,2,7,2236962,URMA_WRITE,7,0ns,39,,1,1,4,4,0.0,596.53428,0.0,0.0,29.9994
131,2,7,2236962,URMA_WRITE,7,0ns,39,,2,2,5,5,0.0,597.46648,0.0,0.0,29.9526
132,2,7,2236962,URMA_WRITE,7,0ns,39,,3,3,6,6,0.0,469.11888,0.0,0.0,38.1475
133,2,12,2236962,URMA_WRITE,7,0ns,40,,0,0,3,3,0.0,597.43028,0.0,0.0,29.9545
134,2,12,2236962,URMA_WRITE,7,0ns,40,,1,1,4,4,0.0,449.123,0.0,0.0,39.8459
135,2,12,2236962,URMA_WRITE,7,0ns,40,,2,2,5,5,0.0,551.89504,0.0,0.0,32.4259
136,2,12,2236962,URMA_WRITE,7,0ns,40,,3,3,6,6,0.0,579.7052,0.0,0.0,30.8703
137,2,8,2236962,URMA_WRITE,7,0ns,41,,0,0,3,3,0.0,596.63308,0.0,0.0,29.9945
138,2,8,2236962,URMA_WRITE,7,0ns,41,,1,1,4,4,0.0,596.62264,0.0,0.0,29.995
139,2,8,2236962,URMA_WRITE,7,0ns,41,,2,2,5,5,0.0,597.47648,0.0,0.0,29.9521
140,2,8,2236962,URMA_WRITE,7,0ns,41,,3,3,6,6,0.0,597.42666,0.0,0.0,29.9546
141,2,11,2236962,URMA_WRITE,7,0ns,42,,0,0,3,3,0.0,596.8624,0.0,0.0,29.983
142,2,11,2236962,URMA_WRITE,7,0ns,42,,1,1,4,4,0.0,596.7422,0.0,0.0,29.989
143,2,11,2236962,URMA_WRITE,7,0ns,42,,2,2,5,5,0.0,597.59648,0.0,0.0,29.9461
144,2,11,2236962,URMA_WRITE,7,0ns,42,,3,3,6,6,0.0,597.48666,0.0,0.0,29.9516
145,2,9,2236962,URMA_WRITE,7,0ns,43,,0,0,3,3,0.0,595.81616,0.0,0.0,30.0356
146,2,9,2236962,URMA_WRITE,7,0ns,43,,1,1,4,4,0.0,596.60264,0.0,0.0,29.996
147,2,9,2236962,URMA_WRITE,7,0ns,43,,2,2,5,5,0.0,597.67812,0.0,0.0,29.942
148,2,9,2236962,URMA_WRITE,7,0ns,43,,3,3,6,6,0.0,598.05032,0.0,0.0,29.9234
149,2,10,2236962,URMA_WRITE,7,0ns,44,,0,0,3,3,0.0,596.16208,0.0,0.0,30.0182
150,2,10,2236962,URMA_WRITE,7,0ns,44,,1,1,4,4,0.0,596.83828,0.0,0.0,29.9842
151,2,10,2236962,URMA_WRITE,7,0ns,44,,2,2,5,5,0.0,597.57648,0.0,0.0,29.9471
152,2,10,2236962,URMA_WRITE,7,0ns,44,,3,3,6,6,0.0,597.57978,0.0,0.0,29.947
153,3,2,8947849,URMA_WRITE,7,0ns,45,,0,0,2,2,0.0,195.87198,0.0,0.0,365.457
