taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint
0,0,15,2236962,URMA_WRITE,7,0ns,0,,0,0,3,3
1,0,15,2236962,URMA_WRITE,7,0ns,0,,1,1,4,4
2,0,15,2236962,URMA_WRITE,7,0ns,0,,2,2,5,5
3,0,15,2236963,URMA_WRITE,7,0ns,0,,3,3,6,6
4,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0
5,0,14,2236962,URMA_WRITE,7,0ns,2,,0,0,3,3
6,0,14,2236962,URMA_WRITE,7,0ns,2,,1,1,4,4
7,0,14,2236962,URMA_WRITE,7,0ns,2,,2,2,5,5
8,0,14,2236963,URMA_WRITE,7,0ns,2,,3,3,6,6
9,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0
10,0,13,2236962,URMA_WRITE,7,0ns,4,,0,0,3,3
11,0,13,2236962,URMA_WRITE,7,0ns,4,,1,1,4,4
12,0,13,2236962,URMA_WRITE,7,0ns,4,,2,2,5,5
13,0,13,2236963,URMA_WRITE,7,0ns,4,,3,3,6,6
14,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0
15,0,12,2236962,URMA_WRITE,7,0ns,6,,0,0,3,3
16,0,12,2236962,URMA_WRITE,7,0ns,6,,1,1,4,4
17,0,12,2236962,URMA_WRITE,7,0ns,6,,2,2,5,5
18,0,12,2236963,URMA_WRITE,7,0ns,6,,3,3,6,6
19,0,4,2236962,URMA_WRITE,7,0ns,7,,0,0,3,3
20,0,4,2236962,URMA_WRITE,7,0ns,7,,1,1,4,4
21,0,4,2236962,URMA_WRITE,7,0ns,7,,2,2,5,5
22,0,4,2236963,URMA_WRITE,7,0ns,7,,3,3,6,6
23,0,11,2236962,URMA_WRITE,7,0ns,8,,0,0,3,3
24,0,11,2236962,URMA_WRITE,7,0ns,8,,1,1,4,4
25,0,11,2236962,URMA_WRITE,7,0ns,8,,2,2,5,5
26,0,11,2236962,URMA_WRITE,7,0ns,8,,3,3,6,6
27,0,5,2236962,URMA_WRITE,7,0ns,9,,0,0,3,3
28,0,5,2236962,URMA_WRITE,7,0ns,9,,1,1,4,4
29,0,5,2236962,URMA_WRITE,7,0ns,9,,2,2,5,5
30,0,5,2236962,URMA_WRITE,7,0ns,9,,3,3,6,6
31,0,10,2236962,URMA_WRITE,7,0ns,10,,0,0,3,3
32,0,10,2236962,URMA_WRITE,7,0ns,10,,1,1,4,4
33,0,10,2236962,URMA_WRITE,7,0ns,10,,2,2,5,5
34,0,10,2236962,URMA_WRITE,7,0ns,10,,3,3,6,6
35,0,6,2236962,URMA_WRITE,7,0ns,11,,0,0,3,3
36,0,6,2236962,URMA_WRITE,7,0ns,11,,1,1,4,4
37,0,6,2236962,URMA_WRITE,7,0ns,11,,2,2,5,5
38,0,6,2236962,URMA_WRITE,7,0ns,11,,3,3,6,6
39,0,9,2236962,URMA_WRITE,7,0ns,12,,0,0,3,3
40,0,9,2236962,URMA_WRITE,7,0ns,12,,1,1,4,4
41,0,9,2236962,URMA_WRITE,7,0ns,12,,2,2,5,5
42,0,9,2236962,URMA_WRITE,7,0ns,12,,3,3,6,6
43,0,7,2236962,URMA_WRITE,7,0ns,13,,0,0,3,3
44,0,7,2236962,URMA_WRITE,7,0ns,13,,1,1,4,4
45,0,7,2236962,URMA_WRITE,7,0ns,13,,2,2,5,5
46,0,7,2236962,URMA_WRITE,7,0ns,13,,3,3,6,6
47,0,8,2236962,URMA_WRITE,7,0ns,14,,0,0,3,3
48,0,8,2236962,URMA_WRITE,7,0ns,14,,1,1,4,4
49,0,8,2236962,URMA_WRITE,7,0ns,14,,2,2,5,5
50,0,8,2236962,URMA_WRITE,7,0ns,14,,3,3,6,6
51,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0,0
52,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,1,1
53,1,15,2236962,URMA_WRITE,7,0ns,17,,0,0,3,3
54,1,15,2236962,URMA_WRITE,7,0ns,17,,1,1,4,4
55,1,15,2236962,URMA_WRITE,7,0ns,17,,2,2,5,5
56,1,15,2236963,URMA_WRITE,7,0ns,17,,3,3,6,6
57,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,2,1
58,1,14,2236962,URMA_WRITE,7,0ns,19,,0,0,3,3
59,1,14,2236962,URMA_WRITE,7,0ns,19,,1,1,4,4
60,1,14,2236962,URMA_WRITE,7,0ns,19,,2,2,5,5
61,1,14,2236963,URMA_WRITE,7,0ns,19,,3,3,6,6
62,1,4,2236962,URMA_WRITE,7,0ns,20,,0,0,3,3
63,1,4,2236962,URMA_WRITE,7,0ns,20,,1,1,4,4
64,1,4,2236962,URMA_WRITE,7,0ns,20,,2,2,5,5
65,1,4,2236963,URMA_WRITE,7,0ns,20,,3,3,6,6
66,1,13,2236962,URMA_WRITE,7,0ns,21,,0,0,3,3
67,1,13,2236962,URMA_WRITE,7,0ns,21,,1,1,4,4
68,1,13,2236962,URMA_WRITE,7,0ns,21,,2,2,5,5
69,1,13,2236963,URMA_WRITE,7,0ns,21,,3,3,6,6
70,1,5,2236962,URMA_WRITE,7,0ns,22,,0,0,3,3
71,1,5,2236962,URMA_WRITE,7,0ns,22,,1,1,4,4
72,1,5,2236962,URMA_WRITE,7,0ns,22,,2,2,5,5
73,1,5,2236963,URMA_WRITE,7,0ns,22,,3,3,6,6
74,1,12,2236962,URMA_WRITE,7,0ns,23,,0,0,3,3
75,1,12,2236962,URMA_WRITE,7,0ns,23,,1,1,4,4
76,1,12,2236962,URMA_WRITE,7,0ns,23,,2,2,5,5
77,1,12,2236962,URMA_WRITE,7,0ns,23,,3,3,6,6
78,1,6,2236962,URMA_WRITE,7,0ns,24,,0,0,3,3
79,1,6,2236962,URMA_WRITE,7,0ns,24,,1,1,4,4
80,1,6,2236962,URMA_WRITE,7,0ns,24,,2,2,5,5
81,1,6,2236962,URMA_WRITE,7,0ns,24,,3,3,6,6
82,1,11,2236962,URMA_WRITE,7,0ns,25,,0,0,3,3
83,1,11,2236962,URMA_WRITE,7,0ns,25,,1,1,4,4
84,1,11,2236962,URMA_WRITE,7,0ns,25,,2,2,5,5
85,1,11,2236962,URMA_WRITE,7,0ns,25,,3,3,6,6
86,1,7,2236962,URMA_WRITE,7,0ns,26,,0,0,3,3
87,1,7,2236962,URMA_WRITE,7,0ns,26,,1,1,4,4
88,1,7,2236962,URMA_WRITE,7,0ns,26,,2,2,5,5
89,1,7,2236962,URMA_WRITE,7,0ns,26,,3,3,6,6
90,1,10,2236962,URMA_WRITE,7,0ns,27,,0,0,3,3
91,1,10,2236962,URMA_WRITE,7,0ns,27,,1,1,4,4
92,1,10,2236962,URMA_WRITE,7,0ns,27,,2,2,5,5
93,1,10,2236962,URMA_WRITE,7,0ns,27,,3,3,6,6
94,1,8,2236962,URMA_WRITE,7,0ns,28,,0,0,3,3
95,1,8,2236962,URMA_WRITE,7,0ns,28,,1,1,4,4
96,1,8,2236962,URMA_WRITE,7,0ns,28,,2,2,5,5
97,1,8,2236962,URMA_WRITE,7,0ns,28,,3,3,6,6
98,1,9,2236962,URMA_WRITE,7,0ns,29,,0,0,3,3
99,1,9,2236962,URMA_WRITE,7,0ns,29,,1,1,4,4
100,1,9,2236962,URMA_WRITE,7,0ns,29,,2,2,5,5
101,1,9,2236962,URMA_WRITE,7,0ns,29,,3,3,6,6
102,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0,1,1
103,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0,2,2
104,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0,0,1
105,2,4,2236962,URMA_WRITE,7,0ns,33,,0,0,3,3
106,2,4,2236962,URMA_WRITE,7,0ns,33,,1,1,4,4
107,2,4,2236962,URMA_WRITE,7,0ns,33,,2,2,5,5
108,2,4,2236963,URMA_WRITE,7,0ns,33,,3,3,6,6
109,2,15,2236962,URMA_WRITE,7,0ns,34,,0,0,3,3
110,2,15,2236962,URMA_WRITE,7,0ns,34,,1,1,4,4
111,2,15,2236962,URMA_WRITE,7,0ns,34,,2,2,5,5
