taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0,0,6,6,0.0,593.99468,0.0,0.0,120.5108
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,195.87198,0.0,0.0,365.457
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0,0,5,5,0.0,575.12452,0.0,0.0,124.4649
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,195.87198,0.0,0.0,365.457
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0,0,4,4,0.0,598.0189,0.0,0.0,119.6999
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,195.87198,0.0,0.0,365.457
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,565.9145,0.0,0.0,126.4905
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,601.52116,0.0,0.0,119.0029
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0,0,6,6,0.0,595.72388,0.0,0.0,120.161
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0,0,4,4,0.0,594.72748,0.0,0.0,120.3623
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0,0,5,5,0.0,601.89686,0.0,0.0,118.9287
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0,0,5,5,0.0,603.00154,0.0,0.0,118.7108
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0,0,4,4,0.0,601.3025,0.0,0.0,119.0462
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0,0,6,6,0.0,599.41398,0.0,0.0,119.4213
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0,0,3,3,0.0,601.2905,0.0,0.0,119.0486
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0,0,0.0,195.87198,0.0,0.0,365.457
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,1,1,0.0,195.87198,0.0,0.0,365.457
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0,0,3,3,0.0,598.62564,0.0,0.0,119.5786
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,2,1,0.0,195.87198,0.0,0.0,365.457
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0,0,4,4,0.0,598.8843,0.0,0.0,119.5269
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0,0,6,6,0.0,594.51852,0.0,0.0,120.4046
