taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0,0,6,6
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0,0
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0,0,5,5
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,1,0
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0,0,4,4
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,2,0
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0,0,3,3
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0,0,3,3
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0,0,6,6
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0,0,4,4
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0,0,5,5
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0,0,5,5
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0,0,4,4
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0,0,6,6
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0,0,3,3
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0,0
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,1,1
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0,0,3,3
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,2,1
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0,0,4,4
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0,0,6,6
21,1,13,8947849,URMA_WRITE,7,0ns,21,,0,0,5,5
22,1,5,8947849,URMA_WRITE,7,0ns,22,,0,0,5,5
23,1,12,8947848,URMA_WRITE,7,0ns,23,,0,0,6,6
24,1,6,8947848,URMA_WRITE,7,0ns,24,,0,0,4,4
25,1,11,8947848,URMA_WRITE,7,0ns,25,,0,0,3,3
26,1,7,8947848,URMA_WRITE,7,0ns,26,,0,0,3,3
27,1,10,8947848,URMA_WRITE,7,0ns,27,,0,0,4,4
28,1,8,8947848,URMA_WRITE,7,0ns,28,,0,0,6,6
29,1,9,8947848,URMA_WRITE,7,0ns,29,,0,0,5,5
30,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0,1,1
31,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0,2,2
32,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0,0,1
33,2,4,8947849,URMA_WRITE,7,0ns,33,,0,0,5,5
34,2,15,8947849,URMA_WRITE,7,0ns,34,,0,0,4,4
35,2,5,8947849,URMA_WRITE,7,0ns,35,,0,0,6,6
36,2,14,8947849,URMA_WRITE,7,0ns,36,,0,0,3,3
37,2,6,8947849,URMA_WRITE,7,0ns,37,,0,0,3,3
38,2,13,8947848,URMA_WRITE,7,0ns,38,,0,0,6,6
39,2,7,8947848,URMA_WRITE,7,0ns,39,,0,0,4,4
40,2,12,8947848,URMA_WRITE,7,0ns,40,,0,0,5,5
41,2,8,8947848,URMA_WRITE,7,0ns,41,,0,0,5,5
42,2,11,8947848,URMA_WRITE,7,0ns,42,,0,0,4,4
43,2,9,8947848,URMA_WRITE,7,0ns,43,,0,0,6,6
44,2,10,8947848,URMA_WRITE,7,0ns,44,,0,0,3,3
45,3,2,8947849,URMA_WRITE,7,0ns,45,,0,0,2,2
46,3,4,8947849,URMA_WRITE,7,0ns,46,,0,0,4,4
47,3,1,8947849,URMA_WRITE,7,0ns,47,,0,0,1,2
48,3,5,8947849,URMA_WRITE,7,0ns,48,,0,0,3,3
49,3,0,8947849,URMA_WRITE,7,0ns,49,,0,0,0,2
50,3,6,8947849,URMA_WRITE,7,0ns,50,,0,0,6,6
51,3,15,8947849,URMA_WRITE,7,0ns,51,,0,0,5,5
52,3,7,8947849,URMA_WRITE,7,0ns,52,,0,0,5,5
53,3,14,8947848,URMA_WRITE,7,0ns,53,,0,0,6,6
54,3,8,8947848,URMA_WRITE,7,0ns,54,,0,0,4,4
55,3,13,8947848,URMA_WRITE,7,0ns,55,,0,0,3,3
56,3,9,8947848,URMA_WRITE,7,0ns,56,,0,0,3,3
57,3,12,8947848,URMA_WRITE,7,0ns,57,,0,0,4,4
58,3,10,8947848,URMA_WRITE,7,0ns,58,,0,0,6,6
59,3,11,8947848,URMA_WRITE,7,0ns,59,,0,0,5,5
60,4,3,8947849,URMA_WRITE,7,0ns,60,,0,0,6,6
61,4,5,8947849,URMA_WRITE,7,0ns,61,,0,0,0,0
62,4,2,8947849,URMA_WRITE,7,0ns,62,,0,0,5,5
63,4,6,8947849,URMA_WRITE,7,0ns,63,,0,0,1,0
64,4,1,8947849,URMA_WRITE,7,0ns,64,,0,0,4,4
65,4,7,8947849,URMA_WRITE,7,0ns,65,,0,0,2,0
66,4,0,8947849,URMA_WRITE,7,0ns,66,,0,0,3,3
67,4,8,8947849,URMA_WRITE,7,0ns,67,,0,0,3,3
68,4,15,8947848,URMA_WRITE,7,0ns,68,,0,0,6,6
69,4,9,8947848,URMA_WRITE,7,0ns,69,,0,0,4,4
70,4,14,8947848,URMA_WRITE,7,0ns,70,,0,0,5,5
71,4,10,8947848,URMA_WRITE,7,0ns,71,,0,0,5,5
72,4,13,8947848,URMA_WRITE,7,0ns,72,,0,0,4,4
73,4,11,8947848,URMA_WRITE,7,0ns,73,,0,0,6,6
74,4,12,8947848,URMA_WRITE,7,0ns,74,,0,0,3,3
75,5,4,8947849,URMA_WRITE,7,0ns,75,,0,0,0,0
76,5,6,8947849,URMA_WRITE,7,0ns,76,,0,0,1,1
77,5,3,8947849,URMA_WRITE,7,0ns,77,,0,0,3,3
78,5,7,8947849,URMA_WRITE,7,0ns,78,,0,0,2,1
79,5,2,8947849,URMA_WRITE,7,0ns,79,,0,0,4,4
80,5,8,8947849,URMA_WRITE,7,0ns,80,,0,0,6,6
81,5,1,8947849,URMA_WRITE,7,0ns,81,,0,0,5,5
82,5,9,8947849,URMA_WRITE,7,0ns,82,,0,0,5,5
83,5,0,8947848,URMA_WRITE,7,0ns,83,,0,0,6,6
84,5,10,8947848,URMA_WRITE,7,0ns,84,,0,0,4,4
85,5,15,8947848,URMA_WRITE,7,0ns,85,,0,0,3,3
86,5,11,8947848,URMA_WRITE,7,0ns,86,,0,0,3,3
87,5,14,8947848,URMA_WRITE,7,0ns,87,,0,0,4,4
88,5,12,8947848,URMA_WRITE,7,0ns,88,,0,0,6,6
89,5,13,8947848,URMA_WRITE,7,0ns,89,,0,0,5,5
90,6,5,8947849,URMA_WRITE,7,0ns,90,,0,0,1,1
91,6,7,8947849,URMA_WRITE,7,0ns,91,,0,0,2,2
92,6,4,8947849,URMA_WRITE,7,0ns,92,,0,0,0,1
93,6,8,8947849,URMA_WRITE,7,0ns,93,,0,0,5,5
94,6,3,8947849,URMA_WRITE,7,0ns,94,,0,0,4,4
95,6,9,8947849,URMA_WRITE,7,0ns,95,,0,0,6,6
96,6,2,8947849,URMA_WRITE,7,0ns,96,,0,0,3,3
97,6,10,8947849,URMA_WRITE,7,0ns,97,,0,0,3,3
98,6,1,8947848,URMA_WRITE,7,0ns,98,,0,0,6,6
99,6,11,8947848,URMA_WRITE,7,0ns,99,,0,0,4,4
100,6,0,8947848,URMA_WRITE,7,0ns,100,,0,0,5,5
101,6,12,8947848,URMA_WRITE,7,0ns,101,,0,0,5,5
102,6,15,8947848,URMA_WRITE,7,0ns,102,,0,0,4,4
103,6,13,8947848,URMA_WRITE,7,0ns,103,,0,0,6,6
104,6,14,8947848,URMA_WRITE,7,0ns,104,,0,0,3,3
105,7,6,8947849,URMA_WRITE,7,0ns,105,,0,0,2,2
106,7,8,8947849,URMA_WRITE,7,0ns,106,,0,0,4,4
107,7,5,8947849,URMA_WRITE,7,0ns,107,,0,0,1,2
108,7,9,8947849,URMA_WRITE,7,0ns,108,,0,0,3,3
109,7,4,8947849,URMA_WRITE,7,0ns,109,,0,0,0,2
110,7,10,8947849,URMA_WRITE,7,0ns,110,,0,0,6,6
111,7,3,8947849,URMA_WRITE,7,0ns,111,,0,0,5,5
112,7,11,8947849,URMA_WRITE,7,0ns,112,,0,0,5,5
113,7,2,8947848,URMA_WRITE,7,0ns,113,,0,0,6,6
114,7,12,8947848,URMA_WRITE,7,0ns,114,,0,0,4,4
115,7,1,8947848,URMA_WRITE,7,0ns,115,,0,0,3,3
116,7,13,8947848,URMA_WRITE,7,0ns,116,,0,0,3,3
117,7,0,8947848,URMA_WRITE,7,0ns,117,,0,0,4,4
118,7,14,8947848,URMA_WRITE,7,0ns,118,,0,0,6,6
119,7,15,8947848,URMA_WRITE,7,0ns,119,,0,0,5,5
120,8,7,8947849,URMA_WRITE,7,0ns,120,,0,0,6,6
121,8,9,8947849,URMA_WRITE,7,0ns,121,,0,0,0,0
122,8,6,8947849,URMA_WRITE,7,0ns,122,,0,0,5,5
123,8,10,8947849,URMA_WRITE,7,0ns,123,,0,0,1,0
124,8,5,8947849,URMA_WRITE,7,0ns,124,,0,0,4,4
125,8,11,8947849,URMA_WRITE,7,0ns,125,,0,0,2,0
126,8,4,8947849,URMA_WRITE,7,0ns,126,,0,0,3,3
127,8,12,8947849,URMA_WRITE,7,0ns,127,,0,0,3,3
128,8,3,8947848,URMA_WRITE,7,0ns,128,,0,0,6,6
129,8,13,8947848,URMA_WRITE,7,0ns,129,,0,0,4,4
130,8,2,8947848,URMA_WRITE,7,0ns,130,,0,0,5,5
131,8,14,8947848,URMA_WRITE,7,0ns,131,,0,0,5,5
132,8,1,8947848,URMA_WRITE,7,0ns,132,,0,0,4,4
133,8,15,8947848,URMA_WRITE,7,0ns,133,,0,0,6,6
134,8,0,8947848,URMA_WRITE,7,0ns,134,,0,0,3,3
135,9,8,8947849,URMA_WRITE,7,0ns,135,,0,0,0,0
136,9,10,8947849,URMA_WRITE,7,0ns,136,,0,0,1,1
137,9,7,8947849,URMA_WRITE,7,0ns,137,,0,0,3,3
138,9,11,8947849,URMA_WRITE,7,0ns,138,,0,0,2,1
139,9,6,8947849,URMA_WRITE,7,0ns,139,,0,0,4,4
140,9,12,8947849,URMA_WRITE,7,0ns,140,,0,0,6,6
141,9,5,8947849,URMA_WRITE,7,0ns,141,,0,0,5,5
142,9,13,8947849,URMA_WRITE,7,0ns,142,,0,0,5,5
143,9,4,8947848,URMA_WRITE,7,0ns,143,,0,0,6,6
144,9,14,8947848,URMA_WRITE,7,0ns,144,,0,0,4,4
145,9,3,8947848,URMA_WRITE,7,0ns,145,,0,0,3,3
146,9,15,8947848,URMA_WRITE,7,0ns,146,,0,0,3,3
147,9,2,8947848,URMA_WRITE,7,0ns,147,,0,0,4,4
148,9,0,8947848,URMA_WRITE,7,0ns,148,,0,0,6,6
149,9,1,8947848,URMA_WRITE,7,0ns,149,,0,0,5,5
150,10,9,8947849,URMA_WRITE,7,0ns,150,,0,0,1,1
151,10,11,8947849,URMA_WRITE,7,0ns,151,,0,0,2,2
152,10,8,8947849,URMA_WRITE,7,0ns,152,,0,0,0,1
153,10,12,8947849,URMA_WRITE,7,0ns,153,,0,0,5,5
154,10,7,8947849,URMA_WRITE,7,0ns,154,,0,0,4,4
155,10,13,8947849,URMA_WRITE,7,0ns,155,,0,0,6,6
156,10,6,8947849,URMA_WRITE,7,0ns,156,,0,0,3,3
157,10,14,8947849,URMA_WRITE,7,0ns,157,,0,0,3,3
158,10,5,8947848,URMA_WRITE,7,0ns,158,,0,0,6,6
159,10,15,8947848,URMA_WRITE,7,0ns,159,,0,0,4,4
160,10,4,8947848,URMA_WRITE,7,0ns,160,,0,0,5,5
161,10,0,8947848,URMA_WRITE,7,0ns,161,,0,0,5,5
