taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0,0,0.0,472.57804,0.0,0.0,151.473
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0.0,195.87198,0.0,0.0,365.457
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0,0,0.0,1380.84664,0.0,0.0,51.8398
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,0.0,195.87198,0.0,0.0,365.457
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0,0,0.0,1380.88726,0.0,0.0,51.8383
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,0.0,195.87198,0.0,0.0,365.457
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0,0,0.0,1593.63918,0.0,0.0,44.9178
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0,0,0.0,1380.9761,0.0,0.0,51.8349
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0,0,0.0,1381.02048,0.0,0.0,51.8333
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0,0,0.0,454.37158,0.0,0.0,157.5424
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0,0,0.0,521.7079,0.0,0.0,137.2085
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0,0,0.0,1385.86092,0.0,0.0,51.6522
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0,0,0.0,1256.26946,0.0,0.0,56.9804
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0,0,0.0,1381.07488,0.0,0.0,51.8312
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0,0,0.0,594.86732,0.0,0.0,120.334
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0.0,195.87198,0.0,0.0,365.457
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,0.0,195.87198,0.0,0.0,365.457
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0,0,0.0,1185.53376,0.0,0.0,60.3802
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,0.0,195.87198,0.0,0.0,365.457
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0,0,0.0,567.71556,0.0,0.0,126.0892
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0,0,0.0,1185.57438,0.0,0.0,60.3782
21,1,13,8947849,URMA_WRITE,7,0ns,21,,0,0,0.0,1185.6188,0.0,0.0,60.3759
22,1,5,8947849,URMA_WRITE,7,0ns,22,,0,0,0.0,774.11932,0.0,0.0,92.47
23,1,12,8947848,URMA_WRITE,7,0ns,23,,0,0,0.0,1555.97434,0.0,0.0,46.0051
24,1,6,8947848,URMA_WRITE,7,0ns,24,,0,0,0.0,1386.14102,0.0,0.0,51.6418
25,1,11,8947848,URMA_WRITE,7,0ns,25,,0,0,0.0,920.63596,0.0,0.0,77.7536
26,1,7,8947848,URMA_WRITE,7,0ns,26,,0,0,0.0,1032.67702,0.0,0.0,69.3177
27,1,10,8947848,URMA_WRITE,7,0ns,27,,0,0,0.0,424.05964,0.0,0.0,168.8036
28,1,8,8947848,URMA_WRITE,7,0ns,28,,0,0,0.0,1185.70758,0.0,0.0,60.3714
29,1,9,8947848,URMA_WRITE,7,0ns,29,,0,0,0.0,432.65206,0.0,0.0,165.4512
30,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0,0.0,195.87198,0.0,0.0,365.457
31,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0,0.0,195.87198,0.0,0.0,365.457
32,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0,0.0,195.87198,0.0,0.0,365.457
33,2,4,8947849,URMA_WRITE,7,0ns,33,,0,0,0.0,1595.99676,0.0,0.0,44.8515
34,2,15,8947849,URMA_WRITE,7,0ns,34,,0,0,0.0,1596.04118,0.0,0.0,44.8502
35,2,5,8947849,URMA_WRITE,7,0ns,35,,0,0,0.0,1596.0856,0.0,0.0,44.849
36,2,14,8947849,URMA_WRITE,7,0ns,36,,0,0,0.0,1596.13002,0.0,0.0,44.8477
37,2,6,8947849,URMA_WRITE,7,0ns,37,,0,0,0.0,1596.17444,0.0,0.0,44.8465
