taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0,0,0.0,554.18306,0.0,0.0,129.1681
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0.0,182.37834,0.0,0.0,392.4961
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0,0,0.0,553.80096,0.0,0.0,129.2573
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,0.0,182.37834,0.0,0.0,392.4961
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0,0,0.0,549.61078,0.0,0.0,130.2427
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,0.0,182.37834,0.0,0.0,392.4961
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0,0,0.0,554.43298,0.0,0.0,129.1099
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0,0,0.0,555.06334,0.0,0.0,128.9633
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0,0,0.0,556.2481,0.0,0.0,128.6886
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0,0,0.0,557.728,0.0,0.0,128.3471
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0,0,0.0,555.9111,0.0,0.0,128.7666
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0,0,0.0,558.46704,0.0,0.0,128.1773
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0,0,0.0,553.2854,0.0,0.0,129.3777
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0,0,0.0,557.07994,0.0,0.0,128.4964
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0,0,0.0,553.47464,0.0,0.0,129.3334
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0.0,182.37834,0.0,0.0,392.4961
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,0.0,182.37834,0.0,0.0,392.4961
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0,0,0.0,565.1501,0.0,0.0,126.6616
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,0.0,182.37834,0.0,0.0,392.4961
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0,0,0.0,563.9707,0.0,0.0,126.9264
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0,0,0.0,561.88534,0.0,0.0,127.3975
21,1,13,8947849,URMA_WRITE,7,0ns,21,,0,0,0.0,562.72114,0.0,0.0,127.2083
22,1,5,8947849,URMA_WRITE,7,0ns,22,,0,0,0.0,565.1461,0.0,0.0,126.6625
23,1,12,8947848,URMA_WRITE,7,0ns,23,,0,0,0.0,561.79088,0.0,0.0,127.4189
24,1,6,8947848,URMA_WRITE,7,0ns,24,,0,0,0.0,560.78088,0.0,0.0,127.6484
25,1,11,8947848,URMA_WRITE,7,0ns,25,,0,0,0.0,565.1471,0.0,0.0,126.6622
26,1,7,8947848,URMA_WRITE,7,0ns,26,,0,0,0.0,561.83528,0.0,0.0,127.4088
27,1,10,8947848,URMA_WRITE,7,0ns,27,,0,0,0.0,556.4879,0.0,0.0,128.6331
28,1,8,8947848,URMA_WRITE,7,0ns,28,,0,0,0.0,560.03508,0.0,0.0,127.8184
29,1,9,8947848,URMA_WRITE,7,0ns,29,,0,0,0.0,562.97006,0.0,0.0,127.152
30,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0,0.0,182.37834,0.0,0.0,392.4961
31,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0,0.0,182.37834,0.0,0.0,392.4961
32,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0,0.0,182.37834,0.0,0.0,392.4961
33,2,4,8947849,URMA_WRITE,7,0ns,33,,0,0,0.0,558.05424,0.0,0.0,128.2721
34,2,15,8947849,URMA_WRITE,7,0ns,34,,0,0,0.0,555.80728,0.0,0.0,128.7907
35,2,5,8947849,URMA_WRITE,7,0ns,35,,0,0,0.0,555.27396,0.0,0.0,128.9144
36,2,14,8947849,URMA_WRITE,7,0ns,36,,0,0,0.0,554.135,0.0,0.0,129.1793
37,2,6,8947849,URMA_WRITE,7,0ns,37,,0,0,0.0,555.87508,0.0,0.0,128.775
38,2,13,8947848,URMA_WRITE,7,0ns,38,,0,0,0.0,555.9015,0.0,0.0,128.7688
39,2,7,8947848,URMA_WRITE,7,0ns,39,,0,0,0.0,555.88,0.0,0.0,128.7738
40,2,12,8947848,URMA_WRITE,7,0ns,40,,0,0,0.0,555.78648,0.0,0.0,128.7955
41,2,8,8947848,URMA_WRITE,7,0ns,41,,0,0,0.0,558.0507,0.0,0.0,128.2729
42,2,11,8947848,URMA_WRITE,7,0ns,42,,0,0,0.0,555.80928,0.0,0.0,128.7902
43,2,9,8947848,URMA_WRITE,7,0ns,43,,0,0,0.0,556.06778,0.0,0.0,128.7303
44,2,10,8947848,URMA_WRITE,7,0ns,44,,0,0,0.0,555.62852,0.0,0.0,128.8321
45,3,2,8947849,URMA_WRITE,7,0ns,45,,0,0,0.0,182.37834,0.0,0.0,392.4961
46,3,4,8947849,URMA_WRITE,7,0ns,46,,0,0,0.0,551.62118,0.0,0.0,129.768
47,3,1,8947849,URMA_WRITE,7,0ns,47,,0,0,0.0,182.37834,0.0,0.0,392.4961
48,3,5,8947849,URMA_WRITE,7,0ns,48,,0,0,0.0,557.34208,0.0,0.0,128.436
49,3,0,8947849,URMA_WRITE,7,0ns,49,,0,0,0.0,182.37834,0.0,0.0,392.4961
50,3,6,8947849,URMA_WRITE,7,0ns,50,,0,0,0.0,557.11614,0.0,0.0,128.4881
51,3,15,8947849,URMA_WRITE,7,0ns,51,,0,0,0.0,552.1205,0.0,0.0,129.6507
52,3,7,8947849,URMA_WRITE,7,0ns,52,,0,0,0.0,556.29028,0.0,0.0,128.6788
53,3,14,8947848,URMA_WRITE,7,0ns,53,,0,0,0.0,546.60506,0.0,0.0,130.9589
54,3,8,8947848,URMA_WRITE,7,0ns,54,,0,0,0.0,553.59488,0.0,0.0,129.3054
55,3,13,8947848,URMA_WRITE,7,0ns,55,,0,0,0.0,548.86344,0.0,0.0,130.42
56,3,9,8947848,URMA_WRITE,7,0ns,56,,0,0,0.0,557.44718,0.0,0.0,128.4118
57,3,12,8947848,URMA_WRITE,7,0ns,57,,0,0,0.0,557.02808,0.0,0.0,128.5084
58,3,10,8947848,URMA_WRITE,7,0ns,58,,0,0,0.0,550.3641,0.0,0.0,130.0644
59,3,11,8947848,URMA_WRITE,7,0ns,59,,0,0,0.0,557.24396,0.0,0.0,128.4586
60,4,3,8947849,URMA_WRITE,7,0ns,60,,0,0,0.0,558.38132,0.0,0.0,128.197
61,4,5,8947849,URMA_WRITE,7,0ns,61,,0,0,0.0,182.37834,0.0,0.0,392.4961
62,4,2,8947849,URMA_WRITE,7,0ns,62,,0,0,0.0,556.63444,0.0,0.0,128.5993
63,4,6,8947849,URMA_WRITE,7,0ns,63,,0,0,0.0,182.37834,0.0,0.0,392.4961
64,4,1,8947849,URMA_WRITE,7,0ns,64,,0,0,0.0,550.16052,0.0,0.0,130.1126
65,4,7,8947849,URMA_WRITE,7,0ns,65,,0,0,0.0,182.37834,0.0,0.0,392.4961
66,4,0,8947849,URMA_WRITE,7,0ns,66,,0,0,0.0,556.11564,0.0,0.0,128.7193
67,4,8,8947849,URMA_WRITE,7,0ns,67,,0,0,0.0,548.48132,0.0,0.0,130.5109
68,4,15,8947848,URMA_WRITE,7,0ns,68,,0,0,0.0,560.30182,0.0,0.0,127.7575
69,4,9,8947848,URMA_WRITE,7,0ns,69,,0,0,0.0,556.63544,0.0,0.0,128.599
70,4,14,8947848,URMA_WRITE,7,0ns,70,,0,0,0.0,556.62844,0.0,0.0,128.6007
71,4,10,8947848,URMA_WRITE,7,0ns,71,,0,0,0.0,559.55768,0.0,0.0,127.9274
