taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8947849,URMA_WRITE,7,0ns,0,,1,1,0.0,554.43076,0.0,0.0,129.1104
1,0,1,8947849,URMA_WRITE,7,0ns,1,,2,2,0.0,181.63326,0.0,0.0,394.1062
2,0,14,8947849,URMA_WRITE,7,0ns,2,,3,3,0.0,554.59354,0.0,0.0,129.0725
3,0,2,8947849,URMA_WRITE,7,0ns,3,,4,4,0.0,181.63326,0.0,0.0,394.1062
4,0,13,8947849,URMA_WRITE,7,0ns,4,,5,5,0.0,552.94668,0.0,0.0,129.457
5,0,3,8947849,URMA_WRITE,7,0ns,5,,6,6,0.0,181.63326,0.0,0.0,394.1062
6,0,12,8947849,URMA_WRITE,7,0ns,6,,7,7,0.0,550.63128,0.0,0.0,130.0013
7,0,4,8947849,URMA_WRITE,7,0ns,7,,8,8,0.0,554.59206,0.0,0.0,129.0729
8,0,11,8947848,URMA_WRITE,7,0ns,8,,9,9,0.0,554.87216,0.0,0.0,129.0077
9,0,5,8947848,URMA_WRITE,7,0ns,9,,10,10,0.0,556.01906,0.0,0.0,128.7416
10,0,10,8947848,URMA_WRITE,7,0ns,10,,11,11,0.0,554.76132,0.0,0.0,129.0335
11,0,6,8947848,URMA_WRITE,7,0ns,11,,12,12,0.0,552.15072,0.0,0.0,129.6436
12,0,9,8947848,URMA_WRITE,7,0ns,12,,13,13,0.0,554.84348,0.0,0.0,129.0144
13,0,7,8947848,URMA_WRITE,7,0ns,13,,14,14,0.0,552.15772,0.0,0.0,129.6419
14,0,8,8947848,URMA_WRITE,7,0ns,14,,15,15,0.0,554.9266,0.0,0.0,128.995
15,1,0,8947849,URMA_WRITE,7,0ns,15,,16,16,0.0,181.63326,0.0,0.0,394.1062
16,1,2,8947849,URMA_WRITE,7,0ns,16,,17,17,0.0,181.63326,0.0,0.0,394.1062
