taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId
0,0,15,8947849,URMA_WRITE,7,0ns,0,,1,1
1,0,1,8947849,URMA_WRITE,7,0ns,1,,2,2
2,0,14,8947849,URMA_WRITE,7,0ns,2,,3,3
3,0,2,8947849,URMA_WRITE,7,0ns,3,,4,4
4,0,13,8947849,URMA_WRITE,7,0ns,4,,5,5
5,0,3,8947849,URMA_WRITE,7,0ns,5,,6,6
6,0,12,8947849,URMA_WRITE,7,0ns,6,,7,7
7,0,4,8947849,URMA_WRITE,7,0ns,7,,8,8
8,0,11,8947848,URMA_WRITE,7,0ns,8,,9,9
9,0,5,8947848,URMA_WRITE,7,0ns,9,,10,10
10,0,10,8947848,URMA_WRITE,7,0ns,10,,11,11
11,0,6,8947848,URMA_WRITE,7,0ns,11,,12,12
12,0,9,8947848,URMA_WRITE,7,0ns,12,,13,13
13,0,7,8947848,URMA_WRITE,7,0ns,13,,14,14
14,0,8,8947848,URMA_WRITE,7,0ns,14,,15,15
15,1,0,8947849,URMA_WRITE,7,0ns,15,,16,16
16,1,2,8947849,URMA_WRITE,7,0ns,16,,17,17
17,1,15,8947849,URMA_WRITE,7,0ns,17,,18,18
18,1,3,8947849,URMA_WRITE,7,0ns,18,,19,19
19,1,14,8947849,URMA_WRITE,7,0ns,19,,20,20
20,1,4,8947849,URMA_WRITE,7,0ns,20,,21,21
21,1,13,8947849,URMA_WRITE,7,0ns,21,,22,22
22,1,5,8947849,URMA_WRITE,7,0ns,22,,23,23
23,1,12,8947848,URMA_WRITE,7,0ns,23,,24,24
24,1,6,8947848,URMA_WRITE,7,0ns,24,,25,25
25,1,11,8947848,URMA_WRITE,7,0ns,25,,26,26
26,1,7,8947848,URMA_WRITE,7,0ns,26,,27,27
27,1,10,8947848,URMA_WRITE,7,0ns,27,,28,28
28,1,8,8947848,URMA_WRITE,7,0ns,28,,29,29
29,1,9,8947848,URMA_WRITE,7,0ns,29,,30,30
30,2,1,8947849,URMA_WRITE,7,0ns,30,,31,31
31,2,3,8947849,URMA_WRITE,7,0ns,31,,32,32
32,2,0,8947849,URMA_WRITE,7,0ns,32,,33,33
33,2,4,8947849,URMA_WRITE,7,0ns,33,,34,34
34,2,15,8947849,URMA_WRITE,7,0ns,34,,35,35
35,2,5,8947849,URMA_WRITE,7,0ns,35,,36,36
36,2,14,8947849,URMA_WRITE,7,0ns,36,,37,37
37,2,6,8947849,URMA_WRITE,7,0ns,37,,38,38
38,2,13,8947848,URMA_WRITE,7,0ns,38,,39,39
39,2,7,8947848,URMA_WRITE,7,0ns,39,,40,40
40,2,12,8947848,URMA_WRITE,7,0ns,40,,41,41
41,2,8,8947848,URMA_WRITE,7,0ns,41,,42,42
42,2,11,8947848,URMA_WRITE,7,0ns,42,,43,43
43,2,9,8947848,URMA_WRITE,7,0ns,43,,44,44
44,2,10,8947848,URMA_WRITE,7,0ns,44,,45,45
45,3,2,8947849,URMA_WRITE,7,0ns,45,,46,46
46,3,4,8947849,URMA_WRITE,7,0ns,46,,47,47
47,3,1,8947849,URMA_WRITE,7,0ns,47,,48,48
48,3,5,8947849,URMA_WRITE,7,0ns,48,,49,49
49,3,0,8947849,URMA_WRITE,7,0ns,49,,50,50
50,3,6,8947849,URMA_WRITE,7,0ns,50,,51,51
51,3,15,8947849,URMA_WRITE,7,0ns,51,,52,52
52,3,7,8947849,URMA_WRITE,7,0ns,52,,53,53
53,3,14,8947848,URMA_WRITE,7,0ns,53,,54,54
54,3,8,8947848,URMA_WRITE,7,0ns,54,,55,55
55,3,13,8947848,URMA_WRITE,7,0ns,55,,56,56
56,3,9,8947848,URMA_WRITE,7,0ns,56,,57,57
57,3,12,8947848,URMA_WRITE,7,0ns,57,,58,58
58,3,10,8947848,URMA_WRITE,7,0ns,58,,59,59
59,3,11,8947848,URMA_WRITE,7,0ns,59,,60,60
60,4,3,8947849,URMA_WRITE,7,0ns,60,,61,61
