taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0,0,0.0,599.24414,0.0,0.0,119.4551
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0.0,195.87198,0.0,0.0,365.457
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0,0,0.0,599.23414,0.0,0.0,119.4571
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,0.0,195.87198,0.0,0.0,365.457
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0,0,0.0,593.55422,0.0,0.0,120.6003
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,0.0,195.87198,0.0,0.0,365.457
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0,0,0.0,600.53694,0.0,0.0,119.198
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0,0,0.0,600.54694,0.0,0.0,119.196
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0,0,0.0,602.14614,0.0,0.0,118.8794
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0,0,0.0,603.63208,0.0,0.0,118.5868
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0,0,0.0,601.6715,0.0,0.0,118.9732
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0,0,0.0,604.30844,0.0,0.0,118.4541
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0,0,0.0,599.32546,0.0,0.0,119.4389
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0,0,0.0,602.78558,0.0,0.0,118.7533
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0,0,0.0,599.92598,0.0,0.0,119.3194
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0.0,195.87198,0.0,0.0,365.457
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,0.0,195.87198,0.0,0.0,365.457
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0,0,0.0,610.96046,0.0,0.0,117.1644
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,0.0,195.87198,0.0,0.0,365.457
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0,0,0.0,609.63206,0.0,0.0,117.4197
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0,0,0.0,608.35366,0.0,0.0,117.6664
21,1,13,8947849,URMA_WRITE,7,0ns,21,,0,0,0.0,608.52942,0.0,0.0,117.6324
22,1,5,8947849,URMA_WRITE,7,0ns,22,,0,0,0.0,610.92046,0.0,0.0,117.172
23,1,12,8947848,URMA_WRITE,7,0ns,23,,0,0,0.0,608.18204,0.0,0.0,117.6996
24,1,6,8947848,URMA_WRITE,7,0ns,24,,0,0,0.0,606.82886,0.0,0.0,117.9621
25,1,11,8947848,URMA_WRITE,7,0ns,25,,0,0,0.0,610.93046,0.0,0.0,117.1701
26,1,7,8947848,URMA_WRITE,7,0ns,26,,0,0,0.0,608.22692,0.0,0.0,117.6909
27,1,10,8947848,URMA_WRITE,7,0ns,27,,0,0,0.0,601.56246,0.0,0.0,118.9948
28,1,8,8947848,URMA_WRITE,7,0ns,28,,0,0,0.0,606.28916,0.0,0.0,118.0671
29,1,9,8947848,URMA_WRITE,7,0ns,29,,0,0,0.0,608.4463,0.0,0.0,117.6485
30,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0,0.0,195.87198,0.0,0.0,365.457
31,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0,0.0,195.87198,0.0,0.0,365.457
32,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0,0.0,195.87198,0.0,0.0,365.457
33,2,4,8947849,URMA_WRITE,7,0ns,33,,0,0,0.0,603.68648,0.0,0.0,118.5761
34,2,15,8947849,URMA_WRITE,7,0ns,34,,0,0,0.0,602.08266,0.0,0.0,118.892
35,2,5,8947849,URMA_WRITE,7,0ns,35,,0,0,0.0,602.5873,0.0,0.0,118.7924
36,2,14,8947849,URMA_WRITE,7,0ns,36,,0,0,0.0,599.02908,0.0,0.0,119.498
37,2,6,8947849,URMA_WRITE,7,0ns,37,,0,0,0.0,602.66546,0.0,0.0,118.777
38,2,13,8947848,URMA_WRITE,7,0ns,38,,0,0,0.0,602.75258,0.0,0.0,118.7598
39,2,7,8947848,URMA_WRITE,7,0ns,39,,0,0,0.0,602.8273,0.0,0.0,118.7451
40,2,12,8947848,URMA_WRITE,7,0ns,40,,0,0,0.0,602.30992,0.0,0.0,118.8471
41,2,8,8947848,URMA_WRITE,7,0ns,41,,0,0,0.0,603.52842,0.0,0.0,118.6071
42,2,11,8947848,URMA_WRITE,7,0ns,42,,0,0,0.0,601.17364,0.0,0.0,119.0717
43,2,9,8947848,URMA_WRITE,7,0ns,43,,0,0,0.0,603.0005,0.0,0.0,118.711
44,2,10,8947848,URMA_WRITE,7,0ns,44,,0,0,0.0,601.28448,0.0,0.0,119.0498
45,3,2,8947849,URMA_WRITE,7,0ns,45,,0,0,0.0,195.87198,0.0,0.0,365.457
46,3,4,8947849,URMA_WRITE,7,0ns,46,,0,0,0.0,596.24054,0.0,0.0,120.0569
47,3,1,8947849,URMA_WRITE,7,0ns,47,,0,0,0.0,195.87198,0.0,0.0,365.457
48,3,5,8947849,URMA_WRITE,7,0ns,48,,0,0,0.0,601.95908,0.0,0.0,118.9164
49,3,0,8947849,URMA_WRITE,7,0ns,49,,0,0,0.0,195.87198,0.0,0.0,365.457
50,3,6,8947849,URMA_WRITE,7,0ns,50,,0,0,0.0,602.87222,0.0,0.0,118.7363
51,3,15,8947849,URMA_WRITE,7,0ns,51,,0,0,0.0,596.51894,0.0,0.0,120.0009
52,3,7,8947849,URMA_WRITE,7,0ns,52,,0,0,0.0,601.15728,0.0,0.0,119.075
53,3,14,8947848,URMA_WRITE,7,0ns,53,,0,0,0.0,593.94878,0.0,0.0,120.5201
54,3,8,8947848,URMA_WRITE,7,0ns,54,,0,0,0.0,598.9043,0.0,0.0,119.5229
55,3,13,8947848,URMA_WRITE,7,0ns,55,,0,0,0.0,594.49678,0.0,0.0,120.409
