taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0,0,0.0,650.41398,0.0,0.0,110.0573
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0,0,0.0,214.85406,0.0,0.0,333.1694
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0,0,0.0,650.2198,0.0,0.0,110.0901
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0,0,0.0,214.85406,0.0,0.0,333.1694
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0,0,0.0,642.55294,0.0,0.0,111.4037
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0,0,0.0,214.85406,0.0,0.0,333.1694
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0,0,0.0,651.73902,0.0,0.0,109.8335
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0,0,0.0,649.32526,0.0,0.0,110.2418
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0,0,0.0,652.90826,0.0,0.0,109.6368
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0,0,0.0,651.75002,0.0,0.0,109.8317
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0,0,0.0,653.08402,0.0,0.0,109.6073
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0,0,0.0,654.6526,0.0,0.0,109.3447
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0,0,0.0,650.56532,0.0,0.0,110.0317
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0,0,0.0,653.80814,0.0,0.0,109.4859
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0,0,0.0,650.65896,0.0,0.0,110.0158
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0,0,0.0,214.85406,0.0,0.0,333.1694
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0,0,0.0,214.85406,0.0,0.0,333.1694
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0,0,0.0,663.6919,0.0,0.0,107.8555
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0,0,0.0,214.85406,0.0,0.0,333.1694
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0,0,0.0,661.39282,0.0,0.0,108.2304
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0,0,0.0,659.25006,0.0,0.0,108.5822
21,1,13,8947849,URMA_WRITE,7,0ns,21,,0,0,0.0,660.1719,0.0,0.0,108.4305
22,1,5,8947849,URMA_WRITE,7,0ns,22,,0,0,0.0,663.59778,0.0,0.0,107.8708
23,1,12,8947848,URMA_WRITE,7,0ns,23,,0,0,0.0,659.05708,0.0,0.0,108.6139
24,1,6,8947848,URMA_WRITE,7,0ns,24,,0,0,0.0,657.13616,0.0,0.0,108.9314
25,1,11,8947848,URMA_WRITE,7,0ns,25,,0,0,0.0,663.41102,0.0,0.0,107.9011
26,1,7,8947848,URMA_WRITE,7,0ns,26,,0,0,0.0,659.12248,0.0,0.0,108.6032
27,1,10,8947848,URMA_WRITE,7,0ns,27,,0,0,0.0,653.90518,0.0,0.0,109.4697
28,1,8,8947848,URMA_WRITE,7,0ns,28,,0,0,0.0,657.18148,0.0,0.0,108.9239
29,1,9,8947848,URMA_WRITE,7,0ns,29,,0,0,0.0,660.34766,0.0,0.0,108.4017
30,2,1,8947849,URMA_WRITE,7,0ns,30,,0,0,0.0,214.85406,0.0,0.0,333.1694
31,2,3,8947849,URMA_WRITE,7,0ns,31,,0,0,0.0,214.85406,0.0,0.0,333.1694
32,2,0,8947849,URMA_WRITE,7,0ns,32,,0,0,0.0,214.85406,0.0,0.0,333.1694
33,2,4,8947849,URMA_WRITE,7,0ns,33,,0,0,0.0,653.76952,0.0,0.0,109.4924
34,2,15,8947849,URMA_WRITE,7,0ns,34,,0,0,0.0,652.03774,0.0,0.0,109.7832
35,2,5,8947849,URMA_WRITE,7,0ns,35,,0,0,0.0,652.8521,0.0,0.0,109.6463
36,2,14,8947849,URMA_WRITE,7,0ns,36,,0,0,0.0,646.76668,0.0,0.0,110.6779
37,2,6,8947849,URMA_WRITE,7,0ns,37,,0,0,0.0,652.89652,0.0,0.0,109.6388
38,2,13,8947848,URMA_WRITE,7,0ns,38,,0,0,0.0,652.93752,0.0,0.0,109.6319
39,2,7,8947848,URMA_WRITE,7,0ns,39,,0,0,0.0,653.01582,0.0,0.0,109.6188
40,2,12,8947848,URMA_WRITE,7,0ns,40,,0,0,0.0,652.46416,0.0,0.0,109.7114
41,2,8,8947848,URMA_WRITE,7,0ns,41,,0,0,0.0,653.1701,0.0,0.0,109.5929
42,2,11,8947848,URMA_WRITE,7,0ns,42,,0,0,0.0,650.41432,0.0,0.0,110.0572
43,2,9,8947848,URMA_WRITE,7,0ns,43,,0,0,0.0,653.17268,0.0,0.0,109.5924
44,2,10,8947848,URMA_WRITE,7,0ns,44,,0,0,0.0,651.69076,0.0,0.0,109.8416
45,3,2,8947849,URMA_WRITE,7,0ns,45,,0,0,0.0,214.85406,0.0,0.0,333.1694
46,3,4,8947849,URMA_WRITE,7,0ns,46,,0,0,0.0,647.79982,0.0,0.0,110.5014
47,3,1,8947849,URMA_WRITE,7,0ns,47,,0,0,0.0,214.85406,0.0,0.0,333.1694
48,3,5,8947849,URMA_WRITE,7,0ns,48,,0,0,0.0,652.37164,0.0,0.0,109.727
49,3,0,8947849,URMA_WRITE,7,0ns,49,,0,0,0.0,214.85406,0.0,0.0,333.1694
50,3,6,8947849,URMA_WRITE,7,0ns,50,,0,0,0.0,652.52626,0.0,0.0,109.701
51,3,15,8947849,URMA_WRITE,7,0ns,51,,0,0,0.0,646.73254,0.0,0.0,110.6838
52,3,7,8947849,URMA_WRITE,7,0ns,52,,0,0,0.0,651.42442,0.0,0.0,109.8866
53,3,14,8947848,URMA_WRITE,7,0ns,53,,0,0,0.0,639.12378,0.0,0.0,112.0014
54,3,8,8947848,URMA_WRITE,7,0ns,54,,0,0,0.0,649.69334,0.0,0.0,110.1793
55,3,13,8947848,URMA_WRITE,7,0ns,55,,0,0,0.0,643.96634,0.0,0.0,111.1592
56,3,9,8947848,URMA_WRITE,7,0ns,56,,0,0,0.0,652.245,0.0,0.0,109.7483
