taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,1026.92812,0.0,0.0,32.6746
1,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,4,4,0.0,1026.92812,0.0,0.0,32.6746
2,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,5,5,0.0,1026.92812,0.0,0.0,32.6746
3,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,6,6,0.0,1455.91676,0.0,0.0,23.0469
4,0,1,16777216,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,367.25124,0.0,0.0,365.4657
5,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,1027.16436,0.0,0.0,32.6671
6,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,4,4,0.0,1027.16436,0.0,0.0,32.6671
7,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,5,5,0.0,1027.16436,0.0,0.0,32.6671
8,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,6,6,0.0,1458.45392,0.0,0.0,23.0069
9,0,2,16777216,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,367.25124,0.0,0.0,365.4657
10,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,1027.80164,0.0,0.0,32.6468
11,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,4,4,0.0,1028.14004,0.0,0.0,32.6361
12,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,5,5,0.0,1028.14004,0.0,0.0,32.6361
13,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,6,6,0.0,1113.771,0.0,0.0,30.1269
14,0,3,16777216,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,367.25124,0.0,0.0,365.4657
15,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,1027.14436,0.0,0.0,32.6677
16,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,4,4,0.0,1027.14436,0.0,0.0,32.6677
17,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,5,5,0.0,1027.14436,0.0,0.0,32.6677
18,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,6,6,0.0,1158.43732,0.0,0.0,28.9653
19,0,4,4194304,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,1028.31532,0.0,0.0,32.6305
20,0,4,4194304,URMA_WRITE,7,0ns,7,,0,0,4,4,0.0,1028.31532,0.0,0.0,32.6305
21,0,4,4194304,URMA_WRITE,7,0ns,7,,0,0,5,5,0.0,1028.31532,0.0,0.0,32.6305
22,0,4,4194304,URMA_WRITE,7,0ns,7,,0,0,6,6,0.0,1455.92676,0.0,0.0,23.0468
23,0,11,4194304,URMA_WRITE,7,0ns,8,,0,0,3,3,0.0,1027.13436,0.0,0.0,32.668
24,0,11,4194304,URMA_WRITE,7,0ns,8,,0,0,4,4,0.0,1027.13436,0.0,0.0,32.668
25,0,11,4194304,URMA_WRITE,7,0ns,8,,0,0,5,5,0.0,1027.13436,0.0,0.0,32.668
26,0,11,4194304,URMA_WRITE,7,0ns,8,,0,0,6,6,0.0,1314.12284,0.0,0.0,25.5337
27,0,5,4194304,URMA_WRITE,7,0ns,9,,0,0,3,3,0.0,1027.99692,0.0,0.0,32.6406
28,0,5,4194304,URMA_WRITE,7,0ns,9,,0,0,4,4,0.0,1028.94428,0.0,0.0,32.6105
29,0,5,4194304,URMA_WRITE,7,0ns,9,,0,0,5,5,0.0,1028.94428,0.0,0.0,32.6105
30,0,5,4194304,URMA_WRITE,7,0ns,9,,0,0,6,6,0.0,1458.6232,0.0,0.0,23.0042
31,0,10,4194304,URMA_WRITE,7,0ns,10,,0,0,3,3,0.0,1027.30748,0.0,0.0,32.6625
32,0,10,4194304,URMA_WRITE,7,0ns,10,,0,0,4,4,0.0,1027.30748,0.0,0.0,32.6625
33,0,10,4194304,URMA_WRITE,7,0ns,10,,0,0,5,5,0.0,1027.30748,0.0,0.0,32.6625
34,0,10,4194304,URMA_WRITE,7,0ns,10,,0,0,6,6,0.0,1411.37804,0.0,0.0,23.7742
35,0,6,4194304,URMA_WRITE,7,0ns,11,,0,0,3,3,0.0,1030.10132,0.0,0.0,32.5739
36,0,6,4194304,URMA_WRITE,7,0ns,11,,0,0,4,4,0.0,1031.12132,0.0,0.0,32.5417
37,0,6,4194304,URMA_WRITE,7,0ns,11,,0,0,5,5,0.0,1031.12132,0.0,0.0,32.5417
38,0,6,4194304,URMA_WRITE,7,0ns,11,,0,0,6,6,0.0,1456.22468,0.0,0.0,23.0421
39,0,9,4194304,URMA_WRITE,7,0ns,12,,0,0,3,3,0.0,1027.29748,0.0,0.0,32.6628
40,0,9,4194304,URMA_WRITE,7,0ns,12,,0,0,4,4,0.0,1028.03692,0.0,0.0,32.6393
41,0,9,4194304,URMA_WRITE,7,0ns,12,,0,0,5,5,0.0,1028.03692,0.0,0.0,32.6393
42,0,9,4194304,URMA_WRITE,7,0ns,12,,0,0,6,6,0.0,1458.50088,0.0,0.0,23.0061
43,0,7,4194304,URMA_WRITE,7,0ns,13,,0,0,3,3,0.0,1030.585,0.0,0.0,32.5586
44,0,7,4194304,URMA_WRITE,7,0ns,13,,0,0,4,4,0.0,1030.585,0.0,0.0,32.5586
45,0,7,4194304,URMA_WRITE,7,0ns,13,,0,0,5,5,0.0,1030.585,0.0,0.0,32.5586
46,0,7,4194304,URMA_WRITE,7,0ns,13,,0,0,6,6,0.0,1456.23468,0.0,0.0,23.0419
47,0,8,4194304,URMA_WRITE,7,0ns,14,,0,0,3,3,0.0,1027.28748,0.0,0.0,32.6631
48,0,8,4194304,URMA_WRITE,7,0ns,14,,0,0,4,4,0.0,1027.60636,0.0,0.0,32.653
49,0,8,4194304,URMA_WRITE,7,0ns,14,,0,0,5,5,0.0,1027.60636,0.0,0.0,32.653
50,0,8,4194304,URMA_WRITE,7,0ns,14,,0,0,6,6,0.0,1456.58184,0.0,0.0,23.0364
51,1,0,16777216,URMA_WRITE,7,0ns,15,,0,0,0,0,0.0,367.25124,0.0,0.0,365.4657
52,1,2,16777216,URMA_WRITE,7,0ns,16,,0,0,1,1,0.0,367.25124,0.0,0.0,365.4657
53,1,15,4194304,URMA_WRITE,7,0ns,17,,0,0,3,3,0.0,1022.75676,0.0,0.0,32.8078
54,1,15,4194304,URMA_WRITE,7,0ns,17,,0,0,4,4,0.0,1022.75676,0.0,0.0,32.8078
55,1,15,4194304,URMA_WRITE,7,0ns,17,,0,0,5,5,0.0,1022.75676,0.0,0.0,32.8078
56,1,15,4194304,URMA_WRITE,7,0ns,17,,0,0,6,6,0.0,1323.13116,0.0,0.0,25.3599
57,1,3,16777216,URMA_WRITE,7,0ns,18,,0,0,2,1,0.0,367.25124,0.0,0.0,365.4657
58,1,14,4194304,URMA_WRITE,7,0ns,19,,0,0,3,3,0.0,1023.19516,0.0,0.0,32.7938
59,1,14,4194304,URMA_WRITE,7,0ns,19,,0,0,4,4,0.0,1023.19516,0.0,0.0,32.7938
60,1,14,4194304,URMA_WRITE,7,0ns,19,,0,0,5,5,0.0,1023.19516,0.0,0.0,32.7938
61,1,14,4194304,URMA_WRITE,7,0ns,19,,0,0,6,6,0.0,1063.3482,0.0,0.0,31.5555
62,1,4,4194304,URMA_WRITE,7,0ns,20,,0,0,3,3,0.0,1023.9982,0.0,0.0,32.7681
63,1,4,4194304,URMA_WRITE,7,0ns,20,,0,0,4,4,0.0,1023.9982,0.0,0.0,32.7681
64,1,4,4194304,URMA_WRITE,7,0ns,20,,0,0,5,5,0.0,1023.9982,0.0,0.0,32.7681
65,1,4,4194304,URMA_WRITE,7,0ns,20,,0,0,6,6,0.0,1454.13636,0.0,0.0,23.0752
66,1,13,4194304,URMA_WRITE,7,0ns,21,,0,0,3,3,0.0,1023.49452,0.0,0.0,32.7842
67,1,13,4194304,URMA_WRITE,7,0ns,21,,0,0,4,4,0.0,1023.83244,0.0,0.0,32.7734
68,1,13,4194304,URMA_WRITE,7,0ns,21,,0,0,5,5,0.0,1023.83244,0.0,0.0,32.7734
69,1,13,4194304,URMA_WRITE,7,0ns,21,,0,0,6,6,0.0,1157.45924,0.0,0.0,28.9897
70,1,5,4194304,URMA_WRITE,7,0ns,22,,0,0,3,3,0.0,1024.40924,0.0,0.0,32.7549
71,1,5,4194304,URMA_WRITE,7,0ns,22,,0,0,4,4,0.0,1024.40924,0.0,0.0,32.7549
72,1,5,4194304,URMA_WRITE,7,0ns,22,,0,0,5,5,0.0,1024.40924,0.0,0.0,32.7549
73,1,5,4194304,URMA_WRITE,7,0ns,22,,0,0,6,6,0.0,1359.09404,0.0,0.0,24.6888
74,1,12,4194304,URMA_WRITE,7,0ns,23,,0,0,3,3,0.0,1023.48452,0.0,0.0,32.7845
75,1,12,4194304,URMA_WRITE,7,0ns,23,,0,0,4,4,0.0,1023.48452,0.0,0.0,32.7845
76,1,12,4194304,URMA_WRITE,7,0ns,23,,0,0,5,5,0.0,1023.48452,0.0,0.0,32.7845
77,1,12,4194304,URMA_WRITE,7,0ns,23,,0,0,6,6,0.0,1228.51124,0.0,0.0,27.3131
78,1,6,4194304,URMA_WRITE,7,0ns,24,,0,0,3,3,0.0,1022.60364,0.0,0.0,32.8127
79,1,6,4194304,URMA_WRITE,7,0ns,24,,0,0,4,4,0.0,1023.05204,0.0,0.0,32.7984
80,1,6,4194304,URMA_WRITE,7,0ns,24,,0,0,5,5,0.0,1023.05204,0.0,0.0,32.7984
81,1,6,4194304,URMA_WRITE,7,0ns,24,,0,0,6,6,0.0,1458.1482,0.0,0.0,23.0117
82,1,11,4194304,URMA_WRITE,7,0ns,25,,0,0,3,3,0.0,1023.7398,0.0,0.0,32.7763
83,1,11,4194304,URMA_WRITE,7,0ns,25,,0,0,4,4,0.0,1023.7398,0.0,0.0,32.7763
84,1,11,4194304,URMA_WRITE,7,0ns,25,,0,0,5,5,0.0,1023.7398,0.0,0.0,32.7763
85,1,11,4194304,URMA_WRITE,7,0ns,25,,0,0,6,6,0.0,1357.55868,0.0,0.0,24.7167
86,1,7,4194304,URMA_WRITE,7,0ns,26,,0,0,3,3,0.0,1026.67812,0.0,0.0,32.6825
87,1,7,4194304,URMA_WRITE,7,0ns,26,,0,0,4,4,0.0,1026.67812,0.0,0.0,32.6825
88,1,7,4194304,URMA_WRITE,7,0ns,26,,0,0,5,5,0.0,1026.67812,0.0,0.0,32.6825
89,1,7,4194304,URMA_WRITE,7,0ns,26,,0,0,6,6,0.0,1458.1582,0.0,0.0,23.0115
90,1,10,4194304,URMA_WRITE,7,0ns,27,,0,0,3,3,0.0,1023.47404,0.0,0.0,32.7848
91,1,10,4194304,URMA_WRITE,7,0ns,27,,0,0,4,4,0.0,1023.47404,0.0,0.0,32.7848
92,1,10,4194304,URMA_WRITE,7,0ns,27,,0,0,5,5,0.0,1023.47404,0.0,0.0,32.7848
93,1,10,4194304,URMA_WRITE,7,0ns,27,,0,0,6,6,0.0,1458.4682,0.0,0.0,23.0066
94,1,8,4194304,URMA_WRITE,7,0ns,28,,0,0,3,3,0.0,1023.7098,0.0,0.0,32.7773
95,1,8,4194304,URMA_WRITE,7,0ns,28,,0,0,4,4,0.0,1024.0382,0.0,0.0,32.7668
96,1,8,4194304,URMA_WRITE,7,0ns,28,,0,0,5,5,0.0,1024.0382,0.0,0.0,32.7668
97,1,8,4194304,URMA_WRITE,7,0ns,28,,0,0,6,6,0.0,1458.4082,0.0,0.0,23.0076
98,1,9,4194304,URMA_WRITE,7,0ns,29,,0,0,3,3,0.0,1023.7198,0.0,0.0,32.777
99,1,9,4194304,URMA_WRITE,7,0ns,29,,0,0,4,4,0.0,1025.16036,0.0,0.0,32.7309
100,1,9,4194304,URMA_WRITE,7,0ns,29,,0,0,5,5,0.0,1025.16036,0.0,0.0,32.7309
101,1,9,4194304,URMA_WRITE,7,0ns,29,,0,0,6,6,0.0,1458.58352,0.0,0.0,23.0048
102,2,1,16777216,URMA_WRITE,7,0ns,30,,0,0,1,1,0.0,367.25124,0.0,0.0,365.4657
103,2,3,16777216,URMA_WRITE,7,0ns,31,,0,0,2,2,0.0,367.25124,0.0,0.0,365.4657
104,2,0,16777216,URMA_WRITE,7,0ns,32,,0,0,0,1,0.0,367.25124,0.0,0.0,365.4657
105,2,4,4194304,URMA_WRITE,7,0ns,33,,0,0,3,3,0.0,1024.81044,0.0,0.0,32.7421
106,2,4,4194304,URMA_WRITE,7,0ns,33,,0,0,4,4,0.0,1025.32196,0.0,0.0,32.7258
107,2,4,4194304,URMA_WRITE,7,0ns,33,,0,0,5,5,0.0,1025.32196,0.0,0.0,32.7258
108,2,4,4194304,URMA_WRITE,7,0ns,33,,0,0,6,6,0.0,1357.30076,0.0,0.0,24.7214
109,2,15,4194304,URMA_WRITE,7,0ns,34,,0,0,3,3,0.0,1024.98356,0.0,0.0,32.7366
110,2,15,4194304,URMA_WRITE,7,0ns,34,,0,0,4,4,0.0,1024.98356,0.0,0.0,32.7366
111,2,15,4194304,URMA_WRITE,7,0ns,34,,0,0,5,5,0.0,1024.98356,0.0,0.0,32.7366
112,2,15,4194304,URMA_WRITE,7,0ns,34,,0,0,6,6,0.0,1403.75492,0.0,0.0,23.9033
113,2,5,4194304,URMA_WRITE,7,0ns,35,,0,0,3,3,0.0,1026.08644,0.0,0.0,32.7014
