taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,1117.76004,0.0,0.0,30.0194
1,0,15,4194304,URMA_WRITE,7,0ns,0,,1,1,4,4,0.0,1087.79916,0.0,0.0,30.8462
2,0,15,4194304,URMA_WRITE,7,0ns,0,,2,2,5,5,0.0,1102.24532,0.0,0.0,30.4419
3,0,15,4194304,URMA_WRITE,7,0ns,0,,3,3,6,6,0.0,1105.9112,0.0,0.0,30.341
4,0,1,16777216,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,367.25124,0.0,0.0,365.4657
5,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,1059.503,0.0,0.0,31.67
6,0,14,4194304,URMA_WRITE,7,0ns,2,,1,1,4,4,0.0,1116.85676,0.0,0.0,30.0436
7,0,14,4194304,URMA_WRITE,7,0ns,2,,2,2,5,5,0.0,1111.17444,0.0,0.0,30.1973
8,0,14,4194304,URMA_WRITE,7,0ns,2,,3,3,6,6,0.0,1117.73928,0.0,0.0,30.0199
9,0,2,16777216,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,367.25124,0.0,0.0,365.4657
10,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,890.8594,0.0,0.0,37.6652
11,0,13,4194304,URMA_WRITE,7,0ns,4,,1,1,4,4,0.0,999.82044,0.0,0.0,33.5605
12,0,13,4194304,URMA_WRITE,7,0ns,4,,2,2,5,5,0.0,1019.41004,0.0,0.0,32.9155
13,0,13,4194304,URMA_WRITE,7,0ns,4,,3,3,6,6,0.0,1105.8912,0.0,0.0,30.3415
14,0,3,16777216,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,367.25124,0.0,0.0,365.4657
15,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,844.06364,0.0,0.0,39.7534
16,0,12,4194304,URMA_WRITE,7,0ns,6,,1,1,4,4,0.0,857.02508,0.0,0.0,39.1522
17,0,12,4194304,URMA_WRITE,7,0ns,6,,2,2,5,5,0.0,914.01252,0.0,0.0,36.7111
18,0,12,4194304,URMA_WRITE,7,0ns,6,,3,3,6,6,0.0,1031.97384,0.0,0.0,32.5148
19,0,4,4194304,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,1118.35588,0.0,0.0,30.0034
20,0,4,4194304,URMA_WRITE,7,0ns,7,,1,1,4,4,0.0,1119.47996,0.0,0.0,29.9732
21,0,4,4194304,URMA_WRITE,7,0ns,7,,2,2,5,5,0.0,1118.50024,0.0,0.0,29.9995
22,0,4,4194304,URMA_WRITE,7,0ns,7,,3,3,6,6,0.0,1079.14456,0.0,0.0,31.0935
23,0,11,4194304,URMA_WRITE,7,0ns,8,,0,0,3,3,0.0,906.4402,0.0,0.0,37.0178
24,0,11,4194304,URMA_WRITE,7,0ns,8,,1,1,4,4,0.0,965.66004,0.0,0.0,34.7477
25,0,11,4194304,URMA_WRITE,7,0ns,8,,2,2,5,5,0.0,1039.61852,0.0,0.0,32.2757
26,0,11,4194304,URMA_WRITE,7,0ns,8,,3,3,6,6,0.0,924.134,0.0,0.0,36.3091
27,0,5,4194304,URMA_WRITE,7,0ns,9,,0,0,3,3,0.0,1118.1606,0.0,0.0,30.0086
28,0,5,4194304,URMA_WRITE,7,0ns,9,,1,1,4,4,0.0,1118.3808,0.0,0.0,30.0027
29,0,5,4194304,URMA_WRITE,7,0ns,9,,2,2,5,5,0.0,1114.80244,0.0,0.0,30.099
30,0,5,4194304,URMA_WRITE,7,0ns,9,,3,3,6,6,0.0,1117.62616,0.0,0.0,30.0229
31,0,10,4194304,URMA_WRITE,7,0ns,10,,0,0,3,3,0.0,1117.97532,0.0,0.0,30.0136
32,0,10,4194304,URMA_WRITE,7,0ns,10,,1,1,4,4,0.0,1118.11596,0.0,0.0,30.0098
33,0,10,4194304,URMA_WRITE,7,0ns,10,,2,2,5,5,0.0,1117.77524,0.0,0.0,30.0189
34,0,10,4194304,URMA_WRITE,7,0ns,10,,3,3,6,6,0.0,832.38728,0.0,0.0,40.3111
35,0,6,4194304,URMA_WRITE,7,0ns,11,,0,0,3,3,0.0,1118.1706,0.0,0.0,30.0083
36,0,6,4194304,URMA_WRITE,7,0ns,11,,1,1,4,4,0.0,1113.49612,0.0,0.0,30.1343
37,0,6,4194304,URMA_WRITE,7,0ns,11,,2,2,5,5,0.0,1117.47228,0.0,0.0,30.0271
38,0,6,4194304,URMA_WRITE,7,0ns,11,,3,3,6,6,0.0,1117.80976,0.0,0.0,30.018
39,0,9,4194304,URMA_WRITE,7,0ns,12,,0,0,3,3,0.0,1098.30332,0.0,0.0,30.5512
40,0,9,4194304,URMA_WRITE,7,0ns,12,,1,1,4,4,0.0,1082.27636,0.0,0.0,31.0036
41,0,9,4194304,URMA_WRITE,7,0ns,12,,2,2,5,5,0.0,1119.09212,0.0,0.0,29.9836
42,0,9,4194304,URMA_WRITE,7,0ns,12,,3,3,6,6,0.0,1118.82812,0.0,0.0,29.9907
43,0,7,4194304,URMA_WRITE,7,0ns,13,,0,0,3,3,0.0,1118.36588,0.0,0.0,30.0031
44,0,7,4194304,URMA_WRITE,7,0ns,13,,1,1,4,4,0.0,1117.10948,0.0,0.0,30.0368
45,0,7,4194304,URMA_WRITE,7,0ns,13,,2,2,5,5,0.0,1118.90036,0.0,0.0,29.9888
46,0,7,4194304,URMA_WRITE,7,0ns,13,,3,3,6,6,0.0,1119.67148,0.0,0.0,29.9681
47,0,8,4194304,URMA_WRITE,7,0ns,14,,0,0,3,3,0.0,1101.41644,0.0,0.0,30.4648
48,0,8,4194304,URMA_WRITE,7,0ns,14,,1,1,4,4,0.0,1060.41196,0.0,0.0,31.6428
49,0,8,4194304,URMA_WRITE,7,0ns,14,,2,2,5,5,0.0,1112.13132,0.0,0.0,30.1713
50,0,8,4194304,URMA_WRITE,7,0ns,14,,3,3,6,6,0.0,1117.79976,0.0,0.0,30.0183
51,1,0,16777216,URMA_WRITE,7,0ns,15,,0,0,0,0,0.0,367.25124,0.0,0.0,365.4657
52,1,2,16777216,URMA_WRITE,7,0ns,16,,0,0,1,1,0.0,367.25124,0.0,0.0,365.4657
53,1,15,4194304,URMA_WRITE,7,0ns,17,,0,0,3,3,0.0,1085.73404,0.0,0.0,30.9048
54,1,15,4194304,URMA_WRITE,7,0ns,17,,1,1,4,4,0.0,1058.73428,0.0,0.0,31.693
55,1,15,4194304,URMA_WRITE,7,0ns,17,,2,2,5,5,0.0,1083.33516,0.0,0.0,30.9733
56,1,15,4194304,URMA_WRITE,7,0ns,17,,3,3,6,6,0.0,1104.28868,0.0,0.0,30.3856
57,1,3,16777216,URMA_WRITE,7,0ns,18,,0,0,2,1,0.0,367.25124,0.0,0.0,365.4657
58,1,14,4194304,URMA_WRITE,7,0ns,19,,0,0,3,3,0.0,984.17884,0.0,0.0,34.0938
59,1,14,4194304,URMA_WRITE,7,0ns,19,,1,1,4,4,0.0,1027.21132,0.0,0.0,32.6656
