taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,3,3,0.0,1022.71532,0.0,0.0,32.8092
1,0,15,4194304,URMA_WRITE,7,0ns,0,,1,1,4,4,0.0,1021.62084,0.0,0.0,32.8443
2,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,5,5,0.0,1167.35452,0.0,0.0,28.744
3,0,15,4194304,URMA_WRITE,7,0ns,0,,1,1,6,6,0.0,1208.61956,0.0,0.0,27.7626
4,0,1,16777216,URMA_WRITE,7,0ns,1,,0,0,0,0,0.0,367.25124,0.0,0.0,365.4657
5,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,3,3,0.0,1022.22212,0.0,0.0,32.825
6,0,14,4194304,URMA_WRITE,7,0ns,2,,1,1,4,4,0.0,1022.48604,0.0,0.0,32.8165
7,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,5,5,0.0,1222.96016,0.0,0.0,27.4371
8,0,14,4194304,URMA_WRITE,7,0ns,2,,1,1,6,6,0.0,1218.40388,0.0,0.0,27.5397
9,0,2,16777216,URMA_WRITE,7,0ns,3,,0,0,1,0,0.0,367.25124,0.0,0.0,365.4657
10,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,3,3,0.0,1022.21212,0.0,0.0,32.8253
11,0,13,4194304,URMA_WRITE,7,0ns,4,,1,1,4,4,0.0,1021.53772,0.0,0.0,32.847
12,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,5,5,0.0,1022.21212,0.0,0.0,32.8253
13,0,13,4194304,URMA_WRITE,7,0ns,4,,1,1,6,6,0.0,1021.53772,0.0,0.0,32.847
14,0,3,16777216,URMA_WRITE,7,0ns,5,,0,0,2,0,0.0,367.25124,0.0,0.0,365.4657
15,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,3,3,0.0,1022.20212,0.0,0.0,32.8256
16,0,12,4194304,URMA_WRITE,7,0ns,6,,1,1,4,4,0.0,1020.9814,0.0,0.0,32.8649
17,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,5,5,0.0,1022.20212,0.0,0.0,32.8256
18,0,12,4194304,URMA_WRITE,7,0ns,6,,1,1,6,6,0.0,1020.9814,0.0,0.0,32.8649
19,0,4,4194304,URMA_WRITE,7,0ns,7,,0,0,3,3,0.0,1022.24212,0.0,0.0,32.8243
20,0,4,4194304,URMA_WRITE,7,0ns,7,,1,1,4,4,0.0,1022.16764,0.0,0.0,32.8267
21,0,4,4194304,URMA_WRITE,7,0ns,7,,0,0,5,5,0.0,1221.2302,0.0,0.0,27.4759
22,0,4,4194304,URMA_WRITE,7,0ns,7,,1,1,6,6,0.0,1220.225,0.0,0.0,27.4986
23,0,11,4194304,URMA_WRITE,7,0ns,8,,0,0,3,3,0.0,1023.1142,0.0,0.0,32.7964
24,0,11,4194304,URMA_WRITE,7,0ns,8,,1,1,4,4,0.0,1021.44508,0.0,0.0,32.85
25,0,11,4194304,URMA_WRITE,7,0ns,8,,0,0,5,5,0.0,1039.69028,0.0,0.0,32.2735
26,0,11,4194304,URMA_WRITE,7,0ns,8,,1,1,6,6,0.0,1085.5006,0.0,0.0,30.9115
27,0,5,4194304,URMA_WRITE,7,0ns,9,,0,0,3,3,0.0,1022.25212,0.0,0.0,32.824
28,0,5,4194304,URMA_WRITE,7,0ns,9,,1,1,4,4,0.0,1022.57916,0.0,0.0,32.8135
29,0,5,4194304,URMA_WRITE,7,0ns,9,,0,0,5,5,0.0,1222.10684,0.0,0.0,27.4562
30,0,5,4194304,URMA_WRITE,7,0ns,9,,1,1,6,6,0.0,1221.2546,0.0,0.0,27.4754
31,0,10,4194304,URMA_WRITE,7,0ns,10,,0,0,3,3,0.0,1023.51476,0.0,0.0,32.7835
32,0,10,4194304,URMA_WRITE,7,0ns,10,,1,1,4,4,0.0,1022.7018,0.0,0.0,32.8096
33,0,10,4194304,URMA_WRITE,7,0ns,10,,0,0,5,5,0.0,1219.42316,0.0,0.0,27.5166
