taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,4194304,URMA_WRITE,7,0ns,0,,0,0,3,3,0,1117.76004,0.0,0.0,30.0194
1,0,15,4194304,URMA_WRITE,7,0ns,0,,1,1,4,4,0,1116.01088,0.0,0.0,30.0664
2,0,15,4194304,URMA_WRITE,7,0ns,0,,2,2,5,5,0,1115.6032,0.0,0.0,30.0774
3,0,15,4194304,URMA_WRITE,7,0ns,0,,3,3,6,6,0,1117.64732,0.0,0.0,30.0224
4,0,1,16777216,URMA_WRITE,7,0ns,1,,0,0,0,0,0,367.25124,0.0,0.0,365.4657
5,0,14,4194304,URMA_WRITE,7,0ns,2,,0,0,3,3,0,1119.70312,0.0,0.0,29.9673
6,0,14,4194304,URMA_WRITE,7,0ns,2,,1,1,4,4,0,1116.85676,0.0,0.0,30.0436
7,0,14,4194304,URMA_WRITE,7,0ns,2,,2,2,5,5,0,1117.65836,0.0,0.0,30.0221
8,0,14,4194304,URMA_WRITE,7,0ns,2,,3,3,6,6,0,1117.73928,0.0,0.0,30.0199
9,0,2,16777216,URMA_WRITE,7,0ns,3,,0,0,1,0,0,367.25124,0.0,0.0,365.4657
10,0,13,4194304,URMA_WRITE,7,0ns,4,,0,0,3,3,0,1120.04548,0.0,0.0,29.9581
11,0,13,4194304,URMA_WRITE,7,0ns,4,,1,1,4,4,0,1119.95788,0.0,0.0,29.9604
12,0,13,4194304,URMA_WRITE,7,0ns,4,,2,2,5,5,0,1119.27772,0.0,0.0,29.9786
13,0,13,4194304,URMA_WRITE,7,0ns,4,,3,3,6,6,0,1117.62796,0.0,0.0,30.0229
14,0,3,16777216,URMA_WRITE,7,0ns,5,,0,0,2,0,0,367.25124,0.0,0.0,365.4657
15,0,12,4194304,URMA_WRITE,7,0ns,6,,0,0,3,3,0,1118.18132,0.0,0.0,30.0080
16,0,12,4194304,URMA_WRITE,7,0ns,6,,1,1,4,4,0,1117.99684,0.0,0.0,30.0130
