taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,8947849,URMA_WRITE,7,0ns,0,,0,0,0,0,0.0,183.88798,0.0,0.0,389.2739
1,1,2,8947849,URMA_WRITE,7,0ns,1,,0,0,1,1,0.0,183.88798,0.0,0.0,389.2739
2,2,3,8947849,URMA_WRITE,7,0ns,2,,0,0,2,2,0.0,183.88798,0.0,0.0,389.2739
3,3,0,8947849,URMA_WRITE,7,0ns,3,,0,0,0,2,0.0,183.88798,0.0,0.0,389.2739
4,4,5,8947849,URMA_WRITE,7,0ns,4,,0,0,0,0,0.0,183.88798,0.0,0.0,389.2739
5,5,6,8947849,URMA_WRITE,7,0ns,5,,0,0,1,1,0.0,183.88798,0.0,0.0,389.2739
6,6,7,8947849,URMA_WRITE,7,0ns,6,,0,0,2,2,0.0,183.88798,0.0,0.0,389.2739
7,7,4,8947849,URMA_WRITE,7,0ns,7,,0,0,0,2,0.0,183.88798,0.0,0.0,389.2739
8,8,9,8947848,URMA_WRITE,7,0ns,8,,0,0,0,0,0.0,183.88796,0.0,0.0,389.2739
9,9,10,8947848,URMA_WRITE,7,0ns,9,,0,0,1,1,0.0,183.88796,0.0,0.0,389.2739
10,10,11,8947848,URMA_WRITE,7,0ns,10,,0,0,2,2,0.0,183.88796,0.0,0.0,389.2739
11,11,8,8947848,URMA_WRITE,7,0ns,11,,0,0,0,2,0.0,183.88796,0.0,0.0,389.2739
12,12,13,8947848,URMA_WRITE,7,0ns,12,,0,0,0,0,0.0,183.88796,0.0,0.0,389.2739
13,13,14,8947848,URMA_WRITE,7,0ns,13,,0,0,1,1,0.0,183.88796,0.0,0.0,389.2739
14,14,15,8947848,URMA_WRITE,7,0ns,14,,0,0,2,2,0.0,183.88796,0.0,0.0,389.2739
15,15,12,8947848,URMA_WRITE,7,0ns,15,,0,0,0,2,0.0,183.88796,0.0,0.0,389.2739
16,0,2,8947849,URMA_WRITE,7,0ns,16,,0,0,1,0,0.0,183.88798,0.0,0.0,389.2739
17,1,3,8947849,URMA_WRITE,7,0ns,17,,0,0,2,1,0.0,183.88798,0.0,0.0,389.2739
18,2,0,8947849,URMA_WRITE,7,0ns,18,,0,0,0,1,0.0,183.88798,0.0,0.0,389.2739
19,3,1,8947849,URMA_WRITE,7,0ns,19,,0,0,1,2,0.0,183.88798,0.0,0.0,389.2739
20,4,6,8947849,URMA_WRITE,7,0ns,20,,0,0,1,0,0.0,183.88798,0.0,0.0,389.2739
21,5,7,8947849,URMA_WRITE,7,0ns,21,,0,0,2,1,0.0,183.88798,0.0,0.0,389.2739
22,6,4,8947849,URMA_WRITE,7,0ns,22,,0,0,0,1,0.0,183.88798,0.0,0.0,389.2739
23,7,5,8947849,URMA_WRITE,7,0ns,23,,0,0,1,2,0.0,183.88798,0.0,0.0,389.2739
24,8,10,8947848,URMA_WRITE,7,0ns,24,,0,0,1,0,0.0,183.88796,0.0,0.0,389.2739
25,9,11,8947848,URMA_WRITE,7,0ns,25,,0,0,2,1,0.0,183.88796,0.0,0.0,389.2739
26,10,8,8947848,URMA_WRITE,7,0ns,26,,0,0,0,1,0.0,183.88796,0.0,0.0,389.2739
27,11,9,8947848,URMA_WRITE,7,0ns,27,,0,0,1,2,0.0,183.88796,0.0,0.0,389.2739
28,12,14,8947848,URMA_WRITE,7,0ns,28,,0,0,1,0,0.0,183.88796,0.0,0.0,389.2739
29,13,15,8947848,URMA_WRITE,7,0ns,29,,0,0,2,1,0.0,183.88796,0.0,0.0,389.2739
30,14,12,8947848,URMA_WRITE,7,0ns,30,,0,0,0,1,0.0,183.88796,0.0,0.0,389.2739
31,15,13,8947848,URMA_WRITE,7,0ns,31,,0,0,1,2,0.0,183.88796,0.0,0.0,389.2739
32,0,3,8947849,URMA_WRITE,7,0ns,32,,0,0,2,0,0.0,183.88798,0.0,0.0,389.2739
33,1,0,8947849,URMA_WRITE,7,0ns,33,,0,0,0,0,0.0,183.88798,0.0,0.0,389.2739
