taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,srcEntityId,dstEntityId,srcPortHint,dstPortHint
0,0,1,35791396,URMA_WRITE,7,0ns,0,,0,0,0,0
1,1,2,35791396,URMA_WRITE,7,0ns,1,,0,0,1,1
2,2,3,35791396,URMA_WRITE,7,0ns,2,,0,0,2,2
3,3,0,35791396,URMA_WRITE,7,0ns,3,,0,0,0,2
4,4,5,35791396,URMA_WRITE,7,0ns,4,,0,0,0,0
5,5,6,35791396,URMA_WRITE,7,0ns,5,,0,0,1,1
6,6,7,35791396,URMA_WRITE,7,0ns,6,,0,0,2,2
7,7,4,35791396,URMA_WRITE,7,0ns,7,,0,0,0,2
8,8,9,35791392,URMA_WRITE,7,0ns,8,,0,0,0,0
9,9,10,35791392,URMA_WRITE,7,0ns,9,,0,0,1,1
10,10,11,35791392,URMA_WRITE,7,0ns,10,,0,0,2,2
11,11,8,35791392,URMA_WRITE,7,0ns,11,,0,0,0,2
12,12,13,35791392,URMA_WRITE,7,0ns,12,,0,0,0,0
13,13,14,35791392,URMA_WRITE,7,0ns,13,,0,0,1,1
14,14,15,35791392,URMA_WRITE,7,0ns,14,,0,0,2,2
15,15,12,35791392,URMA_WRITE,7,0ns,15,,0,0,0,2
16,0,2,35791396,URMA_WRITE,7,0ns,16,,0,0,1,0
17,1,3,35791396,URMA_WRITE,7,0ns,17,,0,0,2,1
18,2,0,35791396,URMA_WRITE,7,0ns,18,,0,0,0,1
19,3,1,35791396,URMA_WRITE,7,0ns,19,,0,0,1,2
20,4,6,35791396,URMA_WRITE,7,0ns,20,,0,0,1,0
21,5,7,35791396,URMA_WRITE,7,0ns,21,,0,0,2,1
22,6,4,35791396,URMA_WRITE,7,0ns,22,,0,0,0,1
23,7,5,35791396,URMA_WRITE,7,0ns,23,,0,0,1,2
24,8,10,35791392,URMA_WRITE,7,0ns,24,,0,0,1,0
25,9,11,35791392,URMA_WRITE,7,0ns,25,,0,0,2,1
26,10,8,35791392,URMA_WRITE,7,0ns,26,,0,0,0,1
27,11,9,35791392,URMA_WRITE,7,0ns,27,,0,0,1,2
28,12,14,35791392,URMA_WRITE,7,0ns,28,,0,0,1,0
29,13,15,35791392,URMA_WRITE,7,0ns,29,,0,0,2,1
30,14,12,35791392,URMA_WRITE,7,0ns,30,,0,0,0,1
31,15,13,35791392,URMA_WRITE,7,0ns,31,,0,0,1,2
32,0,3,35791396,URMA_WRITE,7,0ns,32,,0,0,2,0
33,1,0,35791396,URMA_WRITE,7,0ns,33,,0,0,0,0
34,2,1,35791396,URMA_WRITE,7,0ns,34,,0,0,1,1
35,3,2,35791396,URMA_WRITE,7,0ns,35,,0,0,2,2
36,4,7,35791396,URMA_WRITE,7,0ns,36,,0,0,2,0
37,5,4,35791396,URMA_WRITE,7,0ns,37,,0,0,0,0
38,6,5,35791396,URMA_WRITE,7,0ns,38,,0,0,1,1
39,7,6,35791396,URMA_WRITE,7,0ns,39,,0,0,2,2
40,8,11,35791392,URMA_WRITE,7,0ns,40,,0,0,2,0
41,9,8,35791392,URMA_WRITE,7,0ns,41,,0,0,0,0
42,10,9,35791392,URMA_WRITE,7,0ns,42,,0,0,1,1
43,11,10,35791392,URMA_WRITE,7,0ns,43,,0,0,2,2
44,12,15,35791392,URMA_WRITE,7,0ns,44,,0,0,2,0
45,13,12,35791392,URMA_WRITE,7,0ns,45,,0,0,0,0
46,14,13,35791392,URMA_WRITE,7,0ns,46,,0,0,1,1
47,15,14,35791392,URMA_WRITE,7,0ns,47,,0,0,2,2
48,0,12,35791392,URMA_WRITE,7,0ns,48,,0,0,3,3
49,1,13,35791392,URMA_WRITE,7,0ns,49,,0,0,3,3
50,2,14,35791392,URMA_WRITE,7,0ns,50,,0,0,3,3
51,3,15,35791392,URMA_WRITE,7,0ns,51,,0,0,3,3
52,4,8,35791396,URMA_WRITE,7,0ns,52,,0,0,3,3
53,5,9,35791392,URMA_WRITE,7,0ns,53,,0,0,3,3
54,6,10,35791392,URMA_WRITE,7,0ns,54,,0,0,3,3
55,7,11,35791392,URMA_WRITE,7,0ns,55,,0,0,3,3
56,8,4,35791396,URMA_WRITE,7,0ns,56,,0,0,3,3
57,9,5,35791396,URMA_WRITE,7,0ns,57,,0,0,3,3
58,10,6,35791396,URMA_WRITE,7,0ns,58,,0,0,3,3
59,11,7,35791396,URMA_WRITE,7,0ns,59,,0,0,3,3
60,12,0,35791396,URMA_WRITE,7,0ns,60,,0,0,3,3
61,13,1,35791396,URMA_WRITE,7,0ns,61,,0,0,3,3
62,14,2,35791396,URMA_WRITE,7,0ns,62,,0,0,3,3
63,15,3,35791396,URMA_WRITE,7,0ns,63,,0,0,3,3
64,0,9,35791392,URMA_WRITE,7,0ns,64,,0,0,4,4
65,1,8,35791396,URMA_WRITE,7,0ns,65,,0,0,4,4
66,2,11,35791392,URMA_WRITE,7,0ns,66,,0,0,4,4
67,3,10,35791392,URMA_WRITE,7,0ns,67,,0,0,4,4
68,4,13,35791392,URMA_WRITE,7,0ns,68,,0,0,4,4
69,5,12,35791392,URMA_WRITE,7,0ns,69,,0,0,4,4
70,6,15,35791392,URMA_WRITE,7,0ns,70,,0,0,4,4
71,7,14,35791392,URMA_WRITE,7,0ns,71,,0,0,4,4
72,8,1,35791396,URMA_WRITE,7,0ns,72,,0,0,4,4
73,9,0,35791396,URMA_WRITE,7,0ns,73,,0,0,4,4
74,10,3,35791396,URMA_WRITE,7,0ns,74,,0,0,4,4
75,11,2,35791396,URMA_WRITE,7,0ns,75,,0,0,4,4
76,12,5,35791396,URMA_WRITE,7,0ns,76,,0,0,4,4
77,13,4,35791396,URMA_WRITE,7,0ns,77,,0,0,4,4
78,14,7,35791396,URMA_WRITE,7,0ns,78,,0,0,4,4
79,15,6,35791396,URMA_WRITE,7,0ns,79,,0,0,4,4
80,0,6,35791396,URMA_WRITE,7,0ns,80,,0,0,5,5
81,1,7,35791396,URMA_WRITE,7,0ns,81,,0,0,5,5
82,2,4,35791396,URMA_WRITE,7,0ns,82,,0,0,5,5
83,3,5,35791396,URMA_WRITE,7,0ns,83,,0,0,5,5
84,4,2,35791396,URMA_WRITE,7,0ns,84,,0,0,5,5
85,5,3,35791396,URMA_WRITE,7,0ns,85,,0,0,5,5
86,6,0,35791396,URMA_WRITE,7,0ns,86,,0,0,5,5
87,7,1,35791396,URMA_WRITE,7,0ns,87,,0,0,5,5
88,8,14,35791392,URMA_WRITE,7,0ns,88,,0,0,5,5
89,9,15,35791392,URMA_WRITE,7,0ns,89,,0,0,5,5
90,10,12,35791392,URMA_WRITE,7,0ns,90,,0,0,5,5
91,11,13,35791392,URMA_WRITE,7,0ns,91,,0,0,5,5
92,12,10,35791392,URMA_WRITE,7,0ns,92,,0,0,5,5
93,13,11,35791392,URMA_WRITE,7,0ns,93,,0,0,5,5
94,14,8,35791392,URMA_WRITE,7,0ns,94,,0,0,5,5
95,15,9,35791392,URMA_WRITE,7,0ns,95,,0,0,5,5
96,0,15,35791392,URMA_WRITE,7,0ns,96,,0,0,6,6
97,1,14,35791392,URMA_WRITE,7,0ns,97,,0,0,6,6
98,2,13,35791392,URMA_WRITE,7,0ns,98,,0,0,6,6
99,3,12,35791392,URMA_WRITE,7,0ns,99,,0,0,6,6
100,4,11,35791392,URMA_WRITE,7,0ns,100,,0,0,6,6
101,5,10,35791392,URMA_WRITE,7,0ns,101,,0,0,6,6
102,6,9,35791392,URMA_WRITE,7,0ns,102,,0,0,6,6
103,7,8,35791396,URMA_WRITE,7,0ns,103,,0,0,6,6
104,8,7,35791396,URMA_WRITE,7,0ns,104,,0,0,6,6
105,9,6,35791396,URMA_WRITE,7,0ns,105,,0,0,6,6
106,10,5,35791396,URMA_WRITE,7,0ns,106,,0,0,6,6
107,11,4,35791396,URMA_WRITE,7,0ns,107,,0,0,6,6
108,12,3,35791396,URMA_WRITE,7,0ns,108,,0,0,6,6
109,13,2,35791396,URMA_WRITE,7,0ns,109,,0,0,6,6
110,14,1,35791396,URMA_WRITE,7,0ns,110,,0,0,6,6
111,15,0,35791396,URMA_WRITE,7,0ns,111,,0,0,6,6
112,0,4,35791396,URMA_WRITE,7,0ns,112,48,0,0,3,3
113,1,5,35791396,URMA_WRITE,7,0ns,113,49,0,0,3,3
114,2,6,35791396,URMA_WRITE,7,0ns,114,50,0,0,3,3
115,3,7,35791396,URMA_WRITE,7,0ns,115,51,0,0,3,3
116,4,0,35791396,URMA_WRITE,7,0ns,116,52,0,0,3,3
117,5,1,35791396,URMA_WRITE,7,0ns,117,53,0,0,3,3
118,6,2,35791396,URMA_WRITE,7,0ns,118,54,0,0,3,3
119,7,3,35791396,URMA_WRITE,7,0ns,119,55,0,0,3,3
120,8,12,35791392,URMA_WRITE,7,0ns,120,56,0,0,3,3
121,9,13,35791392,URMA_WRITE,7,0ns,121,57,0,0,3,3
122,10,14,35791392,URMA_WRITE,7,0ns,122,58,0,0,3,3
123,11,15,35791392,URMA_WRITE,7,0ns,123,59,0,0,3,3
124,12,8,35791392,URMA_WRITE,7,0ns,124,60,0,0,3,3
125,13,9,35791392,URMA_WRITE,7,0ns,125,61,0,0,3,3
126,14,10,35791392,URMA_WRITE,7,0ns,126,62,0,0,3,3
127,15,11,35791392,URMA_WRITE,7,0ns,127,63,0,0,3,3
128,0,13,35791392,URMA_WRITE,7,0ns,128,64,0,0,4,4
129,1,12,35791392,URMA_WRITE,7,0ns,129,65,0,0,4,4
130,2,15,35791392,URMA_WRITE,7,0ns,130,66,0,0,4,4
131,3,14,35791392,URMA_WRITE,7,0ns,131,67,0,0,4,4
132,4,9,35791392,URMA_WRITE,7,0ns,132,68,0,0,4,4
133,5,8,35791396,URMA_WRITE,7,0ns,133,69,0,0,4,4
134,6,11,35791392,URMA_WRITE,7,0ns,134,70,0,0,4,4
135,7,10,35791392,URMA_WRITE,7,0ns,135,71,0,0,4,4
136,8,5,35791396,URMA_WRITE,7,0ns,136,72,0,0,4,4
137,9,4,35791396,URMA_WRITE,7,0ns,137,73,0,0,4,4
138,10,7,35791396,URMA_WRITE,7,0ns,138,74,0,0,4,4
139,11,6,35791396,URMA_WRITE,7,0ns,139,75,0,0,4,4
140,12,1,35791396,URMA_WRITE,7,0ns,140,76,0,0,4,4
141,13,0,35791396,URMA_WRITE,7,0ns,141,77,0,0,4,4
142,14,3,35791396,URMA_WRITE,7,0ns,142,78,0,0,4,4
143,15,2,35791396,URMA_WRITE,7,0ns,143,79,0,0,4,4
144,0,10,35791392,URMA_WRITE,7,0ns,144,80,0,0,5,5
145,1,11,35791392,URMA_WRITE,7,0ns,145,81,0,0,5,5
146,2,8,35791396,URMA_WRITE,7,0ns,146,82,0,0,5,5
147,3,9,35791392,URMA_WRITE,7,0ns,147,83,0,0,5,5
