nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,3,Rx,0.17744,2737.79278,555570,1.62
0,3,Tx,0.001,2737.79378,34225090,100.01
1,3,Rx,0.26092,2737.87626,555570,1.62
1,3,Tx,0.001,2737.87726,34225090,100.0
2,3,Rx,0.3444,2737.95974,555570,1.62
2,3,Tx,0.001,2737.96074,34225090,100.0
3,3,Rx,0.42788,2738.04322,555570,1.62
3,3,Tx,0.001,2738.04422,34225090,100.0
15,3,Rx,0.17096,2738.09964,136896434,400.0
15,3,Tx,0.17196,2738.0374,2222529,6.49
16,0,Rx,0.08548,2737.79602,34220978,100.0
16,0,Tx,0.1752,2737.7902,555553,1.62
16,1,Rx,0.08548,2737.8795,34220978,100.0
16,1,Tx,0.25868,2737.87368,555553,1.62
16,2,Rx,0.08548,2737.96298,34220978,99.99
16,2,Tx,0.34216,2737.95716,555553,1.62
16,3,Rx,0.08548,2738.04646,34220978,99.99
16,3,Tx,0.42564,2738.04064,555553,1.62
16,15,Rx,0.1742,2738.03998,2222546,6.49
16,15,Tx,0.08648,2738.0974,136900546,400.0
