nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,1024,0,400Gbps,100ns
0,1,1025,0,400Gbps,100ns
0,2,1026,0,400Gbps,100ns
0,3,1027,0,400Gbps,100ns
0,4,1028,0,400Gbps,100ns
0,5,1029,0,400Gbps,100ns
0,6,1030,0,400Gbps,100ns
0,7,1031,0,400Gbps,100ns
0,8,1032,0,400Gbps,100ns
0,9,1033,0,400Gbps,100ns
0,10,1034,0,400Gbps,100ns
0,11,1035,0,400Gbps,100ns
1,0,1024,1,400Gbps,100ns
1,1,1025,1,400Gbps,100ns
1,2,1026,1,400Gbps,100ns
1,3,1027,1,400Gbps,100ns
1,4,1028,1,400Gbps,100ns
1,5,1029,1,400Gbps,100ns
1,6,1030,1,400Gbps,100ns
1,7,1031,1,400Gbps,100ns
1,8,1032,1,400Gbps,100ns
1,9,1033,1,400Gbps,100ns
1,10,1034,1,400Gbps,100ns
1,11,1035,1,400Gbps,100ns
2,0,1024,2,400Gbps,100ns
2,1,1025,2,400Gbps,100ns
2,2,1026,2,400Gbps,100ns
2,3,1027,2,400Gbps,100ns
2,4,1028,2,400Gbps,100ns
2,5,1029,2,400Gbps,100ns
2,6,1030,2,400Gbps,100ns
2,7,1031,2,400Gbps,100ns
2,8,1032,2,400Gbps,100ns
2,9,1033,2,400Gbps,100ns
2,10,1034,2,400Gbps,100ns
2,11,1035,2,400Gbps,100ns
3,0,1024,3,400Gbps,100ns
3,1,1025,3,400Gbps,100ns
3,2,1026,3,400Gbps,100ns
3,3,1027,3,400Gbps,100ns
3,4,1028,3,400Gbps,100ns
3,5,1029,3,400Gbps,100ns
3,6,1030,3,400Gbps,100ns
3,7,1031,3,400Gbps,100ns
3,8,1032,3,400Gbps,100ns
3,9,1033,3,400Gbps,100ns
3,10,1034,3,400Gbps,100ns
3,11,1035,3,400Gbps,100ns
4,0,1024,4,400Gbps,100ns
4,1,1025,4,400Gbps,100ns
4,2,1026,4,400Gbps,100ns
4,3,1027,4,400Gbps,100ns
4,4,1028,4,400Gbps,100ns
4,5,1029,4,400Gbps,100ns
4,6,1030,4,400Gbps,100ns
4,7,1031,4,400Gbps,100ns
4,8,1032,4,400Gbps,100ns
4,9,1033,4,400Gbps,100ns
4,10,1034,4,400Gbps,100ns
4,11,1035,4,400Gbps,100ns
5,0,1024,5,400Gbps,100ns
5,1,1025,5,400Gbps,100ns
5,2,1026,5,400Gbps,100ns
5,3,1027,5,400Gbps,100ns
5,4,1028,5,400Gbps,100ns
5,5,1029,5,400Gbps,100ns
