taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8947849,URMA_WRITE,7,0ns,0,,0.0,559.21324,0.0,0.0,128.0063
1,0,1,8947849,URMA_WRITE,7,0ns,1,,0.0,185.49444,0.0,0.0,385.9026
2,0,14,8947849,URMA_WRITE,7,0ns,2,,0.0,558.9264,0.0,0.0,128.0719
3,0,2,8947849,URMA_WRITE,7,0ns,3,,0.0,185.49444,0.0,0.0,385.9026
4,0,13,8947849,URMA_WRITE,7,0ns,4,,0.0,558.56688,0.0,0.0,128.1544
5,0,3,8947849,URMA_WRITE,7,0ns,5,,0.0,185.49444,0.0,0.0,385.9026
6,0,12,8947849,URMA_WRITE,7,0ns,6,,0.0,558.96598,0.0,0.0,128.0629
7,0,4,8947849,URMA_WRITE,7,0ns,7,,0.0,554.91634,0.0,0.0,128.9974
8,0,11,8947848,URMA_WRITE,7,0ns,8,,0.0,558.45586,0.0,0.0,128.1798
9,0,5,8947848,URMA_WRITE,7,0ns,9,,0.0,553.21992,0.0,0.0,129.393
10,0,10,8947848,URMA_WRITE,7,0ns,10,,0.0,558.93294,0.0,0.0,128.0704
11,0,6,8947848,URMA_WRITE,7,0ns,11,,0.0,557.28118,0.0,0.0,128.45
12,0,9,8947848,URMA_WRITE,7,0ns,12,,0.0,559.08486,0.0,0.0,128.0356
13,0,7,8947848,URMA_WRITE,7,0ns,13,,0.0,555.56298,0.0,0.0,128.8473
14,0,8,8947848,URMA_WRITE,7,0ns,14,,0.0,558.1541,0.0,0.0,128.2491
15,1,0,8947849,URMA_WRITE,7,0ns,15,,0.0,185.49444,0.0,0.0,385.9026
16,1,2,8947849,URMA_WRITE,7,0ns,16,,0.0,185.49444,0.0,0.0,385.9026
17,1,15,8947849,URMA_WRITE,7,0ns,17,,0.0,559.21856,0.0,0.0,128.005
18,1,3,8947849,URMA_WRITE,7,0ns,18,,0.0,185.49444,0.0,0.0,385.9026
19,1,14,8947849,URMA_WRITE,7,0ns,19,,0.0,560.61132,0.0,0.0,127.687
20,1,4,8947849,URMA_WRITE,7,0ns,20,,0.0,556.7698,0.0,0.0,128.568
21,1,13,8947849,URMA_WRITE,7,0ns,21,,0.0,561.27836,0.0,0.0,127.5353
22,1,5,8947849,URMA_WRITE,7,0ns,22,,0.0,556.67504,0.0,0.0,128.5899
23,1,12,8947848,URMA_WRITE,7,0ns,23,,0.0,560.30708,0.0,0.0,127.7563
24,1,6,8947848,URMA_WRITE,7,0ns,24,,0.0,556.66148,0.0,0.0,128.593
25,1,11,8947848,URMA_WRITE,7,0ns,25,,0.0,559.90424,0.0,0.0,127.8483
26,1,7,8947848,URMA_WRITE,7,0ns,26,,0.0,557.7848,0.0,0.0,128.3341
27,1,10,8947848,URMA_WRITE,7,0ns,27,,0.0,557.71242,0.0,0.0,128.3507
28,1,8,8947848,URMA_WRITE,7,0ns,28,,0.0,556.56776,0.0,0.0,128.6147
29,1,9,8947848,URMA_WRITE,7,0ns,29,,0.0,559.21698,0.0,0.0,128.0054
30,2,1,8947849,URMA_WRITE,7,0ns,30,,0.0,185.49444,0.0,0.0,385.9026
31,2,3,8947849,URMA_WRITE,7,0ns,31,,0.0,185.49444,0.0,0.0,385.9026
32,2,0,8947849,URMA_WRITE,7,0ns,32,,0.0,185.49444,0.0,0.0,385.9026
33,2,4,8947849,URMA_WRITE,7,0ns,33,,0.0,557.67704,0.0,0.0,128.3589
34,2,15,8947849,URMA_WRITE,7,0ns,34,,0.0,558.7031,0.0,0.0,128.1231
