taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1118482,URMA_WRITE,7,0ns,0,,0.0,72.30878,2.0328,72.31492,123.7451
1,0,1,1118481,URMA_WRITE,7,0ns,1,,0.0,23.19236,0.001,23.19502,385.8102
2,0,14,1118481,URMA_WRITE,7,0ns,2,,0.0,72.23092,1.01492,72.2374,123.8784
3,0,2,1118481,URMA_WRITE,7,0ns,3,,0.0,23.19234,0.001,23.195,385.8105
4,0,13,1118481,URMA_WRITE,7,0ns,4,,0.0,72.3072,0.848,72.31368,123.7477
5,0,3,1118481,URMA_WRITE,7,0ns,5,,0.0,23.19234,0.001,23.195,385.8105
6,0,12,1118481,URMA_WRITE,7,0ns,6,,0.0,71.95916,0.847,72.46594,124.3462
7,0,4,1118481,URMA_WRITE,7,0ns,7,,0.0,72.30032,0.001,72.30642,123.7595
8,0,11,1118481,URMA_WRITE,7,0ns,8,,0.0,73.18564,0.50288,73.54444,122.2623
9,0,5,1118481,URMA_WRITE,7,0ns,9,,0.0,70.8866,0.002,72.15416,126.2276
10,0,10,1118481,URMA_WRITE,7,0ns,10,,0.0,72.0201,0.4194,72.02624,124.241
11,0,6,1118481,URMA_WRITE,7,0ns,11,,0.0,72.3019,0.003,72.30766,123.7567
12,0,9,1118481,URMA_WRITE,7,0ns,12,,0.0,72.29468,0.33592,72.3626,123.7691
13,0,7,1118481,URMA_WRITE,7,0ns,13,,0.0,72.2931,0.16896,72.29942,123.7718
14,0,8,1118481,URMA_WRITE,7,0ns,14,,0.0,70.88502,0.25244,72.49686,126.2305
15,1,0,1118482,URMA_WRITE,7,0ns,15,,0.0,23.19234,0.001,23.19502,385.8108
16,1,2,1118481,URMA_WRITE,7,0ns,16,,0.0,23.19236,0.001,23.19502,385.8102
17,1,15,1118481,URMA_WRITE,7,0ns,17,,0.0,72.12708,1.01496,72.22382,124.0567
18,1,3,1118481,URMA_WRITE,7,0ns,18,,0.0,23.19234,0.001,23.195,385.8105
19,1,14,1118481,URMA_WRITE,7,0ns,19,,0.0,72.64618,1.01396,72.76886,123.1702
20,1,4,1118481,URMA_WRITE,7,0ns,20,,0.0,71.12982,0.001,71.19152,125.796
21,1,13,1118481,URMA_WRITE,7,0ns,21,,0.0,72.31254,0.93144,72.31902,123.7385
22,1,5,1118481,URMA_WRITE,7,0ns,22,,0.0,71.1314,0.002,71.13742,125.7932
23,1,12,1118481,URMA_WRITE,7,0ns,23,,0.0,72.2786,0.58636,72.46718,123.7966
24,1,6,1118481,URMA_WRITE,7,0ns,24,,0.0,71.1402,0.003,72.23792,125.7777
25,1,11,1118481,URMA_WRITE,7,0ns,25,,0.0,73.4468,0.50288,73.63818,121.8276
26,1,7,1118481,URMA_WRITE,7,0ns,26,,0.0,71.97486,0.16896,72.23916,124.3191
27,1,10,1118481,URMA_WRITE,7,0ns,27,,0.0,71.79158,0.4194,72.0405,124.6365
28,1,8,1118481,URMA_WRITE,7,0ns,28,,0.0,70.9634,0.25244,72.49032,126.091
29,1,9,1118481,URMA_WRITE,7,0ns,29,,0.0,71.01942,0.33592,72.382,125.9916
30,2,1,1118482,URMA_WRITE,7,0ns,30,,0.0,23.19234,0.001,23.19502,385.8108
31,2,3,1118481,URMA_WRITE,7,0ns,31,,0.0,23.19236,0.001,23.19502,385.8102
32,2,0,1118481,URMA_WRITE,7,0ns,32,,0.0,23.19234,0.001,23.195,385.8105
33,2,4,1118481,URMA_WRITE,7,0ns,33,,0.0,72.2935,0.001,72.29974,123.7711
34,2,15,1118481,URMA_WRITE,7,0ns,34,,0.0,71.53192,1.0152,71.7805,125.0889
35,2,5,1118481,URMA_WRITE,7,0ns,35,,0.0,71.73088,0.001,71.73646,124.7419
36,2,14,1118481,URMA_WRITE,7,0ns,36,,0.0,72.73066,1.0142,72.75984,123.0272
37,2,6,1118481,URMA_WRITE,7,0ns,37,,0.0,70.71826,0.002,72.24212,126.5281
38,2,13,1118481,URMA_WRITE,7,0ns,38,,0.0,72.12496,1.0132,72.20974,124.0604
39,2,7,1118481,URMA_WRITE,7,0ns,39,,0.0,71.97644,0.003,72.24336,124.3163
40,2,12,1118481,URMA_WRITE,7,0ns,40,,0.0,72.04148,0.50288,72.46842,124.2041
41,2,8,1118481,URMA_WRITE,7,0ns,41,,0.0,71.72152,0.16896,71.72746,124.7582
42,2,11,1118481,URMA_WRITE,7,0ns,42,,0.0,71.70136,0.4194,71.8677,124.7933
43,2,9,1118481,URMA_WRITE,7,0ns,43,,0.0,71.7143,0.25244,71.72046,124.7708
44,2,10,1118481,URMA_WRITE,7,0ns,44,,0.0,71.71588,0.33592,71.786,124.768
45,3,2,1118482,URMA_WRITE,7,0ns,45,,0.0,23.19234,0.001,23.19502,385.8108
46,3,4,1118481,URMA_WRITE,7,0ns,46,,0.0,73.77828,0.001,73.78476,121.2802
47,3,1,1118481,URMA_WRITE,7,0ns,47,,0.0,23.19234,0.001,23.195,385.8105
48,3,5,1118481,URMA_WRITE,7,0ns,48,,0.0,70.86454,0.001,71.01712,126.2669
49,3,0,1118481,URMA_WRITE,7,0ns,49,,0.0,23.19234,0.001,23.195,385.8105
50,3,6,1118481,URMA_WRITE,7,0ns,50,,0.0,73.79238,0.001,73.79886,121.2571
51,3,15,1118481,URMA_WRITE,7,0ns,51,,0.0,73.80242,0.5876,73.8089,121.2406
52,3,7,1118481,URMA_WRITE,7,0ns,52,,0.0,73.79396,0.002,73.8001,121.2545
53,3,14,1118481,URMA_WRITE,7,0ns,53,,0.0,73.42214,1.01444,73.42846,121.8685
54,3,8,1118481,URMA_WRITE,7,0ns,54,,0.0,73.79554,0.003,73.80186,121.2519
55,3,13,1118481,URMA_WRITE,7,0ns,55,,0.0,73.59756,0.58636,73.60404,121.5781
56,3,9,1118481,URMA_WRITE,7,0ns,56,,0.0,73.7846,0.16896,73.79076,121.2699
57,3,12,1118481,URMA_WRITE,7,0ns,57,,0.0,70.86612,0.4194,71.13144,126.2641
58,3,10,1118481,URMA_WRITE,7,0ns,58,,0.0,71.03692,0.25244,71.05582,125.9605
59,3,11,1118481,URMA_WRITE,7,0ns,59,,0.0,73.90976,0.33592,73.92786,121.0645
60,4,3,1118482,URMA_WRITE,7,0ns,60,,0.0,70.35846,0.001,73.81674,127.1753
61,4,5,1118481,URMA_WRITE,7,0ns,61,,0.0,23.19236,0.001,23.19502,385.8102
62,4,2,1118481,URMA_WRITE,7,0ns,62,,0.0,72.293,0.001,72.29846,123.772
63,4,6,1118481,URMA_WRITE,7,0ns,63,,0.0,23.19234,0.001,23.195,385.8105
64,4,1,1118481,URMA_WRITE,7,0ns,64,,0.0,71.18904,0.001,71.1947,125.6914
65,4,7,1118481,URMA_WRITE,7,0ns,65,,0.0,23.19234,0.001,23.195,385.8105
66,4,0,1118481,URMA_WRITE,7,0ns,66,,0.0,71.77614,0.001,72.31002,124.6633
67,4,8,1118481,URMA_WRITE,7,0ns,67,,0.0,71.04922,0.002,72.4928,125.9387
68,4,15,1118481,URMA_WRITE,7,0ns,68,,0.0,70.93728,0.58636,70.9543,126.1375
69,4,9,1118481,URMA_WRITE,7,0ns,69,,0.0,71.0508,0.003,71.08478,125.9359
70,4,14,1118481,URMA_WRITE,7,0ns,70,,0.0,71.05982,0.50288,71.0663,125.9199
71,4,10,1118481,URMA_WRITE,7,0ns,71,,0.0,71.04234,0.16896,71.04904,125.9509
72,4,13,1118481,URMA_WRITE,7,0ns,72,,0.0,71.08338,0.4194,71.08904,125.8782
73,4,11,1118481,URMA_WRITE,7,0ns,73,,0.0,73.09562,0.25244,73.63074,122.4129
74,4,12,1118481,URMA_WRITE,7,0ns,74,,0.0,70.94264,0.33592,72.46966,126.1279
75,5,4,1118482,URMA_WRITE,7,0ns,75,,0.0,23.19234,0.001,23.19502,385.8108
76,5,6,1118481,URMA_WRITE,7,0ns,76,,0.0,23.19236,0.001,23.19502,385.8102
77,5,3,1118481,URMA_WRITE,7,0ns,77,,0.0,70.86696,0.001,70.87344,126.2626
78,5,7,1118481,URMA_WRITE,7,0ns,78,,0.0,23.19234,0.001,23.195,385.8105
79,5,2,1118481,URMA_WRITE,7,0ns,79,,0.0,71.20072,0.001,71.73212,125.6708
80,5,8,1118481,URMA_WRITE,7,0ns,80,,0.0,70.89478,0.001,72.50656,126.2131
81,5,1,1118481,URMA_WRITE,7,0ns,81,,0.0,70.69736,0.001,71.14392,126.5655
82,5,9,1118481,URMA_WRITE,7,0ns,82,,0.0,71.5233,0.002,71.52944,125.104
83,5,0,1118481,URMA_WRITE,7,0ns,83,,0.0,72.16572,2.03156,72.17102,123.9903
84,5,10,1118481,URMA_WRITE,7,0ns,84,,0.0,70.22996,0.003,70.82624,127.4078
85,5,15,1118481,URMA_WRITE,7,0ns,85,,0.0,71.37584,0.50288,71.39464,125.3624
86,5,11,1118481,URMA_WRITE,7,0ns,86,,0.0,70.89098,0.16896,73.7229,126.2198
87,5,14,1118481,URMA_WRITE,7,0ns,87,,0.0,72.55614,0.4194,72.7701,123.3231
88,5,12,1118481,URMA_WRITE,7,0ns,88,,0.0,71.02712,0.25244,71.12896,125.9779
89,5,13,1118481,URMA_WRITE,7,0ns,89,,0.0,70.9029,0.33592,71.16216,126.1986
90,6,5,1118482,URMA_WRITE,7,0ns,90,,0.0,23.19234,0.001,23.19502,385.8108
91,6,7,1118481,URMA_WRITE,7,0ns,91,,0.0,23.19236,0.001,23.19502,385.8102
92,6,4,1118481,URMA_WRITE,7,0ns,92,,0.0,23.19234,0.001,23.195,385.8105
93,6,8,1118481,URMA_WRITE,7,0ns,93,,0.0,71.04514,0.001,71.16868,125.946
94,6,3,1118481,URMA_WRITE,7,0ns,94,,0.0,73.09312,0.001,73.8049,122.4171
95,6,9,1118481,URMA_WRITE,7,0ns,95,,0.0,69.69686,0.001,72.36508,128.3824
96,6,2,1118481,URMA_WRITE,7,0ns,96,,0.0,72.2477,0.001,72.25366,123.8496
97,6,10,1118481,URMA_WRITE,7,0ns,97,,0.0,71.54884,0.002,71.55498,125.0593
98,6,1,1118481,URMA_WRITE,7,0ns,98,,0.0,72.24824,1.0122,72.25436,123.8487
99,6,11,1118481,URMA_WRITE,7,0ns,99,,0.0,71.1349,0.003,73.91106,125.787
100,6,0,1118481,URMA_WRITE,7,0ns,100,,0.0,72.29054,1.01344,72.31126,123.7762
101,6,12,1118481,URMA_WRITE,7,0ns,101,,0.0,71.12892,0.16896,72.4603,125.7976
102,6,15,1118481,URMA_WRITE,7,0ns,102,,0.0,71.28482,0.4194,71.38934,125.5225
103,6,13,1118481,URMA_WRITE,7,0ns,103,,0.0,71.1305,0.25244,71.16712,125.7948
104,6,14,1118481,URMA_WRITE,7,0ns,104,,0.0,71.35902,0.33592,72.7639,125.392
105,7,6,1118482,URMA_WRITE,7,0ns,105,,0.0,23.19234,0.001,23.19502,385.8108
106,7,8,1118481,URMA_WRITE,7,0ns,106,,0.0,71.174,0.001,72.49562,125.7179
107,7,5,1118481,URMA_WRITE,7,0ns,107,,0.0,23.19234,0.001,23.195,385.8105
108,7,9,1118481,URMA_WRITE,7,0ns,108,,0.0,71.9286,0.001,71.94236,124.399
109,7,4,1118481,URMA_WRITE,7,0ns,109,,0.0,23.19234,0.001,23.195,385.8105
110,7,10,1118481,URMA_WRITE,7,0ns,110,,0.0,69.80688,0.001,71.05988,128.18
111,7,3,1118481,URMA_WRITE,7,0ns,111,,0.0,73.1766,0.001,73.80614,122.2774
112,7,11,1118481,URMA_WRITE,7,0ns,112,,0.0,71.54544,0.002,73.72538,125.0652
113,7,2,1118481,URMA_WRITE,7,0ns,113,,0.0,72.25002,0.5876,72.25618,123.8456
114,7,12,1118481,URMA_WRITE,7,0ns,114,,0.0,71.54702,0.003,71.95556,125.0625
115,7,1,1118481,URMA_WRITE,7,0ns,115,,0.0,72.24682,0.50288,72.25312,123.8511
116,7,13,1118481,URMA_WRITE,7,0ns,116,,0.0,71.08496,0.16896,71.94484,125.8754
117,7,0,1118481,URMA_WRITE,7,0ns,117,,0.0,72.20018,0.4194,72.30314,123.9311
118,7,14,1118481,URMA_WRITE,7,0ns,118,,0.0,71.54014,0.25244,72.76514,125.0745
119,7,15,1118481,URMA_WRITE,7,0ns,119,,0.0,72.01732,0.33592,72.0238,124.2458
120,8,7,1118482,URMA_WRITE,7,0ns,120,,0.0,72.47126,0.001,72.47754,123.4676
121,8,9,1118481,URMA_WRITE,7,0ns,121,,0.0,23.19236,0.001,23.19502,385.8102
122,8,6,1118481,URMA_WRITE,7,0ns,122,,0.0,70.97172,0.001,71.13332,126.0762
123,8,10,1118481,URMA_WRITE,7,0ns,123,,0.0,23.19234,0.001,23.195,385.8105
124,8,5,1118481,URMA_WRITE,7,0ns,124,,0.0,72.49844,0.001,72.50492,123.4212
125,8,11,1118481,URMA_WRITE,7,0ns,125,,0.0,23.19234,0.001,23.195,385.8105
126,8,4,1118481,URMA_WRITE,7,0ns,126,,0.0,72.19668,0.001,72.20282,123.9371
127,8,12,1118481,URMA_WRITE,7,0ns,127,,0.0,71.15898,0.002,71.16546,125.7445
128,8,3,1118481,URMA_WRITE,7,0ns,128,,0.0,73.69698,0.75332,73.80738,121.414
129,8,13,1118481,URMA_WRITE,7,0ns,129,,0.0,72.47284,0.003,72.47878,123.4648
130,8,2,1118481,URMA_WRITE,7,0ns,130,,0.0,71.71298,0.58636,71.72806,124.7731
131,8,14,1118481,URMA_WRITE,7,0ns,131,,0.0,72.47442,0.16896,72.48054,123.4622
132,8,1,1118481,URMA_WRITE,7,0ns,132,,0.0,72.47882,0.4194,72.48454,123.4547
133,8,15,1118481,URMA_WRITE,7,0ns,133,,0.0,72.476,0.25244,72.48178,123.4595
134,8,0,1118481,URMA_WRITE,7,0ns,134,,0.0,72.50284,0.33592,72.5084,123.4138
135,9,8,1118482,URMA_WRITE,7,0ns,135,,0.0,23.19234,0.001,23.19502,385.8108
136,9,10,1118481,URMA_WRITE,7,0ns,136,,0.0,23.19236,0.001,23.19502,385.8102
137,9,7,1118481,URMA_WRITE,7,0ns,137,,0.0,71.96696,0.001,71.9729,124.3327
138,9,11,1118481,URMA_WRITE,7,0ns,138,,0.0,23.19234,0.001,23.195,385.8105
139,9,6,1118481,URMA_WRITE,7,0ns,139,,0.0,72.3758,0.001,72.38218,123.6304
140,9,12,1118481,URMA_WRITE,7,0ns,140,,0.0,72.36666,0.001,72.47654,123.646
141,9,5,1118481,URMA_WRITE,7,0ns,141,,0.0,71.53102,0.001,71.5375,125.0905
142,9,13,1118481,URMA_WRITE,7,0ns,142,,0.0,72.36824,0.002,72.37418,123.6433
143,9,4,1118481,URMA_WRITE,7,0ns,143,,0.0,70.89546,1.0122,71.057,126.2119
144,9,14,1118481,URMA_WRITE,7,0ns,144,,0.0,72.36982,0.003,72.76638,123.6406
145,9,3,1118481,URMA_WRITE,7,0ns,145,,0.0,73.6028,0.66984,73.79678,121.5694
146,9,15,1118481,URMA_WRITE,7,0ns,146,,0.0,72.3714,0.16896,72.37742,123.6379
147,9,2,1118481,URMA_WRITE,7,0ns,147,,0.0,71.36768,0.4194,71.72276,125.3768
148,9,0,1118481,URMA_WRITE,7,0ns,148,,0.0,72.37298,0.25244,72.37918,123.6352
149,9,1,1118481,URMA_WRITE,7,0ns,149,,0.0,72.3538,0.33592,72.36118,123.668
150,10,9,1118482,URMA_WRITE,7,0ns,150,,0.0,23.19234,0.001,23.19502,385.8108
151,10,11,1118481,URMA_WRITE,7,0ns,151,,0.0,23.19236,0.001,23.19502,385.8102
