nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08872,69.37972,1159558,133.88
0,0,Tx,0.001,69.3739,1159540,133.72
0,1,Rx,23.36142,46.47096,1155406,399.98
0,1,Tx,23.27694,46.46872,1159517,399.98
0,2,Rx,0.08548,69.37646,1155446,133.4
0,2,Tx,0.08648,69.37746,1159557,133.88
0,3,Rx,0.17096,69.83538,3474566,399.01
0,3,Tx,0.001,69.82992,3478676,398.54
0,4,Rx,0.17096,69.83578,3474566,399.0
0,4,Tx,0.001,69.83032,3478675,398.53
0,5,Rx,0.17096,69.83578,3474566,399.0
0,5,Tx,0.001,69.83032,3478675,398.53
0,6,Rx,0.17096,69.83578,3474566,399.0
0,6,Tx,0.001,69.83032,3478675,398.53
1,0,Rx,0.08548,69.37648,1155445,133.4
1,0,Tx,0.08648,69.37748,1159558,133.88
1,1,Rx,0.08872,69.3797,1159557,133.88
1,1,Tx,0.001,69.37388,1159540,133.72
1,2,Rx,23.36142,46.47094,1155405,399.98
1,2,Tx,23.27694,46.4687,1159517,399.98
1,3,Rx,0.17096,69.83598,3474563,399.0
1,3,Tx,0.001,69.8307,3478675,398.53
1,4,Rx,0.17096,69.83578,3474563,399.0
1,4,Tx,0.001,69.8303,3478675,398.53
1,5,Rx,0.17096,69.83558,3474563,399.0
1,5,Tx,0.001,69.8303,3478675,398.53
1,6,Rx,0.17096,69.83598,3474563,399.0
1,6,Tx,0.001,69.8307,3478675,398.53
2,0,Rx,23.36142,46.47096,1155405,399.98
2,0,Tx,23.27694,46.46872,1159518,399.98
2,1,Rx,0.08548,69.37646,1155445,133.4
2,1,Tx,0.08648,69.37746,1159557,133.88
2,2,Rx,0.08872,69.3797,1159557,133.88
2,2,Tx,0.001,69.37388,1159540,133.72
2,3,Rx,0.17096,69.83558,3474563,399.0
2,3,Tx,0.001,69.8303,3478675,398.53
2,4,Rx,0.17096,69.83598,3474563,399.0
2,4,Tx,0.001,69.8307,3478675,398.53
2,5,Rx,0.17096,69.83578,3474563,399.0
