nodeId1,portId1,tpn1,nodeId2,portId2,tpn2,priority,metric
0,0,0,1,0,0,7,1
0,1,1,2,0,0,7,1
0,2,2,3,0,0,7,1
0,3,3,4,3,0,7,2
0,3,7,5,3,0,7,2
0,3,11,6,3,0,7,2
0,3,15,7,3,0,7,2
0,3,19,8,3,0,7,2
0,3,23,9,3,0,7,2
0,3,27,10,3,0,7,2
0,3,31,11,3,0,7,2
0,3,35,12,3,0,7,2
0,3,39,13,3,0,7,2
0,3,43,14,3,0,7,2
0,3,47,15,3,0,7,2
1,1,1,2,1,1,7,1
1,2,2,3,1,1,7,1
1,3,3,4,3,4,7,2
1,3,7,5,3,4,7,2
1,3,11,6,3,4,7,2
1,3,15,7,3,4,7,2
1,3,19,8,3,4,7,2
1,3,23,9,3,4,7,2
1,3,27,10,3,4,7,2
1,3,31,11,3,4,7,2
1,3,35,12,3,4,7,2
1,3,39,13,3,4,7,2
1,3,43,14,3,4,7,2
1,3,47,15,3,4,7,2
2,2,2,3,2,2,7,1
2,3,3,4,3,8,7,2
2,3,7,5,3,8,7,2
2,3,11,6,3,8,7,2
2,3,15,7,3,8,7,2
2,3,19,8,3,8,7,2
2,3,23,9,3,8,7,2
2,3,27,10,3,8,7,2
2,3,31,11,3,8,7,2
2,3,35,12,3,8,7,2
2,3,39,13,3,8,7,2
2,3,43,14,3,8,7,2
2,3,47,15,3,8,7,2
3,3,3,4,3,12,7,2
3,3,7,5,3,12,7,2
3,3,11,6,3,12,7,2
3,3,15,7,3,12,7,2
3,3,19,8,3,12,7,2
3,3,23,9,3,12,7,2
3,3,27,10,3,12,7,2
3,3,31,11,3,12,7,2
3,3,35,12,3,12,7,2
3,3,39,13,3,12,7,2
3,3,43,14,3,12,7,2
3,3,47,15,3,12,7,2
4,0,16,5,0,16,7,1
4,1,17,6,0,16,7,1
4,2,18,7,0,16,7,1
4,3,19,8,3,16,7,2
4,3,23,9,3,16,7,2
4,3,27,10,3,16,7,2
4,3,31,11,3,16,7,2
4,3,35,12,3,16,7,2
4,3,39,13,3,16,7,2
4,3,43,14,3,16,7,2
4,3,47,15,3,16,7,2
5,1,17,6,1,17,7,1
5,2,18,7,1,17,7,1
5,3,19,8,3,20,7,2
5,3,23,9,3,20,7,2
5,3,27,10,3,20,7,2
5,3,31,11,3,20,7,2
5,3,35,12,3,20,7,2
5,3,39,13,3,20,7,2
5,3,43,14,3,20,7,2
5,3,47,15,3,20,7,2
6,2,18,7,2,18,7,1
6,3,19,8,3,24,7,2
6,3,23,9,3,24,7,2
6,3,27,10,3,24,7,2
6,3,31,11,3,24,7,2
6,3,35,12,3,24,7,2
6,3,39,13,3,24,7,2
6,3,43,14,3,24,7,2
6,3,47,15,3,24,7,2
7,3,19,8,3,28,7,2
7,3,23,9,3,28,7,2
7,3,27,10,3,28,7,2
7,3,31,11,3,28,7,2
7,3,35,12,3,28,7,2
7,3,39,13,3,28,7,2
7,3,43,14,3,28,7,2
7,3,47,15,3,28,7,2
8,0,32,9,0,32,7,1
8,1,33,10,0,32,7,1
8,2,34,11,0,32,7,1
8,3,35,12,3,32,7,2
8,3,39,13,3,32,7,2
8,3,43,14,3,32,7,2
8,3,47,15,3,32,7,2
9,1,33,10,1,33,7,1
9,2,34,11,1,33,7,1
9,3,35,12,3,36,7,2
9,3,39,13,3,36,7,2
9,3,43,14,3,36,7,2
9,3,47,15,3,36,7,2
10,2,34,11,2,34,7,1
10,3,35,12,3,40,7,2
10,3,39,13,3,40,7,2
10,3,43,14,3,40,7,2
10,3,47,15,3,40,7,2
11,3,35,12,3,44,7,2
11,3,39,13,3,44,7,2
11,3,43,14,3,44,7,2
11,3,47,15,3,44,7,2
12,0,48,13,0,48,7,1
12,1,49,14,0,48,7,1
12,2,50,15,0,48,7,1
13,1,49,14,1,49,7,1
13,2,50,15,1,49,7,1
14,2,50,15,2,50,7,1
