taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8369048,URMA_WRITE,7,0ns,0,,0.0,554.82912,0.0,0.0,120.6721
1,0,1,9719128,URMA_WRITE,7,0ns,1,,0.0,201.34214,0.0,0.0,386.1736
2,0,14,8093339,URMA_WRITE,7,0ns,2,,0.0,513.23596,0.0,0.0,126.1539
3,0,2,8875187,URMA_WRITE,7,0ns,3,,0.0,188.7674,0.0,0.0,376.1322
4,0,13,9125670,URMA_WRITE,7,0ns,4,,0.0,556.73902,0.0,0.0,131.1303
5,0,3,8573625,URMA_WRITE,7,0ns,5,,0.0,181.98358,0.0,0.0,376.8966
6,0,12,8629114,URMA_WRITE,7,0ns,6,,0.0,547.90472,0.0,0.0,125.9944
7,0,4,8079346,URMA_WRITE,7,0ns,7,,0.0,548.75362,0.0,0.0,117.7847
8,0,11,8600547,URMA_WRITE,7,0ns,8,,0.0,549.34858,0.0,0.0,125.2472
9,0,5,9563979,URMA_WRITE,7,0ns,9,,0.0,549.70788,0.0,0.0,139.1863
10,0,10,9196575,URMA_WRITE,7,0ns,10,,0.0,555.6095,0.0,0.0,132.4178
11,0,6,10099183,URMA_WRITE,7,0ns,11,,0.0,559.52706,0.0,0.0,144.396
12,0,9,9248007,URMA_WRITE,7,0ns,12,,0.0,555.50642,0.0,0.0,133.1831
13,0,7,8514452,URMA_WRITE,7,0ns,13,,0.0,526.49378,0.0,0.0,129.3759
14,0,8,9530528,URMA_WRITE,7,0ns,14,,0.0,563.21514,0.0,0.0,135.3732
15,1,0,9276897,URMA_WRITE,7,0ns,15,,0.0,196.92152,0.0,0.0,376.8769
16,1,2,8798055,URMA_WRITE,7,0ns,16,,0.0,187.40534,0.0,0.0,375.5733
17,1,15,8878246,URMA_WRITE,7,0ns,17,,0.0,548.91832,0.0,0.0,129.3926
18,1,3,9099319,URMA_WRITE,7,0ns,18,,0.0,188.42006,0.0,0.0,386.3418
19,1,14,8513752,URMA_WRITE,7,0ns,19,,0.0,542.22166,0.0,0.0,125.6129
20,1,4,9179310,URMA_WRITE,7,0ns,20,,0.0,558.17118,0.0,0.0,131.5627
21,1,13,8789746,URMA_WRITE,7,0ns,21,,0.0,551.84168,0.0,0.0,127.4242
22,1,5,8431776,URMA_WRITE,7,0ns,22,,0.0,528.62564,0.0,0.0,127.603
23,1,12,8598771,URMA_WRITE,7,0ns,23,,0.0,556.61398,0.0,0.0,123.5868
24,1,6,10539720,URMA_WRITE,7,0ns,24,,0.0,575.5452,0.0,0.0,146.5007
25,1,11,8558653,URMA_WRITE,7,0ns,25,,0.0,537.87592,0.0,0.0,127.2956
26,1,7,8967685,URMA_WRITE,7,0ns,26,,0.0,550.63882,0.0,0.0,130.2877
27,1,10,8683726,URMA_WRITE,7,0ns,27,,0.0,547.24398,0.0,0.0,126.9449
28,1,8,9098531,URMA_WRITE,7,0ns,28,,0.0,563.18812,0.0,0.0,129.2432
29,1,9,8803541,URMA_WRITE,7,0ns,29,,0.0,547.91782,0.0,0.0,128.5381
30,2,1,9062558,URMA_WRITE,7,0ns,30,,0.0,187.791,0.0,0.0,386.07
31,2,3,8331477,URMA_WRITE,7,0ns,31,,0.0,176.75636,0.0,0.0,377.083
32,2,0,9217949,URMA_WRITE,7,0ns,32,,0.0,190.98572,0.0,0.0,386.121
33,2,4,8143966,URMA_WRITE,7,0ns,33,,0.0,553.63604,0.0,0.0,117.6797
34,2,15,9384475,URMA_WRITE,7,0ns,34,,0.0,565.63056,0.0,0.0,132.7294
35,2,5,8874318,URMA_WRITE,7,0ns,35,,0.0,556.84964,0.0,0.0,127.4932
36,2,14,9438438,URMA_WRITE,7,0ns,36,,0.0,557.82252,0.0,0.0,135.3612
37,2,6,9382405,URMA_WRITE,7,0ns,37,,0.0,558.77114,0.0,0.0,134.3291
38,2,13,9224532,URMA_WRITE,7,0ns,38,,0.0,554.55782,0.0,0.0,133.0722
39,2,7,8593011,URMA_WRITE,7,0ns,39,,0.0,547.3064,0.0,0.0,125.6044
40,2,12,8294827,URMA_WRITE,7,0ns,40,,0.0,548.07486,0.0,0.0,121.0758
41,2,8,10179957,URMA_WRITE,7,0ns,41,,0.0,565.5815,0.0,0.0,143.9928
42,2,11,9421154,URMA_WRITE,7,0ns,42,,0.0,565.67092,0.0,0.0,133.2387
43,2,9,8375140,URMA_WRITE,7,0ns,43,,0.0,537.14562,0.0,0.0,124.7355
44,2,10,8293521,URMA_WRITE,7,0ns,44,,0.0,544.23388,0.0,0.0,121.9111
45,3,2,8529342,URMA_WRITE,7,0ns,45,,0.0,176.76084,0.0,0.0,386.0286
46,3,4,9357625,URMA_WRITE,7,0ns,46,,0.0,555.2628,0.0,0.0,134.8208
47,3,1,8437064,URMA_WRITE,7,0ns,47,,0.0,179.26362,0.0,0.0,376.521
48,3,5,10392941,URMA_WRITE,7,0ns,48,,0.0,564.949,0.0,0.0,147.17
49,3,0,9334660,URMA_WRITE,7,0ns,49,,0.0,193.26688,0.0,0.0,386.3946
50,3,6,8886155,URMA_WRITE,7,0ns,50,,0.0,558.30778,0.0,0.0,127.3298
51,3,15,8890639,URMA_WRITE,7,0ns,51,,0.0,552.99764,0.0,0.0,128.6174
52,3,7,8446949,URMA_WRITE,7,0ns,52,,0.0,537.27774,0.0,0.0,125.774
53,3,14,9004783,URMA_WRITE,7,0ns,53,,0.0,558.51374,0.0,0.0,128.9821
54,3,8,8461735,URMA_WRITE,7,0ns,54,,0.0,537.69656,0.0,0.0,125.8961
55,3,13,9283029,URMA_WRITE,7,0ns,55,,0.0,564.93614,0.0,0.0,131.456
56,3,9,9070140,URMA_WRITE,7,0ns,56,,0.0,559.57784,0.0,0.0,129.6712
57,3,12,9464005,URMA_WRITE,7,0ns,57,,0.0,564.9305,0.0,0.0,134.0201
58,3,10,8314352,URMA_WRITE,7,0ns,58,,0.0,552.1504,0.0,0.0,120.465
59,3,11,8344309,URMA_WRITE,7,0ns,59,,0.0,534.28648,0.0,0.0,124.9413
60,4,3,8250829,URMA_WRITE,7,0ns,60,,0.0,545.7876,0.0,0.0,120.9383
61,4,5,8718204,URMA_WRITE,7,0ns,61,,0.0,186.04248,0.0,0.0,374.8909
62,4,2,10209820,URMA_WRITE,7,0ns,62,,0.0,564.09734,0.0,0.0,144.7952
63,4,6,8938083,URMA_WRITE,7,0ns,63,,0.0,185.25774,0.0,0.0,385.974
64,4,1,9091253,URMA_WRITE,7,0ns,64,,0.0,558.57498,0.0,0.0,130.2064
65,4,7,8398032,URMA_WRITE,7,0ns,65,,0.0,174.54212,0.0,0.0,384.9172
66,4,0,9733984,URMA_WRITE,7,0ns,66,,0.0,557.62964,0.0,0.0,139.648
67,4,8,8610692,URMA_WRITE,7,0ns,67,,0.0,550.25782,0.0,0.0,125.1877
68,4,15,9799739,URMA_WRITE,7,0ns,68,,0.0,561.14132,0.0,0.0,139.7115
69,4,9,8167856,URMA_WRITE,7,0ns,69,,0.0,535.63378,0.0,0.0,121.9916
70,4,14,8302626,URMA_WRITE,7,0ns,70,,0.0,552.0551,0.0,0.0,120.3159
71,4,10,8851920,URMA_WRITE,7,0ns,71,,0.0,549.8199,0.0,0.0,128.7974
72,4,13,8703221,URMA_WRITE,7,0ns,72,,0.0,555.24768,0.0,0.0,125.3959
73,4,11,9192405,URMA_WRITE,7,0ns,73,,0.0,557.37906,0.0,0.0,131.9376
74,4,12,9249064,URMA_WRITE,7,0ns,74,,0.0,558.87386,0.0,0.0,132.3957
75,5,4,10507174,URMA_WRITE,7,0ns,75,,0.0,217.23534,0.0,0.0,386.9416
76,5,6,8405739,URMA_WRITE,7,0ns,76,,0.0,179.1491,0.0,0.0,375.3628
77,5,3,8885776,URMA_WRITE,7,0ns,77,,0.0,564.93292,0.0,0.0,125.8312
78,5,7,8764529,URMA_WRITE,7,0ns,78,,0.0,186.05692,0.0,0.0,376.8537
79,5,2,8843510,URMA_WRITE,7,0ns,79,,0.0,552.97558,0.0,0.0,127.9407
80,5,8,8994076,URMA_WRITE,7,0ns,80,,0.0,558.45512,0.0,0.0,128.8422
81,5,1,8651072,URMA_WRITE,7,0ns,81,,0.0,544.89208,0.0,0.0,127.0134
82,5,9,8691574,URMA_WRITE,7,0ns,82,,0.0,542.13116,0.0,0.0,128.2579
83,5,0,8728128,URMA_WRITE,7,0ns,83,,0.0,556.65054,0.0,0.0,125.4378
84,5,10,10185133,URMA_WRITE,7,0ns,84,,0.0,557.2388,0.0,0.0,146.2229
85,5,15,8782905,URMA_WRITE,7,0ns,85,,0.0,530.54734,0.0,0.0,132.4354
86,5,11,9200663,URMA_WRITE,7,0ns,86,,0.0,547.04778,0.0,0.0,134.55
87,5,14,8468800,URMA_WRITE,7,0ns,87,,0.0,535.96132,0.0,0.0,126.4091
88,5,12,8471210,URMA_WRITE,7,0ns,88,,0.0,552.4671,0.0,0.0,122.6674
89,5,13,8637439,URMA_WRITE,7,0ns,89,,0.0,542.91932,0.0,0.0,127.274
90,6,5,8645538,URMA_WRITE,7,0ns,90,,0.0,179.15358,0.0,0.0,386.0615
91,6,7,9061088,URMA_WRITE,7,0ns,91,,0.0,187.55616,0.0,0.0,386.4907
92,6,4,8819171,URMA_WRITE,7,0ns,92,,0.0,185.25484,0.0,0.0,380.8449
93,6,8,8831786,URMA_WRITE,7,0ns,93,,0.0,549.30396,0.0,0.0,128.6251
94,6,3,9228859,URMA_WRITE,7,0ns,94,,0.0,565.29974,0.0,0.0,130.6048
95,6,9,10624298,URMA_WRITE,7,0ns,95,,0.0,586.34586,0.0,0.0,144.9561
96,6,2,8627221,URMA_WRITE,7,0ns,96,,0.0,563.02424,0.0,0.0,122.584
97,6,10,9261275,URMA_WRITE,7,0ns,97,,0.0,587.3642,0.0,0.0,126.1401
98,6,1,8513826,URMA_WRITE,7,0ns,98,,0.0,582.27858,0.0,0.0,116.9725
99,6,11,8748479,URMA_WRITE,7,0ns,99,,0.0,544.4693,0.0,0.0,128.5432
100,6,0,8759048,URMA_WRITE,7,0ns,100,,0.0,577.13736,0.0,0.0,121.4137
101,6,12,8973689,URMA_WRITE,7,0ns,101,,0.0,581.35132,0.0,0.0,123.4873
102,6,15,8869837,URMA_WRITE,7,0ns,102,,0.0,552.59882,0.0,0.0,128.4091
103,6,13,8499439,URMA_WRITE,7,0ns,103,,0.0,537.79644,0.0,0.0,126.4335
104,6,14,8754174,URMA_WRITE,7,0ns,104,,0.0,570.33094,0.0,0.0,122.7943
105,7,6,8176553,URMA_WRITE,7,0ns,105,,0.0,173.8307,0.0,0.0,376.2996
106,7,8,8348217,URMA_WRITE,7,0ns,106,,0.0,563.2531,0.0,0.0,118.5714
107,7,5,9092488,URMA_WRITE,7,0ns,107,,0.0,188.38902,0.0,0.0,386.1154
108,7,9,8904711,URMA_WRITE,7,0ns,108,,0.0,552.61664,0.0,0.0,128.9098
109,7,4,8419789,URMA_WRITE,7,0ns,109,,0.0,174.54186,0.0,0.0,385.9149
110,7,10,10220692,URMA_WRITE,7,0ns,110,,0.0,563.0611,0.0,0.0,145.2161
111,7,3,8588358,URMA_WRITE,7,0ns,111,,0.0,537.1577,0.0,0.0,127.9082
112,7,11,9660191,URMA_WRITE,7,0ns,112,,0.0,558.97312,0.0,0.0,138.2563
113,7,2,8667111,URMA_WRITE,7,0ns,113,,0.0,546.835,0.0,0.0,126.7967
114,7,12,10187872,URMA_WRITE,7,0ns,114,,0.0,559.44118,0.0,0.0,145.6864
115,7,1,8806231,URMA_WRITE,7,0ns,115,,0.0,552.11924,0.0,0.0,127.599
116,7,13,9015735,URMA_WRITE,7,0ns,116,,0.0,544.59408,0.0,0.0,132.4397
117,7,0,8316183,URMA_WRITE,7,0ns,117,,0.0,535.58654,0.0,0.0,124.218
118,7,14,9039795,URMA_WRITE,7,0ns,118,,0.0,547.0357,0.0,0.0,132.2004
119,7,15,8773802,URMA_WRITE,7,0ns,119,,0.0,537.30926,0.0,0.0,130.6332
120,8,7,10398882,URMA_WRITE,7,0ns,120,,0.0,562.92306,0.0,0.0,147.7841
121,8,9,8657882,URMA_WRITE,7,0ns,121,,0.0,180.75056,0.0,0.0,383.1969
122,8,6,8472157,URMA_WRITE,7,0ns,122,,0.0,546.61606,0.0,0.0,123.9943
123,8,10,8714741,URMA_WRITE,7,0ns,123,,0.0,183.23334,0.0,0.0,380.4871
124,8,5,9256105,URMA_WRITE,7,0ns,124,,0.0,559.49306,0.0,0.0,132.3499
125,8,11,8319106,URMA_WRITE,7,0ns,125,,0.0,176.5519,0.0,0.0,376.9591
126,8,4,8974968,URMA_WRITE,7,0ns,126,,0.0,555.67272,0.0,0.0,129.2123
127,8,12,8838377,URMA_WRITE,7,0ns,127,,0.0,537.12318,0.0,0.0,131.6402
128,8,3,8619369,URMA_WRITE,7,0ns,128,,0.0,538.7073,0.0,0.0,128.0008
129,8,13,9068253,URMA_WRITE,7,0ns,129,,0.0,559.62882,0.0,0.0,129.6324
130,8,2,8733836,URMA_WRITE,7,0ns,130,,0.0,565.56926,0.0,0.0,123.5405
131,8,14,9109086,URMA_WRITE,7,0ns,131,,0.0,553.97624,0.0,0.0,131.5448
132,8,1,9515320,URMA_WRITE,7,0ns,132,,0.0,563.09958,0.0,0.0,135.1849
133,8,15,8442243,URMA_WRITE,7,0ns,133,,0.0,531.24686,0.0,0.0,127.131
134,8,0,9097403,URMA_WRITE,7,0ns,134,,0.0,562.90366,0.0,0.0,129.2925
135,9,8,8719945,URMA_WRITE,7,0ns,135,,0.0,180.75064,0.0,0.0,385.9436
136,9,10,9632029,URMA_WRITE,7,0ns,136,,0.0,199.4657,0.0,0.0,386.3132
137,9,7,8857649,URMA_WRITE,7,0ns,137,,0.0,551.80338,0.0,0.0,128.4175
138,9,11,9482115,URMA_WRITE,7,0ns,138,,0.0,200.99982,0.0,0.0,377.3979
139,9,6,8845424,URMA_WRITE,7,0ns,139,,0.0,584.46952,0.0,0.0,121.0729
140,9,12,8298313,URMA_WRITE,7,0ns,140,,0.0,515.107,0.0,0.0,128.8791
141,9,5,8705166,URMA_WRITE,7,0ns,141,,0.0,543.28422,0.0,0.0,128.1858
142,9,13,10371204,URMA_WRITE,7,0ns,142,,0.0,555.3959,0.0,0.0,149.3883
143,9,4,8974502,URMA_WRITE,7,0ns,143,,0.0,544.41176,0.0,0.0,131.8782
144,9,14,8665035,URMA_WRITE,7,0ns,144,,0.0,542.1688,0.0,0.0,127.8574
145,9,3,9162027,URMA_WRITE,7,0ns,145,,0.0,560.18878,0.0,0.0,130.842
146,9,15,8296963,URMA_WRITE,7,0ns,146,,0.0,513.29606,0.0,0.0,129.3127
147,9,2,8712652,URMA_WRITE,7,0ns,147,,0.0,546.69616,0.0,0.0,127.4953
148,9,0,8871877,URMA_WRITE,7,0ns,148,,0.0,555.3274,0.0,0.0,127.8075
149,9,1,8622827,URMA_WRITE,7,0ns,149,,0.0,548.48558,0.0,0.0,125.7692
150,10,9,8977588,URMA_WRITE,7,0ns,150,,0.0,190.1377,0.0,0.0,377.73
151,10,11,9043243,URMA_WRITE,7,0ns,151,,0.0,191.49604,0.0,0.0,377.7934
152,10,8,8840814,URMA_WRITE,7,0ns,152,,0.0,183.23624,0.0,0.0,385.9854
153,10,12,8963649,URMA_WRITE,7,0ns,153,,0.0,540.71636,0.0,0.0,132.6189
154,10,7,8566529,URMA_WRITE,7,0ns,154,,0.0,563.06602,0.0,0.0,121.7126
155,10,13,8690794,URMA_WRITE,7,0ns,155,,0.0,540.89268,0.0,0.0,128.54
156,10,6,10658630,URMA_WRITE,7,0ns,156,,0.0,587.3656,0.0,0.0,145.172
157,10,14,8526904,URMA_WRITE,7,0ns,157,,0.0,536.35132,0.0,0.0,127.1839
158,10,5,8742243,URMA_WRITE,7,0ns,158,,0.0,559.8668,0.0,0.0,124.9189
159,10,15,8720704,URMA_WRITE,7,0ns,159,,0.0,556.07432,0.0,0.0,125.461
160,10,4,8576149,URMA_WRITE,7,0ns,160,,0.0,550.51558,0.0,0.0,124.6272
161,10,0,8654361,URMA_WRITE,7,0ns,161,,0.0,553.08488,0.0,0.0,125.1795
162,10,3,9701004,URMA_WRITE,7,0ns,162,,0.0,557.84418,0.0,0.0,139.1213
163,10,1,8727471,URMA_WRITE,7,0ns,163,,0.0,548.9834,0.0,0.0,127.1801
164,10,2,8827645,URMA_WRITE,7,0ns,164,,0.0,539.76932,0.0,0.0,130.8358
165,11,10,9390098,URMA_WRITE,7,0ns,165,,0.0,194.55274,0.0,0.0,386.1204
166,11,12,9272796,URMA_WRITE,7,0ns,166,,0.0,556.11968,0.0,0.0,133.3928
167,11,9,10528297,URMA_WRITE,7,0ns,167,,0.0,217.91682,0.0,0.0,386.507
168,11,13,8573271,URMA_WRITE,7,0ns,168,,0.0,540.984,0.0,0.0,126.7804
169,11,8,8735148,URMA_WRITE,7,0ns,169,,0.0,180.95372,0.0,0.0,386.1826
170,11,14,8578569,URMA_WRITE,7,0ns,170,,0.0,545.5851,0.0,0.0,125.7889
171,11,7,8624188,URMA_WRITE,7,0ns,171,,0.0,560.56822,0.0,0.0,123.0778
172,11,15,8572119,URMA_WRITE,7,0ns,172,,0.0,557.7088,0.0,0.0,122.9619
173,11,6,8473379,URMA_WRITE,7,0ns,173,,0.0,545.2346,0.0,0.0,124.3264
174,11,0,9008547,URMA_WRITE,7,0ns,174,,0.0,550.26596,0.0,0.0,130.9701
175,11,5,8452648,URMA_WRITE,7,0ns,175,,0.0,546.5173,0.0,0.0,123.7311
176,11,1,8422637,URMA_WRITE,7,0ns,176,,0.0,537.3537,0.0,0.0,125.3943
177,11,4,9039386,URMA_WRITE,7,0ns,177,,0.0,558.28634,0.0,0.0,129.5305
178,11,2,10051473,URMA_WRITE,7,0ns,178,,0.0,562.751,0.0,0.0,142.8905
179,11,3,8495172,URMA_WRITE,7,0ns,179,,0.0,534.75304,0.0,0.0,127.0893
180,12,11,8892807,URMA_WRITE,7,0ns,180,,0.0,549.80826,0.0,0.0,129.395
181,12,13,8238456,URMA_WRITE,7,0ns,181,,0.0,175.1878,0.0,0.0,376.2114
182,12,10,8119616,URMA_WRITE,7,0ns,182,,0.0,539.2789,0.0,0.0,120.4515
183,12,14,10149520,URMA_WRITE,7,0ns,183,,0.0,210.26656,0.0,0.0,386.1582
184,12,9,8186422,URMA_WRITE,7,0ns,184,,0.0,522.12026,0.0,0.0,125.4335
185,12,15,8492811,URMA_WRITE,7,0ns,185,,0.0,180.61948,0.0,0.0,376.1637
186,12,8,8512063,URMA_WRITE,7,0ns,186,,0.0,546.08442,0.0,0.0,124.6996
187,12,0,8788771,URMA_WRITE,7,0ns,187,,0.0,547.52376,0.0,0.0,128.4148
188,12,7,8154535,URMA_WRITE,7,0ns,188,,0.0,560.46546,0.0,0.0,116.3966
189,12,1,9668710,URMA_WRITE,7,0ns,189,,0.0,557.18282,0.0,0.0,138.8228
190,12,6,9896268,URMA_WRITE,7,0ns,190,,0.0,581.0223,0.0,0.0,136.2601
191,12,2,8861178,URMA_WRITE,7,0ns,191,,0.0,540.93268,0.0,0.0,131.0504
192,12,5,9904375,URMA_WRITE,7,0ns,192,,0.0,557.18688,0.0,0.0,142.2054
193,12,3,9445710,URMA_WRITE,7,0ns,193,,0.0,563.02476,0.0,0.0,134.2138
194,12,4,8906486,URMA_WRITE,7,0ns,194,,0.0,558.82752,0.0,0.0,127.5025
195,13,12,8632018,URMA_WRITE,7,0ns,195,,0.0,178.82246,0.0,0.0,386.1715
196,13,14,10472887,URMA_WRITE,7,0ns,196,,0.0,216.4236,0.0,0.0,387.1255
