taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,9719128,URMA_WRITE,7,0ns,0,,0.0,201.34214,0.0,0.0,386.1736
1,1,2,8798055,URMA_WRITE,7,0ns,1,,0.0,187.40534,0.0,0.0,375.5733
2,2,3,8331477,URMA_WRITE,7,0ns,2,,0.0,176.75636,0.0,0.0,377.083
3,3,0,9334660,URMA_WRITE,7,0ns,3,,0.0,193.26688,0.0,0.0,386.3946
4,4,5,8718204,URMA_WRITE,7,0ns,4,,0.0,186.04248,0.0,0.0,374.8909
5,5,6,8405739,URMA_WRITE,7,0ns,5,,0.0,179.1491,0.0,0.0,375.3628
6,6,7,9061088,URMA_WRITE,7,0ns,6,,0.0,187.55616,0.0,0.0,386.4907
7,7,4,8419789,URMA_WRITE,7,0ns,7,,0.0,174.54186,0.0,0.0,385.9149
8,8,9,8657882,URMA_WRITE,7,0ns,8,,0.0,180.75056,0.0,0.0,383.1969
9,9,10,9632029,URMA_WRITE,7,0ns,9,,0.0,199.4657,0.0,0.0,386.3132
10,10,11,9043243,URMA_WRITE,7,0ns,10,,0.0,191.49604,0.0,0.0,377.7934
11,11,8,8735148,URMA_WRITE,7,0ns,11,,0.0,180.95372,0.0,0.0,386.1826
12,12,13,8238456,URMA_WRITE,7,0ns,12,,0.0,175.1878,0.0,0.0,376.2114
13,13,14,10472887,URMA_WRITE,7,0ns,13,,0.0,216.4236,0.0,0.0,387.1255
14,14,15,9818192,URMA_WRITE,7,0ns,14,,0.0,203.2713,0.0,0.0,386.4074
15,15,12,9552208,URMA_WRITE,7,0ns,15,,0.0,197.67862,0.0,0.0,386.5753
16,0,2,8875187,URMA_WRITE,7,0ns,16,,0.0,188.7674,0.0,0.0,376.1322
17,1,3,9099319,URMA_WRITE,7,0ns,17,,0.0,188.42006,0.0,0.0,386.3418
18,2,0,9217949,URMA_WRITE,7,0ns,18,,0.0,190.98572,0.0,0.0,386.121
19,3,1,8437064,URMA_WRITE,7,0ns,19,,0.0,179.26362,0.0,0.0,376.521
20,4,6,8938083,URMA_WRITE,7,0ns,20,,0.0,185.25774,0.0,0.0,385.974
21,5,7,8764529,URMA_WRITE,7,0ns,21,,0.0,186.05692,0.0,0.0,376.8537
22,6,4,8819171,URMA_WRITE,7,0ns,22,,0.0,185.25484,0.0,0.0,380.8449
23,7,5,9092488,URMA_WRITE,7,0ns,23,,0.0,188.38902,0.0,0.0,386.1154
24,8,10,8714741,URMA_WRITE,7,0ns,24,,0.0,183.23334,0.0,0.0,380.4871
25,9,11,9482115,URMA_WRITE,7,0ns,25,,0.0,200.99982,0.0,0.0,377.3979
26,10,8,8840814,URMA_WRITE,7,0ns,26,,0.0,183.23624,0.0,0.0,385.9854
27,11,9,10528297,URMA_WRITE,7,0ns,27,,0.0,217.91682,0.0,0.0,386.507
28,12,14,10149520,URMA_WRITE,7,0ns,28,,0.0,210.26656,0.0,0.0,386.1582
29,13,15,8378310,URMA_WRITE,7,0ns,29,,0.0,173.65338,0.0,0.0,385.9786
30,14,12,9713094,URMA_WRITE,7,0ns,30,,0.0,206.4253,0.0,0.0,376.4304
31,15,13,8266218,URMA_WRITE,7,0ns,31,,0.0,173.65206,0.0,0.0,380.8175
32,0,3,8573625,URMA_WRITE,7,0ns,32,,0.0,181.98358,0.0,0.0,376.8966
33,1,0,9276897,URMA_WRITE,7,0ns,33,,0.0,196.92152,0.0,0.0,376.8769
34,2,1,9062558,URMA_WRITE,7,0ns,34,,0.0,187.791,0.0,0.0,386.07
35,3,2,8529342,URMA_WRITE,7,0ns,35,,0.0,176.76084,0.0,0.0,386.0286
36,4,7,8398032,URMA_WRITE,7,0ns,36,,0.0,174.54212,0.0,0.0,384.9172
37,5,4,10507174,URMA_WRITE,7,0ns,37,,0.0,217.23534,0.0,0.0,386.9416
38,6,5,8645538,URMA_WRITE,7,0ns,38,,0.0,179.15358,0.0,0.0,386.0615
39,7,6,8176553,URMA_WRITE,7,0ns,39,,0.0,173.8307,0.0,0.0,376.2996
40,8,11,8319106,URMA_WRITE,7,0ns,40,,0.0,176.5519,0.0,0.0,376.9591
41,9,8,8719945,URMA_WRITE,7,0ns,41,,0.0,180.75064,0.0,0.0,385.9436
42,10,9,8977588,URMA_WRITE,7,0ns,42,,0.0,190.1377,0.0,0.0,377.73
43,11,10,9390098,URMA_WRITE,7,0ns,43,,0.0,194.55274,0.0,0.0,386.1204
44,12,15,8492811,URMA_WRITE,7,0ns,44,,0.0,180.61948,0.0,0.0,376.1637
45,13,12,8632018,URMA_WRITE,7,0ns,45,,0.0,178.82246,0.0,0.0,386.1715
46,14,13,8386671,URMA_WRITE,7,0ns,46,,0.0,177.91024,0.0,0.0,377.1192
47,15,14,8996087,URMA_WRITE,7,0ns,47,,0.0,191.4824,0.0,0.0,375.8502
48,0,12,8629114,URMA_WRITE,7,0ns,48,,0.0,184.06978,0.0,0.0,375.0366
49,1,13,8789746,URMA_WRITE,7,0ns,49,,0.0,182.27968,0.0,0.0,385.7696
50,2,14,9438438,URMA_WRITE,7,0ns,50,,0.0,196.5889,0.0,0.0,384.0883
51,3,15,8890639,URMA_WRITE,7,0ns,51,,0.0,186.148,0.0,0.0,382.089
52,4,8,8610692,URMA_WRITE,7,0ns,52,,0.0,183.42312,0.0,0.0,375.5554
53,5,9,8691574,URMA_WRITE,7,0ns,53,,0.0,180.54886,0.0,0.0,385.1179
54,6,10,9261275,URMA_WRITE,7,0ns,54,,0.0,245.60544,0.0,0.0,301.6635
55,7,11,9660191,URMA_WRITE,7,0ns,55,,0.0,202.57546,0.0,0.0,381.495
56,8,4,8974968,URMA_WRITE,7,0ns,56,,0.0,186.4056,0.0,0.0,385.1802
57,9,5,8705166,URMA_WRITE,7,0ns,57,,0.0,180.55184,0.0,0.0,385.7138
58,10,6,10658630,URMA_WRITE,7,0ns,58,,0.0,269.24224,0.0,0.0,316.7001
59,11,7,8624188,URMA_WRITE,7,0ns,59,,0.0,183.42624,0.0,0.0,376.1376
60,12,0,8788771,URMA_WRITE,7,0ns,60,,0.0,184.17822,0.0,0.0,381.7507
61,13,1,8691979,URMA_WRITE,7,0ns,61,,0.0,182.27478,0.0,0.0,381.489
62,14,2,8586374,URMA_WRITE,7,0ns,62,,0.0,183.41508,0.0,0.0,374.5111
63,15,3,8875445,URMA_WRITE,7,0ns,63,,0.0,186.48018,0.0,0.0,380.7566
64,0,8,9530528,URMA_WRITE,7,0ns,64,,0.0,223.57586,0.0,0.0,341.0217
65,1,9,8803541,URMA_WRITE,7,0ns,65,,0.0,182.70928,0.0,0.0,385.4666
66,2,10,8293521,URMA_WRITE,7,0ns,66,,0.0,176.6319,0.0,0.0,375.6296
67,3,11,8344309,URMA_WRITE,7,0ns,67,,0.0,176.15264,0.0,0.0,378.9581
68,4,12,9249064,URMA_WRITE,7,0ns,68,,0.0,213.74152,0.0,0.0,346.1775
69,5,13,8637439,URMA_WRITE,7,0ns,69,,0.0,179.1252,0.0,0.0,385.761
70,6,14,8754174,URMA_WRITE,7,0ns,70,,0.0,189.73396,0.0,0.0,369.1136
71,7,15,8773802,URMA_WRITE,7,0ns,71,,0.0,182.4898,0.0,0.0,384.6265
72,8,0,9097403,URMA_WRITE,7,0ns,72,,0.0,225.48626,0.0,0.0,322.7657
73,9,1,8622827,URMA_WRITE,7,0ns,73,,0.0,182.53426,0.0,0.0,377.916
74,10,2,8827645,URMA_WRITE,7,0ns,74,,0.0,183.53118,0.0,0.0,384.7911
75,11,3,8495172,URMA_WRITE,7,0ns,75,,0.0,176.15686,0.0,0.0,385.8003
76,12,4,8906486,URMA_WRITE,7,0ns,76,,0.0,216.009,0.0,0.0,329.8561
77,13,5,8549191,URMA_WRITE,7,0ns,77,,0.0,179.12064,0.0,0.0,381.8294
78,14,6,10195296,URMA_WRITE,7,0ns,78,,0.0,229.29532,0.0,0.0,355.7088
79,15,7,8384083,URMA_WRITE,7,0ns,79,,0.0,178.01272,0.0,0.0,376.7858
80,0,4,8079346,URMA_WRITE,7,0ns,80,,0.0,172.55092,0.0,0.0,374.5837
81,1,5,8431776,URMA_WRITE,7,0ns,81,,0.0,179.35206,0.0,0.0,376.0994
82,2,6,9382405,URMA_WRITE,7,0ns,82,,0.0,200.57856,0.0,0.0,374.2137
83,3,7,8446949,URMA_WRITE,7,0ns,83,,0.0,178.0845,0.0,0.0,379.458
84,4,0,9733984,URMA_WRITE,7,0ns,84,,0.0,212.3252,0.0,0.0,366.7576
85,5,1,8651072,URMA_WRITE,7,0ns,85,,0.0,179.69686,0.0,0.0,385.1407
86,6,2,8627221,URMA_WRITE,7,0ns,86,,0.0,183.46282,0.0,0.0,376.1948
87,7,3,8588358,URMA_WRITE,7,0ns,87,,0.0,178.25952,0.0,0.0,385.4317
88,8,12,8838377,URMA_WRITE,7,0ns,88,,0.0,183.52026,0.0,0.0,385.2818
89,9,13,10371204,URMA_WRITE,7,0ns,89,,0.0,248.22362,0.0,0.0,334.2536
90,10,14,8526904,URMA_WRITE,7,0ns,90,,0.0,181.66346,0.0,0.0,375.5033
91,11,15,8572119,URMA_WRITE,7,0ns,91,,0.0,184.57786,0.0,0.0,371.534
92,12,8,8512063,URMA_WRITE,7,0ns,92,,0.0,180.71476,0.0,0.0,376.8176
93,13,9,8767760,URMA_WRITE,7,0ns,93,,0.0,203.5152,0.0,0.0,344.6528
94,14,10,8320544,URMA_WRITE,7,0ns,94,,0.0,181.23238,0.0,0.0,367.2873
95,15,11,9915777,URMA_WRITE,7,0ns,95,,0.0,221.13756,0.0,0.0,358.7189
96,0,13,9125670,URMA_WRITE,7,0ns,96,,0.0,205.92562,0.0,0.0,354.523
97,1,14,8513752,URMA_WRITE,7,0ns,97,,0.0,181.6378,0.0,0.0,374.9771
98,2,15,9384475,URMA_WRITE,7,0ns,98,,0.0,199.05952,0.0,0.0,377.1525
99,3,12,9464005,URMA_WRITE,7,0ns,99,,0.0,220.95352,0.0,0.0,342.6605
100,4,9,8167856,URMA_WRITE,7,0ns,100,,0.0,173.9177,0.0,0.0,375.7113
101,5,10,10185133,URMA_WRITE,7,0ns,101,,0.0,214.13864,0.0,0.0,380.5061
102,6,11,8748479,URMA_WRITE,7,0ns,102,,0.0,181.6402,0.0,0.0,385.3103
103,7,8,8348217,URMA_WRITE,7,0ns,103,,0.0,177.98876,0.0,0.0,375.2245
104,8,7,10398882,URMA_WRITE,7,0ns,104,,0.0,223.31976,0.0,0.0,372.5199
105,9,4,8974502,URMA_WRITE,7,0ns,105,,0.0,188.35158,0.0,0.0,381.1809
106,10,5,8742243,URMA_WRITE,7,0ns,106,,0.0,186.1402,0.0,0.0,375.7272
107,11,6,8473379,URMA_WRITE,7,0ns,107,,0.0,180.70236,0.0,0.0,375.1309
108,12,3,9445710,URMA_WRITE,7,0ns,108,,0.0,225.33812,0.0,0.0,335.3435
109,13,0,8833636,URMA_WRITE,7,0ns,109,,0.0,202.36914,0.0,0.0,349.2088
110,14,1,8491117,URMA_WRITE,7,0ns,110,,0.0,181.92164,0.0,0.0,373.3967
111,15,2,9601160,URMA_WRITE,7,0ns,111,,0.0,199.23454,0.0,0.0,385.5219
112,0,9,9248007,URMA_WRITE,7,0ns,112,48.0,184.06978,376.25818,0.0,0.0,384.9559
113,1,10,8683726,URMA_WRITE,7,0ns,113,49.0,182.27968,375.24394,0.0,0.0,360.0139
114,2,11,9421154,URMA_WRITE,7,0ns,114,50.0,196.5889,395.5292,0.0,0.0,378.8535
115,3,8,8461735,URMA_WRITE,7,0ns,115,51.0,186.148,370.55856,0.0,0.0,367.0824
116,4,15,9799739,URMA_WRITE,7,0ns,116,52.0,183.42312,421.58478,0.0,0.0,329.1794
117,5,12,8471210,URMA_WRITE,7,0ns,117,53.0,180.54886,360.81968,0.0,0.0,375.9326
118,6,13,8499439,URMA_WRITE,7,0ns,118,54.0,245.60544,484.46654,0.0,0.0,284.6655
119,7,14,9039795,URMA_WRITE,7,0ns,119,55.0,202.57546,399.78448,0.0,0.0,366.7092
120,8,3,8619369,URMA_WRITE,7,0ns,120,56.0,186.4056,370.579,0.0,0.0,374.4023
121,9,0,8871877,URMA_WRITE,7,0ns,121,57.0,180.55184,370.22882,0.0,0.0,374.1889
122,10,1,8727471,URMA_WRITE,7,0ns,122,58.0,269.24224,475.04702,0.0,0.0,339.2524
123,11,2,10051473,URMA_WRITE,7,0ns,123,59.0,183.42624,395.53242,0.0,0.0,379.111
124,12,5,9904375,URMA_WRITE,7,0ns,124,60.0,184.17822,399.01986,0.0,0.0,368.8065
125,13,6,8612147,URMA_WRITE,7,0ns,125,61.0,182.27478,463.61346,0.0,0.0,244.8905
126,14,7,8506274,URMA_WRITE,7,0ns,126,62.0,183.41508,362.93592,0.0,0.0,379.0657
127,15,4,9702655,URMA_WRITE,7,0ns,127,63.0,186.48018,423.18294,0.0,0.0,327.9271
128,0,5,9563979,URMA_WRITE,7,0ns,128,64.0,223.57586,422.757,0.0,0.0,384.1319
129,1,6,10539720,URMA_WRITE,7,0ns,129,65.0,182.70928,500.9806,0.0,0.0,264.9242
130,2,7,8593011,URMA_WRITE,7,0ns,130,66.0,176.6319,359.56264,0.0,0.0,375.793
131,3,4,9357625,URMA_WRITE,7,0ns,131,67.0,176.15264,382.24186,0.0,0.0,363.2456
132,4,3,8250829,URMA_WRITE,7,0ns,132,68.0,213.74152,385.21432,0.0,0.0,384.9394
133,5,0,8728128,URMA_WRITE,7,0ns,133,69.0,179.1252,374.39274,0.0,0.0,357.5864
134,6,1,8513826,URMA_WRITE,7,0ns,134,70.0,189.73396,447.55396,0.0,0.0,264.1789
135,7,2,8667111,URMA_WRITE,7,0ns,135,71.0,182.4898,362.96152,0.0,0.0,384.1981
136,8,13,9068253,URMA_WRITE,7,0ns,136,72.0,225.48626,507.28502,0.0,0.0,257.4391
137,9,14,8665035,URMA_WRITE,7,0ns,137,73.0,182.53426,366.53592,0.0,0.0,376.7373
138,10,15,8720704,URMA_WRITE,7,0ns,138,74.0,183.53118,378.18158,0.0,0.0,358.415
139,11,12,9272796,URMA_WRITE,7,0ns,139,75.0,176.15686,389.39898,0.0,0.0,347.8786
140,12,11,8892807,URMA_WRITE,7,0ns,140,76.0,216.009,410.36272,0.0,0.0,366.0463
141,13,8,9778863,URMA_WRITE,7,0ns,141,77.0,179.12064,500.55548,0.0,0.0,243.3803
142,14,9,8978476,URMA_WRITE,7,0ns,142,78.0,229.29532,416.96166,0.0,0.0,382.7421
143,15,10,9768664,URMA_WRITE,7,0ns,143,79.0,178.01272,397.95866,0.0,0.0,355.3115
144,0,14,8093339,URMA_WRITE,7,0ns,144,80.0,172.55092,368.44588,0.0,0.0,330.5175
145,1,15,8878246,URMA_WRITE,7,0ns,145,81.0,179.35206,367.8873,0.0,0.0,376.7252
146,2,12,8294827,URMA_WRITE,7,0ns,146,82.0,200.57856,375.09666,0.0,0.0,380.2392
147,3,13,9283029,URMA_WRITE,7,0ns,147,83.0,178.0845,504.04832,0.0,0.0,227.8297
148,4,10,8851920,URMA_WRITE,7,0ns,148,84.0,212.3252,396.85896,0.0,0.0,383.7529
